time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,223.52,228.35,222.57,226.41,41706377,31916333.35,1.201360364,1.89697E+11,1.11985E+11,77712268006,20.52674524,9.538880385,1.146E+11,1.14949E+11,AAPL
2018-09-14,225.75,226.84,222.522,223.84,31999289,32091279.45,1.215153681,1.81112E+11,1.08036E+11,73076389085,20.29374433,9.430603708,1.146E+11,1.14949E+11,AAPL
2018-09-17,222.15,222.95,217.27,217.88,37195133,32179686.25,1.248393611,1.81112E+11,1.08036E+11,73076389085,19.75339982,9.17950293,1.146E+11,1.14949E+11,AAPL
2018-09-18,217.79,221.85,217.12,218.24,31571712,32243887.1,1.246334311,1.87093E+11,1.09392E+11,77700875137,19.78603808,9.194670091,1.146E+11,1.14949E+11,AAPL
2018-09-19,218.5,219.62,215.3,218.37,27123833,32292091,1.245592343,1.8863E+11,1.10372E+11,78258099244,19.79782412,9.200147121,1.146E+11,1.14949E+11,AAPL
2018-09-20,220.24,222.28,219.15,220.03,26608794,32671624.15,1.236195064,1.99616E+11,1.12192E+11,87424189239,19.94832276,9.270084586,1.146E+11,1.14949E+11,AAPL
2018-09-21,220.78,221.36,217.29,217.66,96246748,36539800.35,1.249655426,2.04518E+11,1.13771E+11,90747627086,19.73345422,9.170234109,1.146E+11,1.14949E+11,AAPL
2018-09-24,216.82,221.26,216.63,220.79,27693358,37000650.45,1.231939852,2.04518E+11,1.13771E+11,90747627086,20.01722575,9.302104149,1.146E+11,1.14949E+11,AAPL
2018-09-25,219.75,222.82,219.7,222.19,24554379,37202113.55,1.224177506,2.01204E+11,1.11148E+11,90056087859,20.14415231,9.361087553,1.146E+11,1.14949E+11,AAPL
2018-09-26,221,223.75,219.76,220.42,23984706,37262510.55,1.234007803,2.01772E+11,1.11721E+11,90050276795,19.98368087,9.286515678,1.146E+11,1.14949E+11,AAPL
2018-09-27,223.82,226.44,223.54,224.95,30181227,37408831.7,1.209157591,2.1143E+11,1.15539E+11,95891491506,20.39437897,9.477369121,1.146E+11,1.14949E+11,AAPL
2018-09-28,224.79,225.84,224.02,225.74,22929364,36115608.7,1.204926021,2.0951E+11,1.13681E+11,95828541867,19.01769166,10.01792434,1.14483E+11,1.07147E+11,AAPL
2018-10-01,227.95,229.42,226.35,227.26,23600802,35128642.1,1.196867025,2.0951E+11,1.13681E+11,95828541867,19.14574558,10.08537913,1.14483E+11,1.07147E+11,AAPL
2018-10-02,227.25,230,226.63,229.28,24788170,34998544,1.186322401,2.04957E+11,1.1246E+11,92496364311,19.31592249,10.175023,1.14483E+11,1.07147E+11,AAPL
2018-10-03,230.05,233.47,229.78,232.07,28654799,34764635.95,1.172060154,2.03099E+11,1.11724E+11,91375173810,19.55096883,10.29883805,1.14483E+11,1.07147E+11,AAPL
2018-10-04,230.78,232.35,226.73,227.99,32042000,34652237.15,1.193034782,2.05578E+11,1.13307E+11,92271291174,19.20724516,10.11777518,1.14483E+11,1.07147E+11,AAPL
2018-10-05,227.96,228.41,220.58,224.29,33580463,34450269.8,1.212715681,2.07347E+11,1.14341E+11,93006604153,18.89553496,9.953576014,1.14483E+11,1.07147E+11,AAPL
2018-10-08,222.21,224.8,220.2,223.77,29663923,33957643.3,1.215533807,2.07347E+11,1.14341E+11,93006604153,18.85172704,9.930499374,1.14483E+11,1.07147E+11,AAPL
2018-10-09,223.64,227.27,222.2462,226.87,26891029,33514742.3,1.198924494,2.05913E+11,1.14076E+11,91837405142,19.11288964,10.06807165,1.14483E+11,1.07147E+11,AAPL
