time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,24.79,24.83,23.96,24.07,51107,67148.5,0,190000000000.00,112000000000.00,77712268006.00,-9.864754098,1.606488425,340246000.00,494438000.00,AEGN
2018-09-14,24.07,24.56,23.96,24.44,74770,68163.25,0,181000000000.00,108000000000.00,73076389085.00,-10.01639344,1.631183095,340246000.00,494438000.00,AEGN
2018-09-17,24.49,24.49,24.11,24.23,52116,67462.65,0,181000000000.00,108000000000.00,73076389085.00,-9.930327869,1.617167201,340246000.00,494438000.00,AEGN
2018-09-18,24.31,24.31,23.79,24,64496,67845.8,0,187000000000.00,109000000000.00,77700875137.00,-9.836065574,1.60181646,340246000.00,494438000.00,AEGN
2018-09-19,24.02,24.34,23.96,24.06,155526,70009,0,189000000000.00,110000000000.00,78258099244.00,-9.860655738,1.605821001,340246000.00,494438000.00,AEGN
2018-09-20,24.13,24.59,23.97,24.56,65706,69713,0,200000000000.00,112000000000.00,87424189239.00,-10.06557377,1.639192177,340246000.00,494438000.00,AEGN
2018-09-21,24.56,24.8,24.5,24.77,321272,83318.8,0,205000000000.00,114000000000.00,90747627086.00,-10.15163934,1.653208071,340246000.00,494438000.00,AEGN
2018-09-24,24.76,24.9189,24.395,24.57,65876,84175.25,0,205000000000.00,114000000000.00,90747627086.00,-10.06967213,1.639859601,340246000.00,494438000.00,AEGN
2018-09-25,24.6,24.91,24.32,24.71,111163,87257.1,0,201000000000.00,111000000000.00,90056087859.00,-10.12704918,1.64920353,340246000.00,494438000.00,AEGN
2018-09-26,24.71,24.95,24.33,24.4,68836,88507.1,0,202000000000.00,112000000000.00,90050276795.00,-10,1.628513401,340246000.00,494438000.00,AEGN
2018-09-27,24.45,25.05,24.2001,24.93,97677,90596.4,0,212000000000.00,116000000000.00,95891491506.00,-10.21721311,1.663886848,340246000.00,494438000.00,AEGN
2018-09-28,24.89,25.48,24.89,25.38,218894,97897.2,0,210000000000.00,114000000000.00,95828541867.00,-113.4048257,1.714488372,305817000.00,486084000.00,AEGN
2018-10-01,25.43,25.54,24.71,24.72,80629,99520.15,0,210000000000.00,114000000000.00,95828541867.00,-110.4557641,1.669903568,305817000.00,486084000.00,AEGN
2018-10-02,24.74,24.96,24.33,24.49,55042,98337.65,0,205000000000.00,113000000000.00,92496364311.00,-109.4280608,1.65436644,305817000.00,486084000.00,AEGN
