time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-11,15.75,16.76,15.603,16.76,4746,2532.9,0,1.80882E+11,1.08471E+11,72411091437,21.21518987,2.294743039,1059560000,173167000,ARL
2018-09-12,16.61,16.95,16.61,16.95,2733,2579.4,0,1.81265E+11,1.09215E+11,72049795624,21.4556962,2.32075743,1059560000,173167000,ARL
2018-09-13,16.89,17.16,16.6292,16.98,2535,2632.05,0,1.89762E+11,1.1205E+11,77712268006,21.49367089,2.324864965,1059560000,173167000,ARL
2018-09-14,16.83,17.47,16.3471,16.81,5091,2858.75,0,1.81181E+11,1.08104E+11,73076389085,21.27848101,2.301588932,1059560000,173167000,ARL
2018-09-17,16.92,17.22,16.92,17.22,1454,2866.05,0,1.81181E+11,1.08104E+11,73076389085,21.79746835,2.357725247,1059560000,173167000,ARL
2018-09-18,17.29,17.49,16.99,17.07,3790,2989.3,0,1.87158E+11,1.09457E+11,77700875137,21.60759494,2.337187571,1059560000,173167000,ARL
2018-09-19,17.31,17.73,17.31,17.42,2064,2934.7,0,1.88704E+11,1.10446E+11,78258099244,22.05063291,2.385108815,1059560000,173167000,ARL
2018-09-20,17.72,17.95,17.29,17.95,3365,3057.8,0,1.9969E+11,1.12265E+11,87424189239,22.72151899,2.457675272,1059560000,173167000,ARL
2018-09-21,17.9,17.9,16.1,16.41,15066,3657.65,0,2.0459E+11,1.13842E+11,90747627086,20.7721519,2.246821795,1059560000,173167000,ARL
2018-09-24,16.65,16.65,16.37,16.65,2854,3605.1,0,2.0459E+11,1.13842E+11,90747627086,21.07594937,2.279682077,1059560000,173167000,ARL
2018-09-25,16.56,16.74,15.51,16.74,1461,3603.75,0,2.01277E+11,1.11221E+11,90056087859,21.18987342,2.292004683,1059560000,173167000,ARL
2018-09-26,16.66,16.66,16.03,16.41,876,3532.85,0,2.01845E+11,1.11794E+11,90050276795,20.7721519,2.246821795,1059560000,173167000,ARL
2018-09-27,16.32,16.32,16.32,16.32,1427,3518.65,0,2.11505E+11,1.15613E+11,95891491506,20.65822785,2.234499189,1059560000,173167000,ARL
2018-09-28,16.3,16.92,16.3,16.92,1245,3302.75,0,2.09591E+11,1.13763E+11,95828541867,11.60414238,2.008775929,1128478000,193339000,ARL
2018-10-01,16.94,17.25,16.88,17.24,2865,3186.85,0,2.09591E+11,1.13763E+11,95828541867,11.82360606,2.046766963,1128478000,193339000,ARL
2018-10-02,17.19,17.19,16.69,16.69,2502,3252.5,0,2.05038E+11,1.12542E+11,92496364311,11.44640285,1.981469873,1128478000,193339000,ARL
2018-10-03,16.82,17.48,16.78,17.48,1906,3308.35,0,2.0318E+11,1.11804E+11,91375173810,11.98820383,2.075260239,1128478000,193339000,ARL
2018-10-04,17.1778,17.2428,16.683,16.74,5488,3482.1,0,2.0567E+11,1.13399E+11,92271291174,11.48069405,1.987405972,1128478000,193339000,ARL
2018-10-05,16.94,17.46,16.7,17.46,1752,3360.9,0,2.07463E+11,1.14457E+11,93006604153,11.97448735,2.072885799,1128478000,193339000,ARL
2018-10-08,17.47,17.47,17.05,17.05,1148,3218.4,0,2.07463E+11,1.14457E+11,93006604153,11.6932995,2.024209786,1128478000,193339000,ARL
