time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,78.26,79.19,77.87,78.56,2702209,4340251.65,2.011201629,1.89697E+11,1.11985E+11,77712268006,21.88300836,6.805573363,848000000,3186000000,BBY
2018-09-14,78.61,79.06,77.63,78.39,3041684,4307196.8,2.01556321,1.81112E+11,1.08036E+11,73076389085,21.8356546,6.790846435,848000000,3186000000,BBY
2018-09-17,78.25,78.8985,76.91,77.04,2830451,4357509.6,2.193665628,1.81112E+11,1.08036E+11,73076389085,21.45961003,6.6738973,848000000,3186000000,BBY
2018-09-18,76.53,77.91,76.44,77.7,3301751,4398956.85,2.175032175,1.87093E+11,1.09392E+11,77700875137,21.64345404,6.731072432,848000000,3186000000,BBY
2018-09-19,77.79,78.18,77.12,77.74,2311865,4279737.45,2.173913043,1.8863E+11,1.10372E+11,78258099244,21.6545961,6.734537592,848000000,3186000000,BBY
2018-09-20,77.89,79.7,77.7,79.56,3429212,4247172.15,2.124183007,1.99616E+11,1.12192E+11,87424189239,22.16155989,6.892202351,848000000,3186000000,BBY
2018-09-21,79.8,81.53,79.79,80.64,5208077,4337848.8,2.095734127,2.04518E+11,1.13771E+11,90747627086,22.46239554,6.985761659,848000000,3186000000,BBY
2018-09-24,80.97,81.66,79.28,79.42,3651931,4313206.85,2.127927474,2.04518E+11,1.13771E+11,90747627086,22.12256267,6.880074293,848000000,3186000000,BBY
2018-09-25,79.32,79.99,77.24,77.86,2633420,4180211.25,2.170562548,2.01204E+11,1.11148E+11,90056087859,21.68802228,6.74493307,848000000,3186000000,BBY
2018-09-26,78.41,80.415,78.2,79.63,2497527,3381984.65,2.12231571,2.01772E+11,1.11721E+11,90050276795,22.1810585,6.898266381,848000000,3186000000,BBY
2018-09-27,79.53,79.81,78.07,78.26,2726495,3246501.6,2.159468439,2.1143E+11,1.15539E+11,95891491506,21.7994429,6.779584666,848000000,3186000000,BBY
2018-09-28,77.96,80.14,77.96,79.36,3341622,3252175.05,2.12953629,2.0951E+11,1.13681E+11,95828541867,22.10584958,6.874876554,848000000,3186000000,BBY
2018-10-01,79.57,79.82,78.28,79.01,2130445,3097587.8,2.138969751,2.0951E+11,1.13681E+11,95828541867,22.00835655,6.844556408,848000000,3186000000,BBY
2018-10-02,79,79.07,75.08,75.2,3946531,3112891.7,2.247340426,2.04957E+11,1.1246E+11,92496364311,20.94707521,6.51449996,848000000,3186000000,BBY
2018-10-03,75.39,75.73,74.37,75.01,3263845,3095194.95,2.253032929,2.03099E+11,1.11724E+11,91375173810,20.89415042,6.498040452,848000000,3186000000,BBY
2018-10-04,75.01,75.21,73.005,73.15,3675420,3118026.95,2.310321258,2.05578E+11,1.13307E+11,92271291174,20.37604457,6.336910533,848000000,3186000000,BBY
2018-10-05,72.58,74.6,71.665,72.55,3022622,3117851.2,2.329427981,2.07347E+11,1.14341E+11,93006604153,20.20891365,6.28493314,848000000,3186000000,BBY
2018-10-08,72.19,72.65,70.17,71.38,3795689,3147062.9,2.367609975,2.07347E+11,1.14341E+11,93006604153,19.88300836,6.183577223,848000000,3186000000,BBY
2018-10-09,70.9,72.94,70.77,71.34,4040819,3219956.65,2.368937482,2.05913E+11,1.14076E+11,91837405142,19.8718663,6.180112063,848000000,3186000000,BBY
2018-10-10,71.79,72.28,70.62,70.78,3459776,3250569.55,2.387680136,2.03231E+11,1.12853E+11,90377739133,19.71587744,6.13159983,848000000,3186000000,BBY
2018-10-11,70.75,72.52,70.19,70.75,3611307,3296024.45,2.38869258,1.83485E+11,1.06549E+11,76935661677,19.70752089,6.12900096,848000000,3186000000,BBY
2018-10-12,71.95,72.96,71.26,72.45,3576820,3322781.25,2.332643202,1.94991E+11,1.11598E+11,83392610781,20.1810585,6.276270241,848000000,3186000000,BBY
2018-10-15,72.73,73.77,72.54,72.99,3213878,3341952.6,2.315385669,1.94991E+11,1.11598E+11,83392610781,20.33147632,6.323049895,848000000,3186000000,BBY
2018-10-16,73.23,74.98,72.81,74.81,2301274,3291928.75,2.259056276,1.97345E+11,1.11946E+11,85398685609,20.83844011,6.480714655,848000000,3186000000,BBY
2018-10-17,74.69,75.07,72.55,73.83,2565671,3304619.05,2.289042395,1.97017E+11,1.11543E+11,85474334522,20.56545961,6.395818245,848000000,3186000000,BBY
2018-10-18,73.47,73.85,71.86,72.65,2451006,3255708.75,2.32622161,1.94592E+11,1.10842E+11,83750118144,20.2367688,6.293596039,848000000,3186000000,BBY
2018-10-19,72.88,72.93,70.47,70.79,2934034,3142006.6,2.387342845,1.95925E+11,1.11059E+11,84865714154,19.71866295,6.132466119,848000000,3186000000,BBY
2018-10-22,71.2,72.52,70.6,72.19,2149659,3066893,2.341044466,1.95925E+11,1.11059E+11,84865714154,20.1086351,6.253746704,848000000,3186000000,BBY
2018-10-23,70.91,71.99,69.57,71.67,2839174,3077180.7,2.358029859,1.95772E+11,1.10852E+11,84920056402,19.9637883,6.20869963,848000000,3186000000,BBY
2018-10-24,71.66,72.87,68.77,68.95,3973205,3150964.6,2.451051487,1.95701E+11,1.11183E+11,84518746029,19.20612813,5.97306878,848000000,3186000000,BBY
2018-10-25,69.26,70.45,68.88,69.17,2664983,3147889,2.443255747,1.9505E+11,1.10874E+11,84175774083,19.26740947,5.992127157,848000000,3186000000,BBY
2018-10-26,68.44,69.325,66.08,68.45,3884987,3175057.25,2.468955442,1.89732E+11,1.08716E+11,81016215717,19.06685237,5.929754286,848000000,3186000000,BBY
2018-10-29,68.975,70.03,67,67.98,3286893,3232879.65,2.486025302,1.89732E+11,1.08716E+11,81016215717,18.93593315,5.889038661,848000000,3186000000,BBY
2018-10-30,68.06,70.89,67.68,70.51,3156807,3193393.45,2.396823146,1.90395E+11,1.08779E+11,81616739670,19.64066852,6.108210003,848000000,3186000000,BBY
2018-10-31,71.26,71.71,70.13,70.16,2509369,3155669.65,2.408779932,1.91902E+11,1.09378E+11,82523713021,18.46315789,6.335829677,1326000000,3012000000,BBY
2018-11-01,70.07,73.135,69.2,73.08,2978046,3120800.95,2.312534209,1.93163E+11,1.10045E+11,83118198356,19.23157895,6.599521562,1326000000,3012000000,BBY
2018-11-02,73.89,75.11,70.46,71.89,4078306,3173585.15,2.350813743,2.00777E+11,1.1117E+11,89607134831,18.91842105,6.492058088,1326000000,3012000000,BBY
2018-11-05,71.84,72.06,69.52,71.1,3085222,3138061.8,2.376933896,2.00777E+11,1.1117E+11,89607134831,18.71052632,6.42071679,1326000000,3012000000,BBY
2018-11-06,71.04,71.91,70.09,71.68,2393373,3055689.5,2.357700893,2.07338E+11,1.1195E+11,95388296830,18.86315789,6.473093946,1326000000,3012000000,BBY
2018-11-07,71.94,72.86,70.56,72.81,2308853,2998143.35,2.321109738,2.06574E+11,1.1289E+11,93684559229,19.16052632,6.575139093,1326000000,3012000000,BBY
2018-11-08,72.45,73.59,72.01,73.23,2946907,2964923.35,2.307797351,2.01033E+11,1.11241E+11,89792294563,19.27105263,6.613067378,1326000000,3012000000,BBY
2018-11-09,73.15,73.29,67.71,67.79,6359015,3104033.1,2.492993067,1.98553E+11,1.09764E+11,88789300862,17.83947368,6.121805784,1326000000,3012000000,BBY
2018-11-12,67.6,68.38,66.55,67.15,4201119,3153395.15,2.516753537,1.98553E+11,1.09764E+11,88789300862,17.67105263,6.064010302,1326000000,3012000000,BBY
2018-11-13,64.95,67.7,64.85,67.05,5587941,3317728.5,2.520507084,1.95411E+11,1.08782E+11,86629248365,17.64473684,6.054979758,1326000000,3012000000,BBY
2018-11-14,67.63,69.1,66.09,66.55,4390065,3408948.2,2.539444027,1.74307E+11,97236837675,77069689202,17.51315789,6.009827038,1326000000,3012000000,BBY
2018-11-15,65.93,68.28,64.81,67.78,5487223,3560759.05,2.493360873,1.74145E+11,97056130000,77088823597,17.83684211,6.120902729,1326000000,3012000000,BBY
2018-11-16,67.44,67.56,65.52,66.43,5276110,3677862.85,2.544031311,1.47887E+11,82323313505,65564074967,17.48157895,5.998990385,1326000000,3012000000,BBY
2018-11-19,66.1,67.29,62.18,62.2,7457320,3943245.9,2.717041801,1.47887E+11,82323313505,65564074967,16.36842105,5.616998374,1326000000,3012000000,BBY
2018-11-20,61,65.54,60.07,63.53,11885175,4395545.95,2.660160554,1.34795E+11,75664577024,59130690384,16.71842105,5.737104609,1326000000,3012000000,BBY
2018-11-21,64.42,65,60.84,62.09,9104530,4652112.2,2.721855371,1.31356E+11,74575307150,56780289126,16.33947368,5.607064775,1326000000,3012000000,BBY
