time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,6.26,6.38,6.03,6.21,353279,230591.9,0,1.89762E+11,1.1205E+11,77712268006,-27.17724289,6.433233192,1499108,83522144,CASI
2018-09-14,6.18,6.5,6.01,6.22,283272,234157.65,0,1.81181E+11,1.08104E+11,73076389085,-27.22100656,6.443592665,1499108,83522144,CASI
2018-09-17,6.15,6.23,5.62,5.63,401923,245717.4,0,1.81181E+11,1.08104E+11,73076389085,-24.63894967,5.832383715,1499108,83522144,CASI
2018-09-18,5.62,6,5.62,5.74,295912,247888.5,0,1.87158E+11,1.09457E+11,77700875137,-25.12035011,5.946337926,1499108,83522144,CASI
2018-09-19,5.71,6,5.5652,5.73,383963,254581.2,0,1.88704E+11,1.10446E+11,78258099244,-25.07658643,5.935978452,1499108,83522144,CASI
2018-09-20,5.72,5.83,5.58,5.69,160954,254406.1,0,1.9969E+11,1.12265E+11,87424189239,-24.90153173,5.894540557,1499108,83522144,CASI
2018-09-21,5.67,5.73,5.41,5.7,857955,288023.5,0,2.0459E+11,1.13842E+11,90747627086,-24.9452954,5.904900031,1499108,83522144,CASI
2018-09-24,5.68,5.9169,5.62,5.69,309485,289984.55,0,2.0459E+11,1.13842E+11,90747627086,-24.90153173,5.894540557,1499108,83522144,CASI
2018-09-25,5.71,5.73,5.59,5.63,177471,291383.3,0,2.01277E+11,1.11221E+11,90056087859,-24.63894967,5.832383715,1499108,83522144,CASI
2018-09-26,5.63,5.6887,5.11,5.15,511808,296248.85,0,2.01845E+11,1.11794E+11,90050276795,-22.53829322,5.335128975,1499108,83522144,CASI
2018-09-27,5.15,5.19,4.63,5.16,540213,309308.05,0,2.11505E+11,1.15613E+11,95891491506,-22.58205689,5.345488449,1499108,83522144,CASI
2018-09-28,5.1,5.12,4.66,4.67,239477,314003.75,0,2.09591E+11,1.13763E+11,95828541867,-15.60828877,3.849070289,1499285,113321404,CASI
2018-10-01,4.71,4.8,4.44,4.48,679177,341743,0,2.09591E+11,1.13763E+11,95828541867,-14.97326203,3.692469999,1499285,113321404,CASI
2018-10-02,4.45,4.71,4.35,4.41,362623,350169.6,0,2.05038E+11,1.12542E+11,92496364311,-14.73930481,3.634775155,1499285,113321404,CASI
2018-10-03,4.46,4.495,4.2,4.44,288845,359184.85,0,2.0318E+11,1.11804E+11,91375173810,-14.83957219,3.659501517,1499285,113321404,CASI
2018-10-04,4.39,4.46,4.1,4.11,262004,363540.85,0,2.0567E+11,1.13399E+11,92271291174,-13.73663102,3.387511539,1499285,113321404,CASI
2018-10-05,4.08,4.18,3.7084,3.83,475009,365830.85,0,2.07463E+11,1.14457E+11,93006604153,-12.80080214,3.156732164,1499285,113321404,CASI
2018-10-08,3.84,3.89,3.56,3.78,286745,373154.35,0,2.07463E+11,1.14457E+11,93006604153,-12.63368984,3.115521561,1499285,113321404,CASI
2018-10-09,3.75,3.92,3.66,3.8,257426,373899.55,0,2.06022E+11,1.14185E+11,91837405142,-12.70053476,3.132005802,1499285,113321404,CASI
2018-10-10,3.77,3.77,3.57,3.58,186310,365692.55,0,2.03336E+11,1.12958E+11,90377739133,-11.96524064,2.950679151,1499285,113321404,CASI
2018-10-11,3.54,3.67,3.4,3.4,309363,363496.75,0,1.83571E+11,1.06635E+11,76935661677,-11.36363636,2.802320981,1499285,113321404,CASI
2018-10-12,3.5,3.57,3.41,3.51,253917,362029,0,1.95088E+11,1.11695E+11,83392610781,-11.73128342,2.892984307,1499285,113321404,CASI
2018-10-15,3.5,3.5143,3.21,3.27,198519,351858.8,0,1.95088E+11,1.11695E+11,83392610781,-10.92914439,2.695173414,1499285,113321404,CASI
2018-10-16,3.29,3.43,3.26,3.41,204629,347294.65,0,1.97449E+11,1.1205E+11,85398685609,-11.39705882,2.810563102,1499285,113321404,CASI
2018-10-17,3.36,3.55,3.3,3.41,138612,335027.1,0,1.97121E+11,1.11647E+11,85474334522,-11.39705882,2.810563102,1499285,113321404,CASI
2018-10-18,3.41,3.53,3.27,3.28,216024,337780.6,0,1.94665E+11,1.10914E+11,83750118144,-10.96256684,2.703415535,1499285,113321404,CASI
2018-10-19,3.28,3.37,3.05,3.06,211060,305435.85,0,1.95999E+11,1.11134E+11,84865714154,-10.22727273,2.522088883,1499285,113321404,CASI
2018-10-22,3.03,3.038,2.745,2.91,336591,306791.15,0,1.95999E+11,1.11134E+11,84865714154,-9.725935829,2.398457075,1499285,113321404,CASI
2018-10-23,2.89,4.2,2.83,3.52,2384057,417120.45,0,1.9584E+11,1.1092E+11,84920056402,-11.76470588,2.901226428,1499285,113321404,CASI
2018-10-24,3.53,3.58,2.95,2.97,677573,425408.7,0,1.95776E+11,1.11257E+11,84518746029,-9.926470588,2.447909798,1499285,113321404,CASI
