time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,55.4,56.72,55.35,56.21,3297320,3171714.5,1.28091087,1.89697E+11,1.11985E+11,77712268006,14.17940568,9.779036571,9850000000,2167000000,CBS
2018-09-14,56.21,56.53,55.41,55.85,3179576,3259086.9,1.289167413,1.81112E+11,1.08036E+11,73076389085,14.08859291,9.7164062,9850000000,2167000000,CBS
2018-09-17,55.9,56.59,55.39,56.28,3617101,3363647.8,1.279317697,1.81112E+11,1.08036E+11,73076389085,14.19706372,9.791214699,9850000000,2167000000,CBS
2018-09-18,56.19,56.33,55.39,55.67,2459534,3432886.1,1.293335728,1.87093E+11,1.09392E+11,77700875137,14.04318652,9.685091014,9850000000,2167000000,CBS
2018-09-19,55.77,56.38,55.47,55.97,5072076,3584563.15,1.28640343,1.8863E+11,1.10372E+11,78258099244,14.11886383,9.73728299,9850000000,2167000000,CBS
2018-09-20,56.01,56.865,55.94,56.7,2436188,3636909.9,1.26984127,1.99616E+11,1.12192E+11,87424189239,14.30301196,9.864283465,9850000000,2167000000,CBS
2018-09-21,56.49,56.94,56.29,56.74,6121104,3856511.65,1.26894607,2.04518E+11,1.13771E+11,90747627086,14.31310227,9.871242395,9850000000,2167000000,CBS
2018-09-24,56.74,57.04,56.13,56.58,3679314,3983001.05,1.272534464,2.04518E+11,1.13771E+11,90747627086,14.27274103,9.843406675,9850000000,2167000000,CBS
2018-09-25,56.7,56.8,56.37,56.55,3346514,4043378,1.273209549,2.01204E+11,1.11148E+11,90056087859,14.2651733,9.838187477,9850000000,2167000000,CBS
2018-09-26,56.77,57.19,56.23,56.5,4972134,4229592.7,1.274336283,2.01772E+11,1.11721E+11,90050276795,14.25256042,9.829488814,9850000000,2167000000,CBS
2018-09-27,56.44,56.74,55.9,56.55,2364489,4264546.65,1.273209549,2.1143E+11,1.15539E+11,95891491506,14.2651733,9.838187477,9850000000,2167000000,CBS
2018-09-28,56.41,57.58,56.105,57.45,2744527,4309782.85,1.253263708,2.0951E+11,1.13681E+11,95828541867,15.14153181,8.56951074,9853000000,2514000000,CBS
2018-10-01,57.51,57.53,55.47,55.76,3609529,4404855.35,1.291248207,2.0951E+11,1.13681E+11,95828541867,14.69611512,8.317422434,9853000000,2514000000,CBS
2018-10-02,55.81,56.61,55.75,56.51,3806543,4495965.15,1.274110777,2.04957E+11,1.1246E+11,92496364311,14.89378525,8.429295943,9853000000,2514000000,CBS
2018-10-03,56.64,56.64,55.651,55.91,4171394,4509230.3,1.287783938,2.03099E+11,1.11724E+11,91375173810,14.73564915,8.339797136,9853000000,2514000000,CBS
2018-10-04,55.77,56.3393,55.54,56.02,3498453,4234011.3,1.285255266,2.05578E+11,1.13307E+11,92271291174,14.76464077,8.356205251,9853000000,2514000000,CBS
2018-10-05,56.28,56.545,55.19,55.32,2042648,3998546.35,1.301518438,2.07347E+11,1.14341E+11,93006604153,14.58014865,8.251789976,9853000000,2514000000,CBS
2018-10-08,55.08,57.49,54.67,57.05,6315873,3752350.3,1.262050833,2.07347E+11,1.14341E+11,93006604153,15.03610774,8.509844869,9853000000,2514000000,CBS
2018-10-09,57,58.5308,56.67,57.38,4638136,3771881.55,1.254792611,2.05913E+11,1.14076E+11,91837405142,15.1230826,8.559069212,9853000000,2514000000,CBS
2018-10-10,57.44,57.44,55.44,55.53,3121569,3724701.1,1.296596434,2.03231E+11,1.12853E+11,90377739133,14.63549628,8.283114558,9853000000,2514000000,CBS
2018-10-11,55.55,55.66,53.69,53.82,3846209,3752145.55,1.337792642,1.83485E+11,1.06549E+11,76935661677,14.18480839,8.028042959,9853000000,2514000000,CBS
2018-10-12,54.38,54.78,53.67,54.32,2642032,3725268.35,1.325478645,1.94991E+11,1.11598E+11,83392610781,14.31658848,8.102625298,9853000000,2514000000,CBS
2018-10-15,53.94,54.93,53.94,54.36,1717722,3630299.4,1.324503311,1.94991E+11,1.11598E+11,83392610781,14.32713088,8.108591885,9853000000,2514000000,CBS
2018-10-16,54.62,55.29,54.17,55.05,5031555,3758900.45,1.307901907,1.97345E+11,1.11946E+11,85398685609,14.5089874,8.211515513,9853000000,2514000000,CBS
2018-10-17,55.12,56.16,54.97,55.86,2680823,3639337.8,1.288936627,1.97017E+11,1.11543E+11,85474334522,14.72247114,8.332338902,9853000000,2514000000,CBS
2018-10-18,55.87,56.94,55.86,56.17,2763312,3655694,1.281823037,1.94592E+11,1.10842E+11,83750118144,14.80417479,8.378579952,9853000000,2514000000,CBS
2018-10-19,56.45,57.41,56.195,57.2,2503720,3474824.8,1.258741259,1.95925E+11,1.11059E+11,84865714154,15.07564177,8.53221957,9853000000,2514000000,CBS
2018-10-22,57.04,57.38,56.09,56.8,2144989,3398108.55,1.267605634,1.95925E+11,1.11059E+11,84865714154,14.9702177,8.472553699,9853000000,2514000000,CBS
2018-10-23,56.02,56.57,55.38,56.26,1708477,3316206.7,1.279772485,1.95772E+11,1.10852E+11,84920056402,14.82789521,8.392004773,9853000000,2514000000,CBS
2018-10-24,56.12,56.37,53.16,53.28,6433468,3389273.4,1.351351351,1.95701E+11,1.11183E+11,84518746029,14.0424859,7.947494033,9853000000,2514000000,CBS
2018-10-25,53.86,55.07,53.28,54.68,3905151,3466306.5,1.316752012,1.9505E+11,1.10874E+11,84175774083,14.41147014,8.156324582,9853000000,2514000000,CBS
2018-10-26,53.91,54.75,53.31,53.83,3053712,3481765.75,1.33754412,1.89732E+11,1.08716E+11,81016215717,14.18744399,8.029534606,9853000000,2514000000,CBS
2018-10-29,54.37,55.25,53.34,54.13,2760901,3439334.35,1.330131166,1.89732E+11,1.08716E+11,81016215717,14.26651204,8.07428401,9853000000,2514000000,CBS
2018-10-30,54.35,56.27,54.06,56.24,2670920,3382553.2,1.280227596,1.90395E+11,1.08779E+11,81616739670,14.82262401,8.38902148,9853000000,2514000000,CBS
2018-10-31,56.66,57.94,56.4,57.35,2610489,3304507.95,1.255448997,1.91902E+11,1.09378E+11,82523713021,15.11517579,8.554594272,9853000000,2514000000,CBS
2018-11-01,57.52,59.16,57.417,58.49,4528578,3356014.2,1.230979655,1.93163E+11,1.10045E+11,83118198356,15.41563439,8.724642005,9853000000,2514000000,CBS
2018-11-02,57.36,59.56,55.75,56.17,4739647,3490864.15,1.281823037,2.00777E+11,1.1117E+11,89607134831,14.80417479,8.378579952,9853000000,2514000000,CBS
2018-11-05,56.49,57.71,56.16,57.3,2643964,3307268.7,1.256544503,2.00777E+11,1.1117E+11,89607134831,15.10199779,8.547136038,9853000000,2514000000,CBS
2018-11-06,57.18,58.02,56.7,57.79,1604435,3155583.65,1.245890292,2.07338E+11,1.1195E+11,95388296830,15.23114227,8.62022673,9853000000,2514000000,CBS
2018-11-07,58.08,58.08,56.5,57.81,1947259,3096868.15,1.245459263,2.06574E+11,1.1289E+11,93684559229,15.23641347,8.623210024,9853000000,2514000000,CBS
2018-11-08,57.81,58.4832,57.46,57.92,1570234,2983069.4,1.243093923,2.01033E+11,1.11241E+11,89792294563,15.26540509,8.639618138,9853000000,2514000000,CBS
2018-11-09,57.95,58.38,57.14,57.55,1836216,2942778.6,1.251086012,1.98553E+11,1.09764E+11,88789300862,15.16788783,8.584427208,9853000000,2514000000,CBS
2018-11-12,57.62,57.95,57.11,57.13,1798674,2946826.2,1.260283564,1.98553E+11,1.09764E+11,88789300862,15.05719256,8.521778043,9853000000,2514000000,CBS
2018-11-13,57.07,57.7675,56.86,56.97,1211297,2755813.3,1.263823065,1.95411E+11,1.08782E+11,86629248365,15.01502293,8.497911695,9853000000,2514000000,CBS
2018-11-14,57.32,57.62,56.61,56.96,1723808,2707962.55,1.264044944,1.74307E+11,97236837675,77069689202,15.01238733,8.496420048,9853000000,2514000000,CBS
2018-11-15,56.64,57.31,55.69,57.3,1230694,2631331.65,1.256544503,1.74145E+11,97056130000,77088823597,15.10199779,8.547136038,9853000000,2514000000,CBS
2018-11-16,57.12,57.8,56.52,57.49,1411109,2576701.1,1.25239172,1.47887E+11,82323313505,65564074967,15.15207422,8.575477327,9853000000,2514000000,CBS
2018-11-19,57.32,57.565,54.87,54.97,5419377,2740420.5,1.309805348,1.47887E+11,82323313505,65564074967,14.48790259,8.199582339,9853000000,2514000000,CBS
2018-11-20,54.09,54.46,52.16,52.88,4395222,2874757.75,1.361573374,1.34795E+11,75664577024,59130690384,13.93706183,7.887828162,9853000000,2514000000,CBS
2018-11-21,53.39,54.23,53.2,53.73,3039709,2705069.8,1.340033501,1.31356E+11,74575307150,56780289126,14.16108798,8.014618138,9853000000,2514000000,CBS
2018-11-23,53.45,54.45,53.32,53.92,943400,2556982.25,1.335311573,1.14494E+11,64838149047,49655505953,14.21116441,8.042959427,9853000000,2514000000,CBS
2018-11-26,54.46,54.48,53.52,53.72,1551133,2481853.3,1.340282949,1.14494E+11,64838149047,49655505953,14.15845237,8.013126492,9853000000,2514000000,CBS
2018-11-27,53.66,54.13,53.54,54.12,2333008,2460458.65,1.33037694,1.15773E+11,65604166695,50168761169,14.26387644,8.072792363,9853000000,2514000000,CBS
2018-11-28,54.5,55.37,54.3521,55.14,1964318,2425128.55,1.305767138,1.29014E+11,73424031744,55590203504,14.53270782,8.224940334,9853000000,2514000000,CBS
2018-11-29,54.65,55.75,54.5,55.35,1926549,2390931.55,1.300813008,1.2831E+11,73945563795,54363970330,14.58805545,8.256264916,9853000000,2514000000,CBS
2018-11-30,55.49,55.49,53.81,54.18,3397119,2334358.6,1.328903654,1.15698E+11,66738363307,48959810501,14.27969005,8.081742243,9853000000,2514000000,CBS
2018-12-03,54.48,54.84,52.52,53.51,3357910,2265271.75,1.345542889,1.15698E+11,66738363307,48959810501,14.10310474,7.981801909,9853000000,2514000000,CBS
2018-12-04,53.61,53.91,51.26,51.35,3842287,2325187.9,1.402142162,1.10407E+11,64354888815,46052123021,13.53381477,7.659606205,9853000000,2514000000,CBS
2018-12-06,51.02,51.35,50.27,51.31,3657781,2427855.2,1.403235237,1.00927E+11,59844243367,41082591931,13.52327236,7.653639618,9853000000,2514000000,CBS
2018-12-07,51.05,51.57,50.5547,51.1,2836095,2472297,1.409001957,1.00231E+11,59355813696,40874963612,13.46792473,7.622315036,9853000000,2514000000,CBS
2018-12-10,50.92,51.114,49.37,49.76,3784825,2583026.55,1.446945338,1.00231E+11,59355813696,40874963612,13.1147541,7.422434368,9853000000,2514000000,CBS
2018-12-11,50.01,50.68,48.23,48.24,3967758,2689603.65,1.492537313,98533379029,58410496650,40122882380,12.71414264,7.195704057,9853000000,2514000000,CBS
2018-12-12,48.54,49.4,48.54,48.66,5318019,2865570.9,1.479654747,1.00863E+11,59752661954,41110666577,12.82483791,7.258353222,9853000000,2514000000,CBS
2018-12-13,49.05,49.37,47.47,47.91,4603604,3035186.25,1.502817783,96290489768,56840916581,39449573187,12.62716778,7.146479714,9853000000,2514000000,CBS
2018-12-14,47.68,48.48,47.45,48.05,3553902,3126690.95,1.498439126,1.04424E+11,60942409132,43481223044,12.66406621,7.167362768,9853000000,2514000000,CBS
2018-12-17,47.92,47.99,46.57,46.82,4309063,3280609.4,1.537804357,1.04424E+11,60942409132,43481223044,12.3398872,6.983890215,9853000000,2514000000,CBS
2018-12-18,47.4,47.5,45.83,46.2,5371779,3478642.9,1.558441558,1.10627E+11,63918551127,46708352610,12.17647989,6.891408115,9853000000,2514000000,CBS
2018-12-19,46.19,47,45.1634,45.37,4693868,3442367.45,1.58695173,1.10789E+11,64227787652,46561003400,11.95772495,6.767601432,9853000000,2514000000,CBS
2018-12-20,45.05,45.33,43.43,44.14,3356511,3390431.9,1.631173539,1.23776E+11,71020476672,52755419351,11.63354594,6.584128878,9853000000,2514000000,CBS
2018-12-21,44.49,45.41,43.1,43.36,5068411,3491867,1.660516605,1.27936E+11,70394547832,57541503800,11.42796901,6.46778043,9853000000,2514000000,CBS
2018-12-24,42.64,43.42,42,42.02,1921300,3540762,1.713469776,1.20255E+11,66467815206,53787506503,11.07479838,6.267899761,9853000000,2514000000,CBS
