time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,1.12,1.16,1.12,1.14,57549,226737.25,0,1.89762E+11,1.1205E+11,77712268006,-1.117647059,1.463301928,29721000,49169000,CFMS
2018-09-14,1.13,1.16,1.11,1.11,182845,226424.15,0,1.81181E+11,1.08104E+11,73076389085,-1.088235294,1.424793982,29721000,49169000,CFMS
2018-09-17,1.17,1.28,1.13,1.28,588043,248234.85,0,1.81181E+11,1.08104E+11,73076389085,-1.254901961,1.643005674,29721000,49169000,CFMS
2018-09-18,1.3,1.3,1.18,1.22,360328,259804.15,0,1.87158E+11,1.09457E+11,77700875137,-1.196078431,1.565989783,29721000,49169000,CFMS
2018-09-19,1.21,1.25,1.12,1.21,171841,261023.45,0,1.88704E+11,1.10446E+11,78258099244,-1.18627451,1.553153801,29721000,49169000,CFMS
2018-09-20,1.22,1.27,1.2,1.24,286916,260486.4,0,1.9969E+11,1.12265E+11,87424189239,-1.215686275,1.591661746,29721000,49169000,CFMS
2018-09-21,1.23,1.24,1.18,1.18,340807,269615.95,0,2.0459E+11,1.13842E+11,90747627086,-1.156862745,1.514645855,29721000,49169000,CFMS
2018-09-24,1.19,1.22,1.15,1.21,161019,264681.15,0,2.0459E+11,1.13842E+11,90747627086,-1.18627451,1.553153801,29721000,49169000,CFMS
2018-09-25,1.2,1.23,1.15,1.15,195595,264738.2,0,2.01277E+11,1.11221E+11,90056087859,-1.12745098,1.47613791,29721000,49169000,CFMS
2018-09-26,1.15,1.18,1.1,1.11,265172,250862.15,0,2.01845E+11,1.11794E+11,90050276795,-1.088235294,1.424793982,29721000,49169000,CFMS
2018-09-27,1.12,1.1399,1.07,1.09,214709,236469.55,0,2.11505E+11,1.15613E+11,95891491506,-1.068627451,1.399122019,29721000,49169000,CFMS
2018-09-28,1.09,1.11,1.05,1.06,200899,229288.15,0,2.09591E+11,1.13763E+11,95828541867,-1.241944933,1.552317493,29749000,43455000,CFMS
2018-10-01,1.09,1.09,0.99,1,444083,235726.4,0,2.09591E+11,1.13763E+11,95828541867,-1.171646163,1.464450465,29749000,43455000,CFMS
2018-10-02,0.9941,1.07,0.97,0.9797,197035,232409.6,0,2.05038E+11,1.12542E+11,92496364311,-1.147861746,1.434722121,29749000,43455000,CFMS
2018-10-03,1.02,1.0451,0.9688,0.97,191103,236476,0,2.0318E+11,1.11804E+11,91375173810,-1.136496778,1.420516951,29749000,43455000,CFMS
2018-10-04,0.9772,1.02,0.94,0.95,230030,233579.3,0,2.0567E+11,1.13399E+11,92271291174,-1.113063855,1.391227942,29749000,43455000,CFMS
2018-10-05,1,1,0.9152,0.94,292657,238934.95,0,2.07463E+11,1.14457E+11,93006604153,-1.101347393,1.376583437,29749000,43455000,CFMS
2018-10-08,0.94,0.9447,0.93,0.93,44314,235749.7,0,2.07463E+11,1.14457E+11,93006604153,-1.089630931,1.361938932,29749000,43455000,CFMS
2018-10-09,0.9158,0.9658,0.89,0.9139,290733,243152.35,0,2.06022E+11,1.14185E+11,91837405142,-1.070767428,1.33836128,29749000,43455000,CFMS
2018-10-10,0.9,0.9479,0.89,0.9,155403,243554.05,0,2.03336E+11,1.12958E+11,90377739133,-1.054481547,1.318005418,29749000,43455000,CFMS
2018-10-11,0.9006,0.941,0.89,0.9,189238,250138.5,0,1.83571E+11,1.06635E+11,76935661677,-1.054481547,1.318005418,29749000,43455000,CFMS
2018-10-12,0.9193,0.949,0.9,0.92,98292,245910.85,0,1.95088E+11,1.11695E+11,83392610781,-1.07791447,1.347294428,29749000,43455000,CFMS
2018-10-15,0.935,0.9597,0.91,0.9325,190247,226021.05,0,1.95088E+11,1.11695E+11,83392610781,-1.092560047,1.365600059,29749000,43455000,CFMS
2018-10-16,0.94,1.05,0.9334,0.95,240754,220042.35,0,1.97449E+11,1.1205E+11,85398685609,-1.113063855,1.391227942,29749000,43455000,CFMS
2018-10-17,0.9608,0.9961,0.925,0.9501,232106,223055.6,0,1.97121E+11,1.11647E+11,85474334522,-1.113181019,1.391374387,29749000,43455000,CFMS
2018-10-18,0.94,0.996,0.92,0.95,163900,216904.8,0,1.94665E+11,1.10914E+11,83750118144,-1.113063855,1.391227942,29749000,43455000,CFMS
2018-10-19,0.9682,0.991,0.92,0.935,116484,205688.65,0,1.95999E+11,1.11134E+11,84865714154,-1.095489162,1.369261185,29749000,43455000,CFMS
2018-10-22,0.935,0.97,0.9101,0.9101,296892,212482.3,0,1.95999E+11,1.11134E+11,84865714154,-1.066315173,1.332796368,29749000,43455000,CFMS
2018-10-23,0.91,0.9585,0.9,0.92,172551,211330.1,0,1.9584E+11,1.1092E+11,84920056402,-1.07791447,1.347294428,29749000,43455000,CFMS
2018-10-24,0.9038,0.9481,0.9011,0.93,155975,205870.25,0,1.95776E+11,1.11257E+11,84518746029,-1.089630931,1.361938932,29749000,43455000,CFMS
