time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,22.04,22.19,21.8099,22.07,3377740,4911616.05,1.04213865,1.89762E+11,1.1205E+11,77712268006,78.82142857,4.519947571,1522572000,2154174000,COG
2018-09-14,22,22.125,21.79,21.92,2679641,4787137.9,1.049270073,1.81181E+11,1.08104E+11,73076389085,78.28571429,4.489227492,1522572000,2154174000,COG
2018-09-17,21.97,21.98,21.485,21.57,5032065,4780524.05,1.066295781,1.81181E+11,1.08104E+11,73076389085,77.03571429,4.417547309,1522572000,2154174000,COG
2018-09-18,21.72,21.86,21.51,21.71,6064921,4789697.7,1.059419622,1.87158E+11,1.09457E+11,77700875137,77.53571429,4.446219382,1522572000,2154174000,COG
2018-09-19,21.7,22.355,21.69,22.26,4506585,4717113.95,1.033243486,1.88704E+11,1.10446E+11,78258099244,79.5,4.558859671,1522572000,2154174000,COG
2018-09-20,22.37,23.02,22.33,22.9,7179528,4883707.5,1.004366812,1.9969E+11,1.12265E+11,87424189239,81.78571429,4.689932006,1522572000,2154174000,COG
2018-09-21,22.98,23.32,22.64,23.21,11794839,5319173.5,0.990952176,2.0459E+11,1.13842E+11,90747627086,82.89285714,4.753420169,1522572000,2154174000,COG
2018-09-24,23.5,23.57,22.87,23.2,7007682,5533841.95,0.99137931,2.0459E+11,1.13842E+11,90747627086,82.85714286,4.751372164,1522572000,2154174000,COG
2018-09-25,23.22,23.32,22.88,23.24,7859129,5621403.9,0.989672978,2.01277E+11,1.11221E+11,90056087859,83,4.759564184,1522572000,2154174000,COG
2018-09-26,22.88,22.98,22.41,22.46,11983721,5967075.35,1.024042743,2.01845E+11,1.11794E+11,90050276795,80.21428571,4.599819776,1522572000,2154174000,COG
2018-09-27,22.59,23.17,22.46,22.97,9207527,6167620.85,1.001306051,2.11505E+11,1.15613E+11,95891491506,82.03571429,4.704268043,1522572000,2154174000,COG
2018-09-28,22.82,23.19,22.5,22.52,9398900,6415930.65,1.021314387,2.09591E+11,1.13763E+11,95828541867,43.30769231,4.667231764,1285848000,2094147000,COG
2018-10-01,22.65,22.65,22.15,22.3,4971274,6443912.9,1.031390135,2.09591E+11,1.13763E+11,95828541867,42.88461538,4.621637137,1285848000,2094147000,COG
2018-10-02,22.28,23.06,22.28,22.85,5860517,6476897.3,1.006564551,2.05038E+11,1.12542E+11,92496364311,43.94230769,4.735623703,1285848000,2094147000,COG
2018-10-03,22.94,23.36,22.63,23.09,5370961,6450321.2,0.996102209,2.0318E+11,1.11804E+11,91375173810,44.40384615,4.785363296,1285848000,2094147000,COG
