time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,35.88,36.15,34.19,34.27,520257,446809.35,1.167201634,1.89697E+11,1.11985E+11,77712268006,46.60682715,2.872272305,363300000,547900000,CORE
2018-09-14,34.41,34.88,33.26,33.66,509317,449227.3,1.18835413,1.81112E+11,1.08036E+11,73076389085,45.77723378,2.821146361,363300000,547900000,CORE
2018-09-17,33.5,33.63,32.745,33.27,629571,465494.5,1.20228434,1.81112E+11,1.08036E+11,73076389085,45.24683803,2.788459282,363300000,547900000,CORE
2018-09-18,33.17,34.34,33.17,34.15,501207,469724.8,1.171303075,1.87093E+11,1.09392E+11,77700875137,46.44362845,2.862214742,363300000,547900000,CORE
2018-09-19,34,34.48,33.2,33.51,359709,469392.5,1.19367353,1.8863E+11,1.10372E+11,78258099244,45.57323541,2.808574408,363300000,547900000,CORE
2018-09-20,33.59,33.87,33.39,33.83,330702,462281.45,1.182382501,1.99616E+11,1.12192E+11,87424189239,46.00843193,2.835394575,363300000,547900000,CORE
2018-09-21,34,34.27,33.47,34.1,836314,472005.65,1.173020528,2.04518E+11,1.13771E+11,90747627086,46.37562899,2.858024091,363300000,547900000,CORE
2018-09-24,34.16,34.42,33.26,33.29,251090,452623.35,1.201562031,2.04518E+11,1.13771E+11,90747627086,45.27403781,2.790135542,363300000,547900000,CORE
2018-09-25,33.38,34.72,32.0401,33.53,236041,446045.95,1.192961527,2.01204E+11,1.11148E+11,90056087859,45.6004352,2.810250668,363300000,547900000,CORE
2018-09-26,33.82,33.92,33.25,33.57,258758,428652.4,1.191540066,2.01772E+11,1.11721E+11,90050276795,45.65483476,2.813603189,363300000,547900000,CORE
2018-09-27,33.64,34.37,33.03,33.83,278515,418156.9,1.182382501,2.1143E+11,1.15539E+11,95891491506,46.00843193,2.835394575,363300000,547900000,CORE
2018-09-28,33.81,34.27,33.81,33.96,218216,409755.05,1.177856302,2.0951E+11,1.13681E+11,95828541867,35.63483736,2.754360666,375500000,564800000,CORE
