time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,242.5,243.99,241.05,241.27,2078161,1891794.2,0.990591454,1.89697E+11,1.11985E+11,77712268006,33.98169014,8.260164895,6974000000,13103000000,COST
2018-09-14,239,239,234.47,235.38,3875326,2002669.15,1.015379387,1.81112E+11,1.08036E+11,73076389085,33.15211268,8.058513752,6974000000,13103000000,COST
2018-09-17,234.06,234.585,231.51,232,2884630,2047854,1.030172414,1.81112E+11,1.08036E+11,73076389085,32.67605634,7.942795439,6974000000,13103000000,COST
2018-09-18,231.98,235.47,231.7,234.35,2000248,2058683.25,1.019842116,1.87093E+11,1.09392E+11,77700875137,33.00704225,8.023250479,6974000000,13103000000,COST
2018-09-19,234.62,234.74,232.4217,233.85,1581403,2034419.85,1.022022664,1.8863E+11,1.10372E+11,78258099244,32.93661972,8.006132386,6974000000,13103000000,COST
2018-09-20,234.6,234.996,232.32,233.92,1910100,2066520.85,1.021716826,1.99616E+11,1.12192E+11,87424189239,32.94647887,8.008528919,6974000000,13103000000,COST
2018-09-21,234.37,235.84,234.01,234.76,3718002,2185512.75,1.018060998,2.04518E+11,1.13771E+11,90747627086,33.06478873,8.037287316,6974000000,13103000000,COST
2018-09-24,234.19,234.85,232.9,233.34,1530454,2189370.95,1.02425645,2.04518E+11,1.13771E+11,90747627086,32.86478873,7.98867193,6974000000,13103000000,COST
2018-09-25,234.03,234.66,232.73,232.93,1889791,2188656.95,1.026059331,2.01204E+11,1.11148E+11,90056087859,32.80704225,7.974635094,6974000000,13103000000,COST
2018-09-26,233.57,235.66,233.45,233.81,2008481,2194973.85,1.022197511,2.01772E+11,1.11721E+11,90050276795,32.93098592,8.004762938,6974000000,13103000000,COST
2018-09-27,233.7,235.67,232.34,234,1421368,2176352.65,1.021367521,2.1143E+11,1.15539E+11,95891491506,32.95774648,8.011267814,6974000000,13103000000,COST
2018-09-28,233.86,235.47,233.79,234.88,1602808,2192892.55,1.017540872,2.0951E+11,1.13681E+11,95828541867,33.08169014,8.041395659,6974000000,13103000000,COST
2018-10-01,235.81,236.53,234.43,234.65,1673068,2182478.65,1.018538248,2.0951E+11,1.13681E+11,95828541867,33.04929577,8.033521336,6974000000,13103000000,COST
2018-10-02,234.1,237.57,233.87,236.35,1647638,2171940.75,1.011212185,2.04957E+11,1.1246E+11,92496364311,33.28873239,8.091722854,6974000000,13103000000,COST
2018-10-03,236.62,237.31,232.73,233.2,2322277,2181753.25,1.024871355,2.03099E+11,1.11724E+11,91375173810,32.84507042,7.983878864,6974000000,13103000000,COST
2018-10-04,233.26,234,230.66,231.68,2862779,2232230.05,1.031595304,2.05578E+11,1.13307E+11,92271291174,32.63098592,7.93183986,6974000000,13103000000,COST
2018-10-05,225,227.06,217.79,218.82,7379026,2465040.2,1.092221918,2.07347E+11,1.14341E+11,93006604153,30.81971831,7.491562492,6974000000,13103000000,COST
2018-10-08,219.34,224.4999,219.2569,223.93,3863457,2517339.5,1.067297816,2.07347E+11,1.14341E+11,93006604153,31.53943662,7.666509408,6974000000,13103000000,COST
2018-10-09,224.15,225.15,222.56,224.17,2502767,2533195,1.06615515,2.05913E+11,1.14076E+11,91837405142,31.57323944,7.674726093,6974000000,13103000000,COST
2018-10-10,224.1,225,221.04,221.05,3021443,2588661.35,1.081203348,2.03231E+11,1.12853E+11,90377739133,31.13380282,7.567909189,6974000000,13103000000,COST
2018-10-11,222.91,225.32,220.93,221.82,3650928,2667299.7,1.077450185,1.83485E+11,1.06549E+11,76935661677,31.24225352,7.594271053,6974000000,13103000000,COST
2018-10-12,225.2,227.62,223.39,226.95,3130467,2630056.75,1.053095395,1.94991E+11,1.11598E+11,83392610781,31.96478873,7.769902694,6974000000,13103000000,COST
2018-10-15,226.25,226.94,224.25,224.51,2441901,2607920.3,1.064540555,1.94991E+11,1.11598E+11,83392610781,31.62112676,7.686366397,6974000000,13103000000,COST
2018-10-16,224.87,228.26,224.316,227.68,2541811,2634998.45,1.049718904,1.97345E+11,1.11946E+11,85398685609,32.06760563,7.794895111,6974000000,13103000000,COST
2018-10-17,228.45,228.88,225.51,228.49,2129262,2662391.4,1.045997637,1.97017E+11,1.11543E+11,85474334522,32.18169014,7.822626422,6974000000,13103000000,COST
2018-10-18,228.54,230.65,226.25,228.58,2624596,2698116.2,1.045585791,1.94592E+11,1.10842E+11,83750118144,32.1943662,7.825707679,6974000000,13103000000,COST
2018-10-19,228.9,230.63,228.72,229.67,2099838,2617208,1.040623503,1.95925E+11,1.11059E+11,84865714154,32.34788732,7.863025123,6974000000,13103000000,COST
2018-10-22,229.88,230.25,227.27,229.06,2007324,2641051.5,1.043394744,1.95925E+11,1.11059E+11,84865714154,32.26197183,7.842141049,6974000000,13103000000,COST
2018-10-23,227.07,229.26,223.82,228.75,2656674,2679395.65,1.044808743,1.95772E+11,1.10852E+11,84920056402,32.21830986,7.831527831,6974000000,13103000000,COST
2018-10-24,225.93,231.09,223.09,223.76,3100203,2733981.75,1.068108688,1.95701E+11,1.11183E+11,84518746029,31.51549296,7.660689257,6974000000,13103000000,COST
2018-10-25,224.06,227.59,222.84,226.4,2218870,2773856.85,1.05565371,1.9505E+11,1.10874E+11,84175774083,31.88732394,7.751072791,6974000000,13103000000,COST
2018-10-26,222.31,225,217,218.19,3995362,2893484.55,1.09537559,1.89732E+11,1.08716E+11,81016215717,30.73098592,7.469993694,6974000000,13103000000,COST
2018-10-29,219.75,224.89,218.75,222.42,3801401,2999901.2,1.074543656,1.89732E+11,1.08716E+11,81016215717,31.32676056,7.614812766,6974000000,13103000000,COST
2018-10-30,223.1,228.21,223.0104,227.92,2410593,3038048.95,1.048613549,1.90395E+11,1.08779E+11,81616739670,32.10140845,7.803111796,6974000000,13103000000,COST
2018-10-31,228.65,230.56,225.56,228.63,2674561,3055663.15,1.045357127,1.91902E+11,1.09378E+11,82523713021,32.20140845,7.827419488,6974000000,13103000000,COST
2018-11-01,228.18,230.8,227.54,229.6,2095039,3017276.15,1.040940767,1.93163E+11,1.10045E+11,83118198356,32.33802817,7.86062859,6974000000,13103000000,COST
2018-11-02,229.81,232.23,227.1787,230.16,2167412,2756695.45,1.038408064,2.00777E+11,1.1117E+11,89607134831,32.41690141,7.879800855,6974000000,13103000000,COST
2018-11-05,230.71,234.89,229.8,234.45,2513883,2689216.75,1.019407123,2.00777E+11,1.1117E+11,89607134831,33.02112676,8.026674098,6974000000,13103000000,COST
2018-11-06,235,237.49,234.1757,236.71,2101471,2669151.95,1.009674285,2.07338E+11,1.1195E+11,95388296830,33.33943662,8.104047881,6974000000,13103000000,COST
2018-11-07,238.75,240.88,236.935,240.37,2603891,2648274.35,0.994300453,2.06574E+11,1.1289E+11,93684559229,33.85492958,8.229352327,6974000000,13103000000,COST
2018-11-08,238.51,239.8,237.03,238.7,2140624,2572759.15,0.978215333,2.01033E+11,1.11241E+11,89792294563,33.61971831,8.172177894,6974000000,13103000000,COST
2018-11-09,237.97,240.26,237.07,237.74,2256718,2529071.7,0.982165391,1.98553E+11,1.09764E+11,88789300862,33.48450704,8.139311154,6974000000,13103000000,COST
2018-11-12,237.64,239.2,234.13,234.48,2301381,2522045.7,0.995820539,1.98553E+11,1.09764E+11,88789300862,33.02535211,8.027701184,6974000000,13103000000,COST
2018-11-13,234.75,236.42,232.77,234.14,1548087,2472359.5,0.997266593,1.95411E+11,1.08782E+11,86629248365,32.97746479,8.01606088,6974000000,13103000000,COST
2018-11-14,237.12,237.12,231.71,233.31,1896480,2460720.4,1.000814367,1.74307E+11,97236837675,77069689202,32.86056338,7.987644845,6974000000,13103000000,COST
2018-11-15,232.32,232.65,227,229.94,2722281,2465604.65,1.0154823,1.74145E+11,97056130000,77088823597,32.38591549,7.872268894,6974000000,13103000000,COST
2018-11-16,229.3,231.12,226.52,231.02,2822396,2501732.55,1.010735001,1.47887E+11,82323313505,65564074967,32.53802817,7.909243976,6974000000,13103000000,COST
2018-11-19,231.61,233.5,227.81,228.74,1949496,2498841.15,1.020809653,1.47887E+11,82323313505,65564074967,32.21690141,7.831185469,6974000000,13103000000,COST
2018-11-20,224.92,225,218.05,219.31,3704770,2551245.95,1.064702932,1.34795E+11,75664577024,59130690384,30.88873239,7.508338223,6974000000,13103000000,COST
2018-11-21,220.56,222.03,217.45,218.57,2036736,2498072.6,1.068307636,1.31356E+11,74575307150,56780289126,30.78450704,7.483003445,6974000000,13103000000,COST
2018-11-23,218.1,221.18,217.6596,220.06,1007476,2437502.9,1.061074252,1.14494E+11,64838149047,49655505953,30.9943662,7.534015364,6974000000,13103000000,COST
2018-11-26,222.85,223.48,218.9,219.45,2205570,2348013.3,1.064023696,1.14494E+11,64838149047,49655505953,30.9084507,7.51313129,6974000000,13103000000,COST
2018-11-27,219.37,223.12,218.38,223.01,2369826,2276434.55,1.047038249,1.15773E+11,65604166695,50168761169,31.40985915,7.635012116,6974000000,13103000000,COST
2018-11-28,222.78,230.46,222.19,230.34,2765564,2294183.1,1.01371885,1.29014E+11,73424031744,55590203504,32.44225352,7.885963369,6974000000,13103000000,COST
2018-11-29,229,231.59,228.36,231,1478742,2234392.15,1.010822511,1.2831E+11,73945563795,54363970330,32.53521127,7.908559252,6974000000,13103000000,COST
2018-11-30,231.69,233.39,229.7,231.28,2764157,2267848.05,1.009598755,1.15698E+11,66738363307,48959810501,31.33875339,7.738246,6480000000,13479000000,COST
