time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,79.71,82.875,79.5,80.73,962586,946500.9,0,1.89697E+11,1.11985E+11,77712268006,-90.70786517,18.49234582,168652000,252687000,COUP
2018-09-14,79.99,80.77,78.58,79.1,741340,964854.85,0,1.81112E+11,1.08036E+11,73076389085,-88.87640449,18.11897132,168652000,252687000,COUP
2018-09-17,78.55,78.63,76.03,76.58,935621,989501.75,0,1.81112E+11,1.08036E+11,73076389085,-86.04494382,17.54172975,168652000,252687000,COUP
2018-09-18,76.91,78.91,76.6552,77.13,669103,1005913.85,0,1.87093E+11,1.09392E+11,77700875137,-86.66292135,17.66771502,168652000,252687000,COUP
2018-09-19,76.88,77.685,75.15,75.94,556276,1008448.25,0,1.8863E+11,1.10372E+11,78258099244,-85.3258427,17.39512872,168652000,252687000,COUP
2018-09-20,75.94,78.199,73.31,78.08,1000857,1046257.05,0,1.99616E+11,1.12192E+11,87424189239,-87.73033708,17.88532592,168652000,252687000,COUP
2018-09-21,78.09,78.09,75.86,76.78,1961888,1118062.6,0,2.04518E+11,1.13771E+11,90747627086,-86.26966292,17.58754258,168652000,252687000,COUP
2018-09-24,76,78.1,74.82,76.86,461079,1116935.45,0,2.04518E+11,1.13771E+11,90747627086,-86.35955056,17.60586771,168652000,252687000,COUP
2018-09-25,77.08,79.5,76.7965,79.09,790553,1120572.55,0,2.01204E+11,1.11148E+11,90056087859,-88.86516854,18.11668068,168652000,252687000,COUP
2018-09-26,79.49,79.9,78.17,79.13,1083027,1151291.75,0,2.01772E+11,1.11721E+11,90050276795,-88.91011236,18.12584324,168652000,252687000,COUP
2018-09-27,79.23,80.46,78.695,79.48,459480,1126281.85,0,2.1143E+11,1.15539E+11,95891491506,-89.30337079,18.20601568,168652000,252687000,COUP
2018-09-28,79.12,80.36,78.63,79.1,607363,1118461.35,0,2.0951E+11,1.13681E+11,95828541867,-88.87640449,18.11897132,168652000,252687000,COUP
2018-10-01,79.57,80.43,76.61,76.73,678641,1128968.3,0,2.0951E+11,1.13681E+11,95828541867,-86.21348315,17.57608937,168652000,252687000,COUP
2018-10-02,76,76.89,72.89,73.87,999726,1106339.55,0,2.04957E+11,1.1246E+11,92496364311,-83,16.92096601,168652000,252687000,COUP
2018-10-03,73.96,75.1,73.5,73.88,526760,898296.9,0,2.03099E+11,1.11724E+11,91375173810,-83.01123596,16.92325665,168652000,252687000,COUP
2018-10-04,73.65,73.66,70.13,71.46,1117721,888075.95,0,2.05578E+11,1.13307E+11,92271291174,-80.29213483,16.3689215,168652000,252687000,COUP
2018-10-05,71.15,72.29,67.89,69.04,1270493,885963.05,0,2.07347E+11,1.14341E+11,93006604153,-77.57303371,15.81458634,168652000,252687000,COUP
2018-10-08,68.74,69.22,65.39,67.37,905748,880270.8,0,2.07347E+11,1.14341E+11,93006604153,-75.69662921,15.43204928,168652000,252687000,COUP
2018-10-09,67.03,68.76,65.81,66.61,662499,863884.1,0,2.05913E+11,1.14076E+11,91837405142,-74.84269663,15.25796055,168652000,252687000,COUP
2018-10-10,66.15,66.44,62.0101,62.16,1014921,870284.1,0,2.03231E+11,1.12853E+11,90377739133,-69.84269663,14.23862525,168652000,252687000,COUP
2018-10-11,61.72,63.39,60.83,60.88,1515181,897913.85,0,1.83485E+11,1.06549E+11,76935661677,-68.40449438,13.94542318,168652000,252687000,COUP
2018-10-12,62.93,65,61.8381,63.05,831983,902446,0,1.94991E+11,1.11598E+11,83392610781,-70.84269663,14.44249231,168652000,252687000,COUP
2018-10-15,62.83,64.1299,61.3583,62.73,606462,885988.05,0,1.94991E+11,1.11598E+11,83392610781,-70.48314607,14.36919179,168652000,252687000,COUP
2018-10-16,63.91,68.2,63.07,67.48,1502145,927640.15,0,1.97345E+11,1.11946E+11,85398685609,-75.82022472,15.45724633,168652000,252687000,COUP
2018-10-17,67.33,67.9,66.04,67.1,828287,941240.7,0,1.97017E+11,1.11543E+11,85474334522,-75.39325843,15.37020197,168652000,252687000,COUP
2018-10-18,66.54,66.681,63.31,64.54,556486,919022.15,0,1.94592E+11,1.10842E+11,83750118144,-72.51685393,14.78379784,168652000,252687000,COUP
2018-10-19,65.02,65.948,61.495,62.02,814002,861627.85,0,1.95925E+11,1.11059E+11,84865714154,-69.68539326,14.20655627,168652000,252687000,COUP
2018-10-22,62.22,65.42,61.69,64.95,867176,881932.7,0,1.95925E+11,1.11059E+11,84865714154,-72.97752809,14.87771412,168652000,252687000,COUP
2018-10-23,63,64.79,62.15,64.25,966469,890728.5,0,1.95772E+11,1.10852E+11,84920056402,-72.19101124,14.71736924,168652000,252687000,COUP
2018-10-24,63.84,64.6,59.46,59.6,1125408,892847.55,0,1.95701E+11,1.11183E+11,84518746029,-66.96629213,13.65222112,168652000,252687000,COUP
2018-10-25,60.34,62.42,59.03,61.82,743720,907059.55,0,1.9505E+11,1.10874E+11,84175774083,-69.46067416,14.16074345,168652000,252687000,COUP
2018-10-26,60.09,61.635,58.13,59.08,760494,914716.1,0,1.89732E+11,1.08716E+11,81016215717,-66.38202247,13.53310778,168652000,252687000,COUP
2018-10-29,60.72,61.985,57.01,58.12,705672,916067.65,0,1.89732E+11,1.08716E+11,81016215717,-65.30337079,13.31320623,168652000,252687000,COUP
2018-10-30,57.84,61.73,57.02,61.56,1158507,924006.7,0,1.90395E+11,1.08779E+11,81616739670,-69.16853933,14.10118678,168652000,252687000,COUP
2018-10-31,63,65.23,62.51,64.83,1082209,951779.15,0,1.91902E+11,1.09378E+11,82523713021,-76.6583895,12.3458671,171605000,311521000,COUP
2018-11-01,65.88,66.29,63.39,65.59,674234,929604.8,0,1.93163E+11,1.10045E+11,83118198356,-77.55705333,12.4905973,171605000,311521000,COUP
2018-11-02,66.11,67.62,65.17,66.08,981247,915142.5,0,2.00777E+11,1.1117E+11,89607134831,-78.13645501,12.58391019,171605000,311521000,COUP
2018-11-05,66.31,66.31,61.22,62.81,997703,919740.25,0,2.00777E+11,1.1117E+11,89607134831,-74.26983564,11.96118945,171605000,311521000,COUP
2018-11-06,62.7,64.52,60.5,61.48,667331,919981.85,0,2.07338E+11,1.1195E+11,95388296830,-72.69717394,11.7079116,171605000,311521000,COUP
2018-11-07,62.5,69.14,62.5,68.76,999551,919213.35,0,2.06574E+11,1.1289E+11,93684559229,-81.30542746,13.09427459,171605000,311521000,COUP
2018-11-08,68.75,69.77,67.89,68.48,806616,883785.1,0,2.01033E+11,1.11241E+11,89792294563,-80.97434078,13.04095293,171605000,311521000,COUP
2018-11-09,67.11,67.4517,61.12,63.73,1317058,908038.85,0,1.98553E+11,1.09764E+11,88789300862,-75.35769185,12.13638917,171605000,311521000,COUP
2018-11-12,63.09,63.965,60.35,60.36,1301794,942805.45,0,1.98553E+11,1.09764E+11,88789300862,-71.37282724,11.49462499,171605000,311521000,COUP
2018-11-13,61,62.62,59.35,61.23,738059,904601.15,0,1.95411E+11,1.08782E+11,86629248365,-72.40156084,11.66030298,171605000,311521000,COUP
2018-11-14,62.28,63.13,61,62.02,687740,897573.8,0,1.74307E+11,97236837675,77069689202,-73.33569824,11.81074622,171605000,311521000,COUP
2018-11-15,61.75,64.96,61.66,64.78,860714,912785.2,0,1.74145E+11,97056130000,77088823597,-76.59926688,12.33634537,171605000,311521000,COUP
2018-11-16,63.99,65.25,61.71,63.94,586530,901411.6,0,1.47887E+11,82323313505,65564074967,-75.60600686,12.17638041,171605000,311521000,COUP
2018-11-19,63.57,63.57,53.68,54.95,2822475,999176.55,0,1.47887E+11,82323313505,65564074967,-64.97575973,10.46437447,171605000,311521000,COUP
2018-11-20,52.1,56.418,52.0072,54.86,984117,1000058.95,0,1.34795E+11,75664577024,59130690384,-64.86933901,10.44723537,171605000,311521000,COUP
2018-11-21,56.16,58.24,55.48,56.97,620405,974808.8,0,1.31356E+11,74575307150,56780289126,-67.36431359,10.84905211,171605000,311521000,COUP
2018-11-23,55.93,58.08,54.89,56.87,217674,948506.5,0,1.14494E+11,64838149047,49655505953,-67.24606835,10.83000866,171605000,311521000,COUP
2018-11-26,57.64,58.9,56.75,58.58,648614,942912.5,0,1.14494E+11,64838149047,49655505953,-69.26806196,11.15565162,171605000,311521000,COUP
2018-11-27,58.2,58.95,56.81,57.85,553549,935306.35,0,1.15773E+11,65604166695,50168761169,-68.4048717,11.01663445,171605000,311521000,COUP
2018-11-28,59.63,61.7,59.02,61.27,1443777,949569.85,0,1.29014E+11,73424031744,55590203504,-72.44885893,11.66792036,171605000,311521000,COUP
2018-11-29,61,63.84,60.37,62.67,1474145,969166.65,0,1.2831E+11,73945563795,54363970330,-74.1042923,11.93452863,171605000,311521000,COUP
2018-11-30,65.13,66.11,62.61,64.43,1193895,995149.7,0,1.15698E+11,66738363307,48959810501,-76.18540854,12.26969331,171605000,311521000,COUP
2018-12-03,69.18,69.5,64.43,68.8,2884293,1090302,0,1.15698E+11,66738363307,48959810501,-81.35272555,13.10189197,171605000,311521000,COUP
2018-12-04,66,67.85,59.76,60.995,4012789,1241056.3,0,1.10407E+11,64354888815,46052123021,-72.12368452,11.61555088,171605000,311521000,COUP
2018-12-06,59.05,66.29,58.18,66.13,2229073,1319143.4,0,1.00927E+11,59844243367,41082591931,-78.19557763,12.59343191,171605000,311521000,COUP
2018-12-07,65.78,66.5,58.21,60.11,1799550,1359143.35,0,1.00231E+11,59355813696,40874963612,-71.07721414,11.44701637,171605000,311521000,COUP
2018-12-10,60.09,65.3,60.09,64.57,1970699,1417347.5,0,1.00231E+11,59355813696,40874963612,-76.35095187,12.29635413,171605000,311521000,COUP
2018-12-11,65.89,66.79,64.24,64.56,1199746,1411481.9,0,98533379029,58410496650,40122882380,-76.33912735,12.29444979,171605000,311521000,COUP
2018-12-12,65.04,67.665,64.8901,65.17,969826,1394883.5,0,1.00863E+11,59752661954,41110666577,-77.06042332,12.41061482,171605000,311521000,COUP
2018-12-13,65.84,66.5868,64.5363,65.69,778552,1396908.15,0,96290489768,56840916581,39449573187,-77.67529857,12.50964075,171605000,311521000,COUP
2018-12-14,64.09,66.88,63.2636,64.53,608883,1392965.3,0,1.04424E+11,60942409132,43481223044,-76.30365378,12.28873675,171605000,311521000,COUP
2018-12-17,64,64,59.94,60.14,1343549,1417107.05,0,1.04424E+11,60942409132,43481223044,-71.11268771,11.4527294,171605000,311521000,COUP
2018-12-18,61.64,63.34,61.2,62.66,904890,1433025.05,0,1.10627E+11,63918551127,46708352610,-74.09246778,11.93262428,171605000,311521000,COUP
2018-12-19,62.95,65.5,62.15,63.33,886817,1336242.15,0,1.10789E+11,64227787652,46561003400,-74.88471089,12.06021538,171605000,311521000,COUP
2018-12-20,62.75,63.99,57.18,59.94,1395107,1356791.65,0,1.23776E+11,71020476672,52755419351,-70.87619723,11.41464251,171605000,311521000,COUP
2018-12-21,60.24,60.41,53.64,54.57,2278591,1439700.95,0,1.27936E+11,70394547832,57541503800,-64.52642781,10.39200937,171605000,311521000,COUP
2018-12-24,52.27,56.57,52.02,54.85,539242,1455779.35,0,1.20255E+11,66467815206,53787506503,-64.85751449,10.44533102,171605000,311521000,COUP
2018-12-26,55.63,61.04,54.67,60.9,882737,1467485.5,0,1.20255E+11,66467815206,53787506503,-72.01135154,11.5974596,171605000,311521000,COUP
2018-12-27,59.07,62.73,58.54,62.68,831026,1481359.35,0,1.12252E+11,62666909198,49584630718,-74.11611683,11.93643297,171605000,311521000,COUP
2018-12-28,63.15,63.75,61.12,62.26,791078,1448724.4,0,1.17347E+11,64469088797,52877694646,-73.61948682,11.85645049,171605000,311521000,COUP
2018-12-31,63.25,64,62.26,62.86,732944,1411664.35,0,1.26088E+11,67845102455,58242674467,-74.32895826,11.97071118,171605000,311521000,COUP
2019-01-02,60.76,63,60.335,62.47,628542,1383396.7,0,1.26088E+11,67845102455,58242674467,-73.86780182,11.89644173,171605000,311521000,COUP
2019-01-03,61.12,61.9808,58.28,58.76,1096404,1294002.25,0,1.21939E+11,66140416292,55798882076,-69.48090339,11.18992982,171605000,311521000,COUP
2019-01-04,60.58,63.32,59.455,62.51,837458,1135235.7,0,1.27918E+11,69970304824,57948183778,-73.91509992,11.90405911,171605000,311521000,COUP
2019-01-07,62.79,67.34,61.84,65.15,1297675,1088665.8,0,1.27918E+11,69970304824,57948183778,-77.03677427,12.40680613,171605000,311521000,COUP
2019-01-08,65.03,66.91,62.91,65.91,1394864,1068431.5,0,1.28017E+11,69794546349,58222625768,-77.9354381,12.55153633,171605000,311521000,COUP
2019-01-09,66,66.33,64.6,65.64,1088667,1024329.9,0,1.28832E+11,69929165462,58902340803,-77.61617595,12.50011902,171605000,311521000,COUP
2019-01-10,65.15,65.44,64.04,64.69,738841,1001284.65,0,1.14982E+11,63390283811,51592208396,-76.49284616,12.31920627,171605000,311521000,COUP
2019-01-11,64.25,65.49,63.35,64.99,767022,991144.45,0,1.16283E+11,64059217781,52224141805,-76.84758188,12.37633661,171605000,311521000,COUP
2019-01-14,63.98,65.15,63.17,63.84,939010,999167.35,0,1.16283E+11,64059217781,52224141805,-75.48776162,12.15733696,171605000,311521000,COUP
2019-01-15,63.96,68.82,63.96,68.38,2110498,1074248.1,0,1.12814E+11,62538149888,50276032280,-80.85609554,13.02190949,171605000,311521000,COUP
