time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,30.56,30.72,30.05,30.26,80187,114804.75,1.057501652,1.89697E+11,1.11985E+11,77712268006,20.17333333,1.966955665,0,200985000,CTRN
2018-09-14,30.27,30.43,29.43,29.48,50435,115351.15,1.085481682,1.81112E+11,1.08036E+11,73076389085,19.65333333,1.91625423,0,200985000,CTRN
2018-09-17,29.43,30.815,29.43,30.21,119332,117760.65,1.059251903,1.81112E+11,1.08036E+11,73076389085,20.14,1.963705573,0,200985000,CTRN
2018-09-18,30.22,30.52,29.99,30.41,99618,115716.85,1.052285432,1.87093E+11,1.09392E+11,77700875137,20.27333333,1.976705941,0,200985000,CTRN
2018-09-19,30.43,30.92,30.16,30.45,73471,110979.8,1.05090312,1.8863E+11,1.10372E+11,78258099244,20.3,1.979306014,0,200985000,CTRN
2018-09-20,30.47,30.47,29.49,29.89,67161,104693.25,1.070592171,1.99616E+11,1.12192E+11,87424189239,19.92666667,1.942904984,0,200985000,CTRN
2018-09-21,29.88,30.1,29.1601,29.29,187889,101049.95,1.092523045,2.04518E+11,1.13771E+11,90747627086,19.52666667,1.90390388,0,200985000,CTRN
2018-09-24,29.2,30.09,28.73,28.81,71049,97163.3,1.110725443,2.04518E+11,1.13771E+11,90747627086,19.20666667,1.872702997,0,200985000,CTRN
2018-09-25,28.87,29.8,28.29,28.49,65825,96102.9,1.123201123,2.01204E+11,1.11148E+11,90056087859,18.99333333,1.851902409,0,200985000,CTRN
2018-09-26,28.54,28.83,28.33,28.52,54029,95343.65,1.122019635,2.01772E+11,1.11721E+11,90050276795,19.01333333,1.853852464,0,200985000,CTRN
2018-09-27,28.53,29.31,28.42,29.17,58332,94231.45,1.097017484,2.1143E+11,1.15539E+11,95891491506,19.44666667,1.89610366,0,200985000,CTRN
2018-09-28,29.18,29.18,28.51,28.77,74480,93437.8,1.112269725,2.0951E+11,1.13681E+11,95828541867,19.18,1.870102924,0,200985000,CTRN
2018-10-01,28.82,28.87,27.63,27.99,80342,94307.25,1.143265452,2.0951E+11,1.13681E+11,95828541867,18.66,1.819401489,0,200985000,CTRN
2018-10-02,27.95,28.15,27.27,27.28,116183,91695.6,1.173020528,2.04957E+11,1.1246E+11,92496364311,18.18666667,1.773250183,0,200985000,CTRN
2018-10-03,27.47,27.47,26.62,26.88,58890,85192.7,1.19047619,2.03099E+11,1.11724E+11,91375173810,17.92,1.747249447,0,200985000,CTRN
2018-10-04,26.79,26.885,25.8667,25.99,48410,85519.65,1.231242786,2.05578E+11,1.13307E+11,92271291174,17.32666667,1.68939781,0,200985000,CTRN
