time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,41.3,42,41.2,42,114112,163359.1,1.767857143,1.89697E+11,1.11985E+11,77712268006,34.86345148,2.943353068,844654000,685932000,CWT
2018-09-14,41.85,42.7,41.75,42.5,160205,166316.8,1.747058824,1.81112E+11,1.08036E+11,73076389085,35.27849257,2.978392985,844654000,685932000,CWT
2018-09-17,42.1,42.15,41.05,41.4,220910,155542.25,1.793478261,1.81112E+11,1.08036E+11,73076389085,34.36540217,2.901305167,844654000,685932000,CWT
2018-09-18,41.5,41.55,41.1,41.25,168953,154825.15,1.8,1.87093E+11,1.09392E+11,77700875137,34.24088985,2.890793192,844654000,685932000,CWT
2018-09-19,41.3,41.3,40.25,40.8,355362,162646.15,1.819852941,1.8863E+11,1.10372E+11,78258099244,33.86735287,2.859257266,844654000,685932000,CWT
2018-09-20,40.85,41.35,40.6,41,203215,164958.35,1.81097561,1.99616E+11,1.12192E+11,87424189239,34.0333693,2.873273233,844654000,685932000,CWT
2018-09-21,41,41.6,41,41.45,779045,196256.95,1.791314837,2.04518E+11,1.13771E+11,90747627086,34.40690628,2.904809159,844654000,685932000,CWT
2018-09-24,41.45,41.8,40.95,41.75,207719,197732.05,1.778443114,2.04518E+11,1.13771E+11,90747627086,34.65593094,2.925833109,844654000,685932000,CWT
2018-09-25,41.75,41.75,41.45,41.65,135505,196941.55,1.782713085,2.01204E+11,1.11148E+11,90056087859,34.57292272,2.918825126,844654000,685932000,CWT
2018-09-26,41.85,41.95,41.4,41.5,183262,199680.25,1.789156627,2.01772E+11,1.11721E+11,90050276795,34.44841039,2.90831315,844654000,685932000,CWT
2018-09-27,41.75,42.3,41.45,41.55,153466,199726.75,1.78700361,2.1143E+11,1.15539E+11,95891491506,34.4899145,2.911817142,844654000,685932000,CWT
2018-09-28,41.6,42.95,41.6,42.9,212193,205312.35,1.730769231,2.0951E+11,1.13681E+11,95828541867,35.16105237,2.896093042,894222000,712034000,CWT
2018-10-01,42.88,42.88,41.88,42.09,164538,205932.45,1.764076978,2.0951E+11,1.13681E+11,95828541867,34.49717236,2.841411565,894222000,712034000,CWT
2018-10-02,42.04,42.4,41.56,41.93,132685,204859.65,1.77080849,2.04957E+11,1.1246E+11,92496364311,34.36603557,2.830610286,894222000,712034000,CWT
2018-10-03,41.92,42.45,41.86,42.39,127366,200815.8,1.751592357,2.03099E+11,1.11724E+11,91375173810,34.74305385,2.861663964,894222000,712034000,CWT
2018-10-04,42.23,42.32,41.64,41.81,192382,202756.35,1.775890935,2.05578E+11,1.13307E+11,92271291174,34.26768298,2.822509326,894222000,712034000,CWT
2018-10-05,41.72,42.2,41.72,42.03,180944,204513.85,1.766595289,2.07347E+11,1.14341E+11,93006604153,34.44799607,2.837361085,894222000,712034000,CWT
2018-10-08,42.07,42.535,41.94,42.33,122341,204411.55,1.754075124,2.07347E+11,1.14341E+11,93006604153,34.69387755,2.857613484,894222000,712034000,CWT
2018-10-09,42.36,42.91,42.27,42.59,199103,206554.35,1.743366988,2.05913E+11,1.14076E+11,91837405142,34.90697484,2.875165563,894222000,712034000,CWT
2018-10-10,42.47,43.3,42.39,42.51,284628,214896.7,1.746647848,2.03231E+11,1.12853E+11,90377739133,34.84140644,2.869764924,894222000,712034000,CWT
2018-10-11,42.25,42.455,40.96,40.97,274015,222891.85,1.812301684,1.83485E+11,1.06549E+11,76935661677,33.57921482,2.765802609,894222000,712034000,CWT
2018-10-12,41.23,41.41,40.21,40.48,157103,222736.75,1.83423913,1.94991E+11,1.11598E+11,83392610781,33.17760839,2.732723691,894222000,712034000,CWT
2018-10-15,40.48,40.74,40.1,40.47,148669,219124.7,1.834692365,1.94991E+11,1.11598E+11,83392610781,33.16941234,2.732048611,894222000,712034000,CWT
2018-10-16,40.66,41.97,40.38,41.89,135971,217475.6,1.772499403,1.97345E+11,1.11946E+11,85398685609,34.33325137,2.827909966,894222000,712034000,CWT
2018-10-17,41.84,41.9521,41.455,41.72,154294,207422.2,1.779721956,1.97017E+11,1.11543E+11,85474334522,34.19391853,2.816433607,894222000,712034000,CWT
