time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,140.4,143.29,138.68,141.83,2603711,1594031.35,0,1.89762E+11,1.1205E+11,77712268006,18.88096062,2.142024549,2371000000,9891000000,CXO
2018-09-14,141.09,143.0499,140.68,141.11,1599206,1557557.25,0,1.81181E+11,1.08104E+11,73076389085,18.78511142,2.131150562,2371000000,9891000000,CXO
2018-09-17,142.35,144.09,141.14,141.63,1421783,1506417.05,0,1.81181E+11,1.08104E+11,73076389085,18.85433584,2.139003997,2371000000,9891000000,CXO
2018-09-18,143.05,144.24,142.01,143.55,1450114,1504435.25,0,1.87158E+11,1.09457E+11,77700875137,19.1099337,2.168001298,2371000000,9891000000,CXO
2018-09-19,143.55,146.43,143.4116,145.07,1415664,1508608.45,0,1.88704E+11,1.10446E+11,78258099244,19.31228201,2.190957494,2371000000,9891000000,CXO
2018-09-20,145.36,146,141.35,142.93,1580489,1532109.4,0,1.9969E+11,1.12265E+11,87424189239,19.0273969,2.158637586,2371000000,9891000000,CXO
2018-09-21,144.19,145.03,142.27,142.88,4494081,1689699.15,0,2.0459E+11,1.13842E+11,90747627086,19.0207407,2.157882448,2371000000,9891000000,CXO
2018-09-24,145.11,148.15,144.77,147.07,2701923,1720881.7,0,2.0459E+11,1.13842E+11,90747627086,19.57852978,2.221163015,2371000000,9891000000,CXO
2018-09-25,148.76,151.05,148.76,150.95,2649511,1776520.95,0,2.01277E+11,1.11221E+11,90056087859,20.09505045,2.279761727,2371000000,9891000000,CXO
2018-09-26,150.05,151.54,149.3,150.52,1580507,1780839.9,0,2.01845E+11,1.11794E+11,90050276795,20.03780718,2.27326754,2371000000,9891000000,CXO
2018-09-27,151.5,151.7,149.82,151.44,1495990,1802266.45,0,2.11505E+11,1.15613E+11,95891491506,20.16028116,2.28716208,2371000000,9891000000,CXO
2018-09-28,150.5,154.07,150.5,152.75,2028827,1865143.65,0,2.09591E+11,1.13763E+11,95828541867,21.12198899,1.774993565,4230000000,17232000000,CXO
2018-10-01,152.88,154.85,152.08,153.84,1317419,1883169.3,0,2.09591E+11,1.13763E+11,95828541867,21.27271219,1.78765964,4230000000,17232000000,CXO
2018-10-02,153.77,154.18,152.03,153.75,1562681,1908108.75,0,2.05038E+11,1.12542E+11,92496364311,21.26026715,1.786613818,4230000000,17232000000,CXO
2018-10-03,153.95,157.41,152.86,157.13,2005865,1925880.4,0,2.0318E+11,1.11804E+11,91375173810,21.72764734,1.825890271,4230000000,17232000000,CXO
2018-10-04,156.38,156.55,154.5,155.64,1927341,1953580.2,0,2.0567E+11,1.13399E+11,92271291174,21.52161288,1.808576095,4230000000,17232000000,CXO
2018-10-05,156.45,158.33,155.795,158.23,1836993,1938362.95,0,2.07463E+11,1.14457E+11,93006604153,21.87975331,1.838672549,4230000000,17232000000,CXO
2018-10-08,157.02,157.36,155.19,156.39,1314921,1954259.5,0,2.07463E+11,1.14457E+11,93006604153,21.6253215,1.817291284,4230000000,17232000000,CXO
2018-10-09,157.15,160.81,157.09,159.96,1365601,1940383.8,0,2.06022E+11,1.14185E+11,91837405142,22.11897453,1.858775586,4230000000,17232000000,CXO
2018-10-10,160.03,160.03,153.1,153.16,1848172,1910039.95,0,2.03336E+11,1.12958E+11,90377739133,21.17868304,1.779757869,4230000000,17232000000,CXO
2018-10-11,151.65,153.4618,148.6725,150.56,2786846,1919196.7,0,1.83571E+11,1.06635E+11,76935661677,20.81915982,1.749545212,4230000000,17232000000,CXO
2018-10-12,152.93,153.36,147.63,150.43,1772047,1927838.75,0,1.95088E+11,1.11695E+11,83392610781,20.80118366,1.74803458,4230000000,17232000000,CXO
