time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,139.54,139.74,139.06,139.37,215675,286738.15,2.512233623,1.89762E+11,1.1205E+11,77712268006,21.54661967,6.518123723,0,0,DEO
2018-09-14,139.98,140.87,139.52,140.43,312645,292656.45,2.493270669,1.81181E+11,1.08104E+11,73076389085,21.7104958,6.567698317,0,0,DEO
2018-09-17,139.21,139.61,138.68,138.75,472919,306354.4,2.523459459,1.81181E+11,1.08104E+11,73076389085,21.45076759,6.489127263,0,0,DEO
2018-09-18,138.87,139.12,138.1371,138.5,319249,312715.6,2.52801444,1.87158E+11,1.09457E+11,77700875137,21.41211756,6.477435141,0,0,DEO
2018-09-19,137.88,138.08,137.25,137.53,276324,311606.5,2.545844543,1.88704E+11,1.10446E+11,78258099244,21.26215543,6.432069711,0,0,DEO
2018-09-20,139.56,141.05,139.49,140.85,317730,318681.65,2.485835996,1.9969E+11,1.12265E+11,87424189239,21.77542786,6.587341081,0,0,DEO
2018-09-21,140.92,141.48,140.66,141.25,227509,316775.45,2.47879646,2.0459E+11,1.13842E+11,90747627086,21.83726791,6.606048475,0,0,DEO
2018-09-24,140.98,141.145,140.27,140.38,220412,316929.65,2.494158712,2.0459E+11,1.13842E+11,90747627086,21.7027658,6.565359893,0,0,DEO
2018-09-25,140.83,141.4358,140.59,140.82,204828,316026.1,2.486365573,2.01277E+11,1.11221E+11,90056087859,21.77078985,6.585938026,0,0,DEO
2018-09-26,142.25,142.49,141.79,141.94,298350,316080.65,2.466746513,2.01845E+11,1.11794E+11,90050276795,21.94394199,6.638318729,0,0,DEO
2018-09-27,142.36,142.9,141.77,141.83,233534,309322.45,2.468659663,2.11505E+11,1.15613E+11,95891491506,21.92693598,6.633174196,0,0,DEO
2018-09-28,142.26,142.48,141.4,141.67,244969,310318.15,2.471447731,2.09591E+11,1.13763E+11,95828541867,21.90219996,6.625691238,0,0,DEO
2018-10-01,143.13,143.96,142.81,143.81,460868,315914.65,2.434670746,2.09591E+11,1.13763E+11,95828541867,22.23304423,6.725775796,0,0,DEO
2018-10-02,142.71,143.41,141.96,142.88,276400,299490.35,2.450517917,2.05038E+11,1.12542E+11,92496364311,22.08926611,6.682281105,0,0,DEO
2018-10-03,143.77,143.99,142.63,142.95,316058,288113.75,2.449317943,2.0318E+11,1.11804E+11,91375173810,22.10008812,6.685554899,0,0,DEO
2018-10-04,141.69,141.73,140.28,140.94,295767,280753.65,2.484248616,2.0567E+11,1.13399E+11,92271291174,21.78934187,6.591550244,0,0,DEO
2018-10-05,140.26,140.68,139.63,140.09,306904,286539.8,2.499321865,2.07463E+11,1.14457E+11,93006604153,21.65793176,6.551797032,0,0,DEO
2018-10-08,139.62,141.17,139.6,141.05,293969,288403,2.482311237,2.07463E+11,1.14457E+11,93006604153,21.80634788,6.596694778,0,0,DEO
2018-10-09,139.22,141.06,139.08,140.43,354100,295961.4,2.493270669,2.06022E+11,1.14185E+11,91837405142,21.7104958,6.567698317,0,0,DEO
2018-10-10,137.8,137.94,135.12,135.18,625094,313665.2,2.590102086,2.03336E+11,1.12958E+11,90377739133,20.89884514,6.322163772,0,0,DEO
2018-10-11,135.14,135.15,131.43,131.94,638204,334791.65,2.65370623,1.83571E+11,1.06635E+11,76935661677,20.39794073,6.170633881,0,0,DEO
2018-10-12,134.06,134.65,133.08,133.76,449706,341644.7,2.617598684,1.95088E+11,1.11695E+11,83392610781,20.67931296,6.255752524,0,0,DEO
2018-10-15,133.04,134.18,132.72,133.37,436297,339813.6,2.625253055,1.95088E+11,1.11695E+11,83392610781,20.61901891,6.237512815,0,0,DEO
2018-10-16,135.47,136.36,135.06,136.03,385884,343145.35,2.573917518,1.97449E+11,1.1205E+11,85398685609,21.03025524,6.361916984,0,0,DEO
2018-10-17,134.83,135.51,134.416,135.22,383641,348511.2,2.589335897,1.97121E+11,1.11647E+11,85474334522,20.90502914,6.324034511,0,0,DEO
2018-10-18,137.08,137.95,135.955,136.37,382526,351751,2.567500183,1.94665E+11,1.10914E+11,83750118144,21.08281929,6.377818269,0,0,DEO
2018-10-19,140.35,141.0401,140.065,140.39,993079,390029.5,2.493981053,1.95999E+11,1.11134E+11,84865714154,21.7043118,6.565827578,0,0,DEO
2018-10-22,140.94,140.94,138.88,139.27,396125,398815.15,2.514037481,1.95999E+11,1.11134E+11,84865714154,21.53115966,6.513446875,0,0,DEO
2018-10-23,138.87,140.39,137.93,139.79,444153,410781.4,2.5046856,1.9584E+11,1.1092E+11,84920056402,21.61155172,6.537766487,0,0,DEO
2018-10-24,140.31,140.34,136.97,137.11,485941,420160.95,2.55364306,1.95776E+11,1.11257E+11,84518746029,21.19722338,6.412426948,0,0,DEO
2018-10-25,138.08,138.27,137.07,137.32,329423,424955.4,2.549737839,1.95116E+11,1.1094E+11,84175774083,21.22968941,6.422248329,0,0,DEO
2018-10-26,138.29,138.65,136.61,138.02,352320,430322.95,2.53680626,1.89793E+11,1.08777E+11,81016215717,21.3379095,6.454986269,0,0,DEO
2018-10-29,137.44,138.17,135.64,136.8,364138,425486.45,2.559429825,1.89793E+11,1.08777E+11,81016215717,21.14929734,6.397928717,0,0,DEO
2018-10-30,136.06,137.24,135.88,137.11,250155,424174.2,2.55364306,1.9046E+11,1.08843E+11,81616739670,21.19722338,6.412426948,0,0,DEO
2018-10-31,138.97,139.59,138.01,138.16,331805,424961.55,2.534235669,1.9197E+11,1.09446E+11,82523713021,21.35955351,6.461533857,0,0,DEO
2018-11-01,137.86,139.048,137.77,138.88,248700,422608.2,2.52109735,1.9323E+11,1.10112E+11,83118198356,21.47086561,6.495207166,0,0,DEO
2018-11-02,136.57,137.57,136,136.52,351516,424838.8,2.564679168,2.00838E+11,1.11231E+11,89607134831,21.10600931,6.384833542,0,0,DEO
2018-11-05,139.28,140.0124,139.19,139.68,273186,423799.65,2.506658076,2.00838E+11,1.11231E+11,89607134831,21.59454571,6.532621954,0,0,DEO
2018-11-06,139.52,140.35,139.31,140.35,227975,417493.4,2.494691842,2.07395E+11,1.12006E+11,95388296830,21.69812779,6.563956838,0,0,DEO
2018-11-07,142.19,142.35,141.48,142.21,341020,403289.7,2.462063146,2.06635E+11,1.1295E+11,93684559229,21.98568403,6.65094622,0,0,DEO
2018-11-08,142.24,142.4,140.58,141.22,221687,382463.85,2.479323042,2.01089E+11,1.11297E+11,89792294563,21.8326299,6.60464542,0,0,DEO
2018-11-09,142.85,143.39,141.87,142.33,355116,377734.35,2.459987353,1.98612E+11,1.09823E+11,88789300862,22.00423604,6.656558438,0,0,DEO
2018-11-12,140.9,142.35,140.76,142,420730,376956,2.465704225,1.98612E+11,1.09823E+11,88789300862,21.953218,6.641124838,0,0,DEO
2018-11-13,141.71,142.799,141.47,141.5,330519,374187.75,2.474416961,1.95461E+11,1.08832E+11,86629248365,21.87591794,6.617740596,0,0,DEO
2018-11-14,142.08,142.72,140.96,141.77,256399,367825.65,2.469704451,1.74342E+11,97272416015,77069689202,21.91765997,6.630368087,0,0,DEO
2018-11-15,143.14,143.33,140.99,143.19,306471,364022.9,2.445212655,1.74182E+11,97093010993,77088823597,22.13719215,6.696779335,0,0,DEO
2018-11-16,143.34,144.7499,143.11,144.54,267760,327756.95,2.422374429,1.4791E+11,82345953316,65564074967,22.34590232,6.75991679,0,0,DEO
2018-11-19,144.39,144.65,142.5301,143.15,205115,318206.45,2.445895913,1.4791E+11,82345953316,65564074967,22.13100815,6.694908596,0,0,DEO
2018-11-20,144.02,144.5,142.89,143.24,567256,324361.6,2.444359118,1.34816E+11,75685161119,59130690384,22.14492216,6.699117759,0,0,DEO
2018-11-21,143.9,144.85,143.37,143.41,866833,343406.2,2.441461544,1.31382E+11,74601567398,56780289126,22.17120418,6.707068402,0,0,DEO
2018-11-23,143.6,144,143.1301,143.49,218692,337869.65,2.440100355,1.14515E+11,64859897135,49655505953,22.18357219,6.71080988,0,0,DEO
2018-11-26,144.79,145.08,143.89,144.41,401248,340316.05,2.424555086,1.14515E+11,64859897135,49655505953,22.32580431,6.753836886,0,0,DEO
2018-11-27,145.08,145.4499,144.4,145.21,741815,359199.9,2.411197576,1.15795E+11,65626720826,50168761169,22.44948441,6.791251674,0,0,DEO
2018-11-28,144.85,145.75,143.91,145.65,304431,361913.7,2.403913491,1.2904E+11,73450030024,55590203504,22.51750846,6.811829808,0,0,DEO
2018-11-29,145.16,145.8699,144.63,145.08,205865,355616.7,2.413358147,1.28338E+11,73974010714,54363970330,22.42938639,6.785171771,0,0,DEO
2018-11-30,144.27,144.81,143.57,144.35,353294,360846.4,2.425562868,1.15721E+11,66761392356,48959810501,22.3165283,6.751030777,0,0,DEO
2018-12-03,144.08,144.69,143.7609,144.64,316189,359080.05,2.420699668,1.15721E+11,66761392356,48959810501,22.36136234,6.764593638,0,0,DEO
2018-12-04,145.46,146.01,143.27,143.37,268837,358862.6,2.442142708,1.10427E+11,64374806277,46052123021,22.16502018,6.705197662,0,0,DEO
2018-12-06,142.19,143.2399,140.51,143.23,405810,367754.35,2.444529777,1.00941E+11,59858686042,41082591931,22.14337616,6.698650074,0,0,DEO
2018-12-07,142.84,143.22,141.0301,141.29,260006,363703.65,2.478094699,1.00244E+11,59368646318,40874963612,21.84345191,6.607919214,0,0,DEO
2018-12-10,142.58,142.62,140.23,141.49,316383,368438.45,2.474591844,1.00244E+11,59368646318,40874963612,21.87437194,6.617272911,0,0,DEO
2018-12-11,142.09,142.6,141.3232,142.05,317773,366571.3,2.464836325,98545588959,58422706579,40122882380,21.96094801,6.643463262,0,0,DEO
2018-12-12,143.53,144.8299,143.19,143.21,446511,367860.35,2.444871168,1.00871E+11,59760609976,41110666577,22.14028416,6.697714705,0,0,DEO
