time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,35.58,36.58,35.46,36.51,2517429,2495273.1,0,1.89697E+11,1.11985E+11,77712268006,7.702531646,2.187301549,15144424000,8226707000,DISH
2018-09-14,36.62,36.79,36.12,36.38,3218370,2546658.65,0,1.81112E+11,1.08036E+11,73076389085,7.675105485,2.179513294,15144424000,8226707000,DISH
2018-09-17,36.5,37.14,36.17,36.56,3060452,2555975.5,0,1.81112E+11,1.08036E+11,73076389085,7.713080169,2.190297032,15144424000,8226707000,DISH
2018-09-18,36.48,37.23,36.47,37.08,2637289,2532866,0,1.87093E+11,1.09392E+11,77700875137,7.82278481,2.221450053,15144424000,8226707000,DISH
2018-09-19,37.13,37.465,36.685,36.77,1851164,2508597.3,0,1.8863E+11,1.10372E+11,78258099244,7.757383966,2.20287806,15144424000,8226707000,DISH
2018-09-20,37.06,37.125,36.1,36.62,2314942,2524657.5,0,1.99616E+11,1.12192E+11,87424189239,7.725738397,2.193891611,15144424000,8226707000,DISH
2018-09-21,36.7,36.915,36.27,36.51,4193175,2626187.1,0,2.04518E+11,1.13771E+11,90747627086,7.702531646,2.187301549,15144424000,8226707000,DISH
2018-09-24,36.54,36.62,35.02,35.42,3557109,2705684.4,0,2.04518E+11,1.13771E+11,90747627086,7.47257384,2.122000024,15144424000,8226707000,DISH
2018-09-25,35.43,35.9,34.97,35.57,3586450,2809811.3,0,2.01204E+11,1.11148E+11,90056087859,7.504219409,2.130986472,15144424000,8226707000,DISH
2018-09-26,35.66,36.19,35.48,35.59,1542172,2747904.25,0,2.01772E+11,1.11721E+11,90050276795,7.508438819,2.132184666,15144424000,8226707000,DISH
2018-09-27,35.62,35.99,35.1,35.48,1627509,2684957.55,0,2.1143E+11,1.15539E+11,95891491506,7.485232068,2.125594603,15144424000,8226707000,DISH
2018-09-28,35.44,36.04,35.06,35.76,2317701,2721790.75,0,2.0951E+11,1.13681E+11,95828541867,7.166332665,2.028412523,15157230000,8683209000,DISH
2018-10-01,35.84,36.07,35.19,35.42,2335932,2725191.1,0,2.0951E+11,1.13681E+11,95828541867,7.098196393,2.009126722,15157230000,8683209000,DISH
2018-10-02,35.38,36.39,35.19,36.21,3781469,2787396.3,0,2.04957E+11,1.1246E+11,92496364311,7.256513026,2.053937849,15157230000,8683209000,DISH
