time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,33.85,33.95,33.5,33.85,57306,49705.4,8.744460857,1.89762E+11,1.1205E+11,77712268006,13.81632653,-6.788696069,737139000,-128962000,DKL
2018-09-14,33.65,34,33,33.9,42506,47965.35,8.731563422,1.81181E+11,1.08104E+11,73076389085,13.83673469,-6.798723685,737139000,-128962000,DKL
2018-09-17,34.05,34.05,33.5,33.95,50136,48313.6,8.718703976,1.81181E+11,1.08104E+11,73076389085,13.85714286,-6.808751301,737139000,-128962000,DKL
2018-09-18,33.95,34.35,33.5,33.85,76100,50087.5,8.744460857,1.87158E+11,1.09457E+11,77700875137,13.81632653,-6.788696069,737139000,-128962000,DKL
2018-09-19,33.95,34.8,33.7,34.75,65968,51587.15,8.517985612,1.88704E+11,1.10446E+11,78258099244,14.18367347,-6.969193158,737139000,-128962000,DKL
2018-09-20,34.9,35.5,34.3,35,126947,56001.65,8.457142857,1.9969E+11,1.12265E+11,87424189239,14.28571429,-7.019331238,737139000,-128962000,DKL
2018-09-21,34.95,35.35,33.95,34.55,304813,68617.7,8.567293777,2.0459E+11,1.13842E+11,90747627086,14.10204082,-6.929082694,737139000,-128962000,DKL
2018-09-24,34.6,34.6,33.675,34.2,61733,70318.35,8.65497076,2.0459E+11,1.13842E+11,90747627086,13.95918367,-6.858889381,737139000,-128962000,DKL
2018-09-25,34.3,34.3,33.675,34.1,50796,69784.3,8.680351906,2.01277E+11,1.11221E+11,90056087859,13.91836735,-6.838834149,737139000,-128962000,DKL
2018-09-26,34.05,34.25,33.75,33.85,39563,68439.85,8.744460857,2.01845E+11,1.11794E+11,90050276795,13.81632653,-6.788696069,737139000,-128962000,DKL
2018-09-27,34.1,34.5003,33.675,33.9,24581,67968.35,8.731563422,2.11505E+11,1.15613E+11,95891491506,13.83673469,-6.798723685,737139000,-128962000,DKL
2018-09-28,34,34.87,33.75,34,40689,67713.45,8.705882353,2.09591E+11,1.13763E+11,95828541867,12.90812453,-6.713251366,776684000,-130427000,DKL
2018-10-01,34.04,34.36,33.77,34.02,70915,69024.6,8.700764256,2.09591E+11,1.13763E+11,95828541867,12.91571754,-6.717200337,776684000,-130427000,DKL
2018-10-02,34.4807,34.781,34.01,34.13,14327,66683.4,8.672721946,2.05038E+11,1.12542E+11,92496364311,12.95747912,-6.73891968,776684000,-130427000,DKL
2018-10-03,34.2,34.76,34.2,34.52,26369,64587.35,8.574739282,2.0318E+11,1.11804E+11,91375173810,13.1055429,-6.815924622,776684000,-130427000,DKL
2018-10-04,34.52,34.74,33.77,33.95,28264,63298.8,8.718703976,2.0567E+11,1.13399E+11,92271291174,12.88914199,-6.703378937,776684000,-130427000,DKL
2018-10-05,33.85,34.145,33.8149,33.89,26441,63459.9,8.734139864,2.07463E+11,1.14457E+11,93006604153,12.86636295,-6.691532023,776684000,-130427000,DKL
