time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,37,37.65,36.9,37.5,223123,327945.9,0,1.90109E+11,1.1234E+11,77769172544,11.17102088,1.556838944,3530415000,751674000,ECPG
2018-09-14,37.35,38.65,37.3,38.5,409485,318088.1,0,1.81515E+11,1.08379E+11,73136004990,11.46891477,1.59835465,3530415000,751674000,ECPG
2018-09-17,38.65,38.65,37.65,38.35,312322,322359.6,0,1.81515E+11,1.08379E+11,73136004990,11.42423069,1.592127294,3530415000,751674000,ECPG
2018-09-18,38.45,38.75,37.925,38.5,288940,318958.9,0,1.87492E+11,1.09735E+11,77757402658,11.46891477,1.59835465,3530415000,751674000,ECPG
2018-09-19,38.5,38.75,38.225,38.5,324252,314379.55,0,1.89042E+11,1.10719E+11,78323432675,11.46891477,1.59835465,3530415000,751674000,ECPG
2018-09-20,38.65,38.95,38.2,38.55,248610,309602.55,0,2.00031E+11,1.12542E+11,87488563013,11.48380947,1.600430435,3530415000,751674000,ECPG
2018-09-21,38.55,38.725,38.05,38.2,519675,318063.2,0,2.04947E+11,1.14136E+11,90810458439,11.37954661,1.585899938,3530415000,751674000,ECPG
2018-09-24,38.15,38.4,37.35,37.9,275267,311198.6,0,2.04947E+11,1.14136E+11,90810458439,11.29017844,1.573445226,3530415000,751674000,ECPG
2018-09-25,37.9,38.7314,36.95,37.75,626969,324163.35,0,2.01629E+11,1.11509E+11,90119973665,11.24549435,1.567217871,3530415000,751674000,ECPG
2018-09-26,37.85,37.85,37,37.2,419141,327330.1,0,2.02193E+11,1.1208E+11,90112908695,11.08165272,1.544384233,3530415000,751674000,ECPG
2018-09-27,37.1,37.3,36.8,37,199724,321845.35,0,2.11873E+11,1.15918E+11,95955465183,11.02207394,1.536081092,3530415000,751674000,ECPG
2018-09-28,36.9,36.95,35.8,35.85,262101,319927.15,0,2.09961E+11,1.14061E+11,95900773093,11.98836276,1.42155401,3561467000,778445000,ECPG
2018-10-01,36.02,36.21,35.56,35.62,261952,314314.15,0,2.09961E+11,1.14061E+11,95900773093,11.91144997,1.412433859,3561467000,778445000,ECPG
2018-10-02,33,35.05,31.68,34.9,636126,336364.4,0,2.05412E+11,1.12844E+11,92568366511,11.67067951,1.38388382,3561467000,778445000,ECPG
2018-10-03,34.94,34.995,34.225,34.24,258718,333238.5,0,2.03548E+11,1.12103E+11,91445105712,11.44997325,1.357712952,3561467000,778445000,ECPG
2018-10-04,34.25,34.36,32.96,33.02,440208,341800.45,0,2.0606E+11,1.13708E+11,92352033737,11.04200107,1.309336497,3561467000,778445000,ECPG
2018-10-05,33.13,33.39,32.52,33.03,523486,356359.85,0,2.07883E+11,1.14772E+11,93111416011,11.0453451,1.309733025,3561467000,778445000,ECPG
2018-10-08,33.14,33.14,32.03,32.6,294975,354838.2,0,2.07883E+11,1.14772E+11,93111416011,10.90155163,1.292682308,3561467000,778445000,ECPG
2018-10-09,32.65,32.65,31.94,32.22,371957,356303.4,0,2.06423E+11,1.14486E+11,91936095372,10.77447833,1.277614232,3561467000,778445000,ECPG
2018-10-10,32.23,32.405,30.96,31.01,374307,363566.9,0,2.03741E+11,1.1327E+11,90471375499,10.36985019,1.229634306,3561467000,778445000,ECPG
2018-10-11,30.9,31.39,30.53,30.59,308101,367815.8,0,1.83919E+11,1.06907E+11,77011778718,10.22940075,1.212980116,3561467000,778445000,ECPG
2018-10-12,30.94,30.94,29.97,30.06,242812,359482.15,0,1.95458E+11,1.11982E+11,83475602832,10.05216693,1.191964116,3561467000,778445000,ECPG
2018-10-15,30.07,30.46,29.87,30.04,340491,360890.6,0,1.95458E+11,1.11982E+11,83475602832,10.04547887,1.191171059,3561467000,778445000,ECPG
2018-10-16,30.17,30.55,29.89,30.38,263709,359629.05,0,1.9782E+11,1.12332E+11,85488548272,10.15917603,1.204653022,3561467000,778445000,ECPG
2018-10-17,30.26,30.26,29.28,29.97,362747,361553.8,0,1.97496E+11,1.11931E+11,85564799812,10.02207063,1.188395361,3561467000,778445000,ECPG
2018-10-18,29.88,30.05,28.78,28.83,375339,367890.25,0,1.95057E+11,1.11223E+11,83834185997,9.640850722,1.143191133,3561467000,778445000,ECPG
2018-10-19,28.82,29.7,28.82,29.48,408105,362311.75,0,1.96392E+11,1.11444E+11,84947756716,9.858212948,1.168965473,3561467000,778445000,ECPG
2018-10-22,29.48,29.83,28.24,28.25,329117,365004.25,0,1.96392E+11,1.11444E+11,84947756716,9.446896736,1.120192491,3561467000,778445000,ECPG
2018-10-23,27.93,28.3225,27.42,27.55,353385,351325.05,0,1.96345E+11,1.11345E+11,84999737180,9.212814339,1.092435509,3561467000,778445000,ECPG
2018-10-24,27.59,27.75,25.86,25.89,513801,356058.05,0,1.96236E+11,1.11636E+11,84599736561,8.657704655,1.026611808,3561467000,778445000,ECPG
2018-10-25,26,27.19,26,27.11,481442,370143.95,0,1.95547E+11,1.11295E+11,84252914344,9.065676833,1.074988263,3561467000,778445000,ECPG
2018-10-26,26.75,27.26,26.1175,26.86,476322,380855,0,1.90154E+11,1.09106E+11,81048041414,8.982075976,1.065075055,3561467000,778445000,ECPG
2018-10-29,27.16,27.315,26.17,26.18,339954,384755.1,0,1.90154E+11,1.09106E+11,81048041414,8.754681648,1.038111129,3561467000,778445000,ECPG
2018-10-30,26.22,26.44,25.14,26.19,801609,393029.25,0,1.90857E+11,1.09171E+11,81685911596,8.758025682,1.038507658,3561467000,778445000,ECPG
2018-10-31,26.49,26.79,25.26,25.41,580793,409133,0,1.92372E+11,1.09774E+11,82598270228,8.497191011,1.007578449,3561467000,778445000,ECPG
2018-11-01,25.56,27.04,25.21,27.03,461746,410209.9,0,1.93636E+11,1.10444E+11,83191456335,9.038924559,1.071816036,3561467000,778445000,ECPG
2018-11-02,27.19,27.24,26.37,26.8,291277,398599.45,0,2.01241E+11,1.11566E+11,89675285435,8.962011771,1.062695885,3561467000,778445000,ECPG
2018-11-05,26.87,27.19,26.06,26.54,316454,399673.4,0,2.01241E+11,1.11566E+11,89675285435,8.875066881,1.052386149,3561467000,778445000,ECPG
2018-11-06,26.47,27.1,26.16,27.07,278602,395005.65,0,2.07819E+11,1.12362E+11,95456672440,9.052300696,1.07340215,3561467000,778445000,ECPG
2018-11-07,27.23,27.29,25.86,26.22,558844,404232.5,0,2.07059E+11,1.13304E+11,93755391054,8.768057785,1.039697243,3561467000,778445000,ECPG
2018-11-08,24.86,26.4,24,24.14,976958,437675.35,0,2.01491E+11,1.11631E+11,89860126705,8.072498662,0.957219353,3561467000,778445000,ECPG
2018-11-09,24.04,25.38,23.59,25.27,774643,464266.9,0,1.99019E+11,1.10161E+11,88857897269,8.450374532,1.002027053,3561467000,778445000,ECPG
2018-11-12,25.08,26.18,24.38,25.58,461563,470320.5,0,1.99019E+11,1.10161E+11,88857897269,8.554039593,1.014319431,3561467000,778445000,ECPG
2018-11-13,25.93,27.12,25.75,26.92,975521,505911.1,0,1.95861E+11,1.09166E+11,86694544162,9.002140182,1.067454225,3561467000,778445000,ECPG
2018-11-14,27.43,27.7,26.38,26.95,359146,505731.05,0,1.74701E+11,97579409797,77121631697,9.012172285,1.06864381,3561467000,778445000,ECPG
2018-11-15,26.66,26.91,25.65,25.79,327104,503319.3,0,1.74534E+11,97394452371,77139127522,8.624264312,1.022646525,3561467000,778445000,ECPG
2018-11-16,25.57,26.13,24.82,25.86,377933,501810.7,0,1.48179E+11,82578071815,65601114831,8.647672552,1.025422223,3561467000,778445000,ECPG
2018-11-19,25.8,25.95,25.17,25.25,341774,502443.55,0,1.48179E+11,82578071815,65601114831,8.443686463,1.001233996,3561467000,778445000,ECPG
2018-11-20,25,25.72,24.8,25.61,302200,499884.3,0,1.35062E+11,75896637919,59164930692,8.564071696,1.015509015,3561467000,778445000,ECPG
2018-11-21,25.63,26.76,25.63,26.75,197547,484071.6,0,1.31619E+11,74802723003,56816388680,8.9452916,1.060713243,3561467000,778445000,ECPG
2018-11-23,26.36,27.625,26.36,26.99,174338,468716.4,0,1.1472E+11,65034361056,49685572591,9.025548422,1.070229923,3561467000,778445000,ECPG
2018-11-26,27.2,27.89,26.98,27.77,250931,457446.85,0,1.1472E+11,65034361056,49685572591,9.286383093,1.101159132,3561467000,778445000,ECPG
2018-11-27,27.55,27.84,26.38,26.43,247468,452822.55,0,1.16002E+11,65803261383,50198343912,8.838282504,1.048024337,3561467000,778445000,ECPG
2018-11-28,26.6,27.36,26.125,27.1,296850,427584.6,0,1.29267E+11,73643365048,55623696937,9.062332798,1.074591734,3561467000,778445000,ECPG
2018-11-29,27.06,27.33,26.68,27.13,162254,406657.65,0,1.28564E+11,74165238257,54398998758,9.072364901,1.075781319,3561467000,778445000,ECPG
2018-11-30,26.94,28.02,26.53,27.98,400891,403614.9,0,1.15919E+11,66928911403,48990485221,9.356607812,1.109486226,3561467000,778445000,ECPG
2018-12-03,28.35,28.84,28.02,28.59,456041,411853.1,0,1.15919E+11,66928911403,48990485221,9.5605939,1.133674453,3561467000,778445000,ECPG
2018-12-04,28.48,29.08,26.68,26.68,477577,419909.25,0,1.10622E+11,64542610637,46079715116,8.92188336,1.057937545,3561467000,778445000,ECPG
2018-12-06,26.24,26.8,25.78,25.95,331914,422574.85,0,1.0113E+11,60024773094,41105690318,8.67776886,1.028990978,3561467000,778445000,ECPG
2018-12-07,25.95,26.39,24.85,24.88,531896,421227.45,0,1.00401E+11,59505323713,40895411612,8.319957196,0.986562448,3561467000,778445000,ECPG
2018-12-10,24.93,25.275,23.57,23.58,416429,393201,0,1.00401E+11,59505323713,40895411612,7.885232745,0.935013767,3561467000,778445000,ECPG
2018-12-11,23.89,24.45,22.66,22.97,306991,369818.4,0,98692004857,58549458022,40142546835,7.681246656,0.91082554,3561467000,778445000,ECPG
2018-12-12,23.28,23.68,23.02,23.25,369806,365230.55,0,1.01025E+11,59894650345,41130808594,7.774879615,0.921928333,3561467000,778445000,ECPG
2018-12-13,23.41,23.595,22.5,22.86,283059,330607.45,0,96451959168,56983644859,39468314308,7.644462279,0.906463729,3561467000,778445000,ECPG
2018-12-14,22.68,23.33,20.38,22.01,309012,328100.75,0,1.046E+11,61099304774,43500469046,7.360219369,0.872758822,3561467000,778445000,ECPG
2018-12-17,21.88,22.48,21.78,22.45,320944,327792.75,0,1.046E+11,61099304774,43500469046,7.507356875,0.890206068,3561467000,778445000,ECPG
2018-12-18,22.61,23.71,22.3,22.81,321743,324983.25,0,1.10825E+11,64097190094,46728096600,7.627742108,0.904481087,3561467000,778445000,ECPG
2018-12-19,22.8,23.69,22.27,22.54,292842,322536.65,0,1.10985E+11,64405043675,46580015420,7.537453184,0.893774823,3561467000,778445000,ECPG
2018-12-20,22.54,22.98,22.305,22.45,282869,321570.1,0,1.23989E+11,71212505975,52776277053,7.507356875,0.890206068,3561467000,778445000,ECPG
2018-12-21,22.47,23.01,21.88,21.88,776575,350521.5,0,1.28159E+11,70594683415,57564331416,7.316746923,0.867603954,3561467000,778445000,ECPG
2018-12-24,21.82,22.49,21.49,21.66,162318,349920.5,0,1.20457E+11,66648633848,53808080557,7.24317817,0.858880331,3561467000,778445000,ECPG
2018-12-26,21.84,22.82,21.51,22.65,310465,352897.2,0,1.20457E+11,66648633848,53808080557,7.57423756,0.898136634,3561467000,778445000,ECPG
2018-12-27,22.61,24.19,22.3,23.48,501545,365601.05,0,1.12431E+11,62828559211,49602819036,7.851792402,0.931048484,3561467000,778445000,ECPG
2018-12-28,23.6,24.01,23.17,23.7,217888,361652.95,0,1.17532E+11,64634476218,52897047538,7.925361156,0.939772107,3561467000,778445000,ECPG
2018-12-31,23.56,24.17,23.2,23.5,294460,368263.25,0,1.26294E+11,68030324487,58263471643,5.854071694,0.887244445,3490633000,819688000,ECPG
2019-01-02,23.16,24.57,22.191,24.54,325314,364484.4,0,1.26294E+11,68030324487,58263471643,6.113145505,0.926509731,3490633000,819688000,ECPG
2019-01-03,24.83,24.83,24.09,24.39,395911,361477.9,0,1.2214E+11,66321813326,55818639293,6.07577909,0.920846469,3490633000,819688000,ECPG
2019-01-04,24.7,25.6,24.7,25.22,479327,361565.4,0,1.28134E+11,70164859307,57969556859,6.28253992,0.952183188,3490633000,819688000,ECPG
2019-01-07,25.17,25.9324,25.005,25.91,225873,356263.35,0,1.28134E+11,70164859307,57969556859,6.454425429,0.978234195,3490633000,819688000,ECPG
2019-01-08,26.12,26.5,25.54,26.44,194143,339375.7,0,1.28224E+11,69980423015,58243622963,6.586453429,0.998244389,3490633000,819688000,ECPG
2019-01-09,26.58,27.3,26.25,27.25,465094,341808.95,0,1.29046E+11,70122480362,58923440032,6.78823207,1.028826006,3490633000,819688000,ECPG
2019-01-10,27,27.71,25.87,27.44,243492,338634,0,1.15165E+11,63554584575,51610403986,6.835562863,1.035999471,3490633000,819688000,ECPG
2019-01-11,27.44,27.87,27.17,27.8,217433,331015.35,0,1.16469E+11,64226326749,52242902919,6.925242259,1.049591301,3490633000,819688000,ECPG
2019-01-14,27.56,28.12,27.3,27.56,123311,323027.95,0,1.16469E+11,64226326749,52242902919,6.865455995,1.040530081,3490633000,819688000,ECPG
2019-01-15,28.66,28.71,27.2364,27.75,260714,320613.05,0,1.12993E+11,62699162676,50294031392,6.912786787,1.047703547,3490633000,819688000,ECPG
