time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,162,163.32,160.86,161.36,25453775,22937554.9,0,1.89697E+11,1.11985E+11,77712268006,24.9493622,5.876543066,121000000,79382000000,FB
2018-09-14,161.715,162.84,160.34,162.32,21770405,22458485.95,0,1.81112E+11,1.08036E+11,73076389085,25.09779668,5.911505147,121000000,79382000000,FB
2018-09-17,161.92,162.06,159.77,160.58,21005321,22264093.2,0,1.81112E+11,1.08036E+11,73076389085,24.82875918,5.848136375,121000000,79382000000,FB
2018-09-18,159.39,161.7639,158.8656,160.3,22465236,22311454.7,0,1.87093E+11,1.09392E+11,77700875137,24.78546579,5.837939102,121000000,79382000000,FB
2018-09-19,160.08,163.44,159.48,163.06,19628996,22313978.8,0,1.8863E+11,1.10372E+11,78258099244,25.21221492,5.938455084,121000000,79382000000,FB
2018-09-20,164.5,166.45,164.4722,166.02,18936038,22416076.55,0,1.99616E+11,1.12192E+11,87424189239,25.6698879,6.046254833,121000000,79382000000,FB
2018-09-21,166.64,167.25,162.81,162.93,45994800,23813138.2,0,2.04518E+11,1.13771E+11,90747627086,25.19211442,5.933720635,121000000,79382000000,FB
2018-09-24,161.03,165.7,160.88,165.41,19222775,24042699.15,0,2.04518E+11,1.13771E+11,90747627086,25.57557016,6.024039344,121000000,79382000000,FB
2018-09-25,161.99,165.59,161.15,164.91,27622806,24527742.7,0,2.01204E+11,1.11148E+11,90056087859,25.49826053,6.005829927,121000000,79382000000,FB
2018-09-26,164.3,169.3,164.21,166.95,25252231,24994820.5,0,2.01772E+11,1.11721E+11,90050276795,25.8136838,6.080124348,121000000,79382000000,FB
2018-09-27,167.55,171.77,167.21,168.84,27266856,25424248.25,0,2.1143E+11,1.15539E+11,95891491506,26.10591419,6.148955945,121000000,79382000000,FB
2018-09-28,168.33,168.79,162.56,164.46,34265638,25926703.55,0,2.0951E+11,1.13681E+11,95828541867,24.78598987,5.881027732,70000000,80342000000,FB
2018-10-01,163.03,165.88,161.26,162.44,26407677,26343829.45,0,2.0951E+11,1.13681E+11,95828541867,24.48155293,5.808793291,70000000,80342000000,FB
2018-10-02,161.58,162.28,158.67,159.33,36030977,26654929.75,0,2.04957E+11,1.1246E+11,92496364311,24.01284061,5.697580861,70000000,80342000000,FB
2018-10-03,160,163.66,159.53,162.43,23109456,26249065.35,0,2.03099E+11,1.11724E+11,91375173810,24.48004582,5.808435695,70000000,80342000000,FB
2018-10-04,161.46,161.46,157.35,158.85,25739635,25460305.4,0,2.05578E+11,1.13307E+11,92271291174,23.94049916,5.680416242,70000000,80342000000,FB
2018-10-05,159.21,160.9,156.2,157.33,25744047,25532477.75,0,2.07347E+11,1.14341E+11,93006604153,23.71141789,5.626061614,70000000,80342000000,FB
2018-10-08,155.54,158.34,154.39,157.25,24045968,25724892.15,0,2.07347E+11,1.14341E+11,93006604153,23.69936098,5.623200844,70000000,80342000000,FB
2018-10-09,157.69,160.59,157.42,157.9,18844425,25644259,0,2.05913E+11,1.14076E+11,91837405142,23.79732337,5.646444599,70000000,80342000000,FB
2018-10-10,156.82,157.69,151.31,151.38,30609970,25970851.6,0,2.03231E+11,1.12853E+11,90377739133,22.81468531,5.413291852,70000000,80342000000,FB
2018-10-11,150.13,154.81,149.16,153.35,35338901,26465107.9,0,1.83485E+11,1.06549E+11,76935661677,23.11158669,5.483738311,70000000,80342000000,FB
2018-10-12,156.73,156.89,151.2998,153.74,25293492,26641262.25,0,1.94991E+11,1.11598E+11,83392610781,23.17036412,5.497684564,70000000,80342000000,FB
2018-10-15,153.32,155.57,152.55,153.52,15433521,26362672.25,0,1.94991E+11,1.11598E+11,83392610781,23.13720762,5.489817447,70000000,80342000000,FB
2018-10-16,155.4,159.46,155.01,158.78,19180095,26198415.2,0,1.97345E+11,1.11946E+11,85398685609,23.92994936,5.677913068,70000000,80342000000,FB
2018-10-17,159.56,160.49,157.95,159.42,17592003,26096565.55,0,1.97017E+11,1.11543E+11,85474334522,24.02640463,5.700799228,70000000,80342000000,FB
2018-10-18,158.51,158.66,153.28,154.92,21675084,26233517.85,0,1.94592E+11,1.10842E+11,83750118144,23.34820352,5.53988092,70000000,80342000000,FB
2018-10-19,155.86,157.35,153.55,154.05,19761347,24921845.2,0,1.95925E+11,1.11059E+11,84865714154,23.21708464,5.508770048,70000000,80342000000,FB
2018-10-22,154.76,157.34,154.46,154.78,15424658,24731939.35,0,1.95925E+11,1.11059E+11,84865714154,23.32710393,5.534874573,70000000,80342000000,FB
