time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,8.801,9.311,8.8,8.8,14172,8324.8,0,1.89697E+11,1.11985E+11,77712268006,-1.205017254,0.383138593,8032000,116186000,FVE
2018-09-14,8.6,9,8.6,8.6,16633,8867.45,0,1.81112E+11,1.08036E+11,73076389085,-1.177630498,0.374430898,8032000,116186000,FVE
2018-09-17,8.7,8.959,8.6,8.66,9386,9113.75,0,1.81112E+11,1.08036E+11,73076389085,-1.185846525,0.377043206,8032000,116186000,FVE
2018-09-18,8.6,8.986,8.12,8.275,16869,9627.1,0,1.87093E+11,1.09392E+11,77700875137,-1.13312702,0.360280893,8032000,116186000,FVE
2018-09-19,8.698,8.699,7.8,7.925,11693,9927.35,0,1.8863E+11,1.10372E+11,78258099244,-1.085200197,0.345042426,8032000,116186000,FVE
2018-09-20,8,8.083,7.501,7.8,43703,11559.65,0,1.99616E+11,1.12192E+11,87424189239,-1.068083475,0.339600117,8032000,116186000,FVE
2018-09-21,7.8,9.2,7.61,8.915,18552,11175.7,0,2.04518E+11,1.13771E+11,90747627086,-1.220764638,0.388145518,8032000,116186000,FVE
2018-09-24,8.4,10,8.3,9.85,10410,10950.65,0,2.04518E+11,1.13771E+11,90747627086,-1.348797721,0.428853993,8032000,116186000,FVE
2018-09-25,9.1,10,9.1,9.325,7102,10867.15,0,2.01204E+11,1.11148E+11,90056087859,-1.276907488,0.405996293,8032000,116186000,FVE
2018-09-26,9.7,9.7,9.1001,9.133,2312,10897.8,0,2.01772E+11,1.11721E+11,90050276795,-1.250616202,0.397636906,8032000,116186000,FVE
2018-09-27,9.146,9.697,8.4,8.4,5211,10930.3,0,2.1143E+11,1.15539E+11,95891491506,-1.150243742,0.365723202,8032000,116186000,FVE
2018-09-28,8.41,9.1,8.41,8.601,3476,10942.8,0,2.0951E+11,1.13681E+11,95828541867,-0.831271504,0.458087229,7953000,94968000,FVE
2018-10-01,8.78,9,8.472,8.606,2240,10899.25,0,2.0951E+11,1.13681E+11,95828541867,-0.831754745,0.458353528,7953000,94968000,FVE
2018-10-02,8.51,9.5,8.51,9,4340,10596.85,0,2.04957E+11,1.1246E+11,92496364311,-0.869834152,0.479337875,7953000,94968000,FVE
2018-10-03,8.603,9.5,8.603,9.5,476,10387.6,0,2.03099E+11,1.11724E+11,91375173810,-0.918158271,0.505967757,7953000,94968000,FVE
2018-10-04,9.5,9.5,8.601,8.601,5954,10561.1,0,2.05578E+11,1.13307E+11,92271291174,-0.831271504,0.458087229,7953000,94968000,FVE
2018-10-05,8.5,9.2,8.5,8.525,6689,10753.1,0,2.07347E+11,1.14341E+11,93006604153,-0.823926238,0.454039487,7953000,94968000,FVE
2018-10-08,8.5,8.543,7.63,8.2,7209,10510.6,0,2.07347E+11,1.14341E+11,93006604153,-0.79251556,0.436730064,7953000,94968000,FVE
2018-10-09,7.91,8.437,7.9,7.901,16928,10838.55,0,2.05913E+11,1.14076E+11,91837405142,-0.763617737,0.420805394,7953000,94968000,FVE
2018-10-10,8.421,8.648,7.8,7.8,3943,10364.9,0,2.03231E+11,1.12853E+11,90377739133,-0.753856265,0.415426158,7953000,94968000,FVE
2018-10-11,7.925,7.998,7.72,7.72,4077,9860.15,0,1.83485E+11,1.06549E+11,76935661677,-0.746124406,0.411165377,7953000,94968000,FVE
2018-10-12,7.951,8.227,7.64,7.67,8694,9463.2,0,1.94991E+11,1.11598E+11,83392610781,-0.741291994,0.408502389,7953000,94968000,FVE
