time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,25.58,25.58,24.84,24.93,2261380,2671873.3,3.931006819,1.89697E+11,1.11985E+11,77712268006,8.989939057,26.68279265,1496044000,192009000,HRB
2018-09-14,24.92,25.08,24.72,25.01,3555672,2674820.85,3.918432627,1.81112E+11,1.08036E+11,73076389085,9.018787638,26.76841733,1496044000,192009000,HRB
2018-09-17,25.09,25.39,24.83,24.87,2760610,2739071.6,3.940490551,1.81112E+11,1.08036E+11,73076389085,8.968302622,26.61857413,1496044000,192009000,HRB
2018-09-18,24.93,25.3,24.68,25.3,2301097,2745882.15,3.873517787,1.87093E+11,1.09392E+11,77700875137,9.123363745,27.07880682,1496044000,192009000,HRB
2018-09-19,25.35,25.595,25.32,25.36,2208442,2747181,3.864353312,1.8863E+11,1.10372E+11,78258099244,9.14500018,27.14302533,1496044000,192009000,HRB
2018-09-20,25.47,25.74,25.35,25.74,1902311,2755737.25,3.807303807,1.99616E+11,1.12192E+11,87424189239,9.28203094,27.54974259,1496044000,192009000,HRB
2018-09-21,25.91,26.295,25.75,26.12,4827184,2865242.7,3.751914242,2.04518E+11,1.13771E+11,90747627086,9.4190617,27.95645985,1496044000,192009000,HRB
2018-09-24,26.04,26.15,25.265,25.41,4578243,2983571.15,3.856749311,2.04518E+11,1.13771E+11,90747627086,9.163030543,27.19654076,1496044000,192009000,HRB
2018-09-25,25.5,25.645,25.37,25.53,2436360,2984707,3.83862123,2.01204E+11,1.11148E+11,90056087859,9.206303415,27.32497779,1496044000,192009000,HRB
2018-09-26,25.66,26.1,25.66,25.79,2609586,2970453.75,3.799922451,2.01772E+11,1.11721E+11,90050276795,9.300061303,27.60325802,1496044000,192009000,HRB
2018-09-27,25.75,26.05,25.66,25.97,1557342,2769685.6,3.773584906,2.1143E+11,1.15539E+11,95891491506,9.364970611,27.79591356,1496044000,192009000,HRB
2018-09-28,26.08,26.15,25.74,25.75,3309647,2721773.9,3.805825243,2.0951E+11,1.13681E+11,95828541867,9.285637013,27.56044568,1496044000,192009000,HRB
2018-10-01,25.85,26.32,25.85,26.01,2733892,2682374.4,3.767781622,2.0951E+11,1.13681E+11,95828541867,9.379394901,27.8387259,1496044000,192009000,HRB
2018-10-02,26.02,26.25,25.89,25.93,2174458,2680860.5,3.779406093,2.04957E+11,1.1246E+11,92496364311,9.35054632,27.75310122,1496044000,192009000,HRB
2018-10-03,26.01,26.01,25.29,25.37,2975817,2650657.65,3.862830114,2.03099E+11,1.11724E+11,91375173810,9.148606253,27.15372842,1496044000,192009000,HRB
2018-10-04,25.26,25.41,24.83,25.06,2802823,2698503.2,3.910614525,2.05578E+11,1.13307E+11,92271291174,9.036818002,26.82193276,1496044000,192009000,HRB
2018-10-05,25.04,25.475,24.73,25.44,2832104,2759401.85,3.852201258,2.07347E+11,1.14341E+11,93006604153,9.173848761,27.22865002,1496044000,192009000,HRB
2018-10-08,25.36,26.6,25.27,26.51,2725320,2735207.45,3.69671822,2.07347E+11,1.14341E+11,93006604153,9.559698532,28.37388019,1496044000,192009000,HRB
2018-10-09,26.6,26.9,26.2,26.76,3025288,2772538.3,3.662182362,2.05913E+11,1.14076E+11,91837405142,9.649850348,28.64145733,1496044000,192009000,HRB
2018-10-10,26.7,27.215,26.56,26.61,4569421,2907349.85,3.682826005,2.03231E+11,1.12853E+11,90377739133,9.595759259,28.48091105,1496044000,192009000,HRB
2018-10-11,26.57,27.015,25.93,25.97,4811157,3034838.7,3.773584906,1.83485E+11,1.06549E+11,76935661677,9.364970611,27.79591356,1496044000,192009000,HRB
2018-10-12,26.22,26.31,25.33,25.69,2470640,2980587.1,3.814713896,1.94991E+11,1.11598E+11,83392610781,9.264000577,27.49622716,1496044000,192009000,HRB
2018-10-15,25.66,26.03,25.56,25.91,2721786,2978645.9,3.782323427,1.94991E+11,1.11598E+11,83392610781,9.343334175,27.73169505,1496044000,192009000,HRB
2018-10-16,26.08,26.81,25.79,26.76,2380712,2982626.65,3.662182362,1.97345E+11,1.11946E+11,85398685609,9.649850348,28.64145733,1496044000,192009000,HRB
2018-10-17,26.76,26.86,26.33,26.52,1940938,2969251.45,3.695324284,1.97017E+11,1.11543E+11,85474334522,9.563304605,28.38458328,1496044000,192009000,HRB
2018-10-18,26.41,26.47,25.79,25.99,2705224,3009397.1,3.770681031,1.94592E+11,1.10842E+11,83750118144,9.372182756,27.81731973,1496044000,192009000,HRB
2018-10-19,26.06,26.185,25.79,25.81,2074263,2871751.05,3.796977916,1.95925E+11,1.11059E+11,84865714154,9.307273448,27.62466419,1496044000,192009000,HRB
2018-10-22,25.86,26.01,25.74,25.83,2212551,2753466.45,3.79403794,1.95925E+11,1.11059E+11,84865714154,9.314485594,27.64607036,1496044000,192009000,HRB
2018-10-23,25.44,26.54,25.4,26.37,2808721,2772084.5,3.716344331,1.95772E+11,1.10852E+11,84920056402,9.509213516,28.22403699,1496044000,192009000,HRB
2018-10-24,26.32,26.66,25.5,25.53,2262934,2754751.9,3.83862123,1.95701E+11,1.11183E+11,84518746029,9.206303415,27.32497779,1496044000,192009000,HRB
