time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,106,106.63,105.301,106.6,1024361,1125321.2,2.933771107,1.89697E+11,1.11985E+11,77712268006,21.93415638,20.68240288,4601017000,1063817000,HSY
2018-09-14,106.68,106.76,105.3,105.97,967715,1100835.6,2.951212607,1.81112E+11,1.08036E+11,73076389085,21.80452675,20.56017105,4601017000,1063817000,HSY
2018-09-17,105.9,105.9,103.69,103.77,1831720,1066989.8,3.013780476,1.81112E+11,1.08036E+11,73076389085,21.35185185,20.13332971,4601017000,1063817000,HSY
2018-09-18,103.43,103.96,101.6,103.44,1079991,1072737.95,3.023395205,1.87093E+11,1.09392E+11,77700875137,21.28395062,20.06930351,4601017000,1063817000,HSY
2018-09-19,103.88,103.88,102.341,102.66,639889,1056182.3,3.046366647,1.8863E+11,1.10372E+11,78258099244,21.12345679,19.91796886,4601017000,1063817000,HSY
2018-09-20,102.82,103.72,102.545,103.45,871154,1058821.7,3.023102948,1.99616E+11,1.12192E+11,87424189239,21.28600823,20.0712437,4601017000,1063817000,HSY
2018-09-21,104.04,104.74,103.68,103.9,1396232,1095914.6,3.010009625,2.04518E+11,1.13771E+11,90747627086,21.37860082,20.15855215,4601017000,1063817000,HSY
2018-09-24,103.66,103.84,102.06,102.19,619619,1081002.9,3.060377728,2.04518E+11,1.13771E+11,90747627086,21.02674897,19.82678003,4601017000,1063817000,HSY
2018-09-25,101.95,102.53,101.86,102.29,854195,1093079.7,3.057385864,2.01204E+11,1.11148E+11,90056087859,21.0473251,19.8461819,4601017000,1063817000,HSY
2018-09-26,102.39,102.96,101.935,102,753807,1099657.2,3.066078431,2.01772E+11,1.11721E+11,90050276795,20.98765432,19.78991646,4601017000,1063817000,HSY
2018-09-27,101.41,102.63,101.19,101.74,521296,1092448.6,3.073913898,2.1143E+11,1.15539E+11,95891491506,20.93415638,19.73947157,4601017000,1063817000,HSY
2018-09-28,101.5,102.44,101.3,102,663072,1080287.45,3.066078431,2.0951E+11,1.13681E+11,95828541867,21.11801242,16.86449379,4706220000,1249272000,HSY
2018-10-01,102.25,102.29,101.2,101.64,777119,1062056.4,3.076938213,2.0951E+11,1.13681E+11,95828541867,21.04347826,16.80497205,4706220000,1249272000,HSY
2018-10-02,102.23,103.25,101.91,102.7,559372,1028394.5,3.045180136,2.04957E+11,1.1246E+11,92496364311,21.26293996,16.98023051,4706220000,1249272000,HSY
2018-10-03,102.61,103.26,101.64,102.1,933081,972158.05,3.063075416,2.03099E+11,1.11724E+11,91375173810,21.13871636,16.88102761,4706220000,1249272000,HSY
2018-10-04,102,102.86,101.42,102.73,801879,947632.65,3.04429086,2.05578E+11,1.13307E+11,92271291174,21.26915114,16.98519066,4706220000,1249272000,HSY
2018-10-05,103.29,104.68,103.16,104.39,1138139,945883.6,2.995880831,2.07347E+11,1.14341E+11,93006604153,21.61283644,17.25965203,4706220000,1249272000,HSY
2018-10-08,104.01,106.54,104.01,106.23,935482,935250.9,2.943989457,2.07347E+11,1.14341E+11,93006604153,21.99378882,17.56387427,4706220000,1249272000,HSY
2018-10-09,106.02,106.37,104.82,104.92,869818,932623.3,2.980747236,2.05913E+11,1.14076E+11,91837405142,21.72256729,17.34728126,4706220000,1249272000,HSY
2018-10-10,105.13,106,103.65,103.74,1176666,920730.35,3.014652015,2.03231E+11,1.12853E+11,90377739133,21.47826087,17.15218222,4706220000,1249272000,HSY
2018-10-11,104.13,104.35,101.66,102.09,952263,917125.45,3.063375453,1.83485E+11,1.06549E+11,76935661677,21.13664596,16.87937423,4706220000,1249272000,HSY
2018-10-12,102.53,103.73,101.912,103.41,849951,911237.25,3.024272314,1.94991E+11,1.11598E+11,83392610781,21.40993789,17.09762062,4706220000,1249272000,HSY
2018-10-15,103.36,105.39,103.33,104.96,779465,858624.5,2.97961128,1.94991E+11,1.11598E+11,83392610781,21.73084886,17.35389479,4706220000,1249272000,HSY
2018-10-16,104.93,105.7881,104.5,105.5,724719,840860.9,2.96436019,1.97345E+11,1.11946E+11,85398685609,21.8426501,17.4431774,4706220000,1249272000,HSY
2018-10-17,105.41,105.76,104.39,105.19,849033,851318.1,2.973096302,1.97017E+11,1.11543E+11,85474334522,21.77846791,17.39192257,4706220000,1249272000,HSY
2018-10-18,105.41,106.35,103.835,104.58,1578852,886703,2.990437942,1.94592E+11,1.10842E+11,83750118144,21.65217391,17.29106628,4706220000,1249272000,HSY
2018-10-19,105.48,106.7873,105.305,106.58,1303754,882079.1,2.934321636,1.95925E+11,1.11059E+11,84865714154,22.06625259,17.62174263,4706220000,1249272000,HSY
2018-10-22,106.61,107.03,105.415,105.78,941677,898182,2.956513519,1.95925E+11,1.11059E+11,84865714154,21.90062112,17.48947209,4706220000,1249272000,HSY
2018-10-23,105.32,108,105.32,107.71,1437546,927349.55,2.903537276,1.95772E+11,1.10852E+11,84920056402,22.30020704,17.80857477,4706220000,1249272000,HSY
2018-10-24,107.9,109.52,107.57,108.17,1799189,979618.65,2.891189794,1.95701E+11,1.11183E+11,84518746029,22.39544513,17.88463033,4706220000,1249272000,HSY
2018-10-25,101.59,103.93,99.15,102.84,2429045,1075006.1,3.041034617,1.9505E+11,1.10874E+11,84175774083,21.29192547,17.00337786,4706220000,1249272000,HSY
2018-10-26,102.28,103.72,101.4176,102.52,1728255,1128265.25,3.050526726,1.89732E+11,1.08716E+11,81016215717,21.22567288,16.95046964,4706220000,1249272000,HSY
2018-10-29,103.41,107.42,103.41,106,2069094,1192864,2.950377358,1.89732E+11,1.08716E+11,81016215717,21.94616977,17.52584649,4706220000,1249272000,HSY
