time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,350.95,356.1,350.95,355.91,613900,869049.15,0,1.89762E+11,1.1205E+11,77712268006,81.23388036,16.06348668,1348000000,3568000000,ILMN
2018-09-14,357.6,357.77,350.7941,353.12,557008,834972.3,0,1.81181E+11,1.08104E+11,73076389085,80.59708306,15.93756403,1348000000,3568000000,ILMN
2018-09-17,353.05,353.56,346.17,347.22,559886,774337.65,0,1.81181E+11,1.08104E+11,73076389085,79.25045078,15.67127601,1348000000,3568000000,ILMN
2018-09-18,348.17,354.77,348.0035,350.88,516740,739832.3,0,1.87158E+11,1.09457E+11,77700875137,80.08581928,15.83646485,1348000000,3568000000,ILMN
2018-09-19,350.09,351.87,346.24,350.37,423347,714530.1,0,1.88704E+11,1.10446E+11,78258099244,79.96941547,15.81344673,1348000000,3568000000,ILMN
2018-09-20,352.4,356.51,350.98,356.32,577047,713621.45,0,1.9969E+11,1.12265E+11,87424189239,81.32745989,16.08199144,1348000000,3568000000,ILMN
2018-09-21,358.1,360.63,356.5,358.16,1171341,733418.6,0,2.0459E+11,1.13842E+11,90747627086,81.74742656,16.16503719,1348000000,3568000000,ILMN
2018-09-24,356.32,359.33,353.5131,358.25,483317,717919.95,0,2.0459E+11,1.13842E+11,90747627086,81.76796841,16.16909922,1348000000,3568000000,ILMN
2018-09-25,358.75,362,357.02,359.01,727911,716948.25,0,2.01277E+11,1.11221E+11,90056087859,81.94143291,16.20340072,1348000000,3568000000,ILMN
2018-09-26,361.54,365.86,360.48,361.45,744385,702702.8,0,2.01845E+11,1.11794E+11,90050276795,82.49834524,16.31352662,1348000000,3568000000,ILMN
2018-09-27,363,368,362.53,366.98,598762,696919.8,0,2.11505E+11,1.15613E+11,95891491506,83.7605277,16.56311523,1348000000,3568000000,ILMN
2018-09-28,367.46,372.61,364.49,367.06,804873,704224.95,0,2.09591E+11,1.13763E+11,95828541867,79.52595546,15.40331843,1967000000,3812000000,ILMN
2018-10-01,369.15,371.91,365.34,366.54,685295,676667.55,0,2.09591E+11,1.13763E+11,95828541867,79.41329405,15.38149713,1967000000,3812000000,ILMN
2018-10-02,367.18,368.84,361.58,362.14,718196,668839.4,0,2.05038E+11,1.12542E+11,92496364311,78.4600052,15.19685538,1967000000,3812000000,ILMN
2018-10-03,363.59,363.59,358.77,359.6,490825,636172.05,0,2.0318E+11,1.11804E+11,91375173810,77.90969755,15.09026674,1967000000,3812000000,ILMN
2018-10-04,357.98,358.74,342.59,344.71,1230156,658382,0,2.0567E+11,1.13399E+11,92271291174,74.68368143,14.46542227,1967000000,3812000000,ILMN
2018-10-05,334,336.9,326,329.52,2095823,728011.5,0,2.07463E+11,1.14457E+11,93006604153,71.39266834,13.82798858,1967000000,3812000000,ILMN
2018-10-08,329.02,330.06,320.47,325.89,1120063,757228.45,0,2.07463E+11,1.14457E+11,93006604153,70.60620504,13.67565914,1967000000,3812000000,ILMN
2018-10-09,324.96,327.81,321.36,323.74,775626,772259.6,0,2.06022E+11,1.14185E+11,91837405142,70.14039345,13.58543647,1967000000,3812000000,ILMN
2018-10-10,321.58,322.43,304.58,304.76,2123419,850896,0,2.03336E+11,1.12958E+11,90377739133,66.02825201,12.78895909,1967000000,3812000000,ILMN
2018-10-11,304.76,316.115,304.01,307.45,1778990,909150.5,0,1.83571E+11,1.06635E+11,76935661677,66.61105815,12.90184235,1967000000,3812000000,ILMN
2018-10-12,316.55,324.33,316.25,321.69,1923323,977466.25,0,1.95088E+11,1.11695E+11,83392610781,69.69624751,13.4994102,1967000000,3812000000,ILMN
2018-10-15,320.41,321.58,313.3,313.41,774759,988209.9,0,1.95088E+11,1.11695E+11,83392610781,67.90233122,13.15194799,1967000000,3812000000,ILMN
2018-10-16,316.48,328,314.5,326.58,1649977,1044871.75,0,1.97449E+11,1.1205E+11,85398685609,70.75569807,13.70461432,1967000000,3812000000,ILMN
2018-10-17,326.59,329.43,322.74,328.96,835175,1065463.15,0,1.97121E+11,1.11647E+11,85474334522,71.27134067,13.80448872,1967000000,3812000000,ILMN
2018-10-18,329.02,329.93,318.87,321.45,1012079,1087214.75,0,1.94665E+11,1.10914E+11,83750118144,69.64424994,13.48933883,1967000000,3812000000,ILMN
2018-10-19,324,328.43,312.71,313.1,1482926,1102794,0,1.95999E+11,1.11134E+11,84865714154,67.83516769,13.13893914,1967000000,3812000000,ILMN
2018-10-22,314.81,318.98,310.82,317.23,903093,1123782.8,0,1.95999E+11,1.11134E+11,84865714154,68.72995927,13.3122506,1967000000,3812000000,ILMN
2018-10-23,311.71,314.91,301.63,313.8,1727771,1173775.8,0,1.9584E+11,1.1092E+11,84920056402,67.98682728,13.16831396,1967000000,3812000000,ILMN
2018-10-24,310.58,320.03,288.92,289.5,2769554,1275034.25,0,1.95776E+11,1.11257E+11,84518746029,62.72207297,12.14858793,1967000000,3812000000,ILMN
2018-10-25,292.82,300.86,289.3719,298.14,1556376,1322914.95,0,1.95116E+11,1.1094E+11,84175774083,64.59398561,12.51115719,1967000000,3812000000,ILMN
2018-10-26,290.74,300.71,286.14,295.1,1524718,1358907.2,0,1.89793E+11,1.08777E+11,81016215717,63.93534968,12.38358652,1967000000,3812000000,ILMN
2018-10-29,301.57,303.23,286.19,292.25,1354978,1392391.35,0,1.89793E+11,1.08777E+11,81016215717,63.3178785,12.26398903,1967000000,3812000000,ILMN
2018-10-30,292.81,304.05,289.27,303.75,1232320,1418097.55,0,1.9046E+11,1.08843E+11,81616739670,65.80942889,12.74657542,1967000000,3812000000,ILMN
2018-10-31,308.3,316.9,307.328,311.15,1228025,1454957.55,0,1.9197E+11,1.09446E+11,82523713021,67.41268741,13.05710927,1967000000,3812000000,ILMN
