time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,19.14,19.6602,19,19.05,972562,736682.15,0.262467192,1.89762E+11,1.1205E+11,77712268006,6.83211993,3.143611044,107205000,739496000,LBRT
2018-09-14,18.86,20.45,18.86,19.97,1252756,774806.7,0.250375563,1.81181E+11,1.08104E+11,73076389085,7.162070079,3.29542848,107205000,739496000,LBRT
2018-09-17,19.9,20.61,19.84,20,1820803,845886.55,0.25,1.81181E+11,1.08104E+11,73076389085,7.172829323,3.300379049,107205000,739496000,LBRT
2018-09-18,20.12,21.19,20.12,21,986247,872882,0.238095238,1.87158E+11,1.09457E+11,77700875137,7.531470789,3.465398001,107205000,739496000,LBRT
2018-09-19,20.94,22,20.94,21.43,2069315,940093.65,0.233317779,1.88704E+11,1.10446E+11,78258099244,7.685686619,3.536356151,107205000,739496000,LBRT
2018-09-20,21.55,21.98,21.41,21.78,1334920,968569.15,0.229568411,1.9969E+11,1.12265E+11,87424189239,7.811211132,3.594112784,107205000,739496000,LBRT
2018-09-21,22.05,22.2,21.5,21.67,5690394,1224701.3,0.230733733,2.0459E+11,1.13842E+11,90747627086,7.771760571,3.575960699,107205000,739496000,LBRT
2018-09-24,21.94,21.94,20.9,21.61,1520581,1268018,0.231374364,2.0459E+11,1.13842E+11,90747627086,7.750242083,3.566059562,107205000,739496000,LBRT
2018-09-25,21.96,22.45,21.468,21.68,1336696,1294904.35,0.230627306,2.01277E+11,1.11221E+11,90056087859,7.775346986,3.577610889,107205000,739496000,LBRT
2018-09-26,21.66,21.79,21.08,21.15,657411,1303911.4,0.236406619,2.01845E+11,1.11794E+11,90050276795,7.585267009,3.490150844,107205000,739496000,LBRT
2018-09-27,21.09,21.73,20.6604,21.51,541929,1306649.2,0.232450023,2.11505E+11,1.15613E+11,95891491506,7.714377936,3.549557667,107205000,739496000,LBRT
2018-09-28,21.38,22.15,21.2,21.57,519878,1301006.8,0.231803431,2.09591E+11,1.13763E+11,95828541867,9.129772285,3.473513853,107084000,743596000,LBRT
2018-10-01,21.7,22.87,21.31,22.64,1221580,1335199.6,0.220848057,2.09591E+11,1.13763E+11,95828541867,9.582663168,3.645820753,107084000,743596000,LBRT
2018-10-02,22.64,23.3,22.34,22.6,1277987,1369098.15,0.221238938,2.05038E+11,1.12542E+11,92496364311,9.565732667,3.639379373,107084000,743596000,LBRT
2018-10-03,22.72,23.13,22.37,22.96,336214,1338923.8,0.217770035,2.0318E+11,1.11804E+11,91375173810,9.71810717,3.697351788,107084000,743596000,LBRT
2018-10-04,22.92,23.51,22.11,22.2,981701,1350842.95,0.225225225,2.0567E+11,1.13399E+11,92271291174,9.396427664,3.574965579,107084000,743596000,LBRT
2018-10-05,22.26,22.85,21.88,22.3,771576,1353831.45,0.224215247,2.07463E+11,1.14457E+11,93006604153,9.438753915,3.591069027,107084000,743596000,LBRT
2018-10-08,22.1,22.45,21.82,22.11,748579,1336310.05,0.226142017,2.07463E+11,1.14457E+11,93006604153,9.358334039,3.560472475,107084000,743596000,LBRT
2018-10-09,22.01,22.58,21.86,21.95,719046,1310381.25,0.227790433,2.06022E+11,1.14185E+11,91837405142,9.290612038,3.534706957,107084000,743596000,LBRT
2018-10-10,22.04,22.13,20.8,20.88,736294,1274823.45,0.239463602,2.03336E+11,1.12958E+11,90377739133,8.837721155,3.362400058,107084000,743596000,LBRT
2018-10-11,20.8,21.05,20.23,20.4,625184,1257454.55,0.245098039,1.83571E+11,1.06635E+11,76935661677,8.634555151,3.285103505,107084000,743596000,LBRT
2018-10-12,20.86,20.86,19.84,20.08,635062,1226569.85,0.249003984,1.95088E+11,1.11695E+11,83392610781,8.499111149,3.23357247,107084000,743596000,LBRT
2018-10-15,20.13,20.505,19.68,20.45,1014184,1186238.9,0.244498778,1.95088E+11,1.11695E+11,83392610781,8.655718276,3.293155229,107084000,743596000,LBRT
2018-10-16,20.66,21.33,20.25,21.14,966350,1185244.05,0.236518448,1.97449E+11,1.1205E+11,85398685609,8.947769407,3.404269024,107084000,743596000,LBRT
2018-10-17,20.95,21.24,20.56,20.97,323913,1097973.95,0.238435861,1.97121E+11,1.11647E+11,85474334522,8.87581478,3.376893162,107084000,743596000,LBRT
2018-10-18,20.49,21.055,20.14,20.28,393150,1050885.45,0.246548323,1.94665E+11,1.10914E+11,83750118144,8.58376365,3.265779367,107084000,743596000,LBRT
2018-10-19,20.33,20.41,18.83,18.91,980904,815410.95,0.264410365,1.95999E+11,1.11134E+11,84865714154,8.003894015,3.045162121,107084000,743596000,LBRT
2018-10-22,18.88,19.21,18.08,18.32,603858,769574.8,0.272925764,1.95999E+11,1.11134E+11,84865714154,7.754169136,2.950151775,107084000,743596000,LBRT
