time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,43.66,43.9,43.36,43.9,807467,951485.15,3.007972665,1.89697E+11,1.11985E+11,77712268006,20.98771334,2.358845402,5566100000,4550700000,LNT
2018-09-14,43.68,43.87,43.23,43.83,1172406,966061.8,3.012776637,1.81112E+11,1.08036E+11,73076389085,20.95424774,2.355084145,5566100000,4550700000,LNT
2018-09-17,43.96,44.07,43.69,43.99,862880,952367.6,3.001818595,1.81112E+11,1.08036E+11,73076389085,21.03074055,2.363681303,5566100000,4550700000,LNT
2018-09-18,44.16,44.18,43.63,43.84,1178763,959489.7,3.012089416,1.87093E+11,1.09392E+11,77700875137,20.95902854,2.355621467,5566100000,4550700000,LNT
2018-09-19,43.9,43.92,42.62,42.84,1370090,981115.5,3.082399627,1.8863E+11,1.10372E+11,78258099244,20.48094851,2.301889226,5566100000,4550700000,LNT
2018-09-20,42.78,43.12,42.47,43.12,931317,987000.15,3.062384045,1.99616E+11,1.12192E+11,87424189239,20.61481092,2.316934253,5566100000,4550700000,LNT
2018-09-21,43.1,43.47,42.78,43.23,2963909,1083288.1,3.054591719,2.04518E+11,1.13771E+11,90747627086,20.66739972,2.3228448,5566100000,4550700000,LNT
2018-09-24,43.18,43.31,42.92,42.92,1303226,1107184.9,3.07665424,2.04518E+11,1.13771E+11,90747627086,20.51919491,2.306187805,5566100000,4550700000,LNT
2018-09-25,42.88,42.89,42.19,42.24,837345,1114120.85,3.126183712,2.01204E+11,1.11148E+11,90056087859,20.19410049,2.269649881,5566100000,4550700000,LNT
2018-09-26,42.38,42.565,41.76,41.78,1280678,1136897.9,3.160603159,2.01772E+11,1.11721E+11,90050276795,19.97418368,2.24493305,5566100000,4550700000,LNT
2018-09-27,41.88,42.45,41.73,42.06,2054965,1203885.55,3.13956253,2.1143E+11,1.15539E+11,95891491506,20.10804609,2.259978077,5566100000,4550700000,LNT
2018-09-28,42.27,42.59,42.15,42.57,2945050,1308002.55,3.10194973,2.0951E+11,1.13681E+11,95828541867,19.04953685,2.197578688,5891100000,4770400000,LNT
2018-10-01,42.43,42.55,42.16,42.41,1760859,1332230.35,3.11365244,2.0951E+11,1.13681E+11,95828541867,18.97793887,2.189319055,5891100000,4770400000,LNT
2018-10-02,42.53,43.29,42.42,43.12,1620473,1367312.65,3.062384045,2.04957E+11,1.1246E+11,92496364311,19.2956549,2.225971178,5891100000,4770400000,LNT
2018-10-03,43.1,43.3,42.135,42.56,1530054,1395857.85,3.102678571,2.03099E+11,1.11724E+11,91375173810,19.04506198,2.197062461,5891100000,4770400000,LNT
2018-10-04,42.43,42.92,42.03,42.77,1158241,1399154.8,3.08744447,2.05578E+11,1.13307E+11,92271291174,19.13903432,2.20790323,5891100000,4770400000,LNT
2018-10-05,42.77,43.74,42.77,43.61,1284004,1392111.4,3.027975235,2.07347E+11,1.14341E+11,93006604153,19.5149237,2.251266305,5891100000,4770400000,LNT
2018-10-08,43.71,44.44,43.65,44.11,1433020,1409516.55,2.993652233,2.07347E+11,1.14341E+11,93006604153,19.73866738,2.277077659,5891100000,4770400000,LNT
2018-10-09,44.18,44.54,43.9,44.1,1674594,1447433.95,2.994331066,2.05913E+11,1.14076E+11,91837405142,19.73419251,2.276561432,5891100000,4770400000,LNT
2018-10-10,43.98,44.7,43.91,43.91,1863088,1501621.45,3.007287634,2.03231E+11,1.12853E+11,90377739133,19.64916991,2.266753117,5891100000,4770400000,LNT
2018-10-11,44.12,44.12,42.55,42.62,2502794,1586387.8,3.098310652,1.83485E+11,1.06549E+11,76935661677,19.07191122,2.200159824,5891100000,4770400000,LNT
2018-10-12,42.53,42.67,42.01,42.46,1586041,1607069.55,3.109985869,1.94991E+11,1.11598E+11,83392610781,19.00031324,2.191900191,5891100000,4770400000,LNT
2018-10-15,42.47,42.87,42.35,42.56,1727842,1650317.65,3.102678571,1.94991E+11,1.11598E+11,83392610781,19.04506198,2.197062461,5891100000,4770400000,LNT
2018-10-16,42.57,43.32,42.29,43.08,1279206,1655339.8,3.065227484,1.97345E+11,1.11946E+11,85398685609,19.2777554,2.22390627,5891100000,4770400000,LNT
2018-10-17,43.05,43.3007,42.82,43.23,1232625,1648466.55,3.054591719,1.97017E+11,1.11543E+11,85474334522,19.34487851,2.231649676,5891100000,4770400000,LNT
2018-10-18,43.31,43.55,43.08,43.32,1193569,1661579.15,3.048245614,1.94592E+11,1.10842E+11,83750118144,19.38515237,2.23629572,5891100000,4770400000,LNT
2018-10-19,43.38,44.23,43.35,44.05,1550602,1590913.8,2.997729852,1.95925E+11,1.11059E+11,84865714154,19.71181814,2.273980297,5891100000,4770400000,LNT
2018-10-22,43.98,44.17,43.48,43.67,1103036,1580904.3,3.023814976,1.95925E+11,1.11059E+11,84865714154,19.54177294,2.254363668,5891100000,4770400000,LNT
2018-10-23,43.94,44.16,43.34,43.6,1618663,1619970.2,3.028669725,1.95772E+11,1.10852E+11,84920056402,19.51044883,2.250750078,5891100000,4770400000,LNT
2018-10-24,43.76,44.57,43.44,44.34,1660776,1638975.1,2.97812359,1.95701E+11,1.11183E+11,84518746029,19.84158948,2.288950882,5891100000,4770400000,LNT
2018-10-25,44,44.0048,43.19,43.52,1873221,1629887.9,3.034237132,1.9505E+11,1.10874E+11,84175774083,19.47464984,2.246620261,5891100000,4770400000,LNT
2018-10-26,43.7,43.85,42.52,42.86,2130307,1589150.75,3.080961269,1.89732E+11,1.08716E+11,81016215717,19.17930818,2.212549274,5891100000,4770400000,LNT
2018-10-29,42.92,43.75,42.92,43.63,1657456,1583980.6,3.026587211,1.89732E+11,1.08716E+11,81016215717,19.52387345,2.252298759,5891100000,4770400000,LNT
2018-10-30,43.53,43.68,42.92,43.51,1974930,1601703.45,3.080900942,1.90395E+11,1.08779E+11,81616739670,19.47017497,2.246104034,5891100000,4770400000,LNT
2018-10-31,43.14,43.37,42.55,42.98,2176183,1634009.9,3.118892508,1.91902E+11,1.09378E+11,82523713021,19.23300667,2.218743999,5891100000,4770400000,LNT
2018-11-01,42.98,43.07,42.63,42.86,1814346,1666815.15,3.127624825,1.93163E+11,1.10045E+11,83118198356,19.17930818,2.212549274,5891100000,4770400000,LNT
2018-11-02,43.03,43.13,42.22,42.47,1850107,1695120.3,3.156345656,2.00777E+11,1.1117E+11,89607134831,19.00478811,2.192416418,5891100000,4770400000,LNT
2018-11-05,42.6,43.16,42.59,42.95,1658560,1706397.3,3.121071013,2.00777E+11,1.1117E+11,89607134831,19.21958205,2.217195318,5891100000,4770400000,LNT
2018-11-06,43.01,43.42,42.96,43.36,1331009,1689218.05,3.091559041,2.07338E+11,1.1195E+11,95388296830,19.40305186,2.238360628,5891100000,4770400000,LNT
2018-11-07,44.18,44.28,43.32,43.83,2145035,1703315.4,3.058407483,2.06574E+11,1.1289E+11,93684559229,19.61337092,2.262623301,5891100000,4770400000,LNT
2018-11-08,43.91,44,43.295,43.83,1307734,1643562.4,3.058407483,2.01033E+11,1.11241E+11,89792294563,19.61337092,2.262623301,5891100000,4770400000,LNT
2018-11-09,43.87,44.74,43.82,44.61,1448368,1636678.75,3.00493163,1.98553E+11,1.09764E+11,88789300862,19.96241106,2.302889013,5891100000,4770400000,LNT
2018-11-12,44.44,45.73,44.3,45.19,2003652,1650469.25,2.96636424,1.98553E+11,1.09764E+11,88789300862,20.22195373,2.332830184,5891100000,4770400000,LNT
2018-11-13,45.26,45.36,44.77,45.12,2698208,1721419.35,2.970966312,1.95411E+11,1.08782E+11,86629248365,20.19062961,2.329216594,5891100000,4770400000,LNT
2018-11-14,44.9,45.06,44.505,44.66,1821568,1750866.5,3.001567398,1.74307E+11,97236837675,77069689202,19.98478543,2.305470149,5891100000,4770400000,LNT
2018-11-15,44.4,45.23,44.12,45.12,1791404,1780758.25,2.970966312,1.74145E+11,97056130000,77088823597,20.19062961,2.329216594,5891100000,4770400000,LNT
2018-11-16,45.58,45.69,44.93,45.25,1219761,1764216.2,2.962430939,1.47887E+11,82323313505,65564074967,20.24880297,2.335927546,5891100000,4770400000,LNT
2018-11-19,45.22,45.64,45.03,45.38,1535007,1785814.75,2.953944469,1.47887E+11,82323313505,65564074967,20.30697633,2.342638499,5891100000,4770400000,LNT
