time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,165.45,165.46,161.7,162.4,3663571,2810992.6,2.487684729,1.89697E+11,1.11985E+11,77712268006,23.84728341,-21.53306399,30979900000,-5851000000,MCD
2018-09-14,163,163.11,160.25,160.84,3939824,2866867.55,2.511812982,1.81112E+11,1.08036E+11,73076389085,23.61820852,-21.32621929,30979900000,-5851000000,MCD
2018-09-17,159.55,159.82,156.56,158.14,5360039,3008498.4,2.554698369,1.81112E+11,1.08036E+11,73076389085,23.22173275,-20.96821884,30979900000,-5851000000,MCD
2018-09-18,158.17,159.08,157.58,157.77,3722864,3061666.45,2.560689611,1.87093E+11,1.09392E+11,77700875137,23.16740088,-20.91915952,30979900000,-5851000000,MCD
2018-09-19,158.71,159.49,157.72,159.18,2821953,3106719.25,2.538007287,1.8863E+11,1.10372E+11,78258099244,23.37444934,-21.10611531,30979900000,-5851000000,MCD
2018-09-20,160.21,161.05,159.37,160.79,3218707,3149577.65,2.512594067,1.99616E+11,1.12192E+11,87424189239,23.61086637,-21.31958965,30979900000,-5851000000,MCD
2018-09-21,162.71,165.3,162.51,165.3,8805474,3452061,2.444041137,2.04518E+11,1.13771E+11,90747627086,24.27312775,-21.91758299,30979900000,-5851000000,MCD
2018-09-24,163.9,164.08,161.12,163.31,4375289,3560853.45,2.473822791,2.04518E+11,1.13771E+11,90747627086,23.98091043,-21.6537234,30979900000,-5851000000,MCD
2018-09-25,164.59,167.18,164.07,166.41,5282930,3693644.15,2.427738718,2.01204E+11,1.11148E+11,90056087859,24.43612335,-22.06476096,30979900000,-5851000000,MCD
2018-09-26,166.4,167.51,165.55,165.76,3092556,3741364.05,2.437258687,2.01772E+11,1.11721E+11,90050276795,24.34067548,-21.97857566,30979900000,-5851000000,MCD
2018-09-27,165.62,167.27,165.3,166.53,2390670,3702486,2.425989311,2.1143E+11,1.15539E+11,95891491506,24.45374449,-22.08067209,30979900000,-5851000000,MCD
2018-09-28,166.74,167.83,166.51,167.29,3390221,3720060.2,2.41496802,2.0951E+11,1.13681E+11,95828541867,25.38543247,-18.98593391,31895200000,-6792600000,MCD
2018-10-01,168.37,168.95,166.66,166.67,3126616,3693902.6,2.423951521,2.0951E+11,1.13681E+11,95828541867,25.29135053,-18.9155694,31895200000,-6792600000,MCD
2018-10-02,166.35,167.0377,165.18,165.18,3071198,3682648.9,2.445816685,2.04957E+11,1.1246E+11,92496364311,25.06525038,-18.74646759,31895200000,-6792600000,MCD
2018-10-03,166.1,167.6,164.37,164.66,3830275,3736703.95,2.453540629,2.03099E+11,1.11724E+11,91375173810,24.98634294,-18.68745219,31895200000,-6792600000,MCD
2018-10-04,164.89,166.07,164.5,165.8,3230440,3741538.25,2.436670688,2.05578E+11,1.13307E+11,92271291174,25.15933232,-18.8168321,31895200000,-6792600000,MCD
2018-10-05,166.24,167.49,165.79,166.57,2822503,3739247.95,2.425406736,2.07347E+11,1.14341E+11,93006604153,25.27617602,-18.90422028,31895200000,-6792600000,MCD
2018-10-08,166.25,168.17,166.12,167.77,2560488,3713268.25,2.408058652,2.07347E+11,1.14341E+11,93006604153,25.45827011,-19.04040966,31895200000,-6792600000,MCD
2018-10-09,168.16,170.56,167.81,169.83,4158072,3773852.2,2.378849438,2.05913E+11,1.14076E+11,91837405142,25.77086495,-19.27420142,31895200000,-6792600000,MCD
2018-10-10,171.99,172,168.22,168.37,4190540,3852711.5,2.399477342,2.03231E+11,1.12853E+11,90377739133,25.54931715,-19.10850435,31895200000,-6792600000,MCD
2018-10-11,166.41,167.67,161.82,162.97,5430672,3941066.55,2.478983862,1.83485E+11,1.06549E+11,76935661677,24.72989378,-18.49565215,31895200000,-6792600000,MCD
2018-10-12,163.93,164.96,161.86,163.82,3446093,3916380,2.466121353,1.94991E+11,1.11598E+11,83392610781,24.85887709,-18.59211963,31895200000,-6792600000,MCD
2018-10-15,164.69,165.47,163.64,163.67,4265948,3861675.45,2.468381499,1.94991E+11,1.11598E+11,83392610781,24.83611533,-18.57509596,31895200000,-6792600000,MCD
2018-10-16,163.44,164.46,162.9,164.07,4094663,3880265.4,2.462363625,1.97345E+11,1.11946E+11,85398685609,24.89681335,-18.62049242,31895200000,-6792600000,MCD
2018-10-17,164.47,167.73,164.11,166.77,3608363,3919585.9,2.422498051,1.97017E+11,1.11543E+11,85474334522,25.30652504,-18.92691851,31895200000,-6792600000,MCD
2018-10-18,166.64,167.9938,165.766,166.81,3378587,3927579.9,2.421917151,1.94592E+11,1.10842E+11,83750118144,25.31259484,-18.93145816,31895200000,-6792600000,MCD
2018-10-19,166.39,168.15,166.3,167.49,3509973,3662804.85,2.412084304,1.95925E+11,1.11059E+11,84865714154,25.41578149,-19.00863214,31895200000,-6792600000,MCD
2018-10-22,167.98,169.81,166.19,166.63,5703547,3729217.75,2.424533397,1.95925E+11,1.11059E+11,84865714154,25.28528073,-18.91102975,31895200000,-6792600000,MCD
2018-10-23,171.2,177.87,170.5,177.15,12918331,4110987.8,2.280553203,1.95772E+11,1.10852E+11,84920056402,26.88163885,-20.10495661,31895200000,-6792600000,MCD
2018-10-24,176.13,178,174.43,177.35,7866377,4349678.85,2.277981393,1.95701E+11,1.11183E+11,84518746029,26.91198786,-20.12765484,31895200000,-6792600000,MCD
2018-10-25,177.56,178.27,174.6029,175.31,4646367,4462463.7,2.304489191,1.9505E+11,1.10874E+11,84175774083,26.60242792,-19.8961329,31895200000,-6792600000,MCD
2018-10-26,174.6,174.93,172.6,173.34,4741914,4530048.35,2.330679589,1.89732E+11,1.08716E+11,81016215717,26.30349014,-19.67255534,31895200000,-6792600000,MCD
2018-10-29,175,176.16,172.22,173.23,3485180,4547976.55,2.332159557,1.89732E+11,1.08716E+11,81016215717,26.28679818,-19.66007132,31895200000,-6792600000,MCD
2018-10-30,173.51,178.59,173.44,178.49,5582931,4673563.2,2.263432125,1.90395E+11,1.08779E+11,81616739670,27.08497724,-20.25703475,31895200000,-6792600000,MCD
2018-10-31,178.81,178.96,176.37,176.9,5424712,4753285.05,2.283776145,1.91902E+11,1.09378E+11,82523713021,26.84370258,-20.07658383,31895200000,-6792600000,MCD
2018-11-01,176.67,177.35,174.7,174.88,3701151,4776820.6,2.310155535,1.93163E+11,1.10045E+11,83118198356,26.53717754,-19.84733171,31895200000,-6792600000,MCD
2018-11-02,176.45,176.99,174,176.75,4190863,4845238.6,2.285714286,2.00777E+11,1.1117E+11,89607134831,26.82094082,-20.05956015,31895200000,-6792600000,MCD
2018-11-05,177.41,181.1,177,180.39,4747298,4954579.1,2.239591995,2.00777E+11,1.1117E+11,89607134831,27.37329287,-20.47266793,31895200000,-6792600000,MCD
2018-11-06,180.03,182.86,179.49,182.71,4864654,4989908.2,2.211154288,2.07338E+11,1.1195E+11,95388296830,27.72534143,-20.73596739,31895200000,-6792600000,MCD
2018-11-07,183,184.48,181.88,184.25,4363930,4998577.7,2.192672999,2.06574E+11,1.1289E+11,93684559229,27.95902883,-20.91074375,31895200000,-6792600000,MCD
