time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,15.51,15.739,15.27,15.45,77279,124156.05,1.363754045,1.89697E+11,1.11985E+11,77712268006,29.23921272,2.939799751,5311591.427,118695558.6,MIXT
2018-09-14,15.47,15.5,15.2466,15.34,40928,121223.4,1.373533246,1.81112E+11,1.08036E+11,73076389085,29.03103709,2.918869138,5311591.427,118695558.6,MIXT
2018-09-17,15.23,15.23,14.6,14.76,134555,123524,1.427506775,1.81112E+11,1.08036E+11,73076389085,27.9333838,2.808507723,5311591.427,118695558.6,MIXT
2018-09-18,14.69,14.83,14.51,14.77,63895,120510.95,1.426540284,1.87093E+11,1.09392E+11,77700875137,27.95230886,2.810410506,5311591.427,118695558.6,MIXT
2018-09-19,14.67,14.82,14.52,14.76,51207,119777.5,1.427506775,1.8863E+11,1.10372E+11,78258099244,27.9333838,2.808507723,5311591.427,118695558.6,MIXT
2018-09-20,14.83,15.1,14.631,14.7,39059,118324.65,1.433333333,1.99616E+11,1.12192E+11,87424189239,27.81983346,2.797091025,5311591.427,118695558.6,MIXT
2018-09-21,14.69,15.02,14.69,14.88,65940,119840.85,1.415994624,2.04518E+11,1.13771E+11,90747627086,28.16048448,2.83134112,5311591.427,118695558.6,MIXT
2018-09-24,14.83,14.94,14.7752,14.86,110939,122697.25,1.417900404,2.04518E+11,1.13771E+11,90747627086,28.12263437,2.827535554,5311591.427,118695558.6,MIXT
2018-09-25,14.8965,14.99,14.8,14.9,68171,120277.1,1.41409396,2.01204E+11,1.11148E+11,90056087859,28.1983346,2.835146686,5311591.427,118695558.6,MIXT
2018-09-26,14.99,14.99,14.6,14.65,103426,120157.45,1.438225256,2.01772E+11,1.11721E+11,90050276795,27.72520818,2.78757711,5311591.427,118695558.6,MIXT
2018-09-27,14.59,14.66,14.25,14.33,151917,119030.95,1.47034194,2.1143E+11,1.15539E+11,95891491506,27.11960636,2.726688054,5311591.427,118695558.6,MIXT
2018-09-28,14.24,14.56,14.09,14.44,103928,120626.9,1.459141274,2.0951E+11,1.13681E+11,95828541867,23.40356564,2.754768382,5580991.079,119463227.6,MIXT
2018-10-01,14.47,14.47,13.75,13.82,95261,102653.55,1.524602026,2.0951E+11,1.13681E+11,95828541867,22.3987034,2.636488853,5580991.079,119463227.6,MIXT
2018-10-02,13.17,13.5297,13.01,13.07,333213,114622.95,1.612088753,2.04957E+11,1.1246E+11,92496364311,21.18314425,2.493408778,5580991.079,119463227.6,MIXT
2018-10-03,13.07,13.93,13.07,13.85,388626,119329.95,1.521299639,2.03099E+11,1.11724E+11,91375173810,22.44732577,2.642212056,5580991.079,119463227.6,MIXT
2018-10-04,13.85,13.85,13.14,13.31,200345,124731.35,1.583020285,2.05578E+11,1.13307E+11,92271291174,21.57212318,2.539194402,5580991.079,119463227.6,MIXT
2018-10-05,13.25,13.69,13.25,13.5,86597,125334.4,1.560740741,2.07347E+11,1.14341E+11,93006604153,21.88006483,2.575441354,5580991.079,119463227.6,MIXT
2018-10-08,13.34,13.72,13.12,13.28,107857,127910.85,1.586596386,2.07347E+11,1.14341E+11,93006604153,21.52350081,2.533471199,5580991.079,119463227.6,MIXT
2018-10-09,13.27,13.66,13.27,13.61,68588,129633.5,1.548126378,2.05913E+11,1.14076E+11,91837405142,22.05834684,2.596426432,5580991.079,119463227.6,MIXT
2018-10-10,13.67,14.72,13.616,14.19,306503,129911.7,1.484848485,2.03231E+11,1.12853E+11,90377739133,22.99837925,2.707075024,5580991.079,119463227.6,MIXT
2018-10-11,14.15,14.61,13.93,14.52,190980,135596.75,1.451101928,1.83485E+11,1.06549E+11,76935661677,23.53322528,2.770030257,5580991.079,119463227.6,MIXT
2018-10-12,14.4,14.64,14.225,14.52,235585,145329.6,1.451101928,1.94991E+11,1.11598E+11,83392610781,23.53322528,2.770030257,5580991.079,119463227.6,MIXT
