time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,112.12,113.725,112.12,112.91,26055620,21537859.5,1.487910725,1.89762E+11,1.1205E+11,77712268006,53.51184834,10.47910027,87508000000,82718000000,MSFT
2018-09-14,113.36,113.73,112.44,113.37,19122349,21424762.5,1.481873512,1.81181E+11,1.08104E+11,73076389085,53.72985782,10.52179256,87508000000,82718000000,MSFT
2018-09-17,113.69,113.7,111.86,112.14,20736516,21558512.7,1.498127341,1.81181E+11,1.08104E+11,73076389085,53.14691943,10.40763709,87508000000,82718000000,MSFT
2018-09-18,112.19,113.695,111.72,113.21,22170934,21771349.35,1.483967847,1.87158E+11,1.09457E+11,77700875137,53.65402844,10.50694307,87508000000,82718000000,MSFT
2018-09-19,113.05,113.32,111.035,111.7,21728429,21713677.75,1.504028648,1.88704E+11,1.10446E+11,78258099244,52.93838863,10.36680099,87508000000,82718000000,MSFT
2018-09-20,112.28,113.8,111.93,113.57,23714512,21999371.4,1.47926389,1.9969E+11,1.12265E+11,87424189239,53.82464455,10.54035442,87508000000,82718000000,MSFT
2018-09-21,114,115.29,113.51,114.26,71229698,24652470.15,1.470330824,2.0459E+11,1.13842E+11,90747627086,54.15165877,10.60439285,87508000000,82718000000,MSFT
2018-09-24,113.03,114.9,112.2175,114.67,27334460,25157492.15,1.46507369,2.0459E+11,1.13842E+11,90747627086,54.34597156,10.64244467,87508000000,82718000000,MSFT
2018-09-25,114.8,115.1,113.75,114.45,22668014,25307776.3,1.467889908,2.01277E+11,1.11221E+11,90056087859,54.24170616,10.62202662,87508000000,82718000000,MSFT
2018-09-26,114.47,115.055,113.74,113.98,19352025,25317801.15,1.473942797,2.01845E+11,1.11794E+11,90050276795,54.01895735,10.57840624,87508000000,82718000000,MSFT
2018-09-27,114.78,114.91,114.2,114.41,19091299,25231463.9,1.468403112,2.11505E+11,1.15613E+11,95891491506,54.22274882,10.61831425,87508000000,82718000000,MSFT
2018-09-28,114.19,114.57,113.68,114.37,21647811,25173919.35,1.468916674,2.09591E+11,1.13763E+11,95828541867,47.45643154,10.21742743,87928000000,85967000000,MSFT
2018-10-01,114.75,115.68,114.73,115.61,18883079,24956937.65,1.453161491,2.09591E+11,1.13763E+11,95828541867,47.97095436,10.32820482,87928000000,85967000000,MSFT
2018-10-02,115.3,115.84,114.44,115.15,20787239,24864567.55,1.458966565,2.05038E+11,1.12542E+11,92496364311,47.78008299,10.28710998,87928000000,85967000000,MSFT
2018-10-03,115.42,116.18,114.93,115.17,16648018,24053350.85,1.458713207,2.0318E+11,1.11804E+11,91375173810,47.78838174,10.28889671,87928000000,85967000000,MSFT
2018-10-04,114.61,114.7588,111.63,112.79,34821717,24620555.5,1.489493749,2.0567E+11,1.13399E+11,92271291174,46.80082988,10.07627559,87928000000,85967000000,MSFT
2018-10-05,112.63,113.17,110.64,112.13,29068859,24949066.15,1.498260947,2.07463E+11,1.14457E+11,93006604153,46.52697095,10.01731343,87928000000,85967000000,MSFT
2018-10-08,111.66,112.03,109.34,110.85,29640588,25394700.25,1.51556157,2.07463E+11,1.14457E+11,93006604153,45.99585062,9.90296258,87928000000,85967000000,MSFT
2018-10-09,111.14,113.08,110.8,112.26,26198594,25489541.25,1.496525922,2.06022E+11,1.14185E+11,91837405142,46.58091286,10.02892719,87928000000,85967000000,MSFT
2018-10-10,111.24,111.5,105.79,106.16,61376315,27613803.8,1.582516956,2.03336E+11,1.12958E+11,90377739133,44.04979253,9.483973907,87928000000,85967000000,MSFT
2018-10-11,105.35,108.93,104.2,105.91,63904282,29506236.9,1.586252479,1.83571E+11,1.06635E+11,76935661677,43.94605809,9.461639756,87928000000,85967000000,MSFT
2018-10-12,109.01,111.24,107.12,109.57,47742109,30937224.9,1.533266405,1.95088E+11,1.11695E+11,83392610781,45.46473029,9.788611727,87928000000,85967000000,MSFT
2018-10-15,108.91,109.48,106.9468,107.6,32068103,31503804.25,1.56133829,1.95088E+11,1.11695E+11,83392610781,44.6473029,9.612618617,87928000000,85967000000,MSFT
2018-10-16,109.54,111.41,108.95,111,31610164,31975765.75,1.513513514,1.97449E+11,1.1205E+11,85398685609,46.05809129,9.916363071,87928000000,85967000000,MSFT
2018-10-17,111.68,111.81,109.5482,110.71,26548243,32216756.45,1.517478096,1.97121E+11,1.11647E+11,85474334522,45.93775934,9.890455456,87928000000,85967000000,MSFT
2018-10-18,110.1,110.53,107.83,108.5,32506192,32656340.45,1.548387097,1.94665E+11,1.10914E+11,83750118144,45.02074689,9.69302156,87928000000,85967000000,MSFT
2018-10-19,108.93,110.86,108.21,108.66,32785475,30734129.3,1.546107123,1.95999E+11,1.11134E+11,84865714154,45.08713693,9.707315417,87928000000,85967000000,MSFT
2018-10-22,109.32,110.54,108.24,109.63,26545607,30694686.65,1.532427255,1.95999E+11,1.11134E+11,84865714154,45.48962656,9.793971923,87928000000,85967000000,MSFT
2018-10-23,107.77,108.97,105.11,108.1,43770429,31749807.4,1.554116559,1.9584E+11,1.1092E+11,84920056402,44.85477178,9.657286919,87928000000,85967000000,MSFT
2018-10-24,108.41,108.49,101.5901,102.32,63897759,33977094.1,1.64190774,1.95776E+11,1.11257E+11,84518746029,42.45643154,9.140921346,87928000000,85967000000,MSFT
2018-10-25,106.55,109.27,106.15,108.3,61646819,36104870.1,1.551246537,1.95116E+11,1.1094E+11,84175774083,44.93775934,9.67515424,87928000000,85967000000,MSFT
2018-10-26,105.69,108.75,104.76,106.96,55523104,37798634.75,1.570680628,1.89793E+11,1.08777E+11,81016215717,44.38174274,9.55544319,87928000000,85967000000,MSFT
2018-10-29,108.105,108.7,101.63,103.85,55162001,39612580.85,1.617717862,1.89793E+11,1.08777E+11,81016215717,43.09128631,9.277606351,87928000000,85967000000,MSFT
2018-10-30,103.66,104.38,100.11,103.73,65350878,41840762.8,1.619589318,1.9046E+11,1.08843E+11,81616739670,43.04149378,9.266885958,87928000000,85967000000,MSFT
2018-10-31,105.435,108.14,105.39,106.81,51062383,43561481.05,1.572886434,1.9197E+11,1.09446E+11,82523713021,44.31950207,9.542042699,87928000000,85967000000,MSFT
2018-11-01,107.05,107.32,105.53,105.92,33384201,43489605.25,1.586102719,1.9323E+11,1.10112E+11,83118198356,43.95020747,9.462533122,87928000000,85967000000,MSFT
2018-11-02,106.48,107.32,104.975,106.16,37680194,43920172,1.582516956,2.00838E+11,1.11231E+11,89607134831,44.04979253,9.483973907,87928000000,85967000000,MSFT
2018-11-05,106.37,107.74,105.9,107.51,27922144,43834249.8,1.562645335,2.00838E+11,1.11231E+11,89607134831,44.60995851,9.604578322,87928000000,85967000000,MSFT
2018-11-06,107.38,108.84,106.28,107.72,24340248,43741332.5,1.55959896,2.07395E+11,1.12006E+11,95388296830,44.69709544,9.623339009,87928000000,85967000000,MSFT
2018-11-07,109.44,112.24,109.4,111.96,37901704,42567601.95,1.500535906,2.06635E+11,1.1295E+11,93684559229,46.45643154,10.00212621,87928000000,85967000000,MSFT
2018-11-08,111.8,112.21,110.91,111.75,25644105,40654593.1,1.503355705,2.01089E+11,1.11297E+11,89792294563,46.36929461,9.983365524,87928000000,85967000000,MSFT
2018-11-09,110.85,111.45,108.76,109.57,32039223,39869448.8,1.533266405,1.98612E+11,1.09823E+11,88789300862,45.46473029,9.788611727,87928000000,85967000000,MSFT
2018-11-12,109.42,109.96,106.1,106.87,33621807,39947134,1.572003369,1.98612E+11,1.09823E+11,88789300862,44.34439834,9.547402896,87928000000,85967000000,MSFT
2018-11-13,107.55,108.74,106.64,106.94,35374583,40135354.95,1.570974378,1.95461E+11,1.08832E+11,86629248365,44.37344398,9.553656458,87928000000,85967000000,MSFT
2018-11-14,108.1,108.26,104.47,104.97,39495141,40782699.85,1.638563399,1.74342E+11,97272416015,77069689202,43.5560166,9.377663348,87928000000,85967000000,MSFT
2018-11-15,104.99,107.8,103.91,107.28,38505165,41082648.5,1.603281133,1.74182E+11,97093010993,77088823597,44.51452282,9.584030903,87928000000,85967000000,MSFT
2018-11-16,107.08,108.88,106.8,108.29,33502121,41118480.8,1.588327639,1.4791E+11,82345953316,65564074967,44.93360996,9.674260874,87928000000,85967000000,MSFT
2018-11-19,108.27,108.56,103.55,104.62,44773899,42029895.4,1.644045116,1.4791E+11,82345953316,65564074967,43.41078838,9.346395536,87928000000,85967000000,MSFT
2018-11-20,101.8,102.97,99.3528,101.71,64052457,43043996.8,1.691082489,1.34816E+11,75685161119,59130690384,42.2033195,9.086426018,87928000000,85967000000,MSFT
2018-11-21,103.6,104.43,102.24,103.11,28130621,41255639.9,1.668121424,1.31382E+11,74601567398,56780289126,42.78423237,9.211497264,87928000000,85967000000,MSFT
2018-11-23,102.17,103.8099,102,103.07,13823099,38864453.9,1.668768798,1.14515E+11,64859897135,49655505953,42.76763485,9.207923799,87928000000,85967000000,MSFT
2018-11-26,104.79,106.63,104.58,106.47,32336165,37705106.95,1.615478539,1.14515E+11,64859897135,49655505953,44.17842324,9.511668254,87928000000,85967000000,MSFT
2018-11-27,106.27,107.33,105.36,107.14,29124486,36403231.2,1.605376143,1.15795E+11,65626720826,50168761169,44.45643154,9.571523779,87928000000,85967000000,MSFT
2018-11-28,107.89,111.33,107.86,111.12,46788461,35475110.35,1.54787617,1.2904E+11,73450030024,55590203504,46.10788382,9.927083464,87928000000,85967000000,MSFT
2018-11-29,110.33,111.115,109.03,110.19,28123195,34328150.95,1.560940194,1.28338E+11,73974010714,54363970330,45.7219917,9.844000422,87928000000,85967000000,MSFT
2018-11-30,110.7,110.97,109.36,110.89,33665624,34342222.1,1.551086662,1.15721E+11,66761392356,48959810501,46.01244813,9.906536045,87928000000,85967000000,MSFT
2018-12-03,113,113.42,110.73,112.09,34732772,34194851,1.53448122,1.15721E+11,66761392356,48959810501,46.51037344,10.01373997,87928000000,85967000000,MSFT
2018-12-04,111.94,112.6373,108.2115,108.52,45196984,35058593,1.584961297,1.10427E+11,64374806277,46052123021,45.02904564,9.694808293,87928000000,85967000000,MSFT
2018-12-06,105.82,109.24,105,109.19,49107431,36296952.15,1.575235827,1.00941E+11,59858686042,41082591931,45.30705394,9.754663817,87928000000,85967000000,MSFT
2018-12-07,108.38,109.45,104.3,104.82,45044937,36654113.8,1.640908224,1.00244E+11,59368646318,40874963612,43.49377593,9.364262857,87928000000,85967000000,MSFT
2018-12-10,104.8,107.98,103.89,107.59,40801525,37411984.8,1.598661586,1.00244E+11,59368646318,40874963612,44.64315353,9.611725251,87928000000,85967000000,MSFT
2018-12-11,109.8,110.95,107.44,108.59,42381947,37929121,1.583939589,98545588959,58422706579,40122882380,45.05809129,9.701061855,87928000000,85967000000,MSFT
