time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,28.69,28.77,28.29,28.35,126550,140631.75,2.116402116,1.89697E+11,1.11985E+11,77712268006,25.01323452,1.351847525,835831000,1012568000,OCFC
2018-09-14,28.35,28.75,28.35,28.58,121640,142393.5,2.099370189,1.81112E+11,1.08036E+11,73076389085,25.21616376,1.362814895,835831000,1012568000,OCFC
2018-09-17,28.58,28.6,28.24,28.54,228965,140603.55,2.102312544,1.81112E+11,1.08036E+11,73076389085,25.18087171,1.360907526,835831000,1012568000,OCFC
2018-09-18,28.55,28.67,28.37,28.41,246420,145907.4,2.111932418,1.87093E+11,1.09392E+11,77700875137,25.06617258,1.354708578,835831000,1012568000,OCFC
2018-09-19,28.4,28.755,28.375,28.53,244119,153543.15,2.103049422,1.8863E+11,1.10372E+11,78258099244,25.1720487,1.360430684,835831000,1012568000,OCFC
2018-09-20,28.56,28.74,28.56,28.68,149865,155802.4,2.092050209,1.99616E+11,1.12192E+11,87424189239,25.30439386,1.367583316,835831000,1012568000,OCFC
2018-09-21,28.71,28.86,28.23,28.3,530718,177574.55,2.120141343,2.04518E+11,1.13771E+11,90747627086,24.96911946,1.349463314,835831000,1012568000,OCFC
2018-09-24,28.39,28.39,27.77,27.9,157890,180712.3,2.150537634,2.04518E+11,1.13771E+11,90747627086,24.61619905,1.330389628,835831000,1012568000,OCFC
2018-09-25,28,28.1,27.85,27.87,170778,185338.85,2.15285253,2.01204E+11,1.11148E+11,90056087859,24.58973002,1.328959101,835831000,1012568000,OCFC
2018-09-26,27.87,27.92,27.24,27.25,175720,186305.95,2.201834862,2.01772E+11,1.11721E+11,90050276795,24.04270337,1.299394887,835831000,1012568000,OCFC
2018-09-27,27.25,27.3,26.98,26.98,124961,187816.8,2.223869533,2.1143E+11,1.15539E+11,95891491506,23.80448209,1.286520149,835831000,1012568000,OCFC
