time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,49.28,49.745,48.88,48.96,22124422,15363646.3,1.552287582,1.89697E+11,1.11985E+11,77712268006,52.64516129,4.901528925,58129000000,38564000000,ORCL
2018-09-14,48.94,49.45,48.94,49.25,20066084,15773234.2,1.543147208,1.81112E+11,1.08036E+11,73076389085,52.95698925,4.930561674,58129000000,38564000000,ORCL
2018-09-17,49.31,49.94,49.105,49.18,29226048,16663937.65,1.545343636,1.81112E+11,1.08036E+11,73076389085,52.88172043,4.923553769,58129000000,38564000000,ORCL
2018-09-18,47.51,49.54,47.36,49.03,33451106,17739656.1,1.550071385,1.87093E+11,1.09392E+11,77700875137,52.72043011,4.90853683,58129000000,38564000000,ORCL
2018-09-19,48.92,49.54,48.66,49.43,20904826,18275503.3,1.537527817,1.8863E+11,1.10372E+11,78258099244,53.15053763,4.948582,58129000000,38564000000,ORCL
2018-09-20,49.66,51.075,49.56,50.43,26973480,19042206.25,1.507039461,1.99616E+11,1.12192E+11,87424189239,54.22580645,5.048694928,58129000000,38564000000,ORCL
2018-09-21,50.83,51.12,50.35,51.1,50752079,21028475.8,1.487279843,2.04518E+11,1.13771E+11,90747627086,54.94623656,5.115770589,58129000000,38564000000,ORCL
2018-09-24,50.81,51.6,50.71,51.24,23906147,21523186.15,1.483216237,2.04518E+11,1.13771E+11,90747627086,55.09677419,5.129786399,58129000000,38564000000,ORCL
2018-09-25,51.39,51.93,50.97,51.72,18665820,21843810.5,1.469450889,2.01204E+11,1.11148E+11,90056087859,55.61290323,5.177840604,58129000000,38564000000,ORCL
2018-09-26,51.75,52.11,51.555,51.63,18131040,21976577.6,1.472012396,2.01772E+11,1.11721E+11,90050276795,55.51612903,5.168830441,58129000000,38564000000,ORCL
2018-09-27,51.56,52.02,51.33,51.69,17993558,22010869,1.470303734,2.1143E+11,1.15539E+11,95891491506,55.58064516,5.174837216,58129000000,38564000000,ORCL
2018-09-28,51.54,52.01,51.49,51.56,16234246,22064836.55,1.474010861,2.0951E+11,1.13681E+11,95828541867,55.44086022,5.161822536,58129000000,38564000000,ORCL
2018-10-01,51.22,51.99,51.14,51.8,19217922,22133528.3,1.467181467,2.0951E+11,1.13681E+11,95828541867,55.69892473,5.185849638,58129000000,38564000000,ORCL
2018-10-02,51.65,51.8,50.13,50.23,22406822,22389417.15,1.513040016,2.04957E+11,1.1246E+11,92496364311,54.01075269,5.028672342,58129000000,38564000000,ORCL
2018-10-03,49.59,50.1,49.59,49.75,21207699,22627906.55,1.527638191,2.03099E+11,1.11724E+11,91375173810,53.49462366,4.980618137,58129000000,38564000000,ORCL
2018-10-04,49.68,49.78,49.17,49.47,19033961,22656795.55,1.536284617,2.05578E+11,1.13307E+11,92271291174,53.19354839,4.952586518,58129000000,38564000000,ORCL
2018-10-05,49.42,49.765,49.115,49.35,16900168,22476106.7,1.540020263,2.07347E+11,1.14341E+11,93006604153,53.06451613,4.940572966,58129000000,38564000000,ORCL
2018-10-08,49.27,49.64,48.895,49.36,16295812,22271366.45,1.539708266,2.07347E+11,1.14341E+11,93006604153,53.07526882,4.941574096,58129000000,38564000000,ORCL
2018-10-09,49.11,49.4,48.825,48.87,19009806,22477989.55,1.555146307,2.05913E+11,1.14076E+11,91837405142,52.5483871,4.892518761,58129000000,38564000000,ORCL
2018-10-10,48.81,48.98,47.37,47.4,20885381,22669321.35,1.603375527,2.03231E+11,1.12853E+11,90377739133,50.96774194,4.745352758,58129000000,38564000000,ORCL
2018-10-11,47.33,47.886,46.49,46.78,26387578,22882479.15,1.624625909,1.83485E+11,1.06549E+11,76935661677,50.30107527,4.683282743,58129000000,38564000000,ORCL
2018-10-12,47.4,47.75,46.66,47.38,23152878,23036818.85,1.604052343,1.94991E+11,1.11598E+11,83392610781,50.94623656,4.743350499,58129000000,38564000000,ORCL
2018-10-15,46.96,47.62,46.87,47.12,15693598,22360196.35,1.612903226,1.94991E+11,1.11598E+11,83392610781,50.66666667,4.717321138,58129000000,38564000000,ORCL
2018-10-16,47.57,48.42,47.47,48.23,13600168,21367649.45,1.575782708,1.97345E+11,1.11946E+11,85398685609,51.86021505,4.828446488,58129000000,38564000000,ORCL
2018-10-17,47.43,48.2366,47.43,47.86,15071061,21075961.2,1.587964898,1.97017E+11,1.11543E+11,85474334522,51.46236559,4.791404705,58129000000,38564000000,ORCL
2018-10-18,47.57,48.135,47.13,47.38,15084839,20481529.15,1.604052343,1.94592E+11,1.10842E+11,83750118144,50.94623656,4.743350499,58129000000,38564000000,ORCL
2018-10-19,47.5,48.24,47.35,47.59,17768405,18832345.45,1.596974154,1.95925E+11,1.11059E+11,84865714154,51.17204301,4.764374214,58129000000,38564000000,ORCL
2018-10-22,47.85,48.485,47.71,47.94,16480411,18461058.65,1.585314977,1.95925E+11,1.11059E+11,84865714154,51.5483871,4.799413739,58129000000,38564000000,ORCL
2018-10-23,47.16,48.32,47.12,47.99,18921508,18473843.05,1.583663263,1.95772E+11,1.10852E+11,84920056402,51.60215054,4.804419385,58129000000,38564000000,ORCL
2018-10-24,47.88,48.3,46.7,46.76,20028237,18568702.9,1.625320787,1.95701E+11,1.11183E+11,84518746029,50.27956989,4.681280484,58129000000,38564000000,ORCL
2018-10-25,47.42,48.29,47.28,47.96,19349505,18636500.25,1.584653878,1.9505E+11,1.10874E+11,84175774083,51.56989247,4.801415997,58129000000,38564000000,ORCL
2018-10-26,47.24,48.07,46.71,47.32,23089139,18979244.9,1.606086221,1.89732E+11,1.08716E+11,81016215717,50.88172043,4.737343724,58129000000,38564000000,ORCL
2018-10-29,47.81,48.09,46.335,47.02,19248721,18980784.85,1.616333475,1.89732E+11,1.08716E+11,81016215717,50.55913978,4.707309846,58129000000,38564000000,ORCL
2018-10-30,47.08,48.62,46.92,48.57,24438150,19082351.25,1.564751904,1.90395E+11,1.08779E+11,81616739670,52.22580645,4.862484883,58129000000,38564000000,ORCL
2018-10-31,49.05,49.45,48.59,48.84,21082852,19076108.9,1.556101556,1.91902E+11,1.09378E+11,82523713021,52.51612903,4.889515373,58129000000,38564000000,ORCL
2018-11-01,48.96,49.24,48.34,48.59,17764930,19012657.35,1.564107841,1.93163E+11,1.10045E+11,83118198356,52.24731183,4.864487141,58129000000,38564000000,ORCL
2018-11-02,48.93,49.02,48.24,48.83,17289522,19032125.05,1.556420233,2.00777E+11,1.1117E+11,89607134831,52.50537634,4.888514244,58129000000,38564000000,ORCL
2018-11-05,49,49.13,48.5,49.02,13125823,18873625.6,1.550387597,2.00777E+11,1.1117E+11,89607134831,52.70967742,4.9075357,58129000000,38564000000,ORCL
2018-11-06,49.1,49.47,48.83,49.25,12362678,18541269.2,1.543147208,2.07338E+11,1.1195E+11,95388296830,52.95698925,4.930561674,58129000000,38564000000,ORCL
2018-11-07,49.58,50.5,49.47,50.26,14330012,18213500.75,1.512136888,2.06574E+11,1.1289E+11,93684559229,54.04301075,5.03167573,58129000000,38564000000,ORCL
