time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,46.03,46.63,45.71,46.52,3925652,8025453.7,4.385210662,1.89762E+11,1.1205E+11,77712268006,197.2022043,1.278942536,19255000000,19061000000,PCG
2018-09-14,46.71,47.1,46.21,46.97,8436127,8151748.45,4.343197786,1.81181E+11,1.08104E+11,73076389085,199.1097923,1.291314078,19255000000,19061000000,PCG
2018-09-17,46.98,47.27,46.66,46.82,3551241,7909817.65,4.357112345,1.81181E+11,1.08104E+11,73076389085,198.4739296,1.28719023,19255000000,19061000000,PCG
2018-09-18,46.87,47.22,46.72,47.2,3239239,7525965.7,4.322033898,1.87158E+11,1.09457E+11,77700875137,200.0847817,1.29763731,19255000000,19061000000,PCG
2018-09-19,47.07,47.2,46.435,46.71,5866581,7527789.55,4.367373154,1.88704E+11,1.10446E+11,78258099244,198.0076304,1.284166076,19255000000,19061000000,PCG
2018-09-20,46.86,47,46.5,46.92,3883353,7368875.1,4.347826087,1.9969E+11,1.12265E+11,87424189239,198.8978381,1.289939462,19255000000,19061000000,PCG
2018-09-21,46.81,48.36,46.65,46.79,8661732,7495574.45,4.359905963,2.0459E+11,1.13842E+11,90747627086,198.3467571,1.286365461,19255000000,19061000000,PCG
2018-09-24,46.7,46.9,46.12,46.28,4420281,7286037.2,4.407951599,2.0459E+11,1.13842E+11,90747627086,196.1848241,1.27234438,19255000000,19061000000,PCG
2018-09-25,46.23,46.33,45.7,45.84,4808739,7200948.15,4.45026178,2.01277E+11,1.11221E+11,90056087859,194.319627,1.260247761,19255000000,19061000000,PCG
2018-09-26,45.44,45.69,45.08,45.16,5473410,6953272.15,4.517271922,2.01845E+11,1.11794E+11,90050276795,191.4370496,1.241552986,19255000000,19061000000,PCG
2018-09-27,45.31,45.63,44.89,45.27,4966539,6387819.75,4.50629556,2.11505E+11,1.15613E+11,95891491506,191.9033489,1.244577141,19255000000,19061000000,PCG
2018-09-28,45.43,46.09,45.05,46.01,4941609,6183642.85,4.433818735,2.09591E+11,1.13763E+11,95828541867,176.3510924,1.223611961,19350000000,19696000000,PCG
2018-10-01,46.11,46.12,45.27,45.87,5876919,6009365.5,4.44735121,2.09591E+11,1.13763E+11,95828541867,175.8144883,1.219888734,19350000000,19696000000,PCG
2018-10-02,46.23,47.54,46.0182,47.42,4832961,5674101.9,4.301982286,2.05038E+11,1.12542E+11,92496364311,181.7554619,1.261110176,19350000000,19696000000,PCG
2018-10-03,47.49,47.79,46.88,47.2,5015889,5699846.25,4.322033898,2.0318E+11,1.11804E+11,91375173810,180.9122269,1.255259391,19350000000,19696000000,PCG
2018-10-04,47,47.2,46.26,46.99,3353656,5208523.45,4.341349223,2.0567E+11,1.13399E+11,92271291174,180.1073208,1.24967455,19350000000,19696000000,PCG
