time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,73.5,75.55,73.5,75.2,51602,52898.75,4.065824468,1.89697E+11,1.11985E+11,77712268006,-11.32155009,1.462743894,176706000,737200000,PJC
2018-09-14,75.2,77.4,75.1,77,55545,53789,3.970779221,1.81112E+11,1.08036E+11,73076389085,-11.59254464,1.49775638,176706000,737200000,PJC
2018-09-17,76.85,78.0457,75.6,76.25,46343,52706.75,4.009836066,1.81112E+11,1.08036E+11,73076389085,-11.47963024,1.483167844,176706000,737200000,PJC
2018-09-18,76.45,76.7,75.8,76.35,47385,51712.85,4.004584152,1.87093E+11,1.09392E+11,77700875137,-11.4946855,1.485112982,176706000,737200000,PJC
2018-09-19,76.25,77.8,76.25,77,62932,49368.9,3.970779221,1.8863E+11,1.10372E+11,78258099244,-11.59254464,1.49775638,176706000,737200000,PJC
2018-09-20,77.4,79.25,77.4,79.2,101179,50930.4,3.860479798,1.99616E+11,1.12192E+11,87424189239,-11.9237602,1.54054942,176706000,737200000,PJC
2018-09-21,79.5,79.85,78.35,79.1,190182,58293.25,3.865360303,2.04518E+11,1.13771E+11,90747627086,-11.90870495,1.538604282,176706000,737200000,PJC
2018-09-24,79,79.25,76.9,77,48795,59183.35,3.970779221,2.04518E+11,1.13771E+11,90747627086,-11.59254464,1.49775638,176706000,737200000,PJC
2018-09-25,77.35,77.35,76.25,76.65,58618,60157.5,3.988910633,2.01204E+11,1.11148E+11,90056087859,-11.53985125,1.490948397,176706000,737200000,PJC
2018-09-26,76.9,76.9,75.5,75.6,68931,61850.95,4.044312169,2.01772E+11,1.11721E+11,90050276795,-11.3817711,1.470524446,176706000,737200000,PJC
2018-09-27,75.85,75.9,74.8,74.85,70833,63487.6,4.084836339,2.1143E+11,1.15539E+11,95891491506,-11.2688567,1.45593591,176706000,737200000,PJC
2018-09-28,74.7,76.45,74.05,76.35,128913,67698.7,4.004584152,2.0951E+11,1.13681E+11,95828541867,-58.83486168,1.457486076,174957000,747415000,PJC
2018-10-01,76.73,78.1101,75.41,75.68,49863,67591.15,4.040036998,2.0951E+11,1.13681E+11,95828541867,-58.31856361,1.444696087,174957000,747415000,PJC
2018-10-02,75.45,76.16,74.69,75.05,41988,65944.35,4.0739507,2.04957E+11,1.1246E+11,92496364311,-57.83308931,1.432669679,174957000,747415000,PJC
2018-10-03,75.55,76.62,75.38,76.12,31081,64903.25,4.016684183,2.03099E+11,1.11724E+11,91375173810,-58.65762503,1.453095483,174957000,747415000,PJC
2018-10-04,76.33,77.19,76,76.55,43643,64890.9,3.994121489,2.05578E+11,1.13307E+11,92271291174,-58.9889805,1.461303983,174957000,747415000,PJC
2018-10-05,76.87,76.88,75.59,75.89,45156,64639.45,4.028857557,2.07347E+11,1.14341E+11,93006604153,-58.48038838,1.44870489,174957000,747415000,PJC
2018-10-08,75.46,75.82,74.76,75.41,36570,64626.2,4.054502055,2.07347E+11,1.14341E+11,93006604153,-58.1105032,1.439541912,174957000,747415000,PJC
2018-10-09,75.41,75.72,74.78,75.01,86168,66922.45,4.076123184,2.05913E+11,1.14076E+11,91837405142,-57.80226555,1.431906098,174957000,747415000,PJC
2018-10-10,75.37,75.63,71.93,71.98,95478,68060.25,4.247707697,2.03231E+11,1.12853E+11,90377739133,-55.46736534,1.374064804,174957000,747415000,PJC
2018-10-11,71.35,72.4406,69.54,69.58,74953,69227.8,4.394222478,1.83485E+11,1.06549E+11,76935661677,-53.61793943,1.328249917,174957000,747415000,PJC
2018-10-12,70.8,71.01,68.33,69.67,87890,70845.05,4.388546003,1.94991E+11,1.11598E+11,83392610781,-53.6872929,1.329967975,174957000,747415000,PJC
2018-10-15,69.83,71.23,68.69,70.48,63670,71711.4,4.338110102,1.94991E+11,1.11598E+11,83392610781,-54.31147415,1.3454305,174957000,747415000,PJC
2018-10-16,71.24,73.1,70.83,72.92,78869,73285.6,4.192951179,1.97345E+11,1.11946E+11,85398685609,-56.19172382,1.392008968,174957000,747415000,PJC
2018-10-17,73.02,73.73,71.92,73.58,62434,73260.7,4.155341125,1.97017E+11,1.11543E+11,85474334522,-56.70031594,1.404608061,174957000,747415000,PJC
2018-10-18,73.41,73.87,71.81,72.22,62499,71326.7,4.233591803,1.94592E+11,1.10842E+11,83750118144,-55.65230793,1.378646292,174957000,747415000,PJC
2018-10-19,71.92,73.22,71.75,72.37,58752,64755.2,4.224816913,1.95925E+11,1.11059E+11,84865714154,-55.76789705,1.381509723,174957000,747415000,PJC
2018-10-22,72.6,73.7015,71.56,71.81,74272,66029.05,4.257763543,1.95925E+11,1.11059E+11,84865714154,-55.33636434,1.370819583,174957000,747415000,PJC
2018-10-23,70.54,71.31,68.98,70.03,94756,67835.95,4.365986006,1.95772E+11,1.10852E+11,84920056402,-53.96470679,1.336840208,174957000,747415000,PJC
2018-10-24,69.8,70.01,66.97,66.99,76000,68189.4,4.564114047,1.95701E+11,1.11183E+11,84518746029,-51.62210064,1.278808019,174957000,747415000,PJC
2018-10-25,67.45,69.4,66.12,68.57,74154,68355.45,4.458947061,1.9505E+11,1.10874E+11,84175774083,-52.83963936,1.308969486,174957000,747415000,PJC
2018-10-26,73.43,73.43,67.195,68.67,80871,65953.35,4.452453764,1.89732E+11,1.08716E+11,81016215717,-52.91669877,1.310878439,174957000,747415000,PJC
2018-10-29,69.99,70.63,69.015,69.88,97415,68330.95,4.375357756,1.89732E+11,1.08716E+11,81016215717,-53.84911767,1.333976778,174957000,747415000,PJC
2018-10-30,70.08,70.45,68.93,70.04,88072,70635.15,4.36536265,1.90395E+11,1.08779E+11,81616739670,-53.97241273,1.337031104,174957000,747415000,PJC
2018-10-31,70.64,71.52,69.25,69.38,100801,74121.15,4.406889594,1.91902E+11,1.09378E+11,82523713021,-53.46382061,1.32443201,174957000,747415000,PJC
2018-11-01,69.82,70.91,69.32,69.86,60913,74984.65,4.376610364,1.93163E+11,1.10045E+11,83118198356,-53.83370579,1.333594987,174957000,747415000,PJC
2018-11-02,70.26,71.13,69.43,70.35,64621,75957.9,4.34612651,2.00777E+11,1.1117E+11,89607134831,-54.21129691,1.34294886,174957000,747415000,PJC
2018-11-05,70.41,70.75,69.53,70.32,82245,78241.65,4.34798066,2.00777E+11,1.1117E+11,89607134831,-54.18817909,1.342376174,174957000,747415000,PJC
2018-11-06,70.14,72.59,69.83,72.45,85224,78194.45,4.220151829,2.07338E+11,1.1195E+11,95388296830,-55.82954458,1.383036886,174957000,747415000,PJC
2018-11-07,72.52,74.35,71.83,73.91,42811,75561.1,4.136787985,2.06574E+11,1.1289E+11,93684559229,-56.95461201,1.410907608,174957000,747415000,PJC
2018-11-08,73.46,76.01,73.46,74.78,52945,74460.7,4.08866007,2.01033E+11,1.11241E+11,89792294563,-57.6250289,1.427515505,174957000,747415000,PJC
2018-11-09,72.9376,73.55,72.02,72.62,56089,72870.65,4.210272652,1.98553E+11,1.09764E+11,88789300862,-55.96054558,1.386282107,174957000,747415000,PJC
2018-11-12,72.43,73.01,70.74,71.2,56481,72511.2,4.294241573,1.98553E+11,1.09764E+11,88789300862,-54.86630192,1.359174966,174957000,747415000,PJC
2018-11-13,71.54,72.175,69.985,70.63,37922,70463.85,4.328897069,1.95411E+11,1.08782E+11,86629248365,-54.42706327,1.34829393,174957000,747415000,PJC
2018-11-14,70.94,71.56,69.03,69.38,65699,70627.1,4.406889594,1.74307E+11,97236837675,77069689202,-53.46382061,1.32443201,174957000,747415000,PJC
2018-11-15,68.38,70.74,68.38,70.53,62710,70637.65,4.335034737,1.74145E+11,97056130000,77088823597,-54.35000385,1.346384976,174957000,747415000,PJC
2018-11-16,70.22,72.03,69.8174,71.53,75115,71455.8,4.274430309,1.47887E+11,82323313505,65564074967,-55.12059798,1.365474512,174957000,747415000,PJC
2018-11-19,71.31,71.85,69.7356,70.13,60008,70742.6,4.359760445,1.47887E+11,82323313505,65564074967,-54.0417662,1.338749162,174957000,747415000,PJC
2018-11-20,69.21,70.125,68.37,68.72,56156,68812.6,4.449214203,1.34795E+11,75664577024,59130690384,-52.95522848,1.311832916,174957000,747415000,PJC
2018-11-21,69.35,70.79,67.33,70.21,43610,67193.1,4.354792765,1.31356E+11,74575307150,56780289126,-54.10341373,1.340276325,174957000,747415000,PJC
2018-11-23,69.59,71.11,69.59,70.3,20052,64488,4.349217639,1.14494E+11,64838149047,49655505953,-54.1727672,1.341994383,174957000,747415000,PJC
2018-11-26,70.39,72.31,70.36,70.93,61978,63543.35,4.310587904,1.14494E+11,64838149047,49655505953,-54.6582415,1.354020791,174957000,747415000,PJC
2018-11-27,70.29,70.88,70,70.41,27886,60066.9,4.431188752,1.15773E+11,65604166695,50168761169,-54.25753256,1.344094232,174957000,747415000,PJC
2018-11-28,70.82,72.32,69.62,72.13,45335,57930.05,4.325523361,1.29014E+11,73424031744,55590203504,-55.58295446,1.376928234,174957000,747415000,PJC
2018-11-29,71.63,72.13,70.56,70.56,36288,54704.4,4.421768707,1.2831E+11,73945563795,54363970330,-54.37312168,1.346957662,174957000,747415000,PJC
2018-11-30,70.31,71.57,69.875,71.37,70084,55162.95,4.371584699,1.15698E+11,66738363307,48959810501,-54.99730292,1.362420187,174957000,747415000,PJC
2018-12-03,72.31,72.31,70.23,70.33,60844,54974.1,4.436229205,1.15698E+11,66738363307,48959810501,-54.19588503,1.342567069,174957000,747415000,PJC
2018-12-04,70.03,70.06,65.88,66.15,68220,54272.85,4.716553288,1.10407E+11,64354888815,46052123021,-50.97480157,1.262772809,174957000,747415000,PJC
2018-12-06,65.1,65.9,64.131,65.55,83929,54208.1,4.7597254,1.00927E+11,59844243367,41082591931,-50.5124451,1.251319087,174957000,747415000,PJC
2018-12-07,65.53,67.11,64.515,65.19,64337,55284.4,4.786010124,1.00231E+11,59355813696,40874963612,-50.23503121,1.244446854,174957000,747415000,PJC
2018-12-10,64.8,65.4,63.88,65.08,111268,58200.55,4.79409957,1.00231E+11,59355813696,40874963612,-50.15026585,1.242347005,174957000,747415000,PJC
2018-12-11,66.35,67.29,65.77,66.99,69410,58866.6,4.657411554,98533379029,58410496650,40122882380,-51.62210064,1.278808019,174957000,747415000,PJC
2018-12-12,68.27,69.66,67.14,68.65,68574,59471.25,4.544792425,1.00863E+11,59752661954,41110666577,-52.90128689,1.310496649,174957000,747415000,PJC
2018-12-13,68.78,69.32,67.18,68.26,62296,60689.95,4.570758863,96290489768,56840916581,39449573187,-52.60075518,1.30305173,174957000,747415000,PJC
2018-12-14,67.65,68.37,66.42,66.64,55816,60195.8,4.681872749,1.04424E+11,60942409132,43481223044,-51.35239269,1.272126681,174957000,747415000,PJC
2018-12-17,66.15,66.49,64.45,64.65,173653,65742.95,4.825986079,1.04424E+11,60942409132,43481223044,-49.81891038,1.234138505,174957000,747415000,PJC
2018-12-18,65.36,66.29,64.61,64.74,91005,66537.45,4.819277108,1.10627E+11,63918551127,46708352610,-49.88826385,1.235856563,174957000,747415000,PJC
2018-12-19,64.87,65.57,62.45,62.71,71087,67091.4,4.975283049,1.10789E+11,64227787652,46561003400,-48.32395777,1.197104805,174957000,747415000,PJC
2018-12-20,61.97,63.26,61.465,62.25,151809,71874.05,5.012048193,1.23776E+11,71020476672,52755419351,-47.96948447,1.188323618,174957000,747415000,PJC
2018-12-21,62.29,63.49,61.54,61.91,355657,87476.4,5.039573575,1.27936E+11,70394547832,57541503800,-47.70748247,1.181833176,174957000,747415000,PJC
2018-12-24,61.35,64.18,61.35,62.36,54676,89207.6,5.003207184,1.20255E+11,66467815206,53787506503,-48.05424983,1.190423467,174957000,747415000,PJC
2018-12-26,62.84,65.64,62.31,65.39,116567,91937.05,4.771371769,1.20255E+11,66467815206,53787506503,-50.38915003,1.248264761,174957000,747415000,PJC
2018-12-27,63.76,66.09,63.76,66.03,76267,94356.1,4.725124943,1.12252E+11,62666909198,49584630718,-50.88233028,1.260482064,174957000,747415000,PJC
2018-12-28,66.35,66.875,64.88,65.85,131476,98663.15,4.738041002,1.17347E+11,64469088797,52877694646,-50.74362333,1.257045948,174957000,747415000,PJC
2018-12-31,66.02,66.66,64.78,65.84,112273,102462.4,4.738760632,1.26088E+11,67845102455,58242674467,18.55222745,1.263007742,49953000,730416000,PJC
2019-01-02,64.73,66.98,64.66,66.83,45201,101218.25,4.668562023,1.26088E+11,67845102455,58242674467,18.83118713,1.281998898,49953000,730416000,PJC
2019-01-03,66.61,66.73,65.39,65.5,91708,102761.45,4.763358779,1.21939E+11,66140416292,55798882076,18.45642312,1.256485527,49953000,730416000,PJC
2019-01-04,66.55,68.73,66.24,68.34,81940,103447.45,4.565408253,1.27918E+11,69970304824,57948183778,19.25667108,1.310965205,49953000,730416000,PJC
2019-01-07,68.11,69.42,67.28,68.66,34388,100970.4,4.544130498,1.27918E+11,69970304824,57948183778,19.34683987,1.317103761,49953000,730416000,PJC
2019-01-08,69.46,69.46,68.01,68.57,66119,101059.5,4.550094794,1.28017E+11,69794546349,58222625768,19.3214799,1.315377292,49953000,730416000,PJC
2019-01-09,69.02,69.795,68.03,69.58,74742,99233.2,4.48404714,1.28832E+11,69929165462,58902340803,19.60607512,1.334752107,49953000,730416000,PJC
2019-01-10,68.92,70.5,68.885,70.27,79460,99735.7,4.440017077,1.14982E+11,63390283811,51592208396,19.80050156,1.347988367,49953000,730416000,PJC
2019-01-11,69.93,70.77,69.9,70.07,87655,100689.75,4.452690167,1.16283E+11,64059217781,52224141805,19.74414607,1.34415177,49953000,730416000,PJC
2019-01-14,69.45,71.33,68.9,69.11,45346,99842.25,4.514542034,1.16283E+11,64059217781,52224141805,19.47363972,1.325736104,49953000,730416000,PJC
2019-01-15,69.1,69.15,67.93,69.15,65341,100318.5,4.511930586,1.12814E+11,62538149888,50276032280,19.48491082,1.326503423,49953000,730416000,PJC
