time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,64.15,64.25,62.15,62.45,537253,317273.8,0.896717374,1.89697E+11,1.11985E+11,77712268006,18.46977404,1.270565822,2176039000,3826677000,PNFP
2018-09-14,62.55,63.4,62.4,63.25,291167,319840.3,0.885375494,1.81112E+11,1.08036E+11,73076389085,18.70637643,1.286842085,2176039000,3826677000,PNFP
2018-09-17,63.3,63.3,62.4,62.8,393897,325477.05,0.891719745,1.81112E+11,1.08036E+11,73076389085,18.57328759,1.277686687,2176039000,3826677000,PNFP
2018-09-18,62.85,62.85,61.85,62.45,364825,333386.4,0.896717374,1.87093E+11,1.09392E+11,77700875137,18.46977404,1.270565822,2176039000,3826677000,PNFP
2018-09-19,62.5,63.775,62.5,63.65,435286,339601.9,0.879811469,1.8863E+11,1.10372E+11,78258099244,18.82467763,1.294980217,2176039000,3826677000,PNFP
2018-09-20,63.9,64.85,63.9,64.6,349120,342587.35,0.866873065,1.99616E+11,1.12192E+11,87424189239,19.10564297,1.31430828,2176039000,3826677000,PNFP
2018-09-21,64.45,64.7,63.85,64.05,1530783,400933.25,0.87431694,2.04518E+11,1.13771E+11,90747627086,18.94297882,1.303118349,2176039000,3826677000,PNFP
2018-09-24,64.05,64.05,62.9,63.25,325004,401302.9,0.885375494,2.04518E+11,1.13771E+11,90747627086,18.70637643,1.286842085,2176039000,3826677000,PNFP
2018-09-25,63.4,63.7,63.2,63.55,340215,401703.95,0.881195909,2.01204E+11,1.11148E+11,90056087859,18.79510233,1.292945684,2176039000,3826677000,PNFP
2018-09-26,63.65,63.75,60.25,60.4,1274464,450834.45,0.927152318,2.01772E+11,1.11721E+11,90050276795,17.86348042,1.228857897,2176039000,3826677000,PNFP
2018-09-27,60.7,61.5,60.15,60.45,734853,470425.9,0.926385443,2.1143E+11,1.15539E+11,95891491506,17.87826807,1.229875163,2176039000,3826677000,PNFP
2018-09-28,60.25,61.1,59.95,60.15,550842,477395.4,0.931005819,2.0951E+11,1.13681E+11,95828541867,16.0118192,1.201860636,2116307000,3897041000,PNFP
2018-10-01,60.49,60.49,59.29,59.58,534602,489787.4,0.939912722,2.0951E+11,1.13681E+11,95828541867,15.86008625,1.190471433,2116307000,3897041000,PNFP
2018-10-02,59.25,59.47,58.46,59.2,563633,502750.5,0.945945946,2.04957E+11,1.1246E+11,92496364311,15.75893095,1.182878631,2116307000,3897041000,PNFP
2018-10-03,59.27,61.52,59.27,61.04,621747,521610.7,0.917431193,2.03099E+11,1.11724E+11,91375173810,16.24873556,1.219643778,2116307000,3897041000,PNFP
2018-10-04,60.92,61.59,60.185,61,465225,528472.75,0.918032787,2.05578E+11,1.13307E+11,92271291174,16.23808763,1.218844535,2116307000,3897041000,PNFP
2018-10-05,61.05,61.09,59.76,59.87,371853,531839.65,0.935359947,2.07347E+11,1.14341E+11,93006604153,15.93728371,1.19626594,2116307000,3897041000,PNFP
2018-10-08,59.87,60.64,59.35,60.37,335380,531060.35,0.927613053,2.07347E+11,1.14341E+11,93006604153,16.07038279,1.206256469,2116307000,3897041000,PNFP
2018-10-09,60.31,60.42,59.81,60,302917,533502.05,0.933333333,2.05913E+11,1.14076E+11,91837405142,15.97188947,1.198863477,2116307000,3897041000,PNFP
2018-10-10,60,60.66,58.99,59.08,492340,540770.3,0.947867299,2.03231E+11,1.12853E+11,90377739133,15.72698717,1.180480904,2116307000,3897041000,PNFP
2018-10-11,58.94,59.06,56.88,56.88,679978,547906.55,0.984528833,1.83485E+11,1.06549E+11,76935661677,15.14135122,1.136522577,2116307000,3897041000,PNFP
2018-10-12,57.78,57.78,54.23,56,799473,573321.85,1,1.94991E+11,1.11598E+11,83392610781,14.90709684,1.118939246,2116307000,3897041000,PNFP
2018-10-15,55.88,56.28,55.6,55.71,706807,588967.35,1.005205529,1.94991E+11,1.11598E+11,83392610781,14.82989938,1.113144739,2116307000,3897041000,PNFP
2018-10-16,55.84,56.15,54.46,55.01,1316983,636575.25,1.017996728,1.97345E+11,1.11946E+11,85398685609,14.64356067,1.099157998,2116307000,3897041000,PNFP
2018-10-17,57,57.08,54.4,56.64,2624543,746038.1,0.988700565,1.97017E+11,1.11543E+11,85474334522,15.07746366,1.131727123,2116307000,3897041000,PNFP
2018-10-18,55.82,57.62,55.37,55.45,1005540,778859.1,1.009918846,1.94592E+11,1.10842E+11,83750118144,14.76068786,1.107949664,2116307000,3897041000,PNFP
2018-10-19,55.07,55.46,53.74,54.03,846155,744627.7,1.036461225,1.95925E+11,1.11059E+11,84865714154,14.38268647,1.079576561,2116307000,3897041000,PNFP
2018-10-22,53.97,54.3,51.695,52.17,763732,766564.1,1.073413839,1.95925E+11,1.11059E+11,84865714154,13.8875579,1.042411794,2116307000,3897041000,PNFP
2018-10-23,51.08,53.19,50.41,53.03,904308,794768.75,1.056006034,1.95772E+11,1.10852E+11,84920056402,14.11648831,1.059595503,2116307000,3897041000,PNFP
2018-10-24,52.76,52.76,49.92,50.02,860785,774084.8,1.119552179,1.95701E+11,1.11183E+11,84518746029,13.31523186,0.999452519,2116307000,3897041000,PNFP
2018-10-25,50.47,51.89,50.19,51.16,521608,763422.55,1.09460516,1.9505E+11,1.10874E+11,84175774083,13.61869776,1.022230925,2116307000,3897041000,PNFP
2018-10-26,50.54,51.3,50.09,50.49,558218,763791.35,1.109130521,1.89732E+11,1.08716E+11,81016215717,13.44034499,1.008843616,2116307000,3897041000,PNFP
2018-10-29,51.05,52.21,50.93,51.39,556651,764893.8,1.089706169,1.89732E+11,1.08716E+11,81016215717,13.67992333,1.026826568,2116307000,3897041000,PNFP
2018-10-30,51.52,52,50.41,51.75,634480,768436.15,1.082125604,1.90395E+11,1.08779E+11,81616739670,13.77575467,1.034019749,2116307000,3897041000,PNFP
2018-10-31,52.26,53,51.95,52.3,522182,763457.9,1.070745698,1.91902E+11,1.09378E+11,82523713021,13.92216366,1.045009331,2116307000,3897041000,PNFP
2018-11-01,52.41,53.14,52.15,52.68,414999,760946.6,1.100987092,1.93163E+11,1.10045E+11,83118198356,14.02331896,1.052602133,2116307000,3897041000,PNFP
2018-11-02,53.14,53.62,52.48,53.29,511376,767922.75,1.088384312,2.00777E+11,1.1117E+11,89607134831,14.18569983,1.064790579,2116307000,3897041000,PNFP
2018-11-05,53.32,54.2,52.51,53.23,448834,773595.45,1.089611122,2.00777E+11,1.1117E+11,89607134831,14.16972795,1.063591715,2116307000,3897041000,PNFP
2018-11-06,53.23,53.87,52.67,53.39,236535,770276.35,1.086345758,2.07338E+11,1.1195E+11,95388296830,14.21231965,1.066788684,2116307000,3897041000,PNFP
2018-11-07,53.46,53.79,52.28,53.51,312433,761281,1.08390955,2.06574E+11,1.1289E+11,93684559229,14.24426343,1.069186411,2116307000,3897041000,PNFP
2018-11-08,53.4,54.35,53.09,53.95,324075,743485.85,1.075069509,2.01033E+11,1.11241E+11,89792294563,14.36139062,1.077978077,2116307000,3897041000,PNFP
2018-11-09,53.8,54.27,52.81,53.25,223846,714704.5,1.089201878,1.98553E+11,1.09764E+11,88789300862,14.17505191,1.063991336,2116307000,3897041000,PNFP
2018-11-12,53.19,53.51,52.32,52.48,281062,693417.25,1.105182927,1.98553E+11,1.09764E+11,88789300862,13.97007933,1.048605922,2116307000,3897041000,PNFP
2018-11-13,52.51,53.79,52.51,52.94,187571,636946.65,1.095579902,1.95411E+11,1.08782E+11,86629248365,14.09253048,1.057797208,2116307000,3897041000,PNFP
2018-11-14,53.53,54.195,51.84,52.59,492164,530327.7,1.102871268,1.74307E+11,97236837675,77069689202,13.99936112,1.050803838,2116307000,3897041000,PNFP
2018-11-15,52.15,53.81,51.75,53.63,427228,501412.1,1.081484244,1.74145E+11,97056130000,77088823597,14.27620721,1.071584138,2116307000,3897041000,PNFP
2018-11-16,53.26,54.29,53.2,54.19,407815,479495.1,1.070308175,1.47887E+11,82323313505,65564074967,14.42527818,1.082773531,2116307000,3897041000,PNFP
2018-11-19,54.07,55.52,54.07,54.72,574120,470014.5,1.05994152,1.47887E+11,82323313505,65564074967,14.5663632,1.093363491,2116307000,3897041000,PNFP
2018-11-20,54.25,55.23,53.74,53.9,423942,445996.2,1.07606679,1.34795E+11,75664577024,59130690384,14.34808071,1.076979024,2116307000,3897041000,PNFP
2018-11-21,54.15,55.36,53.275,54.42,321525,419033.2,1.065784638,1.31356E+11,74575307150,56780289126,14.48650375,1.087369174,2116307000,3897041000,PNFP
2018-11-23,54.08,55.06,54.01,54.59,108166,398361.1,1.062465653,1.14494E+11,64838149047,49655505953,14.53175744,1.090765954,2116307000,3897041000,PNFP
2018-11-26,55.22,56.3,55.1,55.91,312728,386086.6,1.037381506,1.14494E+11,64838149047,49655505953,14.88313901,1.11714095,2116307000,3897041000,PNFP
2018-11-27,55.75,56.36,55.49,55.92,628398,389673.95,1.037195994,1.15773E+11,65604166695,50168761169,14.88580099,1.117340761,2116307000,3897041000,PNFP
2018-11-28,56.12,56.44,55.13,56.16,494076,382653.75,1.032763533,1.29014E+11,73424031744,55590203504,14.94968855,1.122136215,2116307000,3897041000,PNFP
2018-11-29,55.68,56.54,55.57,56.12,335331,373311.2,1.033499644,1.2831E+11,73945563795,54363970330,14.93904062,1.121336973,2116307000,3897041000,PNFP
2018-11-30,56.05,57.6,56.05,57.35,434229,374272.7,1.011333915,1.15698E+11,66738363307,48959810501,15.26646436,1.145913674,2116307000,3897041000,PNFP
2018-12-03,58.19,58.19,56.31,56.91,410315,369219.65,1.019153049,1.15698E+11,66738363307,48959810501,15.14933717,1.137122008,2116307000,3897041000,PNFP
2018-12-04,56.77,56.93,53.19,53.36,461280,369841.95,1.086956522,1.10407E+11,64354888815,46052123021,14.20433371,1.066189253,2116307000,3897041000,PNFP
2018-12-06,52.42,53.27,51.99,52.84,555398,385785.1,1.097653293,1.00927E+11,59844243367,41082591931,14.06591066,1.055799102,2116307000,3897041000,PNFP
