time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,11.24,11.605,11.14,11.52,499492,344448.85,5.208333333,1.89697E+11,1.11985E+11,77712268006,-4.780082988,1.063387887,1241336000,580251000,RESI
2018-09-14,11.45,11.5199,11.33,11.34,312624,339031.5,5.291005291,1.81112E+11,1.08036E+11,73076389085,-4.705394191,1.046772452,1241336000,580251000,RESI
2018-09-17,11.33,11.385,11.11,11.13,163067,332614.9,5.39083558,1.81112E+11,1.08036E+11,73076389085,-4.618257261,1.027387777,1241336000,580251000,RESI
2018-09-18,11.11,11.16,10.9,10.93,250955,334268.65,5.4894785,1.87093E+11,1.09392E+11,77700875137,-4.53526971,1.008926181,1241336000,580251000,RESI
2018-09-19,10.93,11.17,10.74,11.16,637437,354452.2,5.376344086,1.8863E+11,1.10372E+11,78258099244,-4.630705394,1.030157016,1241336000,580251000,RESI
2018-09-20,11.22,11.25,10.8,10.85,471753,370616.05,5.529953917,1.99616E+11,1.12192E+11,87424189239,-4.502074689,1.001541543,1241336000,580251000,RESI
2018-09-21,10.85,10.97,10.67,10.97,1074520,414588.95,5.46946217,2.04518E+11,1.13771E+11,90747627086,-4.55186722,1.0126185,1241336000,580251000,RESI
2018-09-24,11,11.39,11,11.29,412303,421991.85,5.314437555,2.04518E+11,1.13771E+11,90747627086,-4.684647303,1.042157053,1241336000,580251000,RESI
2018-09-25,11.27,11.585,11.27,11.5,412038,414171.8,5.217391304,2.01204E+11,1.11148E+11,90056087859,-4.771784232,1.061541728,1241336000,580251000,RESI
2018-09-26,11.48,11.5,10.97,10.98,411666,418146.9,5.464480874,2.01772E+11,1.11721E+11,90050276795,-4.556016598,1.01354158,1241336000,580251000,RESI
2018-09-27,10.89,10.95,10.72,10.78,651203,433459.25,5.565862709,2.1143E+11,1.15539E+11,95891491506,-4.473029046,0.995079985,1241336000,580251000,RESI
