time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-05,5.02380978,5.0476193,4.8571431,4.9523812,24596,10838.9,0,1.96642E+11,1.15227E+11,81415018905,2.857197946,0.498630804,208777621,169585804,SNFCA
2018-09-06,4.9523812,4.97619072,4.90476215,4.9523812,19282,11613.65,0,1.95063E+11,1.12027E+11,83036478280,2.857197946,0.498630804,208777621,169585804,SNFCA
2018-09-07,4.90476215,4.9523812,4.8571431,4.88095263,4606,11680.65,0,1.84056E+11,1.08777E+11,75278731654,2.815988363,0.491439014,208777621,169585804,SNFCA
2018-09-10,4.8571431,5.1428574,4.8571431,5.09523835,33053,13305.1,0,1.84056E+11,1.08777E+11,75278731654,2.939617118,0.513014385,208777621,169585804,SNFCA
2018-09-11,5.09523835,5.1428574,5.09523835,5.1428574,18500,13223.55,0,1.80819E+11,1.08408E+11,72411091437,2.967090175,0.517808912,208777621,169585804,SNFCA
2018-09-12,5.1428574,5.1428574,5.0476193,5.1428574,11840,10619.9,0,1.81205E+11,1.09155E+11,72049795624,2.967090175,0.517808912,208777621,169585804,SNFCA
2018-09-13,5.1428574,5.1428574,5.0476193,5.1428574,2270,9582.25,0,1.89697E+11,1.11985E+11,77712268006,2.967090175,0.517808912,208777621,169585804,SNFCA
2018-09-14,5.1428574,5.19047645,5.09523835,5.09523835,3682,9504.35,0,1.81112E+11,1.08036E+11,73076389085,2.939617118,0.513014385,208777621,169585804,SNFCA
2018-09-17,5.0476193,5.1428574,5.0476193,5.0476193,5690,9491.4,0,1.81112E+11,1.08036E+11,73076389085,2.91214406,0.508219858,208777621,169585804,SNFCA
2018-09-18,5.1428574,5.1428574,5.0476193,5.0476193,10273,9751.6,0,1.87093E+11,1.09392E+11,77700875137,2.91214406,0.508219858,208777621,169585804,SNFCA
2018-09-19,5.09523835,5.1428574,5.0476193,5.07142883,14043,10167.85,0,1.8863E+11,1.10372E+11,78258099244,2.925880592,0.510617122,208777621,169585804,SNFCA
2018-09-20,5.00000025,5.19047645,5.00000025,5.16666693,26305,11071.1,0,1.99616E+11,1.12192E+11,87424189239,2.980826706,0.520206176,208777621,169585804,SNFCA
2018-09-21,5.19047645,5.6190479,5.19047645,5.28571455,33618,12387.55,0,2.04518E+11,1.13771E+11,90747627086,3.049509346,0.532192493,208777621,169585804,SNFCA
2018-09-24,5.4285717,5.4285717,5.0476193,5.1428574,14019,12624.25,0,2.04518E+11,1.13771E+11,90747627086,2.967090175,0.517808912,208777621,169585804,SNFCA
2018-09-25,5.00000025,5.2380955,5.00000025,5.19047645,12858,12724.65,0,2.01204E+11,1.11148E+11,90056087859,2.994563232,0.522603439,208777621,169585804,SNFCA
2018-09-26,5.09523835,5.2380955,5.09523835,5.1428574,12472,13176.75,0,2.01772E+11,1.11721E+11,90050276795,2.967090175,0.517808912,208777621,169585804,SNFCA
2018-09-27,5.11428597,5.1428574,5.09523835,5.1428574,3842,13245.1,0,2.1143E+11,1.15539E+11,95891491506,2.967090175,0.517808912,208777621,169585804,SNFCA
2018-09-28,5.1428574,5.1428574,4.9523812,4.9523812,22945,14294.85,0,2.0951E+11,1.13681E+11,95828541867,2.773510977,0.493734206,196422645,172031508,SNFCA
2018-10-01,5.03809549,5.1428574,4.97142882,5.11428597,16487,14725.3,0,2.0951E+11,1.13681E+11,95828541867,2.864183451,0.509875516,196422645,172031508,SNFCA
2018-10-02,5.13333359,5.46666694,5.08095264,5.46666694,20241,15531.1,0,2.04957E+11,1.1246E+11,92496364311,3.061529424,0.545006604,196422645,172031508,SNFCA
2018-10-03,5.45714313,5.47619075,5.3285717,5.47619075,13496,14976.1,0,2.03099E+11,1.11724E+11,91375173810,3.066863099,0.545956093,196422645,172031508,SNFCA
2018-10-04,5.51428599,5.5238098,5.42304789,5.52285742,46275,16325.75,0,2.05578E+11,1.13307E+11,92271291174,3.092998107,0.550608588,196422645,172031508,SNFCA
2018-10-05,5.45714313,5.51428599,5.3333336,5.38095265,26234,17407.15,0,2.07347E+11,1.14341E+11,93006604153,3.01352635,0.536461204,196422645,172031508,SNFCA
2018-10-08,5.3333336,5.46666694,5.3333336,5.3333336,7097,16109.35,0,2.07347E+11,1.14341E+11,93006604153,2.986857975,0.53171376,196422645,172031508,SNFCA
2018-10-09,5.4285717,5.45714313,5.34285741,5.34285741,10461,15707.4,0,2.05913E+11,1.14076E+11,91837405142,2.99219165,0.532663249,196422645,172031508,SNFCA
2018-10-10,5.3333336,5.44761932,5.28571455,5.35238122,9960,15613.4,0,2.03231E+11,1.12853E+11,90377739133,2.997525325,0.533612738,196422645,172031508,SNFCA
2018-10-11,5.39047646,5.39047646,5.34285741,5.34285741,2011,15600.45,0,1.83485E+11,1.06549E+11,76935661677,2.99219165,0.532663249,196422645,172031508,SNFCA
2018-10-12,5.34723836,5.45714313,5.34523836,5.44761932,11877,16010.2,0,1.94991E+11,1.11598E+11,83392610781,3.050862074,0.543107626,196422645,172031508,SNFCA
2018-10-15,5.44761932,5.5238098,5.38876217,5.45714313,14808,16466.1,0,1.94991E+11,1.11598E+11,83392610781,3.056195749,0.544057115,196422645,172031508,SNFCA
2018-10-16,5.41904789,5.50476218,5.38095265,5.43876218,48784,18391.65,0,1.97345E+11,1.11946E+11,85398685609,3.045901759,0.542224602,196422645,172031508,SNFCA
2018-10-17,5.48571456,5.48571456,5.38095265,5.40790503,3469,17862.95,0,1.97017E+11,1.11543E+11,85474334522,3.028620649,0.539148257,196422645,172031508,SNFCA
2018-10-18,5.4285717,5.5238098,5.4285717,5.47619075,58300,19462.7,0,1.94592E+11,1.10842E+11,83750118144,3.066863099,0.545956093,196422645,172031508,SNFCA
2018-10-19,5.47619075,5.5238098,5.47619075,5.50600028,4602,18011.9,0,1.95925E+11,1.11059E+11,84865714154,3.083557504,0.548927993,196422645,172031508,SNFCA
2018-10-22,5.54285742,5.60952409,5.5238098,5.53333361,10762,17849.05,0,1.95925E+11,1.11059E+11,84865714154,3.098865149,0.551653026,196422645,172031508,SNFCA
2018-10-23,5.50476218,5.6190479,5.49523837,5.49523837,23465,18379.4,0,1.95772E+11,1.10852E+11,84920056402,3.077530449,0.54785507,196422645,172031508,SNFCA
2018-10-24,5.6190479,5.6190479,5.43676218,5.48571456,7089,18110.25,0,1.95701E+11,1.11183E+11,84518746029,3.072196774,0.546905582,196422645,172031508,SNFCA
2018-10-25,5.48571456,5.60000028,5.4285717,5.4285717,9716,18403.95,0,1.9505E+11,1.10874E+11,84175774083,3.040194724,0.541208648,196422645,172031508,SNFCA
2018-10-26,5.49523837,5.56190504,5.4285717,5.4285717,7735,17643.45,0,1.89732E+11,1.08716E+11,81016215717,3.040194724,0.541208648,196422645,172031508,SNFCA
