time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,88.63,88.94,87.95,88.08,3756476,5531254.2,2.838328792,1.89697E+11,1.11985E+11,77712268006,15.3986014,4.149729476,13335000000,11167000000,TGT
2018-09-14,88.12,88.519,87.54,87.94,3433324,5372718,2.842847396,1.81112E+11,1.08036E+11,73076389085,15.37412587,4.14313363,13335000000,11167000000,TGT
2018-09-17,88.18,88.21,87.14,87.28,2857287,5143989.65,2.864344638,1.81112E+11,1.08036E+11,73076389085,15.25874126,4.112038927,13335000000,11167000000,TGT
2018-09-18,86.96,87.97,86.65,87.68,5014167,5109732.75,2.851277372,1.87093E+11,1.09392E+11,77700875137,15.32867133,4.130884201,13335000000,11167000000,TGT
2018-09-19,87.68,87.94,86.3774,87.16,3218466,4869154.4,2.868288206,1.8863E+11,1.10372E+11,78258099244,15.23776224,4.106385344,13335000000,11167000000,TGT
2018-09-20,87.37,87.64,86.72,87.38,3242087,4049566.7,2.861066606,1.99616E+11,1.12192E+11,87424189239,15.27622378,4.116750245,13335000000,11167000000,TGT
2018-09-21,87.53,88.655,87.06,87.31,6707490,4014461.65,2.86336044,2.04518E+11,1.13771E+11,90747627086,15.26398601,4.113452322,13335000000,11167000000,TGT
2018-09-24,87.21,88.53,87.04,87.24,3475680,3962978.65,2.865657955,2.04518E+11,1.13771E+11,90747627086,15.25174825,4.110154399,13335000000,11167000000,TGT
2018-09-25,87.42,87.99,86.86,87.31,2949629,3913447.5,2.86336044,2.01204E+11,1.11148E+11,90056087859,15.26398601,4.113452322,13335000000,11167000000,TGT
2018-09-26,87.45,88.37,87.26,87.89,3880092,3909751.75,2.844464672,2.01772E+11,1.11721E+11,90050276795,15.36538462,4.140777971,13335000000,11167000000,TGT
2018-09-27,87.84,88.24,87.38,87.51,3075807,3898174.45,2.856816364,2.1143E+11,1.15539E+11,95891491506,15.29895105,4.12287496,13335000000,11167000000,TGT
2018-09-28,87.66,88.29,87.48,88.21,3924043,3947353.65,2.834145788,2.0951E+11,1.13681E+11,95828541867,15.42132867,4.15585419,13335000000,11167000000,TGT
2018-10-01,88.33,88.79,88.205,88.47,3154796,3931623.8,2.825816661,2.0951E+11,1.13681E+11,95828541867,15.46678322,4.168103619,13335000000,11167000000,TGT
2018-10-02,88.36,89.39,86.42,86.62,4258848,3966429.7,2.886169476,2.04957E+11,1.1246E+11,92496364311,15.14335664,4.080944224,13335000000,11167000000,TGT
2018-10-03,86.73,86.75,85.65,85.97,4270659,3824265.7,2.90799116,2.03099E+11,1.11724E+11,91375173810,15.02972028,4.050320652,13335000000,11167000000,TGT
2018-10-04,85.84,86.52,84.4176,84.84,5473279,3872686.1,2.946723244,2.05578E+11,1.13307E+11,92271291174,14.83216783,3.997082751,13335000000,11167000000,TGT
2018-10-05,84.85,85.23,83.81,84.52,5075257,3895702,2.957879792,2.07347E+11,1.14341E+11,93006604153,14.77622378,3.982006532,13335000000,11167000000,TGT
2018-10-08,84.39,85.56,84.17,85.4,3732030,3874505.05,2.927400468,2.07347E+11,1.14341E+11,93006604153,14.93006993,4.023466136,13335000000,11167000000,TGT
2018-10-09,85.49,86.8,85.49,85.66,3330916,3887539.4,2.91851506,2.05913E+11,1.14076E+11,91837405142,14.97552448,4.035715565,13335000000,11167000000,TGT
2018-10-10,85.67,86.81,85.065,85.2,4952601,3989146.7,2.9342723,2.03231E+11,1.12853E+11,90377739133,14.8951049,4.014043499,13335000000,11167000000,TGT
2018-10-11,85.42,86.13,82.7,82.8,5091418,4055893.8,3.019323671,1.83485E+11,1.06549E+11,76935661677,14.47552448,3.900971851,13335000000,11167000000,TGT
2018-10-12,84.09,85.76,83.77,84.61,5129177,4140686.45,2.954733483,1.94991E+11,1.11598E+11,83392610781,14.79195804,3.986246719,13335000000,11167000000,TGT
2018-10-15,84.56,85.31,84.32,84.6,3345566,4165100.4,2.955082742,1.94991E+11,1.11598E+11,83392610781,14.79020979,3.985775587,13335000000,11167000000,TGT
2018-10-16,85.14,86.073,84.55,85.81,2691683,4048976.2,2.913413355,1.97345E+11,1.11946E+11,85398685609,15.00174825,4.042782542,13335000000,11167000000,TGT
2018-10-17,85.56,85.95,83.54,84.42,4191825,4097644.15,2.961383558,1.97017E+11,1.11543E+11,85474334522,14.75874126,3.977295213,13335000000,11167000000,TGT
2018-10-18,83.59,84.58,80.65,83.36,4242644,4147672,2.999040307,1.94592E+11,1.10842E+11,83750118144,14.57342657,3.927355235,13335000000,11167000000,TGT
2018-10-19,83.73,83.77,81.92,82.02,5464350,4085515,3.048037064,1.95925E+11,1.11059E+11,84865714154,14.33916084,3.864223565,13335000000,11167000000,TGT
2018-10-22,82.5,83.78,82.5,83.23,3420244,4082743.2,3.003724619,1.95925E+11,1.11059E+11,84865714154,14.5506993,3.921230521,13335000000,11167000000,TGT
2018-10-23,81.28,82.9509,81.07,82.67,4517492,4161136.35,3.02407161,1.95772E+11,1.10852E+11,84920056402,14.4527972,3.894847137,13335000000,11167000000,TGT
2018-10-24,82.59,84.3,82.11,82.27,5098796,4222071.55,3.038774766,1.95701E+11,1.11183E+11,84518746029,14.38286713,3.876001862,13335000000,11167000000,TGT
2018-10-25,83.18,84.58,82.65,83.83,5311596,4333861,2.982225933,1.9505E+11,1.10874E+11,84175774083,14.65559441,3.949498433,13335000000,11167000000,TGT
2018-10-26,83.72,84.26,81.81,81.94,6129126,4444115.15,3.051012936,1.89732E+11,1.08716E+11,81016215717,14.32517483,3.86045451,13335000000,11167000000,TGT
2018-10-29,82.78,85.52,82.51,84.1,5352952,4554022.95,2.972651605,1.89732E+11,1.08716E+11,81016215717,14.7027972,3.962218993,13335000000,11167000000,TGT
2018-10-30,84.8,86.47,84.55,85.77,5767600,4629460.55,2.914772065,1.90395E+11,1.08779E+11,81616739670,14.99475524,4.040898015,13335000000,11167000000,TGT
2018-10-31,86.47,86.47,83.52,83.63,6674167,4749635.95,2.989357886,1.91902E+11,1.09378E+11,82523713021,13.91305794,3.938539383,13847000000,11080000000,TGT
2018-11-01,83.51,84.38,82.98,84.23,4388609,4695402.45,2.968063635,1.93163E+11,1.10045E+11,83118198356,14.01287661,3.966796272,13847000000,11080000000,TGT
2018-11-02,84.76,85.67,83.46,84.41,3637613,4623520.25,2.961734392,2.00777E+11,1.1117E+11,89607134831,14.04282221,3.975273338,13847000000,11080000000,TGT
2018-11-05,84.56,85.52,84.1086,85.35,3670734,4620455.45,2.929115407,2.00777E+11,1.1117E+11,89607134831,14.19920478,4.019542464,13847000000,11080000000,TGT
2018-11-06,85.44,85.67,84.93,85.59,3837662,4645792.75,2.920901975,2.07338E+11,1.1195E+11,95388296830,14.23913224,4.03084522,13847000000,11080000000,TGT
