time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,121.75,122.41,121.6,121.96,149928,181207.25,0,1.89697E+11,1.11985E+11,77712268006,7.914495415,1.031192909,1.82733E+11,1.81672E+11,TM
2018-09-14,122.71,122.83,122.06,122.28,131596,181141.25,0,1.81112E+11,1.08036E+11,73076389085,7.935261556,1.033898564,1.82733E+11,1.81672E+11,TM
2018-09-17,122.67,123.02,122.41,122.48,147347,181748.3,0,1.81112E+11,1.08036E+11,73076389085,7.948240394,1.035589599,1.82733E+11,1.81672E+11,TM
2018-09-18,124.38,125.3,124.27,125.03,266924,188776.25,0,1.87093E+11,1.09392E+11,77700875137,8.113720579,1.05715029,1.82733E+11,1.81672E+11,TM
2018-09-19,124.98,125.65,124.98,125.32,130939,186182.8,0,1.8863E+11,1.10372E+11,78258099244,8.132539894,1.059602291,1.82733E+11,1.81672E+11,TM
2018-09-20,125.42,125.89,124.69,124.95,136019,179838.8,0,1.99616E+11,1.12192E+11,87424189239,8.108529043,1.056473877,1.82733E+11,1.81672E+11,TM
2018-09-21,124.65,124.95,124.31,124.72,113991,176320.95,0,2.04518E+11,1.13771E+11,90747627086,8.09360338,1.054529187,1.82733E+11,1.81672E+11,TM
2018-09-24,124.34,124.66,123.72,124,117922,177559.05,0,2.04518E+11,1.13771E+11,90747627086,8.046879563,1.048441462,1.82733E+11,1.81672E+11,TM
2018-09-25,125.32,125.605,124.77,124.88,169888,167525.65,0,2.01204E+11,1.11148E+11,90056087859,8.10398645,1.055882014,1.82733E+11,1.81672E+11,TM
2018-09-26,124.95,125.3,124.31,125.14,271073,172620.05,0,2.01772E+11,1.11721E+11,90050276795,8.120858939,1.058080359,1.82733E+11,1.81672E+11,TM
2018-09-27,124.8,125.35,124.3811,124.61,151173,167726.2,0,2.1143E+11,1.15539E+11,95891491506,8.086465019,1.053599118,1.82733E+11,1.81672E+11,TM
2018-09-28,124.51,124.99,124.18,124.35,167299,167828.55,0,2.0951E+11,1.13681E+11,95828541867,7.654050461,1.038528618,1.83875E+11,1.82323E+11,TM
2018-10-01,124.6,125.04,124.41,124.82,147213,167560.25,0,2.0951E+11,1.13681E+11,95828541867,7.682980125,1.042453897,1.83875E+11,1.82323E+11,TM
