time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,288.02,295,285.18,289.46,6340336,9845692.85,0,1.89697E+11,1.11985E+11,77712268006,-17.95657568,12.63498274,13412247000,5267113000,TSLA
2018-09-14,288.76,297.3256,286.52,295.2,6765612,9880771.8,0,1.81112E+11,1.08036E+11,73076389085,-18.31265509,12.88553481,13412247000,5267113000,TSLA
2018-09-17,290.04,300.87,288.13,294.84,6887577,9277220.05,0,1.81112E+11,1.08036E+11,73076389085,-18.29032258,12.86982074,13412247000,5267113000,TSLA
2018-09-18,296.69,302.64,275.5,284.96,16547522,9234479.4,0,1.87093E+11,1.09392E+11,77700875137,-17.67741935,12.43855691,13412247000,5267113000,TSLA
2018-09-19,280.51,300,280.5,299.02,8294917,8990613.75,0,1.8863E+11,1.10372E+11,78258099244,-18.54962779,13.05227852,13412247000,5267113000,TSLA
2018-09-20,303.56,305.98,293.33,298.33,7349422,9060787.1,0,1.99616E+11,1.12192E+11,87424189239,-18.50682382,13.02215989,13412247000,5267113000,TSLA
2018-09-21,297.7,300.58,295.37,299.1,5050478,9055946.7,0,2.04518E+11,1.13771E+11,90747627086,-18.55459057,13.05577053,13412247000,5267113000,TSLA
2018-09-24,298.48,302.9993,293.58,299.68,4842961,9117966.55,0,2.04518E+11,1.13771E+11,90747627086,-18.59057072,13.08108764,13412247000,5267113000,TSLA
2018-09-25,300,304.6,296.5,300.99,4481729,8688088.6,0,2.01204E+11,1.11148E+11,90056087859,-18.67183623,13.13826938,13412247000,5267113000,TSLA
2018-09-26,301.91,313.89,301.1093,309.58,7843216,8697794.85,0,2.01772E+11,1.11721E+11,90050276795,-19.20471464,13.51322448,13412247000,5267113000,TSLA
2018-09-27,312.9,314.96,306.91,307.52,8509084,8750879.45,0,2.1143E+11,1.15539E+11,95891491506,-19.07692308,13.4233051,13412247000,5267113000,TSLA
2018-09-28,270.26,278,260.555,264.77,33649694,10072528.85,0,2.0951E+11,1.13681E+11,95828541867,-24.81024757,10.07547952,13564186000,5853569000,TSLA
2018-10-01,305.77,311.44,301.05,310.7,21777597,10892653.5,0,2.0951E+11,1.13681E+11,95828541867,-29.11411383,11.8232862,13564186000,5853569000,TSLA
2018-10-02,313.95,316.84,299.15,301.02,11743511,11062305.6,0,2.04957E+11,1.1246E+11,92496364311,-28.20705036,11.45492634,13564186000,5853569000,TSLA
2018-10-03,303.33,304.6,291.57,294.8,7994988,11076013.95,0,2.03099E+11,1.11724E+11,91375173810,-27.62420585,11.21823229,13564186000,5853569000,TSLA
2018-10-04,293.95,294,277.67,281.83,9814212,11192686.55,0,2.05578E+11,1.13307E+11,92271291174,-26.40885324,10.72467573,13564186000,5853569000,TSLA
2018-10-05,274.65,274.88,260,261.95,17944537,10965316.85,0,2.07347E+11,1.14341E+11,93006604153,-24.54599974,9.968168076,13564186000,5853569000,TSLA
2018-10-08,264.52,267.7599,249,250.56,13472653,10924773.1,0,2.07347E+11,1.14341E+11,93006604153,-23.47870088,9.534736373,13564186000,5853569000,TSLA
2018-10-09,255.25,266.77,253.3,262.8,12060574,11069302.35,0,2.05913E+11,1.14076E+11,91837405142,-24.62564891,10.00051373,13564186000,5853569000,TSLA
