time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,37.1,37.46,36.97,37.27,328034,348525.8,0,1.9001E+11,1.12241E+11,77769172544,20.13918071,3.018905949,10838876430,7412672469,TU
2018-09-14,37.27,37.27,36.945,37.03,234203,341894.1,0,1.8142E+11,1.08284E+11,73136004990,20.00949454,2.999465718,10838876430,7412672469,TU
2018-09-17,37.09,37.45,37.09,37.15,248319,334116.8,0,1.8142E+11,1.08284E+11,73136004990,20.07433762,3.009185833,10838876430,7412672469,TU
2018-09-18,37.13,37.29,37.05,37.22,325796,337133.55,0,1.87399E+11,1.09642E+11,77757402658,20.11216275,3.014855901,10838876430,7412672469,TU
2018-09-19,37.22,37.32,36.59,36.61,432484,344443.4,0,1.88941E+11,1.10618E+11,78323432675,19.78254375,2.965445313,10838876430,7412672469,TU
2018-09-20,36.82,37,36.59,36.82,492827,353990.6,0,1.99926E+11,1.12438E+11,87488563013,19.89601915,2.982455515,10838876430,7412672469,TU
2018-09-21,36.86,36.89,36.64,36.77,477491,363109.65,0,2.04839E+11,1.14028E+11,90810458439,19.86900119,2.978405467,10838876430,7412672469,TU
2018-09-24,36.81,36.83,36.26,36.37,291598,363328.7,0,2.04839E+11,1.14028E+11,90810458439,19.65285759,2.946005081,10838876430,7412672469,TU
2018-09-25,36.43,36.43,36.14,36.21,333485,365986.95,0,2.01519E+11,1.11399E+11,90119973665,19.56640014,2.933044927,10838876430,7412672469,TU
2018-09-26,36.25,36.89,36.25,36.7,486142,374343.35,0,2.02088E+11,1.11975E+11,90112908695,19.83117606,2.972735399,10838876430,7412672469,TU
2018-09-27,36.67,37.07,36.67,36.9,631846,385969.15,0,2.11761E+11,1.15805E+11,95955465183,19.93924787,2.988935592,10838876430,7412672469,TU
2018-09-28,36.93,37.02,36.62,36.84,447076,394821.4,0,2.09837E+11,1.13936E+11,95900773093,18.63626491,2.869446494,10827015318,7739439889,TU
2018-10-01,37.03,37.24,36.56,36.64,464577,394766.9,0,2.09837E+11,1.13936E+11,95900773093,18.53509083,2.853868608,10827015318,7739439889,TU
2018-10-02,36.56,36.67,36.15,36.39,467121,398557.7,0,2.05288E+11,1.1272E+11,92568366511,18.40862324,2.834396251,10827015318,7739439889,TU
2018-10-03,36.47,36.47,35.87,35.9,460251,400472.75,0,2.0343E+11,1.11985E+11,91445105712,18.16074675,2.796230432,10827015318,7739439889,TU
2018-10-04,35.85,35.87,35.54,35.63,566371,406625.45,0,2.05931E+11,1.13579E+11,92352033737,18.02416175,2.775200287,10827015318,7739439889,TU
2018-10-05,35.67,35.8,35.475,35.62,372032,408119.05,0,2.07724E+11,1.14612E+11,93111416011,18.01910304,2.774421393,10827015318,7739439889,TU
2018-10-08,35.59,35.59,35.2,35.29,312501,404535.65,0,2.07724E+11,1.14612E+11,93111416011,17.85216582,2.748717882,10827015318,7739439889,TU
2018-10-09,35.21,35.41,34.985,35.07,667290,422521.3,0,2.06269E+11,1.14333E+11,91936095372,17.74087433,2.731582208,10827015318,7739439889,TU
2018-10-10,34.76,34.76,34.255,34.26,650806,434512.5,0,2.03593E+11,1.13122E+11,90471375499,17.33111932,2.668491772,10827015318,7739439889,TU
2018-10-11,34.19,34.23,33.887,33.96,559509,446086.25,0,1.83797E+11,1.06785E+11,77011778718,17.17935821,2.645124944,10827015318,7739439889,TU
2018-10-12,34.18,34.3,33.64,33.98,484809,458616.55,0,1.95328E+11,1.11852E+11,83475602832,17.18947561,2.646682732,10827015318,7739439889,TU
2018-10-15,34.03,34.47,34.02,34.3,323040,462352.6,0,1.95328E+11,1.11852E+11,83475602832,17.35135414,2.671607349,10827015318,7739439889,TU
2018-10-16,34.53,34.91,34.32,34.84,398065,465966.05,0,1.97682E+11,1.12193E+11,85488548272,17.62452414,2.713667639,10827015318,7739439889,TU
2018-10-17,34.69,34.86,34.39,34.77,370938,462888.75,0,1.97357E+11,1.11792E+11,85564799812,17.58911322,2.70821538,10827015318,7739439889,TU
2018-10-18,34.71,34.85,34.39,34.57,338066,455150.7,0,1.94926E+11,1.11092E+11,83834185997,17.48793914,2.692637494,10827015318,7739439889,TU
2018-10-19,34.68,35.06,34.55,34.84,456777,454115,0,1.96259E+11,1.11311E+11,84947756716,17.62452414,2.713667639,10827015318,7739439889,TU
2018-10-22,34.91,34.99,34.5662,34.71,258634,452466.8,0,1.96259E+11,1.11311E+11,84947756716,17.55876099,2.703542014,10827015318,7739439889,TU
2018-10-23,34.5,34.95,34.4,34.88,511410,461363.05,0,1.96218E+11,1.11218E+11,84999737180,17.64475896,2.716783217,10827015318,7739439889,TU
2018-10-24,34.85,35.14,34.76,34.85,542883,464200.1,0,1.96107E+11,1.11507E+11,84599736561,17.62958285,2.714446534,10827015318,7739439889,TU
2018-10-25,34.83,34.94,34.65,34.73,530475,459131.55,0,1.95424E+11,1.11171E+11,84252914344,17.5688784,2.705099802,10827015318,7739439889,TU
2018-10-26,34.47,34.65,34,34.26,467765,460166,0,1.90039E+11,1.08991E+11,81048041414,17.33111932,2.668491772,10827015318,7739439889,TU
2018-10-29,34.49,34.66,33.91,34.07,374857,455680,0,1.90039E+11,1.08991E+11,81048041414,17.23500395,2.653692781,10827015318,7739439889,TU
2018-10-30,34.06,34.41,33.99,34.3,379802,451314.05,0,1.90743E+11,1.09057E+11,81685911596,17.35135414,2.671607349,10827015318,7739439889,TU
2018-10-31,34.39,34.52,34.14,34.22,421780,449390.5,0,1.92252E+11,1.09654E+11,82598270228,17.31088451,2.665376195,10827015318,7739439889,TU
2018-11-01,34.47,34.77,34.34,34.61,540181,448081,0,1.93518E+11,1.10326E+11,83191456335,17.50817395,2.695753071,10827015318,7739439889,TU
2018-11-02,34.71,34.71,34.17,34.24,432053,451082.05,0,2.01122E+11,1.11447E+11,89675285435,17.32100191,2.666933983,10827015318,7739439889,TU
2018-11-05,34.3,34.44,34.16,34.18,330405,451977.25,0,2.01122E+11,1.11447E+11,89675285435,17.29064969,2.662260618,10827015318,7739439889,TU
2018-11-06,34.11,34.17,33.86,34.06,382030,437714.25,0,2.07695E+11,1.12238E+11,95456672440,17.22994524,2.652913886,10827015318,7739439889,TU
2018-11-07,34.2,34.525,34.09,34.31,480415,429194.7,0,2.06932E+11,1.13177E+11,93755391054,17.35641284,2.672386243,10827015318,7739439889,TU
2018-11-08,34.89,35.05,34.45,34.87,370934,419765.95,0,2.01373E+11,1.11513E+11,89860126705,17.63970025,2.716004322,10827015318,7739439889,TU
2018-11-09,34.77,35.33,34.6,34.74,425926,416821.8,0,1.98901E+11,1.10043E+11,88857897269,17.5739371,2.705878697,10827015318,7739439889,TU
2018-11-12,34.79,35.2,34.69,34.86,329995,417169.55,0,1.98901E+11,1.10043E+11,88857897269,17.63464155,2.715225428,10827015318,7739439889,TU
2018-11-13,34.98,35.03,34.65,34.91,379604,416246.5,0,1.95748E+11,1.09053E+11,86694544162,17.65993507,2.719119899,10827015318,7739439889,TU
2018-11-14,35.01,35.14,34.87,35.03,344570,414928.1,0,1.74605E+11,97483443553,77121631697,17.72063952,2.728466631,10827015318,7739439889,TU
2018-11-15,34.93,35.2,34.93,35.09,323561,414202.85,0,1.74445E+11,97305415426,77139127522,17.75099174,2.733139996,10827015318,7739439889,TU
2018-11-16,35.17,35.57,34.97,35.48,432905,413009.25,0,1.48112E+11,82511044587,65601114831,17.94828119,2.763516873,10827015318,7739439889,TU
2018-11-19,35.46,35.78,35.4,35.7,464975,423326.3,0,1.48112E+11,82511044587,65601114831,18.05957267,2.780652547,10827015318,7739439889,TU
2018-11-20,35.66,35.84,35.05,35.18,403602,417935.9,0,1.35003E+11,75838356895,59164930692,17.79652007,2.740150045,10827015318,7739439889,TU
2018-11-21,35.27,35.71,35.18,35.58,269392,404261.35,0,1.31557E+11,74740571430,56816388680,17.99886823,2.771305815,10827015318,7739439889,TU
2018-11-23,35.63,35.88,35.6,35.69,164350,385955.1,0,1.14667E+11,64981164788,49685572591,18.05451397,2.779873652,10827015318,7739439889,TU
2018-11-26,35.92,36.16,35.85,35.91,373276,381230.65,0,1.14667E+11,64981164788,49685572591,18.16580545,2.797009326,10827015318,7739439889,TU
2018-11-27,35.85,36.01,35.64,35.76,265779,375776.75,0,1.15948E+11,65749239598,50198343912,18.0899249,2.785325912,10827015318,7739439889,TU
2018-11-28,35.7,35.82,35.47,35.76,318829,372728.1,0,1.29206E+11,73582599517,55623696937,18.0899249,2.785325912,10827015318,7739439889,TU
2018-11-29,35.69,36.06,35.6,35.8,354159,369347.05,0,1.28501E+11,74102311642,54398998758,18.11015971,2.788441489,10827015318,7739439889,TU
2018-11-30,35.86,36,35.69,35.9,438611,364268.55,0,1.15868E+11,66877099772,48990485221,18.16074675,2.796230432,10827015318,7739439889,TU
2018-12-03,36.15,36.25,35.76,36.05,327552,359043.5,0,1.15868E+11,66877099772,48990485221,18.23662731,2.807913846,10827015318,7739439889,TU
2018-12-04,36.04,36.49,35.8,35.98,342673,359656.9,0,1.10572E+11,64492715558,46079715116,18.20121638,2.802461586,10827015318,7739439889,TU
2018-12-06,35.67,35.91,35.2,35.89,434127,362261.75,0,1.01087E+11,59980891616,41105690318,18.15568805,2.795451538,10827015318,7739439889,TU
2018-12-07,35.98,36.46,35.8,35.9,419206,359201.3,0,1.00367E+11,59471848193,40895411612,18.16074675,2.796230432,10827015318,7739439889,TU
2018-12-10,35.4,35.4,34.605,34.91,428150,362062.1,0,1.00367E+11,59471848193,40895411612,17.65993507,2.719119899,10827015318,7739439889,TU
2018-12-11,35.06,35.29,34.92,34.97,483075,364919.55,0,98662604845,58520058010,40142546835,17.69028729,2.723793265,10827015318,7739439889,TU
2018-12-12,35.2,35.29,35.08,35.14,342296,365534.6,0,1.00995E+11,59863758997,41130808594,17.77628526,2.737034468,10827015318,7739439889,TU
2018-12-13,35,35.26,34.83,35,320754,362592.1,0,96419340394,56951026085,39468314308,17.7054634,2.726129948,10827015318,7739439889,TU
2018-12-14,34.8,34.95,34.61,34.84,275979,359162.55,0,1.04567E+11,61066655412,43500469046,17.62452414,2.713667639,10827015318,7739439889,TU
2018-12-17,34.76,34.87,34.15,34.26,695562,377762.6,0,1.04567E+11,61066655412,43500469046,17.33111932,2.668491772,10827015318,7739439889,TU
2018-12-18,34.2,34.4144,33.88,33.97,434810,377857.85,0,1.10791E+11,64063400965,46728096600,17.18441691,2.645903838,10827015318,7739439889,TU
2018-12-19,34.12,34.5,33.72,33.88,521698,380694,0,1.10952E+11,64371705254,46580015420,17.13888858,2.638893789,10827015318,7739439889,TU
2018-12-20,33.83,33.99,33.32,33.82,579018,389464.8,0,1.23951E+11,71174445437,52776277053,17.10853635,2.634220424,10827015318,7739439889,TU
2018-12-21,33.76,33.96,32.89,32.96,665065,409248.45,0,1.28114E+11,70549730580,57564331416,16.67348782,2.567235517,10827015318,7739439889,TU
2018-12-24,32.81,32.97,32.6,32.67,319742,417018.05,0,1.20418E+11,66609702213,53808080557,16.52678541,2.544647583,10827015318,7739439889,TU
2018-12-26,32.63,33.24,32.46,33.23,451030,420905.75,0,1.20418E+11,66609702213,53808080557,16.81007283,2.588265662,10827015318,7739439889,TU
2018-12-27,32.66,33.03,32.515,33.03,425991,428916.35,0,1.12398E+11,62795193703,49602819036,16.70889875,2.572687776,10827015318,7739439889,TU
2018-12-28,33.05,33.32,33.03,33.09,420910,434020.4,0,1.17495E+11,64597824063,52897047538,16.73925097,2.577361142,10827015318,7739439889,TU
2018-12-31,33.29,33.39,32.935,33.14,446356,438630.25,0,1.26253E+11,67989225636,58263471643,16.88147546,2.64278221,10397569190,7571386733,TU
2019-01-02,33.04,33.28,32.7,33.24,293667,431383.05,0,1.26253E+11,67989225636,58263471643,16.93241534,2.650756809,10397569190,7571386733,TU
2019-01-03,33.33,33.58,33.1,33.3,521227,441066.8,0,1.22104E+11,66284916225,55818639293,16.96297927,2.655541569,10397569190,7571386733,TU
2019-01-04,33.65,33.78,33.33,33.38,314949,439680.6,0,1.28093E+11,70123582113,57969556859,17.00373117,2.661921248,10397569190,7571386733,TU
2019-01-07,33.48,33.765,33.35,33.7,427190,439333.75,0,1.28093E+11,70123582113,57969556859,17.16673878,2.687439966,10397569190,7571386733,TU
2019-01-08,33.77,33.89,33.57,33.8,494118,443079.35,0,1.28183E+11,69939294444,58243622963,17.21767865,2.695414566,10397569190,7571386733,TU
2019-01-09,33.87,34.2,33.65,34.17,520184,447681.05,0,1.29005E+11,70081483441,58923440032,17.4061562,2.724920583,10397569190,7571386733,TU
2019-01-10,34.11,34.345,33.86,34.23,269955,437025.05,0,1.15131E+11,63521008483,51610403986,17.43672013,2.729705343,10397569190,7571386733,TU
2019-01-11,34.24,34.53,34.05,34.28,581910,449005.75,0,1.16434E+11,64191444890,52242902919,17.46219007,2.733692642,10397569190,7571386733,TU
2019-01-14,34.28,34.65,34.24,34.38,377971,451866.6,0,1.16434E+11,64191444890,52242902919,17.51312994,2.741667242,10397569190,7571386733,TU
2019-01-15,34.44,34.5,34.22,34.37,326692,454402.25,0,1.12963E+11,62669182839,50294031392,17.50803596,2.740869782,10397569190,7571386733,TU
2019-01-16,34.4,34.52,34.245,34.33,275328,433390.55,0,1.14423E+11,63184538062,51238866337,17.48766001,2.737679942,10397569190,7571386733,TU
2019-01-17,34.26,34.6,34.15,34.59,330390,428169.55,0,1.15497E+11,63753834905,51743083519,17.62010369,2.7584139,10397569190,7571386733,TU
2019-01-18,34.71,34.86,34.58,34.81,282522,416210.75,0,1.1343E+11,62713966233,50716179258,17.73217142,2.775958019,10397569190,7571386733,TU
