time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,18.65,18.75,18.27,18.35,1374363,2217216.4,0,1.89697E+11,1.11985E+11,77712268006,-51.25698324,4.243225869,779370000,1923912000,UA
2018-09-14,18.38,18.39,17.43,17.74,3061892,2307160.7,0,1.81112E+11,1.08036E+11,73076389085,-49.55307263,4.102170404,779370000,1923912000,UA
2018-09-17,17.7,18.05,17.48,17.67,2868509,2389842.3,0,1.81112E+11,1.08036E+11,73076389085,-49.3575419,4.085983712,779370000,1923912000,UA
2018-09-18,17.68,17.83,17.41,17.46,3148254,2446507.35,0,1.87093E+11,1.09392E+11,77700875137,-48.77094972,4.037423633,779370000,1923912000,UA
2018-09-19,17.34,17.61,17.044,17.28,1974800,2453642.6,0,1.8863E+11,1.10372E+11,78258099244,-48.26815642,3.995800709,779370000,1923912000,UA
2018-09-20,17.44,18.45,17.44,18.15,5526402,2659523.9,0,1.99616E+11,1.12192E+11,87424189239,-50.69832402,4.196978176,779370000,1923912000,UA
2018-09-21,18.32,18.89,18.15,18.7,5679500,2846272.7,0,2.04518E+11,1.13771E+11,90747627086,-52.23463687,4.324159333,779370000,1923912000,UA
2018-09-24,18.63,18.97,18.29,18.84,2055573,2840379.95,0,2.04518E+11,1.13771E+11,90747627086,-52.62569832,4.356532718,779370000,1923912000,UA
2018-09-25,18.91,18.95,18.4,18.74,1772380,2831091.8,0,2.01204E+11,1.11148E+11,90056087859,-52.34636872,4.333408871,779370000,1923912000,UA
2018-09-26,18.65,19.46,18.54,19.27,2507625,2875024.95,0,2.01772E+11,1.11721E+11,90050276795,-53.82681564,4.455965259,779370000,1923912000,UA
2018-09-27,19.43,19.66,19.1359,19.24,1697542,2655251.5,0,2.1143E+11,1.15539E+11,95891491506,-53.74301676,4.449028105,779370000,1923912000,UA
2018-09-28,19.18,19.72,19.12,19.46,2141594,2651256.5,0,2.0951E+11,1.13681E+11,95828541867,-62.35181032,4.34932257,803455000,2005921000,UA
2018-10-01,19.64,19.75,19.29,19.34,2227265,2667772.75,0,2.0951E+11,1.13681E+11,95828541867,-61.96731817,4.322502492,803455000,2005921000,UA
2018-10-02,19.38,19.38,18.47,18.52,2685246,2649585.85,0,2.04957E+11,1.1246E+11,92496364311,-59.33995514,4.139231962,803455000,2005921000,UA
2018-10-03,18.54,19.07,18.24,18.85,1709898,2593559.7,0,2.03099E+11,1.11724E+11,91375173810,-60.39730855,4.212987176,803455000,2005921000,UA
2018-10-04,18.85,18.9,18.15,18.29,1872498,2589642.2,0,2.05578E+11,1.13307E+11,92271291174,-58.60301186,4.087826814,803455000,2005921000,UA
2018-10-05,18.25,18.37,17.58,17.81,2212138,2538699.45,0,2.07347E+11,1.14341E+11,93006604153,-57.06504326,3.980546504,803455000,2005921000,UA
2018-10-08,17.75,17.89,17.35,17.68,1824751,2507895.3,0,2.07347E+11,1.14341E+11,93006604153,-56.64851009,3.95149142,803455000,2005921000,UA
2018-10-09,17.67,18.25,17.66,17.72,1719521,2481230.15,0,2.05913E+11,1.14076E+11,91837405142,-56.77667414,3.960431446,803455000,2005921000,UA
2018-10-10,17.61,17.61,16.755,16.81,3054119,2555693.5,0,2.03231E+11,1.12853E+11,90377739133,-53.86094201,3.757045858,803455000,2005921000,UA
2018-10-11,16.75,17.36,16.61,16.82,3959933,2684972,0,1.83485E+11,1.06549E+11,76935661677,-53.89298302,3.759280864,803455000,2005921000,UA
2018-10-12,17.14,17.36,16.87,17.27,2514048,2657579.8,0,1.94991E+11,1.11598E+11,83392610781,-55.33482858,3.859856155,803455000,2005921000,UA
2018-10-15,17.22,17.56,17.075,17.31,1317703,2580039.5,0,1.94991E+11,1.11598E+11,83392610781,-55.46299263,3.868796181,803455000,2005921000,UA
2018-10-16,17.41,17.925,17.23,17.91,2569410,2551097.3,0,1.97345E+11,1.11946E+11,85398685609,-57.38545338,4.002896568,803455000,2005921000,UA
2018-10-17,17.94,18.05,17.35,17.56,1292191,2516966.85,0,1.97017E+11,1.11543E+11,85474334522,-56.26401794,3.924671342,803455000,2005921000,UA
2018-10-18,17.43,17.7,17.015,17.14,1751337,2328213.6,0,1.94592E+11,1.10842E+11,83750118144,-54.91829542,3.830801071,803455000,2005921000,UA
2018-10-19,17.29,17.29,16.68,16.8,2235367,2156006.95,0,1.95925E+11,1.11059E+11,84865714154,-53.82890099,3.754810851,803455000,2005921000,UA
2018-10-22,16.82,17.16,16.76,17.04,1653845,2135920.55,0,1.95925E+11,1.11059E+11,84865714154,-54.59788529,3.808451006,803455000,2005921000,UA
2018-10-23,16.71,17.065,16.39,16.94,2386495,2166626.3,0,1.95772E+11,1.10852E+11,84920056402,-54.27747517,3.786100942,803455000,2005921000,UA
2018-10-24,17,17.22,16.72,16.74,2162752,2149382.65,0,1.95701E+11,1.11183E+11,84518746029,-53.63665492,3.741400813,803455000,2005921000,UA
2018-10-25,16.86,17.19,16.75,17.03,1799411,2154476.1,0,1.9505E+11,1.10874E+11,84175774083,-54.56584428,3.806216,803455000,2005921000,UA
2018-10-26,16.77,16.84,15.95,16.55,3200439,2207418.35,0,1.89732E+11,1.08716E+11,81016215717,-53.02787568,3.69893569,803455000,2005921000,UA
2018-10-29,16.86,17.445,16.375,16.81,4068643,2299487.25,0,1.89732E+11,1.08716E+11,81016215717,-53.86094201,3.757045858,803455000,2005921000,UA
2018-10-30,19.84,21.07,19.16,20.97,12470894,2788769.65,0,1.90395E+11,1.08779E+11,81616739670,-67.1900032,4.686808545,803455000,2005921000,UA
2018-10-31,20.8,21.46,19.81,19.83,6971619,3051855.7,0,1.91902E+11,1.09378E+11,82523713021,-63.53732778,4.432017809,803455000,2005921000,UA
2018-11-01,19.83,21.41,19.51,21.11,4580905,3187276.05,0,1.93163E+11,1.10045E+11,83118198356,-67.63857738,4.718098635,803455000,2005921000,UA
2018-11-02,21.1,21.7,20.94,21.42,3477968,3250567.55,0,2.00777E+11,1.1117E+11,89607134831,-68.63184877,4.787383836,803455000,2005921000,UA
2018-11-05,21.94,22.23,21.36,21.46,4608609,3389760.45,0,2.00777E+11,1.1117E+11,89607134831,-68.76001282,4.796323861,803455000,2005921000,UA
2018-11-06,21.3,21.3,20.511,20.91,3881375,3497853.15,0,2.07338E+11,1.1195E+11,95388296830,-66.99775713,4.673398506,803455000,2005921000,UA
2018-11-07,20.84,20.92,20.21,20.66,2820794,3486186.9,0,2.06574E+11,1.1289E+11,93684559229,-66.19673182,4.617523345,803455000,2005921000,UA
2018-11-08,20.58,20.8,20.31,20.74,2708776,3423629.05,0,2.01033E+11,1.11241E+11,89792294563,-66.45305992,4.635403396,803455000,2005921000,UA
2018-11-09,20.51,21.22,20.45,20.74,2850065,3440429.9,0,1.98553E+11,1.09764E+11,88789300862,-66.45305992,4.635403396,803455000,2005921000,UA
2018-11-12,20.73,21.4,20.56,20.82,2975154,3523302.45,0,1.98553E+11,1.09764E+11,88789300862,-66.70938802,4.653283448,803455000,2005921000,UA
2018-11-13,20.81,21.45,20.81,21.11,3284472,3559055.55,0,1.95411E+11,1.08782E+11,86629248365,-67.63857738,4.718098635,803455000,2005921000,UA
2018-11-14,21.33,21.895,20.9,20.95,3026590,3645775.5,0,1.74307E+11,97236837675,77069689202,-67.12592118,4.682338532,803455000,2005921000,UA
2018-11-15,20.67,20.9,19.83,20.9,3702723,3743344.8,0,1.74145E+11,97056130000,77088823597,-66.96571612,4.6711635,803455000,2005921000,UA
2018-11-16,20.68,20.68,20.005,20.21,3419715,3802562.2,0,1.47887E+11,82323313505,65564074967,-64.75488625,4.516948054,803455000,2005921000,UA
2018-11-19,20.11,20.22,19.25,19.42,3300235,3884881.7,0,1.47887E+11,82323313505,65564074967,-62.22364627,4.340382544,803455000,2005921000,UA
2018-11-20,18.96,19.5299,18.72,19.38,3298815,3930497.7,0,1.34795E+11,75664577024,59130690384,-62.09548222,4.331442518,803455000,2005921000,UA
2018-11-21,19.67,20.17,19.64,20.03,2393589,3942039.55,0,1.31356E+11,74575307150,56780289126,-64.17814803,4.476717938,803455000,2005921000,UA
2018-11-23,19.89,20.175,19.82,20.08,1318345,3917986.25,0,1.14494E+11,64838149047,49655505953,-64.33835309,4.48789297,803455000,2005921000,UA
2018-11-26,20.21,20.78,20.19,20.66,2520523,3883990.45,0,1.14494E+11,64838149047,49655505953,-66.19673182,4.617523345,803455000,2005921000,UA
2018-11-27,20.37,20.5,19.94,20.4,2609382,3811027.4,0,1.15773E+11,65604166695,50168761169,-65.36366549,4.559413177,803455000,2005921000,UA
2018-11-28,20.58,21.835,20.49,21.57,4256893,3400327.35,0,1.29014E+11,73424031744,55590203504,-69.11246395,4.820908932,803455000,2005921000,UA
2018-11-29,21.48,22,20.97,21.75,2886475,3196070.15,0,1.2831E+11,73945563795,54363970330,-69.68920218,4.861139049,803455000,2005921000,UA
2018-11-30,22,22.76,21.88,22.33,4723151,3203182.45,0,1.15698E+11,66738363307,48959810501,-71.5475809,4.990769423,803455000,2005921000,UA
2018-12-03,22.8,23.28,22.46,22.53,4191890,3238878.55,0,1.15698E+11,66738363307,48959810501,-72.18840115,5.035469553,803455000,2005921000,UA
2018-12-04,22.5,22.808,21.73,21.97,3563049,3186600.55,0,1.10407E+11,64354888815,46052123021,-70.39410445,4.910309191,803455000,2005921000,UA
2018-12-06,21.6,22.58,21.46,22.58,3909443,3188003.95,0,1.00927E+11,59844243367,41082591931,-72.34860622,5.046644585,803455000,2005921000,UA
2018-12-07,22.62,22.82,21.82,22.07,4241854,3259056.95,0,1.00231E+11,59355813696,40874963612,-70.71451458,4.932659255,803455000,2005921000,UA
2018-12-10,22.05,22.18,20.84,21.01,3520983,3299667.3,0,1.00231E+11,59355813696,40874963612,-67.31816725,4.695748571,803455000,2005921000,UA
2018-12-11,21.26,21.405,20.59,20.87,2897427,3302035.4,0,98533379029,58410496650,40122882380,-66.86959308,4.66445848,803455000,2005921000,UA
2018-12-12,20.05,20.08,18.395,19.01,8768410,3591698.2,0,1.00863E+11,59752661954,41110666577,-60.90996475,4.248747279,803455000,2005921000,UA
2018-12-13,18.91,19.0497,17.6301,17.81,7154360,3785192.6,0,96290489768,56840916581,39449573187,-57.06504326,3.980546504,803455000,2005921000,UA
2018-12-14,17.54,18.27,17.32,17.73,4256150,3846670.6,0,1.04424E+11,60942409132,43481223044,-56.80871516,3.962666452,803455000,2005921000,UA
2018-12-17,17.49,17.88,16.91,17.02,3612104,3842139.65,0,1.04424E+11,60942409132,43481223044,-54.53380327,3.803980994,803455000,2005921000,UA
2018-12-18,17.19,17.69,16.92,17.4,3209792,3831643.5,0,1.10627E+11,63918551127,46708352610,-55.75136174,3.888911239,803455000,2005921000,UA
2018-12-19,17.3,17.32,16.435,16.64,3033752,3818319.35,0,1.10789E+11,64227787652,46561003400,-53.31624479,3.719050748,803455000,2005921000,UA
2018-12-20,16.64,16.87,15.96,16.08,5253775,3916067.35,0,1.23776E+11,71020476672,52755419351,-51.52194809,3.593890386,803455000,2005921000,UA
2018-12-21,16.24,16.36,15.33,15.41,5145755,4053675.65,0,1.27936E+11,70394547832,57541503800,-49.37520026,3.444144954,803455000,2005921000,UA
2018-12-24,15.23,15.79,15.06,15.19,1937421,4084629.45,0,1.20255E+11,66467815206,53787506503,-48.67029798,3.394974811,803455000,2005921000,UA
2018-12-26,15.25,16.27,15.05,16.23,2559625,4086584.55,0,1.20255E+11,66467815206,53787506503,-52.00256328,3.627415483,803455000,2005921000,UA
2018-12-27,16,16.26,15.54,16.25,2270830,4069656.95,0,1.12252E+11,62666909198,49584630718,-52.06664531,3.631885496,803455000,2005921000,UA
2018-12-28,16.25,16.48,15.91,15.99,2267444,3970184.5,0,1.17347E+11,64469088797,52877694646,-51.23357898,3.573775328,803455000,2005921000,UA
2018-12-31,16.06,16.425,16.05,16.17,2277701,3939745.8,0,1.26088E+11,67845102455,58242674467,-155.7803468,3.596450257,728834000,2016871000,UA
2019-01-02,15.97,16.57,15.75,16.45,2714476,3839312.05,0,1.26088E+11,67845102455,58242674467,-158.477842,3.658726452,728834000,2016871000,UA
2019-01-03,16.28,16.39,15.72,15.96,2282016,3743818.35,0,1.21939E+11,66140416292,55798882076,-153.7572254,3.549743111,728834000,2016871000,UA
2019-01-04,16.21,16.755,16.21,16.6,1770539,3654192.85,0,1.27918E+11,69970304824,57948183778,-159.9229287,3.692088699,728834000,2016871000,UA
2019-01-07,16.72,17.3,16.52,17.11,1909236,3554182.5,0,1.27918E+11,69970304824,57948183778,-164.8362235,3.80552034,728834000,2016871000,UA
2019-01-08,17.35,17.5,17.05,17.24,1928912,3438535.4,0,1.28017E+11,69794546349,58222625768,-166.088632,3.834434287,728834000,2016871000,UA
2019-01-09,17.425,17.73,17.21,17.62,1829552,3353963.85,0,1.28832E+11,69929165462,58902340803,-169.7495183,3.918951981,728834000,2016871000,UA
2019-01-10,17.2,17.7,17.031,17.55,2132060,3315695.5,0,1.14982E+11,63390283811,51592208396,-169.0751445,3.903382932,728834000,2016871000,UA
2019-01-11,17.45,18.13,17.44,17.86,2382706,2996410.3,0,1.16283E+11,64059217781,52224141805,-172.061657,3.972331576,728834000,2016871000,UA
2019-01-14,17.72,18.075,17.68,17.88,1744958,2725940.2,0,1.16283E+11,64059217781,52224141805,-172.2543353,3.976779876,728834000,2016871000,UA
2019-01-15,17.88,18.05,17.7785,17.92,2286559,2627460.65,0,1.12814E+11,62538149888,50276032280,-172.6396917,3.985676475,728834000,2016871000,UA
2019-01-16,17.95,18.2,17.76,17.77,1294040,2511557.45,0,1.14269E+11,63050731837,51218442463,-171.194605,3.952314228,728834000,2016871000,UA
2019-01-17,17.62,18.21,17.58,18.15,1883877,2445261.7,0,1.1534E+11,63617789920,51722594246,-174.8554913,4.036831921,728834000,2016871000,UA
