time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,63.4,63.45,62.35,63.15,96322,149230.05,3.784639747,1.89754E+11,1.11985E+11,77769172544,13.96135479,1.19247061,442465000,1362272000,UVV
2018-09-14,63.25,64.55,61.9,64,96782,145536.95,3.734375,1.81172E+11,1.08036E+11,73136004990,14.14927485,1.208521284,442465000,1362272000,UVV
2018-09-17,64,64.75,63.65,64.35,80928,131618.45,3.714063714,1.81172E+11,1.08036E+11,73136004990,14.2266537,1.215130384,442465000,1362272000,UVV
2018-09-18,64.4,65.5,64,65.25,91433,124316.3,3.662835249,1.87149E+11,1.09392E+11,77757402658,14.42562787,1.232125215,442465000,1362272000,UVV
2018-09-19,65.3,66,65.3,65.5,216969,127997.25,3.648854962,1.88696E+11,1.10372E+11,78323432675,14.48089848,1.236846001,442465000,1362272000,UVV
2018-09-20,65.75,67.3,65.35,67.25,298410,137832.45,3.553903346,1.9968E+11,1.12192E+11,87488563013,14.86779271,1.269891505,442465000,1362272000,UVV
2018-09-21,67.25,67.9,66.53,67.25,429099,150934.6,3.553903346,2.04581E+11,1.13771E+11,90810458439,14.86779271,1.269891505,442465000,1362272000,UVV
2018-09-24,67.05,67.05,64.1,64.2,153234,149282.35,3.722741433,2.04581E+11,1.13771E+11,90810458439,14.19349133,1.212297913,442465000,1362272000,UVV
2018-09-25,64.2,65.55,64.2,65.45,97346,149481.6,3.651642475,2.01268E+11,1.11148E+11,90119973665,14.46984436,1.235901844,442465000,1362272000,UVV
2018-09-26,65.6,65.7,64.7,65.05,149049,152213.65,3.674096849,2.01834E+11,1.11721E+11,90112908695,14.38141139,1.228348586,442465000,1362272000,UVV
2018-09-27,65.2,66.1,65.05,65.15,126247,150754.65,3.668457406,2.11494E+11,1.15539E+11,95955465183,14.40351963,1.2302369,442465000,1362272000,UVV
2018-09-28,65.2,66,64.8,65,155346,152491.05,3.676923077,2.09582E+11,1.13681E+11,95900773093,13.7009401,1.214489268,517311000,1378418000,UVV
2018-10-01,65.14,65.62,64.25,64.64,95469,149828.3,3.69740099,2.09582E+11,1.13681E+11,95900773093,13.62505797,1.207762866,517311000,1378418000,UVV
2018-10-02,64.56,65.01,63.99,64.83,119095,151031.45,3.686564862,2.05029E+11,1.1246E+11,92568366511,13.66510687,1.211312911,517311000,1378418000,UVV
2018-10-03,65.05,66.08,64.4,65.51,119690,150839.45,3.64829797,2.03169E+11,1.11724E+11,91445105712,13.80843978,1.224018338,517311000,1378418000,UVV
2018-10-04,65.41,65.43,64.01,64.86,151529,147681.85,3.684859698,2.05659E+11,1.13307E+11,92352033737,13.67143038,1.211873445,517311000,1378418000,UVV
2018-10-05,64.05,64.6,63.49,64.32,144815,147334.2,4.042288557,2.07452E+11,1.14341E+11,93111416011,13.55760718,1.201783842,517311000,1378418000,UVV
2018-10-08,64.4,66.7,64.31,66.33,144801,150769.15,3.919794965,2.07452E+11,1.14341E+11,93111416011,13.98128241,1.239339587,517311000,1378418000,UVV
2018-10-09,66.33,68.57,66.14,66.25,295345,159704.1,3.924528302,2.06012E+11,1.14076E+11,91936095372,13.96441971,1.237844831,517311000,1378418000,UVV
2018-10-10,66.18,67.68,65.48,65.55,227222,164456.55,3.966437834,2.03325E+11,1.12853E+11,90471375499,13.81687113,1.224765716,517311000,1378418000,UVV
