time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,5.4,5.45,5.25,5.275,35866,35092.85,0,1.89762E+11,1.1205E+11,77712268006,-203.6679537,0.294865703,17300000,423767000,VOXX
2018-09-14,5.29,5.35,5.29,5.3,51201,35880.25,0,1.81181E+11,1.08104E+11,73076389085,-204.6332046,0.296263171,17300000,423767000,VOXX
2018-09-17,5.35,5.35,5.15,5.15,36593,36609.85,0,1.81181E+11,1.08104E+11,73076389085,-198.8416988,0.287878364,17300000,423767000,VOXX
2018-09-18,5.15,5.25,5.1,5.15,47779,36954.6,0,1.87158E+11,1.09457E+11,77700875137,-198.8416988,0.287878364,17300000,423767000,VOXX
2018-09-19,5.2,5.35,5.155,5.25,35349,37151.5,0,1.88704E+11,1.10446E+11,78258099244,-202.7027027,0.293468236,17300000,423767000,VOXX
2018-09-20,5.2,5.5,5.2,5.45,46645,37373.7,0,1.9969E+11,1.12265E+11,87424189239,-210.4247104,0.304647978,17300000,423767000,VOXX
2018-09-21,5.4,5.5,5.25,5.3,65849,39476.7,0,2.0459E+11,1.13842E+11,90747627086,-204.6332046,0.296263171,17300000,423767000,VOXX
2018-09-24,5.2,5.3192,5.1,5.15,50456,40034.4,0,2.0459E+11,1.13842E+11,90747627086,-198.8416988,0.287878364,17300000,423767000,VOXX
2018-09-25,5.15,5.2,5.1,5.15,33152,38889.4,0,2.01277E+11,1.11221E+11,90056087859,-198.8416988,0.287878364,17300000,423767000,VOXX
2018-09-26,5.1,5.2,5.1,5.1,34460,39638.35,0,2.01845E+11,1.11794E+11,90050276795,-196.9111969,0.285083429,17300000,423767000,VOXX
2018-09-27,5.15,5.645,5.1,5.35,266525,50479.45,0,2.11505E+11,1.15613E+11,95891491506,-206.5637066,0.299058107,17300000,423767000,VOXX
2018-09-28,5.3,5.35,5.2,5.2,28359,51240,0,2.09591E+11,1.13763E+11,95828541867,-200.7722008,0.2906733,17300000,423767000,VOXX
2018-10-01,5.21,5.28,5.06,5.24,67670,53027.95,0,2.09591E+11,1.13763E+11,95828541867,-202.3166023,0.292909248,17300000,423767000,VOXX
2018-10-02,5.22,5.65,5.1,5.55,147315,57856.3,0,2.05038E+11,1.12542E+11,92496364311,-214.2857143,0.310237849,17300000,423767000,VOXX
2018-10-03,5.56,5.64,5.25,5.52,23370,57228.15,0,2.0318E+11,1.11804E+11,91375173810,-213.1274131,0.308560888,17300000,423767000,VOXX
2018-10-04,5.5,5.5399,5.285,5.32,146245,63022.3,0,2.0567E+11,1.13399E+11,92271291174,-205.4054054,0.297381145,17300000,423767000,VOXX
2018-10-05,5.31,5.4,5.185,5.33,78781,66062.75,0,2.07463E+11,1.14457E+11,93006604153,-205.7915058,0.297940132,17300000,423767000,VOXX
2018-10-08,5.31,5.49,5.26,5.37,68916,67807.45,0,2.07463E+11,1.14457E+11,93006604153,-207.3359073,0.300176081,17300000,423767000,VOXX
2018-10-09,5.4,5.95,5.305,5.76,198533,76066.9,0,2.06022E+11,1.14185E+11,91837405142,-222.3938224,0.321976578,17300000,423767000,VOXX
2018-10-10,5.75,5.76,5.42,5.42,198709,83088.65,0,2.03336E+11,1.12958E+11,90377739133,-209.2664093,0.302971017,17300000,423767000,VOXX
2018-10-11,5.1,5.6893,5.05,5.4,290288,95809.75,0,1.83571E+11,1.06635E+11,76935661677,-208.4942085,0.301853042,17300000,423767000,VOXX
2018-10-12,5.48,5.4974,5.1778,5.23,124459,99472.65,0,1.95088E+11,1.11695E+11,83392610781,-201.9305019,0.292350261,17300000,423767000,VOXX
2018-10-15,5.23,5.36,5.15,5.32,50683,100177.15,0,1.95088E+11,1.11695E+11,83392610781,-205.4054054,0.297381145,17300000,423767000,VOXX
2018-10-16,5.31,5.37,5.12,5.26,51961,100386.25,0,1.97449E+11,1.1205E+11,85398685609,-203.0888031,0.294027223,17300000,423767000,VOXX
2018-10-17,5.22,5.28,5.14,5.25,136976,105467.6,0,1.97121E+11,1.11647E+11,85474334522,-202.7027027,0.293468236,17300000,423767000,VOXX
2018-10-18,5.22,5.37,5.22,5.31,51544,105712.55,0,1.94665E+11,1.10914E+11,83750118144,-205.019305,0.296822158,17300000,423767000,VOXX
2018-10-19,5.28,5.31,5.19,5.21,40805,104460.35,0,1.95999E+11,1.11134E+11,84865714154,-201.1583012,0.291232287,17300000,423767000,VOXX
2018-10-22,5.21,5.32,5.17,5.17,30049,103440,0,1.95999E+11,1.11134E+11,84865714154,-199.6138996,0.288996339,17300000,423767000,VOXX
2018-10-23,5.14,5.28,5.13,5.175,39415,103753.15,0,1.9584E+11,1.1092E+11,84920056402,-199.8069498,0.289275832,17300000,423767000,VOXX
