time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,19.22,19.33,18.665,18.74,7929879,4144058.85,3.975453575,1.89697E+11,1.11985E+11,77712268006,-18.74,-18.63212003,3331800000,-451300000,WU
2018-09-14,18.74,18.79,18.41,18.73,4843442,4117110.4,3.977576081,1.81112E+11,1.08036E+11,73076389085,-18.73,-18.62217759,3331800000,-451300000,WU
2018-09-17,18.77,18.975,18.49,18.52,5154282,4095665.25,4.022678186,1.81112E+11,1.08036E+11,73076389085,-18.52,-18.41338649,3331800000,-451300000,WU
2018-09-18,18.49,18.775,18.47,18.66,4512232,4122014.65,3.99249732,1.87093E+11,1.09392E+11,77700875137,-18.66,-18.55258056,3331800000,-451300000,WU
2018-09-19,18.73,18.84,18.58,18.6,4695564,4168764.9,4.005376344,1.8863E+11,1.10372E+11,78258099244,-18.6,-18.49292596,3331800000,-451300000,WU
2018-09-20,18.66,18.76,18.55,18.72,3990736,4207578.4,3.979700855,1.99616E+11,1.12192E+11,87424189239,-18.72,-18.61223516,3331800000,-451300000,WU
2018-09-21,18.79,19.07,18.77,19.03,10034874,4547863.85,3.914871256,2.04518E+11,1.13771E+11,90747627086,-19.03,-18.92045059,3331800000,-451300000,WU
2018-09-24,18.94,19.025,18.735,18.78,4537098,4622745.55,3.966986155,2.04518E+11,1.13771E+11,90747627086,-18.78,-18.67188976,3331800000,-451300000,WU
2018-09-25,18.79,18.92,18.74,18.77,4053730,4597806.2,3.969099627,2.01204E+11,1.11148E+11,90056087859,-18.77,-18.66194732,3331800000,-451300000,WU
2018-09-26,18.78,19.38,18.67,19.06,9555136,4903959.75,3.908709339,2.01772E+11,1.11721E+11,90050276795,-19.06,-18.95027789,3331800000,-451300000,WU
2018-09-27,19.04,19.155,18.91,18.94,3461495,4925850.8,3.933474129,2.1143E+11,1.15539E+11,95891491506,-18.94,-18.83096869,3331800000,-451300000,WU
2018-09-28,18.88,19.14,18.88,19.06,4190805,4945687.9,3.908709339,2.0951E+11,1.13681E+11,95828541867,-18.2322556,-20.36346542,3295000000,-415300000,WU
2018-10-01,19.15,19.27,18.95,19.01,3212051,4909131.2,3.918990005,2.0951E+11,1.13681E+11,95828541867,-18.18442701,-20.31004605,3295000000,-415300000,WU
2018-10-02,19.04,19.105,18.825,18.89,4203714,4949760.55,3.943885654,2.04957E+11,1.1246E+11,92496364311,-18.06963842,-20.18183955,3295000000,-415300000,WU
2018-10-03,19.01,19.175,18.98,19.08,2839183,4829183.25,3.904612159,2.03099E+11,1.11724E+11,91375173810,-18.25138703,-20.38483317,3295000000,-415300000,WU
2018-10-04,19.02,19.06,18.43,18.6,4876536,4833791.2,4.005376344,2.05578E+11,1.13307E+11,92271291174,-17.79223264,-19.87200718,3295000000,-415300000,WU
2018-10-05,18.57,18.67,18.085,18.17,7508494,5064063.1,4.100165107,2.07347E+11,1.14341E+11,93006604153,-17.38090683,-19.41260056,3295000000,-415300000,WU
2018-10-08,18.09,18.13,17.845,18.02,5650173,5172078.95,4.134295228,2.07347E+11,1.14341E+11,93006604153,-17.23742108,-19.25234244,3295000000,-415300000,WU
2018-10-09,17.96,18.2,17.85,18.17,7283551,5303507.35,4.100165107,2.05913E+11,1.14076E+11,91837405142,-17.38090683,-19.41260056,3295000000,-415300000,WU
2018-10-10,18.2,18.2,17.75,17.76,4942950,5373796.25,4.19481982,2.03231E+11,1.12853E+11,90377739133,-16.98871245,-18.97456169,3295000000,-415300000,WU
2018-10-11,17.72,18.03,17.59,17.67,6195242,5287064.4,4.216185625,1.83485E+11,1.06549E+11,76935661677,-16.90262101,-18.87840682,3295000000,-415300000,WU
2018-10-12,17.94,18.05,17.57,17.91,5121459,5300965.25,4.159687326,1.94991E+11,1.11598E+11,83392610781,-17.1321982,-19.13481982,3295000000,-415300000,WU
2018-10-15,17.93,18.21,17.84,18.04,4170926,5251797.45,4.129711752,1.94991E+11,1.11598E+11,83392610781,-17.25655252,-19.27371019,3295000000,-415300000,WU
2018-10-16,18.13,18.46,18.07,18.4,3426387,5197505.2,4.048913043,1.97345E+11,1.11946E+11,85398685609,-17.60091831,-19.65832968,3295000000,-415300000,WU
2018-10-17,18.36,18.57,18.27,18.42,2907156,5108084.8,4.04451683,1.97017E+11,1.11543E+11,85474334522,-17.62004974,-19.67969743,3295000000,-415300000,WU
2018-10-18,18.4,18.49,18.23,18.34,3349822,5076039.1,4.062159215,1.94592E+11,1.10842E+11,83750118144,-17.54352401,-19.59422643,3295000000,-415300000,WU
2018-10-19,18.47,18.52,18.13,18.18,4148006,4781695.7,4.097909791,1.95925E+11,1.11059E+11,84865714154,-17.39047255,-19.42328444,3295000000,-415300000,WU
2018-10-22,18.19,18.29,18.01,18.01,7820170,4945849.3,4.136590783,1.95925E+11,1.11059E+11,84865714154,-17.22785537,-19.24165856,3295000000,-415300000,WU
2018-10-23,17.76,18.04,17.76,17.94,7449587,5115642.15,4.152731327,1.95772E+11,1.10852E+11,84920056402,-17.16089535,-19.16687144,3295000000,-415300000,WU
2018-10-24,17.95,18.1,17.65,17.67,5475911,4911680.9,4.216185625,1.95701E+11,1.11183E+11,84518746029,-16.90262101,-18.87840682,3295000000,-415300000,WU
