time,open,high,low,close,Volume,Volume MA,Plot,Total,Total BTC,Total ALTs,PE Ratio,PB Ratio,Total Debt,Total Equity,Stock Symbol
2018-09-13,83.15,83.25,82.01,82.32,11162714,10123962.1,3.862973761,1.89697E+11,1.11985E+11,77712268006,16.79143294,1.861572038,41220000000,1.93533E+11,XOM
2018-09-14,82.42,83.15,82.27,82.92,9442579,10020093.85,3.835021708,1.81112E+11,1.08036E+11,73076389085,16.91381948,1.875140347,41220000000,1.93533E+11,XOM
2018-09-17,83,83.61,82.99,83.41,8403325,9931327.25,3.812492507,1.81112E+11,1.08036E+11,73076389085,17.01376849,1.886221133,41220000000,1.93533E+11,XOM
2018-09-18,83.9,84.13,83.45,83.63,9219890,9984716.95,3.802463231,1.87093E+11,1.09392E+11,77700875137,17.05864355,1.89119618,41220000000,1.93533E+11,XOM
2018-09-19,83.64,84.77,83.64,84.63,10413591,10045785.05,3.75753279,1.8863E+11,1.10372E+11,78258099244,17.26262111,1.913810029,41220000000,1.93533E+11,XOM
2018-09-20,84.86,85.34,84.54,84.82,11198171,10100781.75,3.749115775,1.99616E+11,1.12192E+11,87424189239,17.30137685,1.91810666,41220000000,1.93533E+11,XOM
2018-09-21,85.01,85.43,84.52,85.17,26639437,11072558.65,3.733709052,2.04518E+11,1.13771E+11,90747627086,17.372769,1.926021507,41220000000,1.93533E+11,XOM
2018-09-24,85.79,87.085,85.72,86.6,13549454,11422770.55,3.672055427,2.04518E+11,1.13771E+11,90747627086,17.66445691,1.958359311,41220000000,1.93533E+11,XOM
2018-09-25,87.0312,87.36,86.37,86.5,12200690,11699211.45,3.676300578,2.01204E+11,1.11148E+11,90056087859,17.64405915,1.956097926,41220000000,1.93533E+11,XOM
2018-09-26,86.02,86.5,85.69,85.78,10275498,11771818.75,3.707157846,2.01772E+11,1.11721E+11,90050276795,17.49719531,1.939815955,41220000000,1.93533E+11,XOM
2018-09-27,86.085,86.375,85.59,85.77,7895430,11766350.65,3.707590066,2.1143E+11,1.15539E+11,95891491506,17.49515553,1.939589816,41220000000,1.93533E+11,XOM
2018-09-28,85.25,85.9299,84.99,85.02,9884941,11888055.05,3.740296401,2.0951E+11,1.13681E+11,95828541867,15.65025311,1.890884699,40037000000,1.96831E+11,XOM
