,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 21:53:49 -0500","Apple Inc and Intel Corp on Wednesday filed an antitrust lawsuit against Softbank Group Corp-owned Fortress Investment Group, alleging the firm stockpiled patents to hold up technology companies with lawsuits.",Negative,"Apple, Intel file antitrust case against SoftBank-backed firm over patent practices",AAPL
1,"Wed, 20 Nov 2019 18:57:59 -0500","President Trump traveled to Austin, Texas, today to meet with Apple's Tim Cook at the company's Mac Pro plant there.",Neutral,Trump visits Tim Cook at Apple Mac Pro plant in Texas,AAPL
2,"Wed, 20 Nov 2019 18:53:00 -0500",Apple's new Mac Pro will ship in December.,Positive,Trump and Cook tour Apple in Texas as Mac Pro production begins,AAPL
3,"Wed, 20 Nov 2019 18:47:47 -0500","Yahoo Finance's Myles Udland and Heidi Cheung discuss President Trump's visit to the Apple factory in Austin, Texas.",Neutral,"Trump and Tim Cook tour Apple plant in Austin, Texas",AAPL
4,"Wed, 20 Nov 2019 18:16:00 -0500","""When you build in the United States you don't have to worry about tariffs,"" Trump said on Wednesday.",Neutral,Apple's Tim Cook and President Trump toured a Texas computer factory to tout US manufacturing,AAPL
5,"Wed, 20 Nov 2019 18:14:24 -0500","President Trump spent the afternoon in Austin, Texas, at Apple's Mac Pro facility.",Positive,Trump spends afternoon with Apple's Tim Cook and the stock benefits,AAPL
6,"Wed, 20 Nov 2019 17:24:24 -0500",U.S. President Donald Trump said on Wednesday he was considering whether to exempt Apple Inc from tariffs on Chinese imports.,Neutral,Trump says looking at whether Apple should be exempt from China tariffs,AAPL
7,"Wed, 20 Nov 2019 17:19:52 -0500",President Donald Trump is meet with Apple CEO Tim Cook at a Texas plant that manufactures Mac Pros. CNBC's Josh Lipton reports.,Neutral,Trump at Apple plant in Texas with Tim Cook,AAPL
8,"Wed, 20 Nov 2019 17:09:20 -0500","President Trump and Apple CEO Tim Cook speak to the press after touring the Apple manufacturing plant in Austin, Texas.",Positive,"Trump touts economy, Cook calls Austin key place for Apple's future",AAPL
9,"Wed, 20 Nov 2019 16:56:15 -0500",President Donald Trump is meet with Apple CEO Tim Cook at a Texas plant that manufactures Mac Pros. CNBC's Eamon Javers reports.,Positive,Trump meets Tim Cook at Texas plant,AAPL
10,"Wed, 20 Nov 2019 16:26:48 -0500",Apple announced today an expansion of its program designed to get more students coding.,Positive,Apple expands and updates its ‘Everyone Can Code’ program,AAPL
11,"Wed, 20 Nov 2019 15:46:03 -0500","A look into Apple's crystal ball tells investors: Strong services revenue will continue, the decline in iPhone sales will flatten, and international geographies will return to growth.",Neutral,"The Good, the Bad, and the Ugly From Apple’s Q4 Earnings Report",AAPL
12,"Wed, 20 Nov 2019 15:24:29 -0500","President Trump visits a new Apple plant in Austin, Texas, with CEO Tim Cook.",Positive,Apple CEO Tim Cook the most underrated CEO: Loup Ventures' Munster,AAPL
13,"Wed, 20 Nov 2019 13:55:13 -0500","Once a laggard, Apple has turned on the heat in the bright smartphone hotspot of India thanks to a change in strategy.",Positive,Apple Strikes Gold With the iPhone 11 in This Crucial Overseas Market,AAPL
14,"Wed, 20 Nov 2019 11:50:02 -0500",Yahoo Finance's Dan Howley reports on Apple's push to hire Windows engineers.,Positive,Apple is hiring computer engineers to help build apps for Windows,AAPL
15,"Wed, 20 Nov 2019 11:31:00 -0500",Here are the numbers behind the tech giant's soaring stock price.,Neutral,Apple's Fiscal 2019 in 6 Key Metrics,AAPL
16,"Wed, 20 Nov 2019 11:12:01 -0500","Ahead of today's visit from President Trump, Apple announced it has begun construction on its new $1 billion campus in Austin, Texas.",Neutral,Apple breaks ground on new Austin campus,AAPL
17,"Wed, 20 Nov 2019 09:56:20 -0500",Apple's new Mac Pro will ship in December.,Positive,Mac Pro production begins as Apple touts Austin expansion,AAPL
18,"Wed, 20 Nov 2019 09:25:00 -0500",Apple's (AAPL) original content portfolio is further strengthened with the addition of the latest Apple TV+ thriller series Servant.,Positive,Apple (AAPL) Unveils Latest Apple TV+ Thriller Series Servant,AAPL
19,"Wed, 20 Nov 2019 09:06:27 -0500","President Trump and Apple CEO Tim Cook will tour a Mac Pro factory in Texas. Nilay Patel, editor in chief at the Verge, and Tom Forte, senior research analyst at D.A. Davidson, joins ""Squawk Box"" to discuss.",Positive,How Apple CEO Tim Cook is handling his relationship with Trump,AAPL
20,"Wed, 20 Nov 2019 08:59:00 -0500",Apple CEO Tim Cook secured some exemptions from China tariffs by agreeing to keep production of the Mac Pro in Austin.,Positive,Apple begins building its new Austin campus on the day of Trump and Cook's visit,AAPL
21,"Wed, 20 Nov 2019 08:30:00 -0500","This opportunity is hidden in plain sight, according to an analyst.",Positive,Here's Apple's Next $10 Billion Business,AAPL
22,"Wed, 20 Nov 2019 08:23:01 -0500",President Trump and Apple CEO Tim Cook will tour a Mac Pro factory in Texas. CNBC's Eamon Javers reports.,Positive,Trump and Apple CEO Tim Cook will tour a Macbook Pro plant in Austin,AAPL
23,"Wed, 20 Nov 2019 07:58:00 -0500","A few corporate behemoths that reported their last earnings results less than five weeks ago, popped after releasing earnings results.",Positive,5 Corporate Giants That Popped After Latest Earnings Release,AAPL
24,"Wed, 20 Nov 2019 07:45:00 -0500","Apple Music for Business sees Apple expanding its streaming music ambitions.
Apple’s streaming music ambitions are moving beyond the consumer.",Positive,Apple Music will now serve the tunes in Levi Strauss and Harrods retail stores,AAPL
25,"Wed, 20 Nov 2019 07:40:19 -0500","Apple Inc.  announced Wednesday that it has started construction of its new $1 billion, 3-million-square-foot campus in Austin, Texas, which will initially employ 5,000 people.",Neutral,"Apple breaks ground on new $1 billion Austin campus, as President Trump is set to arrive for tour",AAPL
26,"Wed, 20 Nov 2019 07:33:09 -0500","Apple Inc said on Wednesday it had started construction of a new campus in Austin, Texas, beside its existing facility where it makes the new MacBook Pro laptops.",Positive,Apple starts construction of new campus in Texas,AAPL
27,"Wed, 20 Nov 2019 07:30:00 -0500","Apple may not have a 5G smartphone yet, but at least one research firm thinks it will emerge as the leader.",Negative,"After Taking the 5G Lead Next Year, Apple Might Lose Its Grip",AAPL
28,"Wed, 20 Nov 2019 07:11:06 -0500","Apple Inc  Chief Executive Tim Cook will give U.S. President Donald Trump a personal tour of its Texas computer factory on Wednesday, the latest sign of a close relationship between two of America's most powerful men.",Neutral,"Factbox: 'To Tim': Trump's tweets to Apple CEO Cook on factories, iPhones",AAPL
29,"Wed, 20 Nov 2019 06:47:13 -0500","The ""Squawk Box"" crew talk about several of the morning's top stories.",Neutral,Pres. Trump to meet with Apple CEO Tim Cook in Austin,AAPL
30,"Wed, 20 Nov 2019 06:15:00 -0500","No longer a trendsetter, the company is more of a follower these days.",Neutral,Apple to Launch AR Headsets by 2022: Is It Falling Behind Its Competitors?,AAPL
31,"Wed, 20 Nov 2019 01:55:00 -0500","Shares of Apple are currently ""under owned"" by even the Cupertino-based tech giants top investors, according to one Morgan Stanley analyst.",Positive,"Morgan Stanley says Apple's stock is 'under owned,' predicts more than 10% upside",AAPL
32,"Tue, 19 Nov 2019 19:29:00 -0500",Their responses come amid increasing pressure on the tech companies.,Negative,"Amazon, Apple, Facebook, Google push back against antitrust concerns",AAPL
33,"Tue, 19 Nov 2019 17:18:00 -0500",Cook made the comments in a fireside chat with Marc Benioff at Salesforce's Dreamforce conference in San Francisco.,Positive,"Tim Cook discusses Steve Jobs, environmental efforts and privacy at Dreamforce 2019",AAPL
34,"Tue, 19 Nov 2019 14:16:40 -0500",Wall Street Journal columnist Joanna Stern and Porter Bibb of Media Tech Capital Partners discuss Apple's event set for Dec. 2,Positive,Apple is rolling out the red carpet for developers: WSJ's Joanna Stern,AAPL
