,date,text,sentiment,title,Ticker
0,"Sun, 03 Nov 2019 04:12:20 -0500",Aegion Corporation (AEGN) CEO Charles Gordon on Q3 2019 Results - Earnings Call Transcript,Neutral,Aegion Corporation (AEGN) CEO Charles Gordon on Q3 2019 Results - Earnings Call Transcript,AEGN
1,"Fri, 01 Nov 2019 09:30:16 -0400",AEGN vs. MAS: Which Stock Is the Better Value Option?,Neutral,AEGN or MAS: Which Is the Better Value Stock Right Now?,AEGN
2,"Thu, 31 Oct 2019 12:05:00 -0400",Aegion's (AEGN) third-quarter results reflect lower contribution from a large coating project at Corrosion Protection and margin pressure.,Neutral,"Aegion's (AEGN) Q3 Earnings Meet Estimates, Revenue Miss",AEGN
3,"Wed, 30 Oct 2019 20:25:08 -0400","Aegion (AEGN) delivered earnings and revenue surprises of 0.00% and -5.51%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Aegion (AEGN) Q3 Earnings Match Estimates,AEGN
4,"Wed, 23 Oct 2019 10:34:07 -0400",Aegion (AEGN) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Negative,Earnings Preview: Aegion (AEGN) Q3 Earnings Expected to Decline,AEGN
5,"Wed, 16 Oct 2019 11:27:00 -0400","ST. LOUIS, Oct.  16, 2019  (GLOBE NEWSWIRE) -- Aegion Corporation (NASDAQ:AEGN) will release its third quarter 2019 financial results after market close on Wednesday, October 30, 2019.",Neutral,Aegion Corporation Sets Date to Announce Third Quarter 2019 Financial Results,AEGN
6,"Thu, 10 Oct 2019 09:52:00 -0400",Aegion's (AEGN) Insituform unit wins two-year wastewater pipeline rehabilitation contract in Miami-Dade County.,Positive,"Aegion's Contract Winning Spree Continues, Wins $6.9M Deal",AEGN
7,"Wed, 09 Oct 2019 16:00:00 -0400","ST. LOUIS, Oct.  09, 2019  (GLOBE NEWSWIRE) -- Aegion Corporation (NASDAQ:AEGN) today announced that its subsidiary, Insituform Technologies, LLC, has been awarded a two-year term contract valued at $6.9 million from Miami-Dade County in Florida. The contract includes an option for the county to renew for an additional two years on a yearly basis.",Neutral,Aegion Corporation Awarded $6.9 Million Two-Year Wastewater Pipeline Rehabilitation Contract in Miami-Dade County,AEGN
8,"Wed, 02 Oct 2019 09:53:00 -0400","Aegion (AEGN) continues to win wastewater rehabilitation contracts, thereby boosting the Infrastructure Solutions business.",Positive,Aegion's Wastewater Restoration Deal Win Boosts CIPP Business,AEGN
9,"Mon, 30 Sep 2019 13:00:00 -0400","ST. LOUIS, Sept.  30, 2019  (GLOBE NEWSWIRE) -- Aegion Corporation (NASDAQ:AEGN) today announced that its subsidiary, Insituform Technologies, LLC, has been awarded a $15.7 million contract  in Georgia to rehabilitate more than 22 miles of small-, medium- and large-diameter wastewater pipelines using Insituform® cured-in-place pipe (CIPP), primarily in residential areas. Insituform expects to begin the work in October 2019 and complete the project within 12 months.",Neutral,Aegion Corporation Awarded $15.7 Million Wastewater Pipeline Rehabilitation Project in Georgia,AEGN
10,"Wed, 25 Sep 2019 11:07:00 -0400",Aegion (AEGN) is set to renovate wastewater pipelines in Michigan.,Neutral,Aegion's Unit to Rehabilitate Michigan's Wastewater Pipelines,AEGN
