,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 09:30:00 -0500",Let's see if Ally Financial (ALLY) stock is a good choice for value-oriented investors right now from multiple angles.,Positive,Is Ally Financial (ALLY) A Great Stock for Value Investors?,ALLY
1,"Fri, 15 Nov 2019 09:30:20 -0500",Ally Financial (ALLY) reported earnings 30 days ago. What's next for the stock?,Positive,Why Is Ally Financial (ALLY) Up 1% Since Last Earnings Report?,ALLY
2,"Tue, 12 Nov 2019 09:03:00 -0500","Ally has reported solid earnings and revenue growth this year, but negative consumer sentiment and deteriorating credit conditions could dampen vehicle sales, a key source of loan growth.",Negative,Ally Financial Loses Momentum as Auto Sales Sputter,ALLY
3,"Wed, 23 Oct 2019 12:00:00 -0400","DETROIT, Oct.  23, 2019  (GLOBE NEWSWIRE) -- It's still game on, Seattle! Mr. MONOPOLY visited Seattle’s Space Needle to kickoff Ally + MONOPOLY®. Now through Oct. 28th, Ally Financial brings Ally + MONOPOLY® to Seattle, turning the city into a real-life MONOPOLY® game board with valuable prizes. People can also play a version of the game online by visiting PlayAlly.com.",Neutral,It’s Still Game On in Seattle: Ally Turns Seattle into Live MONOPOLY® Gameboard to Help People Grow Their Fortune,ALLY
4,"Wed, 23 Oct 2019 10:00:00 -0400","DETROIT, Oct.  23, 2019  (GLOBE NEWSWIRE) -- It’s still game on, Dallas! Mr. MONOPOLY visited the life size game token in Deep Ellum to kickoff Ally + MONOPOLY®. Now through Oct. 28th, Ally Financial brings Ally + MONOPOLY®  to Dallas, turning the city into a real-life MONOPOLY® game board with valuable prizes. People can also play a version of the game online by visiting  PlayAlly.com .",Neutral,It’s Still Game On in Dallas: Ally Turns Dallas into Live MONOPOLY® Gameboard to Help People Grow Their Fortune,ALLY
5,"Wed, 23 Oct 2019 10:00:00 -0400","DETROIT, Oct.  23, 2019  (GLOBE NEWSWIRE) -- It's still game on, Chicago! Mr. MONOPOLY visited downtown Chicago to kickoff Ally + MONOPOLY®. Now through Oct. 28th, Ally Financial brings Ally + MONOPOLY® to Chicago, turning Chicago’s West Loop neighborhood into a real-life MONOPOLY® game board with valuable prizes. People can also play a version of the game online by visiting PlayAlly.com.",Neutral,It’s Still Game On in Chicago: Ally Turns Chicago into Live MONOPOLY® Gameboard to Help People Grow Their Fortune,ALLY
6,"Wed, 23 Oct 2019 09:41:00 -0400","DETROIT, Oct.  23, 2019  (GLOBE NEWSWIRE) -- It’s still game on, Charlotte! Mr. MONOPOLY visited the Epicentre in the heart of the city to kickoff Ally + MONOPOLY®. Now through Oct. 28th, Ally Financial brings Ally + MONOPOLY® to Charlotte, turning the city into a real-life MONOPOLY® game board with valuable prizes. People can also play a version of the game online by visiting  PlayAlly.com .",Neutral,It’s Still Game On in Charlotte: Ally Turns Charlotte into Live MONOPOLY® Gameboard to Help People Grow Their Fortune,ALLY
7,"Wed, 23 Oct 2019 09:30:00 -0400","DETROIT, Oct.  23, 2019  (GLOBE NEWSWIRE) -- It's still game on, Detroit! Mr. MONOPOLY visited Campus Martius Park in Downtown Detroit to kickoff Ally + MONOPOLY®. Now through Oct. 28th, Ally Financial brings Ally + MONOPOLY® to Detroit, turning the city into a real-life MONOPOLY® game board with valuable prizes. People can also play a version of the game online by visiting PlayAlly.com.",Neutral,It’s Still Game On in Detroit: Ally Turns Detroit into Live MONOPOLY® Gameboard to Help People Grow Their Fortune,ALLY
8,"Wed, 23 Oct 2019 09:17:00 -0400","DETROIT, Oct.  23, 2019  (GLOBE NEWSWIRE) -- It’s still game on in the Big Apple! Mr. MONOPOLY visited Chelsea Market to kickoff Ally + MONOPOLY®. Now through Oct. 28th, Ally Financial brings Ally + MONOPOLY® to Manhattan, turning the city into a real-life MONOPOLY® game board with valuable prizes. People can also play a version of the game online by visiting PlayAlly.com.",Neutral,It’s Still Game On in the Big Apple: Ally Turns New York City into Live MONOPOLY® Gameboard to Help People Grow Their Fortune,ALLY
9,"Fri, 18 Oct 2019 00:03:27 -0400","Ally beat Q3 forecasts, breaking the $1.00 quarterly EPS barrier.",Positive,Ally Financial: Cheap Even To A Weakening Economy,ALLY
