,date,text,sentiment,title,Ticker
0,"Tue, 19 Nov 2019 10:30:24 -0500",Best Buy (BBY) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Positive,Best Buy (BBY) Reports Next Week: Wall Street Expects Earnings Growth,BBY
1,"Thu, 14 Nov 2019 14:11:02 -0500","These four retail stocks are big names in their sector, but they're also gearing up to make big moves as Black Friday approaches.",Positive,4 Retail Stocks to Buy Getting Marked Up for Black Friday,BBY
2,"Mon, 11 Nov 2019 09:00:00 -0500","No, Best Buy, doesn’t look overvalued. As per Trefis, the price estimate of Best Buy’s stock is $76, which is similar to its current market price.",Negative,Is Best Buy Overvalued?,BBY
3,"Wed, 06 Nov 2019 13:21:58 -0500","The ""Halftime Report"" traders give their top stocks to watch for the second half",Positive,"Final Trades: Best Buy, Delta, CVS & more",BBY
4,"Tue, 05 Nov 2019 20:07:04 -0500",Why Thanksgiving and Black Friday sales numbers are considered important indicators for stock market activity throughout the holiday season.,Positive,How Thanksgiving and Black Friday Affects Stocks,BBY
5,"Tue, 05 Nov 2019 03:24:24 -0500",Goldman Sachs recommends that investors consider these solid stocks that are trading at significant valuation discounts to the market.,Positive,10 Discount Blue Chips That Can Lead a Stampeding Bull Market,BBY
6,"Mon, 04 Nov 2019 08:48:00 -0500","Stocks that pay big dividends haven't been this cheap in at least 40 years, according to Goldman Sachs.",Positive,"Goldman says dividend stocks are rarely this cheap, likes Morgan Stanley and Best Buy",BBY
7,"Fri, 25 Oct 2019 06:05:00 -0400","You haven't even handed out the candy yet, and already the sales are starting.",Neutral,"Christmas Creep, 2019 Edition: Big Retailers Extend Holiday Shopping Season Even Further",BBY
8,"Wed, 23 Oct 2019 15:56:36 -0400","Walmart, Target and Best Buy this week rolled out plans to woo shoppers during the holidays, focusing on early deals, speedier deliveries and beefed-up service in stores.",Positive,"In race for holiday shoppers, retailers promise speedy deliveries and tech in stores",BBY
9,"Wed, 23 Oct 2019 11:25:28 -0400",The holiday season is about to get on its way. And the good news is that it looks like sales will be solid.,Positive,The 3 Best Retail Stocks to Buy Before the Holiday Rush,BBY
10,"Wed, 23 Oct 2019 09:41:32 -0400","Best Buy Co. Inc. BBY, +0.06% is offering free next-day delivery on thousands of items for the holiday season, but excludes ""some bigger and heavier items"" like big-screen televisions and refrigerators.",Positive,"Best Buy takes on Amazon with free next-day delivery, refrigerators and big-screen TVs not included",BBY
11,"Wed, 23 Oct 2019 08:20:00 -0400","The move matches Amazon, but without the membership fee.",Positive,Best Buy Rolls Out Free Next-Day Shipping for the Holidays,BBY
12,"Tue, 22 Oct 2019 15:18:00 -0400",Best Buy announced Tuesday that it will now offer free next-day delivery on thousands of items — right in time for the holiday season.,Positive,"Best Buy follows Amazon, Walmart in next-day delivery push in time for the holidays",BBY
13,"Tue, 22 Oct 2019 15:17:15 -0400","Best Buy has a recent history of coming back from huge challenges. Therefore, I’m not worried about BBY stock for the bigger picture.",Negative,Best Buy Stock Is Unfortunately a Headline Risk,BBY
14,"Thu, 17 Oct 2019 06:40:18 -0400","The Street thinks Best Buy is a zero growth company. It's much more than that, and this disconnect is reason to buy BBY stock.",Positive,A Strong Investor Day Underscores That Best Buy Stock Is Undervalued,BBY
15,"Mon, 14 Oct 2019 13:53:48 -0400","According to the GuruFocus All-in-One Screener as of Thursday, the following companies have high dividend yields but performed poorly over the past 12 months.",Neutral,6 Guru Stocks Paying High Dividend Yields,BBY
16,"Mon, 07 Oct 2019 17:58:27 -0400",The company laid out its latest five-year strategy focused on achieving profitable growth and improving operational efficiencies.,Positive,Best Buy: Holding The Brick And Mortar Fort,BBY
17,"Mon, 07 Oct 2019 10:53:00 -0400",Best Buy said it plans to hire thousands of workers this holiday season through hiring fairs across the country.,Neutral,Best Buy kicks off holiday season hiring with fairs across the country,BBY
18,"Fri, 04 Oct 2019 09:15:18 -0400",Best Buy provides higher quality dividend growth opportunities because you know the firm generates the cash to support a higher dividend.,Positive,Best Buy Provides Quality Dividend Growth,BBY
19,"Wed, 02 Oct 2019 04:38:00 -0400","Best Buy, whose stock is currently trading at around $67.50, generates its revenue primarily from its Domestic segment which is projected to account for 91.8% of total revenues in 2020 (ended January), while the International segment is expected to contribute around 8.2% to the Top line in 2020.",Positive,Domestic Segment Pushing Revenue Growth For Best Buy,BBY
20,"Tue, 01 Oct 2019 13:53:42 -0400",New CEO Corie Barry unveils the company’s new business direction.,Positive,Best Buy's Healthcare Strategy: 5 Million Seniors in 5 Years,BBY
21,"Tue, 01 Oct 2019 11:43:38 -0400","Retail stocks TGT, BBY and XRT are winners but have potential pitfalls looming. Wait for the triggers and use proper levels to avoid the traps.",Negative,"3 Retail Stocks to Short Today: TGT, BBY and XRT",BBY
22,"Tue, 01 Oct 2019 07:25:00 -0400",The top consumer electronics retailer is planning for slow but steady revenue and earnings growth over the next five years.,Positive,Best Buy Rolls Out a New 5-Year Growth Plan,BBY
23,"Sat, 28 Sep 2019 09:30:16 -0400",Best Buy (BBY) reported earnings 30 days ago. What's next for the stock?,Positive,Why Is Best Buy (BBY) Up 7.5% Since Last Earnings Report?,BBY
24,"Thu, 26 Sep 2019 11:15:00 -0400","Under the next phase of its ""Building the New Blue"" program Best Buy's (BBY) top most priority will be to pursue growth opportunities, better execution in key areas, cost containment, and investing in people and systems.",Positive,"Best Buy Turns to Next Growth Chapter, Focus on Healthcare",BBY
25,"Wed, 25 Sep 2019 14:32:43 -0400","Best Buy Co Inc  aims to rake in revenue of $50 billion and cut about $1 billion in costs by 2025, while ramping up its healthcare technology business, the biggest U.S. consumer electronics retailer said on Wednesday.",Positive,"Best Buy targets $50 billion in revenue by 2025, eyes health tech boost",BBY
26,"Wed, 25 Sep 2019 08:48:23 -0400",Best Buy's first investor meeting in two years comes as the electronics retailer faces headwinds from the Trump administration's trade policies on goods made in China.,Positive,"Best Buy CEO Corie Barry wants to 'double down' on its strategy, despite disruptions such as tariffs",BBY
27,"Wed, 25 Sep 2019 08:03:44 -0400","Best Buy Co., Inc. (NYSE: BBY) is setting its financial target for fiscal year 2025 and estimates enterprise revenue of $50 billion, its current fiscal 2020 guidance is $43.1 billion to $43.6 billion.",Positive,Best Buy Sees 2025 Enterprise Revenue Of $50B,BBY
28,"Wed, 25 Sep 2019 07:14:45 -0400","Best Buy Co Inc  is aiming to rake in revenue of $50 billion in 2025 as it adds new products and bolsters investments as part of the second phase of its growth plan, the biggest U.S. consumer electronics retailer said on Wednesday.",Positive,Best Buy targets $50 billion in revenue in 2025,BBY
29,"Wed, 25 Sep 2019 06:53:25 -0400",Best Buy CEO Corie Barry sits down with CNBC's Courtney Reagan to discuss how the company is dealing with the U.S.-China tariffs and the state of the consumer.,Neutral,Best Buy CEO on tariff mitigation strategy and the state of the consumer,BBY
30,"Wed, 25 Sep 2019 06:33:43 -0400","Best Buy Co. Inc. BBY, +0.45% unveiled on Wednesday its financial targets for fiscal 2025, including $1 billion in additional cost reductions and annual enterprise revenue of $50 billion.",Neutral,Best Buy targets $1 billion in additional cost cuts by 2025,BBY
