,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 11:58:29 -0500","These are the communications stocks with the best value, fastest growth, and most momentum for December.",Positive,Top Communications Stocks for December 2019,CBS
1,"Wed, 20 Nov 2019 10:52:51 -0500",My 3 Top Rebound Picks For 2020,Positive,My 3 Top Rebound Picks For 2020,CBS
2,"Mon, 18 Nov 2019 18:37:05 -0500","In the final weeks before Viacom and CBS’ latest reunion becomes fact, Showtime boss and rising corporate star David Nevins today had praise for the launch of Disney+ and promised surprises with the remerged media giant. “I think it is impressive,” the CBS Chief Content Officer bluntly noted of the 10 million subscribers that the",Positive,"CBS’ David Nevins On “Impressive” Disney+ Launch, James Comey Miniseries & Being An “Equal Opportunity Offender”",CBS
3,"Mon, 18 Nov 2019 14:06:54 -0500","These bargain stocks represent key Thanksgiving day themes from football to turkey and even everyone's favorite, cranberry sauce.",Positive,Fill Your Bellies and Your Portfolios With These 8 Thanksgiving Stocks,CBS
4,"Mon, 18 Nov 2019 12:58:40 -0500","The former 20th Century Fox domestic distribution boss returns to work with his former 20th Century boss Jim Gianopulos and former marketing colleague Marc Weinstock, effective Dec. 2. Chris Aronson has been named President of Domestic Theatrical Distribution for the Melrose lot and will will report to Weinstock, Paramount’s President of Worldwide Marketing & Distribution",Neutral,Chris Aronson Taking Over Domestic Film Distribution At Paramount As President,CBS
5,"Mon, 18 Nov 2019 12:46:12 -0500","Viacom and CBS have set four more executive appointments to the corporate suite of the soon-to-merge entity. The execs, three of whom are currently Viacom employees, will begin their new roles after the close of the merger, which is expected in early December. The company said the announcement makes its executive leadership roster complete. Alex",Neutral,"Viacom, CBS Appoint Four More Corporate Executives Of Merging Company",CBS
6,"Mon, 18 Nov 2019 11:16:00 -0500",Goldman believes the U.S. economy is poised to snap back and certain stocks could have the most upside from the economic recovery.,Positive,Goldman sees the economy surprising in 2020 and these stocks benefiting most from the rebound,CBS
7,"Fri, 15 Nov 2019 21:51:42 -0500","Shari Redstone, the billionaire media heiress whose family owns CBS and Viacom, thinks the media industry has a poor “track record” when it comes to paying its executives. “I believe that it should be performance-based,” Redstone told a crowd at a media conference in Midtown Manhattan Friday.",Neutral,Shari Redstone vows fresh era at ViacomCBS despite CEO pay,CBS
8,"Fri, 15 Nov 2019 10:41:07 -0500","In an energetic appearance at the Paley Center’s International Council Summit, National Amusements chief Shari Redstone made the case for ViacomCBS, saying “we absolutely have enough scale.” The stocks of Viacom and CBS, which are controlled by National Amusements, have slumped since the long-awaited merger was announced in August. Asked by moderator Aryeh Bourkoff of",Positive,Shari Redstone Says ViacomCBS “Absolutely” Has Enough Scale; “Super-Psyched” To Re-Up NFL,CBS
9,"Thu, 14 Nov 2019 08:02:49 -0500",Viacom is due to report its last quarterly results as a standalone company before next month's expected merger with CBS.,Positive,An investor explains why he's bullish on Viacom ahead of its merger with CBS,CBS
