,date,text,sentiment,title,Ticker
0,"Wed, 30 Oct 2019 19:41:28 -0400",Conformis' (CFMS) CEO Mark Augusti on Q3 2019 Results - Earnings Call Transcript,Neutral,Conformis' (CFMS) CEO Mark Augusti on Q3 2019 Results - Earnings Call Transcript,CFMS
1,"Wed, 30 Oct 2019 19:15:08 -0400","ConforMIS (CFMS) delivered earnings and revenue surprises of -18.18% and -2.77%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Negative,"ConforMIS (CFMS) Reports Q3 Loss, Misses Revenue Estimates",CFMS
2,"Wed, 23 Oct 2019 10:33:36 -0400",ConforMIS (CFMS) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Negative,Will ConforMIS (CFMS) Report Negative Earnings Next Week? What You Should Know,CFMS
3,"Tue, 15 Oct 2019 16:15:00 -0400","BILLERICA, Mass., Oct.  15, 2019  (GLOBE NEWSWIRE) -- Conformis, Inc. (NASDAQ: CFMS) announced today that it will host a webcast on Wednesday, October 30, 2019, at 4:30 p.m. Eastern Time to discuss its financial results for the third quarter ended September 30, 2019.  The webcast will be live at:  https://edge.media-server.com/mmc/p/w788nkk7 .",Neutral,"Conformis to Host Third Quarter 2019 Financial Results Webcast on October 30, 2019",CFMS
4,"Fri, 04 Oct 2019 08:30:00 -0400","BILLERICA, Mass., Oct.  04, 2019  (GLOBE NEWSWIRE) -- Conformis, Inc. (NASDAQ:CFMS), a medical technology company that uses its proprietary iFit Image-to-Implant technology platform to develop, manufacture, and sell patient-specific joint replacement implants designed to fit each patient’s unique anatomy, announced today that Paul Weiner, Chief Financial Officer, has notified the Company that he will be departing the Company on October 18, 2019 to become the Chief Financial Officer at a privately-owned business in Fremont, CA.",Neutral,"Conformis Announces Departure of Paul Weiner, CFO",CFMS
5,"Tue, 01 Oct 2019 13:20:08 -0400",Conformis Inc. (NASDAQ: CFMS) shares shot up on Tuesday after the firm announced that it has entered into definitive agreements to sell and license to Stryker Corp.,Positive,Would Stryker Be Better Off Buying Conformis?,CFMS
6,"Tue, 13 Aug 2019 12:29:27 -0400",The soon to be released total hip system is being undervalued by the market.,Negative,Conformis: The Short-Term Challenges Are Overshadowing Significant Long-Term Opportunities,CFMS
7,"Sun, 04 Aug 2019 03:22:15 -0400",Conformis' (CFMS) CEO Mark Augusti on Q2 2019 Results - Earnings Call Transcript,Neutral,Conformis' (CFMS) CEO Mark Augusti on Q2 2019 Results - Earnings Call Transcript,CFMS
8,"Wed, 31 Jul 2019 19:55:08 -0400","ConforMIS (CFMS) delivered earnings and revenue surprises of 0.00% and 1.20%, respectively, for the quarter ended June 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,"ConforMIS (CFMS) Reports Q2 Loss, Tops Revenue Estimates",CFMS
9,"Wed, 24 Jul 2019 10:32:37 -0400",ConforMIS (CFMS) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Negative,ConforMIS (CFMS) May Report Negative Earnings: Know the Trend Ahead of Next Week's Release,CFMS
10,"Wed, 12 Jun 2019 11:30:35 -0400",These low-priced stocks are attracting healthy buying interest despite sub-par small-cap performance so far in 2019.,Positive,3 Stocks Under $5 Hitting New Highs,CFMS
11,"Wed, 01 May 2019 21:57:09 -0400",Conformis' (CFMS) CEO Mark Augusti on Q1 2019 Results - Earnings Call Transcript,Neutral,Conformis' (CFMS) CEO Mark Augusti on Q1 2019 Results - Earnings Call Transcript,CFMS
12,"Wed, 01 May 2019 19:55:06 -0400","ConforMIS (CFMS) delivered earnings and revenue surprises of 0.00% and 2.64%, respectively, for the quarter ended March 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,"ConforMIS (CFMS) Reports Q1 Loss, Tops Revenue Estimates",CFMS
13,"Thu, 25 Apr 2019 10:39:00 -0400",ConforMIS (CFMS) expects to register solid revenue growth on robust performance by its product lines as well as steady royalties.,Neutral,Can iTotal PS Revenues Drive ConforMIS' (CFMS) Q1 Earnings?,CFMS
