,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 08:44:00 -0500","YUM! Brands (YUM) may not deserve a place in your portfolio for now, given the weakness in its Pizza Hut U.S. division. A few companies in the restaurant space have managed to keep a firm footing.",Positive,Is it Time to Look Beyond YUM! Brands? 4 Top Restaurant Picks,CMG
1,"Tue, 19 Nov 2019 15:33:03 -0500",Chipotle CEO Brian Niccol sat down with CNBC's Kate Rogers at the Evolve conference to discuss how the fast casual dining company is growing digitally and what its outlook is in the restaurant space.,Positive,Chipotle CEO Brian Niccol on the company's digital growth,CMG
2,"Tue, 19 Nov 2019 15:10:00 -0500",Chipotle CEO Brian Niccol said its drive-thrus only take 12 seconds.,Neutral,"Chipotle's drive-thru lanes only take 12 seconds, CEO says",CMG
3,"Tue, 19 Nov 2019 13:39:47 -0500","This Thanksgiving, investors should be thankful that these food stocks posted big returns in 2019. Not all of them will do the same in 2020.",Positive,3 Food Stocks to Give Thanks for This Thanksgiving Season,CMG
4,"Tue, 19 Nov 2019 07:30:51 -0500",A services economy rebound over the next few quarters should power a big rebound in these six beaten-up services stocks.,Positive,6 Best Consumer Services Stocks to Buy as the Economy Rebounds,CMG
5,"Mon, 18 Nov 2019 08:56:12 -0500","Leading the way in expansion, technology, and margin improvements makes these companies a buy in November.",Positive,3 Top Restaurant Stocks to Buy in November,CMG
6,"Fri, 15 Nov 2019 17:52:27 -0500","Stocks for the ultimate night in. With CNBC's Melissa Lee and the Futures Now traders, Tim Seymour, Jeff Mills, Steve Grasso and Guy Adami.",Positive,Traders pick their ultimate stay-at-home stocks,CMG
7,"Thu, 14 Nov 2019 10:10:00 -0500","In the recent series of record highs, the S&P 500 crossed the 3,100 level for the first time ever. We have highlighted 10 best performing stocks in ETF that tracks this index.",Positive,10 Best Performing Stocks of S&P 500 ETF,CMG
8,"Wed, 13 Nov 2019 16:26:09 -0500","In light of factors such as measured undervaluation, cost-cutting efforts, sector growth and recent price rebound, investors may have reason to believe that companies such as Starbucks Corp.",Neutral,Rebounding Prices: 3 Stocks That May Provide False Optimism,CMG
9,"Wed, 13 Nov 2019 09:30:11 -0500",Is  (CMG) Outperforming Other Retail-Wholesale Stocks This Year?,Positive,Is Chipotle Mexican Grill (CMG) Outperforming Other Retail-Wholesale Stocks This Year?,CMG
10,"Wed, 13 Nov 2019 07:42:20 -0500","The recent retracement in CMG stock was a much needed reprieve and the stock now looks ready to make another rally attempt. Additionally, the options market currently offers affordable ways to buy CMG stock for a trade.",Positive,Trade of the Day: A Cost-Effective Bullish Trade in CMG Stock,CMG
11,"Tue, 12 Nov 2019 11:16:58 -0500","Chipotle gapped up as the burrito chain extended its carne asada promotion into 2020. Meanwhile, Burger King is doubling down on fake-meat offerings.",Positive,Chipotle Gaps Up On Carne Asada Extension; Burger King Doubles Down On Fake Meat,CMG
12,"Tue, 12 Nov 2019 08:01:51 -0500","Chipotle Mexican Grill Inc. said Tuesday that it will have carne asada on the menu through the end of the year and into the first quarter of 2020, reversing its previous announcement to end the limited-time meat offering in November or early December.",Positive,Chipotle will have carne asada on the menu into the first quarter of 2020,CMG
13,"Tue, 12 Nov 2019 06:52:52 -0500",Chipotle Mexican Grill is extending the run of carne asada through the end of this year and into the first quarter of 2020.,Positive,Chipotle extends carne asada through the first quarter of 2020,CMG
14,"Tue, 12 Nov 2019 06:00:00 -0500","Carne asada is a more tender cut of steak, cut into thin strips rather than chunks, and it priced 50 cents higher than Chipotle's original steak.",Positive,Chipotle says its popular carne asada will be available into early 2020,CMG
