,date,text,sentiment,title,Ticker
0,"Tue, 19 Nov 2019 16:19:46 -0500",Davis Selected Advisors recently disclosed its portfolio updates for the third quarter of 2019.,Positive,Chris Davis’ 3rd-Quarter Buys,COG
1,"Tue, 12 Nov 2019 11:08:45 -0500",Cabot Oil & Gas : Still A Buy,Positive,Cabot Oil & Gas : Still A Buy,COG
2,"Fri, 25 Oct 2019 11:24:05 -0400",Cabot Oil & Gas Corporation (COG) CEO Dan Dinges on Q3 2019 Results - Earnings Call Transcript,Neutral,Cabot Oil & Gas Corporation (COG) CEO Dan Dinges on Q3 2019 Results - Earnings Call Transcript,COG
3,"Fri, 25 Oct 2019 10:20:17 -0400",Solid operational quarter.,Positive,"Cabot Mulls Maintenance Mode, Ups Dividend",COG
4,"Fri, 25 Oct 2019 06:08:00 -0400","Cabot Oil & Gas' (COG) overall production totaled 220.7 Bcfe (100% natural gas), 18.3% higher than the prior-year quarter volume of 186.5 Bcfe.",Positive,"Cabot (COG) Q3 Earnings Beat, FCF Soars, Dividend Raised",COG
5,"Thu, 24 Oct 2019 17:25:06 -0400","Cabot (COG) delivered earnings and revenue surprises of 7.41% and -5.62%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Cabot Oil (COG) Q3 Earnings Top Estimates,COG
6,"Wed, 23 Oct 2019 10:10:14 -0400",Cabot (COG) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,Neutral,Why the Earnings Surprise Streak Could Continue for Cabot (COG),COG
7,"Mon, 21 Oct 2019 11:30:00 -0400",Cabot (COG) focuses on high-impact natural gas-oriented drilling. Its acreage in the Marcellus shale play might have cemented its position for substantial output growth in Q3.,Neutral,Cabot (COG) to Report Q3 Earnings: What's in the Cards?,COG
8,"Thu, 17 Oct 2019 10:33:53 -0400",Cabot (COG) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Neutral,Cabot Oil (COG) Reports Next Week: Wall Street Expects Earnings Growth,COG
9,"Tue, 08 Oct 2019 09:06:00 -0400","Stockpiles held in underground storage in the lower 48 states rose by 112 billion cubic feet for the week ended Sep 27, above the guidance of 109 billion cubic feet gain.",Neutral,What the EIA Inventory Numbers Say About Natural Gas Stocks,COG
10,"Mon, 07 Oct 2019 15:08:18 -0400","While COG's natural gas output is still growing healthily, weak natural gas markets continue to weigh on the company’s revenues.",Positive,Cabot Oil & Gas: Expect A Rebound Sooner Rather Than Later,COG
11,"Wed, 02 Oct 2019 22:16:00 -0400",People will need heat and light no matter what the economy does.,Positive,3 Beaten-Down Natural Gas Stocks You Can Buy to Weather a Recession,COG
12,"Tue, 01 Oct 2019 17:12:19 -0400",Cabot is selling its 20% stake in Meade Pipeline Co. for $256 million.,Positive,Cabot Oil & Gas: Meade Pipeline Sale Could Fund More Share Repurchases,COG
13,"Tue, 01 Oct 2019 11:59:00 -0400","In a shareholder-friendly bid, Cabot (COG) aims to fulfill its commitment of returning more than half of its free cash flow to investors through share buybacks and payouts.",Neutral,Cabot (COG) to Sell 20% Stake in Meade Pipeline for $256M,COG
14,"Mon, 30 Sep 2019 10:46:00 -0400",Natural gas might experience short-lived surge based on positive weather forecasts but any powerful turnaround looks unlikely at the moment.,Negative,Natural Gas Loses 6% for the Week: What's Behind the Drop?,COG
15,"Mon, 16 Sep 2019 10:09:32 -0400","Cabot Oil & Gas, already the lowest cost gas producer in America, continues to reduce its break even price.",Positive,Cabot Oil & Gas: 50% Upside,COG
16,"Wed, 04 Sep 2019 17:01:09 -0400","The market whipsawed over the past three months as major macroeconomic events, from tariff battles to yield-curve inversions, bombarded investors.",Negative,Stocks the Market Is Discounting the Most This Summer,COG
17,"Fri, 30 Aug 2019 15:12:31 -0400","The price of natural gas has started the process of recovering, and the shares of Cabot Oil & Gas are steadily increasing in value.",Positive,Cabot Oil & Gas Is Getting Ready For The Natural Gas Recovery,COG
18,"Sun, 25 Aug 2019 09:30:18 -0400",Cabot (COG) reported earnings 30 days ago. What's next for the stock?,Negative,Why Is Cabot (COG) Down 22.7% Since Last Earnings Report?,COG
19,"Mon, 19 Aug 2019 17:15:21 -0400","Chairman, President & CEO of Cabot Oil & Gas Corp (30-Year Financial, Insider Trades) Dan O Dinges (insider trades) bought 20,000 shares of COG on 08/19/2019 at an average price of $16.34 a share.",Positive,"Cabot Oil & Gas Corp (COG) Chairman, President & CEO Dan O Dinges Bought $326,800 of Shares",COG
20,"Wed, 31 Jul 2019 15:56:25 -0400",Cabot reported in-line 2Q19 results.,Positive,Cabot Oil & Gas: Discipline Meets Return Of Capital In The Face Of A Weak Macro,COG
21,"Mon, 29 Jul 2019 13:20:03 -0400","Shares of Cabot Oil & Gas Corporation (NYSE: COG) are down around 30% since the middle of April and now reflects a potential 20% intrinsic equity value upside potential, according to MKM.",Positive,MKM On Cabot Oil & Gas: Buy The Dip,COG
22,"Fri, 26 Jul 2019 16:40:08 -0400",These companies fell in the wake of their respective earnings reports despite the broader market's gains.,Negative,"Why Mohawk Industries, Cabot Oil & Gas, and Fortive Slumped Today",COG
23,"Fri, 26 Jul 2019 15:32:08 -0400",Cabot Oil & Gas Corporation (COG) CEO Dan Dinges on Q2 2019 Results - Earnings Call Transcript,Neutral,Cabot Oil & Gas Corporation (COG) CEO Dan Dinges on Q2 2019 Results - Earnings Call Transcript,COG
24,"Fri, 26 Jul 2019 14:04:00 -0400",The natural gas driller disappointed investors despite solid second-quarter results.,Negative,Why Cabot Oil & Gas Stock Is Slumping Today,COG
