,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 14:56:00 -0500",Loyal Shoppers Ring Up Sales... and Lift Stocks,Positive,Loyal Shoppers Ring Up Sales... and Lift Stocks,COST
1,"Wed, 20 Nov 2019 07:58:00 -0500","Discount Store retailers' earnings results are likely to reflect gains from a unique business model as well as omni-channel, pricing and merchandising initiatives.",Positive,4 Discount Stocks to Set Retail Earnings on Fire This Season,COST
2,"Tue, 19 Nov 2019 07:30:00 -0500",A new report from the Food Marketing Institute suggests private-label brands aren't second-tier options at all.,Positive,The Kirkland Brand Is Costco's Secret Weapon When It Matters Most,COST
3,"Mon, 18 Nov 2019 17:45:30 -0500","Costco (COST) closed the most recent trading day at $304.54, moving +0.29% from the previous trading session.",Positive,Costco (COST) Outpaces Stock Market Gains: What You Should Know,COST
4,"Fri, 15 Nov 2019 13:25:42 -0500","The Consumer Staples Select Sect. SPDR ETF (NYSE: XLP) continues to show strength which bodes well for ""one of the strongest"" names in the group, Costco Wholesale Corporation (NASDAQ: COST), Todd Gordon, founder of TradingAnalysis.com, said Thursday on CNBC's ""Trading Nation.",Positive,Trader: Costco Showing 'No Hesitation' Of Breakthrough,COST
5,"Fri, 15 Nov 2019 09:27:00 -0500","Costco's (COST) October comps rise 5.7%. Further, e-commerce comparable sales increase 16.5%.",Positive,Costco Gains More Than 50% YTD: Solid Comps Run a Key Driver,COST
6,"Fri, 15 Nov 2019 07:05:00 -0500","Costo's recent uptrend has been so strong that it's worth putting on a bullish trade into earnings, says Todd Gordon, founder of TradingAnalysis.com.",Positive,Here's the level to watch in Costco as retail earnings roll in,COST
7,"Thu, 14 Nov 2019 13:48:45 -0500","Brenda Vingiello, Sand Hill Global Advisors CIO, joins 'Fast Money Halftime Report' to discuss the state of the market and the retail sector.",Positive,Sand Hill Global Advisors CIO on her retail stock picks,COST
8,"Wed, 13 Nov 2019 16:12:44 -0500","Josh Brown, CEO of Ritholtz Wealth Management, picks Costco as his last chance trade on CNBC's ""Closing Bell.",Positive,Josh Brown picks Costco as Last Chance Trade,COST
9,"Wed, 13 Nov 2019 14:58:46 -0500",Not all dividend stocks are created equal. Here are the best long-term dividend growth stocks that will continually boost your portfolio.,Positive,9 Super-Safe-Growth Stocks for Long-Lasting Dividends,COST
