,date,text,sentiment,title,Ticker
0,"Tue, 19 Nov 2019 12:09:00 -0500","Steven Cohen (Trades, Portfolio), manager of Point72 Asset Management, disclosed last week that his firm’s top five new buys for the third quarter were MGM Resorts International (NYSE:MGM), Coupa Software Inc. (NASDAQ:COUP), Eli Lily and Co. (NYSE:LLY), Intuitive Surgical Inc. (NASDAQ:ISRG) and Tyson Foods Inc. (NYSE:TSN).",Positive,Steven Cohen’s Top 5 Buys in the 3rd Quarter,COUP
1,"Mon, 18 Nov 2019 17:45:25 -0500","COUPA SOFTWARE (COUP) closed the most recent trading day at $144.65, moving +1.1% from the previous trading session.",Positive,COUPA SOFTWARE (COUP) Outpaces Stock Market Gains: What You Should Know,COUP
2,"Tue, 12 Nov 2019 17:45:24 -0500","COUPA SOFTWARE (COUP) closed at $133.04 in the latest trading session, marking a +0.13% move from the prior day.",Positive,COUPA SOFTWARE (COUP) Gains But Lags Market: What You Should Know,COUP
3,"Tue, 05 Nov 2019 11:49:26 -0500","Workday's purchase of Scout RFP for $540 million in cash heats up competition with Coupa Software, analysts said Tuesday. Coupa stock tumbled 8.5% on the acquisition as Workday also slipped.",Negative,Coupa Stock Falls As Workday Purchase Heats Up The Competition,COUP
4,"Fri, 25 Oct 2019 08:48:09 -0400",Coupa Software (NASDAQ: COUP) primarily sells a cloud-based business spend management (or BSM) platform that enables companies to get greater visibility and control over their spending. The company has seen its stock price decline by about 19% over the last week.,Negative,Why Did Coupa Software Stock Fall 20% Last Week?,COUP
5,"Wed, 23 Oct 2019 09:30:24 -0400",SOGO vs. COUP: Which Stock Is the Better Value Option?,Neutral,SOGO or COUP: Which Is the Better Value Stock Right Now?,COUP
6,"Wed, 23 Oct 2019 09:30:13 -0400",Is  (COUP) Outperforming Other Computer and Technology Stocks This Year?,Positive,Has COUPA SOFTWARE (COUP) Outpaced Other Computer and Technology Stocks This Year?,COUP
7,"Thu, 10 Oct 2019 15:35:00 -0400",Here are the top stock trades we’re watching for Friday morning,Neutral,"5 Top Stock Trades for Friday: FCX, COUP, APHA, CRON & HEXO",COUP
8,"Tue, 08 Oct 2019 16:09:11 -0400",Market indexes are trying to get past resistance at their 50-day moving averages.,Neutral,Stock Market Makes Another Run For Moving Averages,COUP
9,"Fri, 04 Oct 2019 15:46:48 -0400","Coupa reported an impressive Q2 with revenue growing 54% and billings growth 57%, both ahead of expectations.",Positive,"Coupa: Impressive Quarter, But Expensive Valuation",COUP
