,date,text,sentiment,title,Ticker
0,"Mon, 18 Nov 2019 10:44:35 -0500",These five stocks should benefit from the “January bounce” that often buoys up the previous year’s losers.,Positive,5 Stocks With January Bounce-Back Potential,CXO
1,"Mon, 18 Nov 2019 10:38:33 -0500","Investors who are interested in increasing their chances to uncover high-quality companies may find value in screening  for stocks whose market capitalization exceeds $10 billion, but that still trade at not more than 1.5 times the book value.",Positive,3 Under-the-Radar Stocks With Low Price-Book Ratios,CXO
2,"Mon, 18 Nov 2019 08:04:13 -0500","Energy stocks, and to a lesser extent bank stocks, have been the market’s whipping boys in 2019.",Positive,These Stocks Could Bounce High in January and Beyond,CXO
3,"Wed, 30 Oct 2019 15:43:00 -0400",Concho Resources' third-quarter results show a dramatic improvement from the prior period.,Positive,This Oil Stock Has Quickly Gotten Back on Track,CXO
4,"Wed, 30 Oct 2019 13:09:09 -0400",Concho Resources Inc. (CXO) CEO Tim Leach on Q3 2019 Results - Earnings Call Transcript,Neutral,Concho Resources Inc. (CXO) CEO Tim Leach on Q3 2019 Results - Earnings Call Transcript,CXO
5,"Wed, 30 Oct 2019 06:48:00 -0400","Concho Resources' (CXO) average quarterly production of 329,803 barrels of oil equivalent per day (Boe/d) surpassed the Zacks Consensus Estimate of 323,541 Boe/d.",Negative,"Concho (CXO) Q3 Earnings Miss on Weak Prices, Revenue Tops",CXO
6,"Tue, 29 Oct 2019 17:25:05 -0400","Concho Resources (CXO) delivered earnings and revenue surprises of -7.58% and 2.85%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Negative,Concho Resources (CXO) Lags Q3 Earnings Estimates,CXO
7,"Tue, 29 Oct 2019 09:43:23 -0400",Concho Resources Is An Attractive Value Play With Q3 '19 Report As A Driver,Positive,Concho Resources Is An Attractive Value Play With Q3 '19 Report As A Driver,CXO
8,"Mon, 28 Oct 2019 06:35:14 -0400","Even though oil has stayed above the critical $50 a barrel level, the energy sector has been a big disappointment this year.",Positive,RBC Has 4 E&P Energy Stocks to Buy With at Least 50% Implied Upside,CXO
9,"Thu, 24 Oct 2019 10:01:00 -0400",Concho Resources' (CXO) third-quarter oil and gas output is likely to have increased 12.9% year over year.,Positive,Is a Beat Likely for Concho Resources This Earnings Season?,CXO
10,"Thu, 17 Oct 2019 10:19:00 -0400",Investors need to pay close attention to Concho Resources (CXO) stock based on the movements in the options market lately.,Positive,Is the Options Market Predicting a Spike in Concho Resources (CXO) Stock?,CXO
11,"Fri, 04 Oct 2019 09:02:00 -0400",Permian basin is likely to be the major contributor to America's oil production growth.,Positive,Permian Oil Producers Steal the Spotlight: 4 Likely Gainers,CXO
12,"Tue, 24 Sep 2019 07:57:49 -0400",These 10 monster growth stocks to buy all offer exciting opportunities. There's the important information for investors to keep in mind.,Positive,10 Monster Growth Stocks to Buy for 2019 and Beyond,CXO
13,"Mon, 23 Sep 2019 10:35:09 -0400","It was pretty clear when the Saudi oil facilities were attacked, temporarily knocking out 50% of total production, that the world was in very uncharted territory.",Positive,A Big Risk Premium Could Stay in the Oil Market for Years: 4 Stocks to Buy Now,CXO
14,"Tue, 17 Sep 2019 17:09:00 -0400","Though the amount of oil coming out of Saudi Arabia has been halved, U.S. oil producers have no plans for drastic strategic changes.",Neutral,Oil CEOs Are Taking a Wait-and-See Approach After Attack Sends Crude Prices Soaring,CXO
15,"Mon, 16 Sep 2019 21:46:00 -0400",Drone strikes over the weekend knocked half of the country’s capacity offline.,Neutral,What the Attack on Saudi Arabia's Oil Infrastructure Means for the Oil Market,CXO
16,"Tue, 10 Sep 2019 04:30:31 -0400",Concho Resources hit a 52-week low shortly after reporting Q2 earnings.,Neutral,Concho Resources Is Just Misunderstood,CXO
17,"Sun, 08 Sep 2019 12:19:00 -0400","ExxonMobil and Chevron both see consolidation ahead for the industry, especially in the Permian Basin.",Neutral,Big Oil Is on the Prowl for Its Next Big Acquisition,CXO
18,"Fri, 06 Sep 2019 08:07:00 -0400",Lower oil and gas prices and a failed test hurt the Permian Basin-focused driller.,Negative,Why Concho Resources Stock Cratered 25% in August,CXO
19,"Wed, 04 Sep 2019 11:58:00 -0400",Concho Resources' (CXO) stock repurchase program is a validation of the company's motive to generate strong cash flow alongside sustainable oil production.,Neutral,"Concho to Sell Shelf Asset, Plans to Begin Buyback Program",CXO
20,"Tue, 03 Sep 2019 17:04:00 -0400",Concho Resources is selling assets so that it can start buying back a big chunk of its stock.,Positive,This Oil Company Is Pounding the Table That Its Stock Is Cheap,CXO
