,date,text,sentiment,title,Ticker
0,"Wed, 13 Nov 2019 11:05:00 -0500","A beauty products icon, a social networking giant, and pay TV relic are trouncing the S&P 500 this year. You probably didn't see any of them coming.",Positive,3 Surprising Stocks Beating the Market in 2019,DISH
1,"Tue, 12 Nov 2019 15:10:25 -0500","These are the communications stocks with the best value, fastest growth, and most momentum for October.",Positive,Top Communications Stocks for November 2019,DISH
2,"Thu, 07 Nov 2019 13:46:25 -0500","Even though Dish Network isn’t in the broadband or wireless business (yet), the company’s outspoken chairman, Charlie Ergen, sees the influx of new streaming services benefiting Dish and other pay-TV providers. Ergen addressed the topic during a conference call with Wall Street analysts and the media a few hours after the company released its third-quarter",Positive,Dish Chairman Charlie Ergen Says Streaming Boom Benefits Pay-TV Distributors,DISH
3,"Thu, 07 Nov 2019 09:35:00 -0500",DISH Network's (DISH) third-quarter 2019 results reflect lower Pay-TV subscriber addition despite an expanding Sling TV subscriber base.,Neutral,"DISH Network (DISH) Q3 Earnings Beat, Revenues Down Y/Y",DISH
4,"Thu, 07 Nov 2019 09:07:52 -0500","Dish Network, whose core satellite TV business has been steadily declining of late, reported better-than-expected financial results in the third quarter, including a rare gain in pay-TV subscribers. Earnings per share totaled 66 cents on a diluted basis, ahead of the forecast of 61 cents by Wall Street analysts, though they declined from 82 cents",Positive,Dish Network Beats Q3 Estimates And Bucks Downward Pay-TV Subscriber Trend,DISH
5,"Thu, 07 Nov 2019 07:35:10 -0500","Dish (DISH) delivered earnings and revenue surprises of 11.86% and -0.07%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Dish Network (DISH) Q3 Earnings Top Estimates,DISH
6,"Thu, 07 Nov 2019 06:55:01 -0500","Dish Network Corp  posted a better-than-expected quarterly profit on Thursday, as the U.S. satellite TV service provider surprised Wall Street by adding more payTV subscribers.",Positive,Dish beats profit estimates on higher pay-TV subscriber addition,DISH
7,"Mon, 04 Nov 2019 09:37:00 -0500",DISH Network's (DISH) third-quarter 2019 results are likely to reflect persistent loss of subscribers due to stiff competition and cord-cutting in the Pay-TV industry.,Neutral,What's in Store for DISH Network (DISH) This Earnings Season?,DISH
8,"Thu, 31 Oct 2019 09:10:12 -0400","Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",Positive,Is Dish Network (DISH) a Great Value Stock Right Now?,DISH
9,"Wed, 30 Oct 2019 10:34:23 -0400",Dish (DISH) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Negative,Analysts Estimate Dish Network (DISH) to Report a Decline in Earnings: What to Look Out for,DISH
10,"Wed, 30 Oct 2019 09:10:20 -0400","Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",Positive,Are Investors Undervaluing Dish Network (DISH) Right Now?,DISH
11,"Fri, 25 Oct 2019 14:38:42 -0400",Replacing Sprint with DISH seems like the battle of the have-nots.,Neutral,DISH Network's 'Silly' Plan To Upend The Wireless Industry,DISH
12,"Wed, 16 Oct 2019 12:37:05 -0400","Bernstein has launched coverage of the telecom, cable and satellite sector with a mostly positive outlook and bullish recommendations on several stocks.",Positive,Bernstein Positive On Telecoms: A Stock-By-Stock Breakdown,DISH
13,"Tue, 15 Oct 2019 11:47:00 -0400","DISH Network has been struggling lately, but the selling pressure may be coming to an end soon.",Positive,DISH Sees Hammer Chart Pattern: Time to Buy?,DISH
14,"Wed, 09 Oct 2019 06:00:00 -0400","Dish was the beneficiary of the assets Sprint and T-Mobile had to give up to earn regulatory approval for their merger, becoming the fourth major wireless network. So what's next for the company and its investors?",Positive,What Now for Dish Network After Big Telecom Merger?,DISH
15,"Mon, 07 Oct 2019 10:04:12 -0400","DISH Network Corp (NASDAQ: DISH) announced a multiyear carriage agreement Sunday with Fox Corporation (NASDAQ: FOXA) (NASDAQ: FOX) for its owned-and-operated local stations, as well as FS1, FS2, BTN, Fox Soccer Plus and Fox Deportes.",Positive,"Dish, Fox Announce Long-Term Carriage Agreement",DISH
16,"Sun, 06 Oct 2019 12:59:15 -0400","Just in time for Sunday football, DISH Network today announced it has reached a multi-year carriage agreement with Fox Corporation for its owned-and-operated local stations, as well as FS1, FS2, BTN, Fox Soccer Plus and Fox Deportes. Terms of the deal were not disclosed. Fox-owned TV stations in 17 markets, as well as FS1, FS2,",Positive,DISH Network Reaches Multi-Year Carriage Agreement With Fox In Time For NFL Sunday Football,DISH
17,"Sun, 06 Oct 2019 12:05:17 -0400","Dish Network customers who had lost access to Fox TV programming will again be able to watch their local Fox station, Fox Soccer Plus and other channels. Fox and Dish reached a multi-year agreement, the companies confirmed Sunday.",Positive,Fox returns channels to Dish customers after two-week blackout,DISH
18,"Thu, 26 Sep 2019 14:55:35 -0400","Fox-owned TV stations in 17 markets as well as FS1, FS2, Big Ten Network, Fox Soccer Plus and Fox Deportes have gone dark on Dish Network in the latest carriage dispute to throw a wrench into the pay-TV ecosystem. The dispute affects Dish’s 12 million satellite households as well as millions more who subscribe to",Neutral,"Fox Stations, Networks Go Dark On Dish In Carriage Dispute",DISH
19,"Thu, 19 Sep 2019 16:43:52 -0400","Dish Network’s chances of buying DirecTV could be about as remote as a satellite that’s orbiting the earth. That’s the take from sources close to Dish Chief Executive Charlie Ergen, who say that in addition to regulatory stumbling blocks the mercurial billionaire faces tough financial hurdles in acquiring his longtime rival.",Neutral,Merger of Dish and DirecTV probably won’t be happening,DISH
20,"Thu, 19 Sep 2019 01:19:00 -0400","""So there's been some stories out there about the industrial logic about putting 2 satellite providers. It hasn't been successful and I don't know that there's any change in that regulatory perspective,"" AT&T's chief financial officer said.",Neutral,AT&T and Dish are reportedly not in talks over DirecTV deal,DISH
21,"Wed, 18 Sep 2019 18:26:34 -0400","AT&T Inc  and Dish Network Corp  are not in discussions over a deal due to regulatory issues, a source familiar with the matter said on Wednesday, after the Wall Street Journal reported https://on.wsj.com/2kS2Hbs the wireless carrier was considering parting ways with its satellite TV division DirecTV.",Neutral,"AT&T, Dish not in talks over DirecTV deal: source",DISH
22,"Wed, 18 Sep 2019 03:59:30 -0400","Bankers have been submitting proposals to AT&T to sell off its DirecTV unit, with Dish Network DISH a potential suitor, Fox Business reported, without attribution.",Neutral,Bankers pushing AT&T to sell DirecTV to Dish Network: report,DISH
23,"Tue, 17 Sep 2019 10:51:51 -0400","Chipotle Mexican Grill Inc  said on Tuesday it would add a new steak dish to its menu nationwide for the first time in three years, as the Mexican food chain looks to drive sales in a crowded U.S restaurant market.",Neutral,Chipotle adds steak dish carne asada in rare addition to menu,DISH
24,"Tue, 17 Sep 2019 08:51:01 -0400","The ""Fast Money"" traders share their final trades of the day including DISH, LYFT & more.",Positive,"Final Trades: DISH, LYFT, DAL & SPY",DISH
25,"Mon, 16 Sep 2019 13:44:11 -0400","""Halftime Report"" traders Jon Najarian & Pete Najarian spot unusual options activity in shares of the iShares China Large-Cap ETF, DISH Network, Toll Brothers, & Juniper Networks.",Positive,"Options bulls bet on China, tech & housing",DISH
26,"Wed, 28 Aug 2019 09:30:29 -0400",Dish (DISH) reported earnings 30 days ago. What's next for the stock?,Negative,Dish (DISH) Down 7.4% Since Last Earnings Report: Can It Rebound?,DISH
27,"Mon, 26 Aug 2019 10:44:00 -0400",Shares of Dish rise nearly 4% Monday after Raymond James upgraded the company to strong buy from market perform.,Positive,Dish shares climb after analyst declares 'an opportune time to buy',DISH
28,"Mon, 26 Aug 2019 08:48:12 -0400","Shares of Dish Network Corp. DISH, -2.14% shot up 5.9% in premarket trading Monday, after the pay-TV and wireless services company received a double upgrade by Raymond James analyst Ric Prentiss, who said it was an ""opportune time to buy Dish"" given the recent pullback and with the merger saga between T-Mobile U.S.",Positive,Dish Network's stock surges after double upgrade at Raymond James,DISH
29,"Fri, 16 Aug 2019 12:52:00 -0400","Dish Network's (NASDAQ:DISH) shares have declined from over $57 in December 2015 to current levels of $32. In this analysis, we break down the key factors driving the change in Dish’s stock price.",Negative,Why Is Dish Network's Stock Down About 40% Since 2015?,DISH
