,date,text,sentiment,title,Ticker
0,"Thu, 14 Nov 2019 09:16:00 -0500",Top Ranked Income Stocks to Buy for November 14th,Positive,Top Ranked Income Stocks to Buy for November 14th,DKL
1,"Mon, 11 Nov 2019 10:15:00 -0500",Top Ranked Income Stocks to Buy for November 11th,Positive,Top Ranked Income Stocks to Buy for November 11th,DKL
2,"Fri, 08 Nov 2019 10:20:17 -0500","Delek Logistics Partners, L.P. (DKL) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",Positive,"Can Delek Logistics Partners, L.P. (DKL) Run Higher on Rising Earnings Estimates?",DKL
3,"Tue, 05 Nov 2019 10:25:04 -0500","Delek Logistics Partners (DKL) CEO, Uzi Yemin on Q3 2019 Results - Earnings Call Transcript",Neutral,"Delek Logistics Partners (DKL) CEO, Uzi Yemin on Q3 2019 Results - Earnings Call Transcript",DKL
4,"Fri, 25 Oct 2019 16:30:00 -0400","BRENTWOOD, Tenn., Oct.  25, 2019  (GLOBE NEWSWIRE) -- Delek Logistics Partners, LP (NYSE: DKL) (“Delek Logistics”) today declared its quarterly cash distribution for the third quarter 2019 of $0.88 per common limited partner unit, or $3.52 per common limited partner unit on an annualized basis. This distribution represents a 3.5 percent increase from the distribution for the second quarter 2019 of $0.85 per common limited partner unit ($3.40 per common limited partner unit annualized) and a 11.4 percent increase over Delek Logistics’ distribution for the third quarter 2018 of $0.79 per common limited partner unit ($3.16 per common limited partner unit annualized). The third quarter 2019 cash distribution is payable on November 12, 2019 to unitholders of record on November 4, 2019.",Neutral,"Delek Logistics Partners, LP Increases Quarterly Cash Distribution to $0.88 per Common Limited Partner Unit",DKL
5,"Fri, 11 Oct 2019 09:50:00 -0400",Is Delek Logistics Partners (DKL) a great pick from the value investor's perspective right now? Read on to know more.,Positive,Should Value Investors Pick Delek Logistics Partners (DKL)?,DKL
6,"Mon, 07 Oct 2019 17:45:00 -0400","BRENTWOOD, Tenn., Oct.  07, 2019  (GLOBE NEWSWIRE) -- Delek Logistics Partners, LP (NYSE: DKL) (“Delek Logistics”) today announced that the Partnership intends to issue a press release summarizing third quarter 2019 results after the U.S. stock market closes on Monday, November 4, 2019.  A conference call to discuss third quarter 2019 results is scheduled to begin at 7:30 a.m. CT (8:30 a.m. ET) on Tuesday, November 5, 2019.",Neutral,"Delek Logistics Partners, LP to Host Third Quarter 2019 Conference Call on November 5",DKL
7,"Tue, 24 Sep 2019 09:10:12 -0400","Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",Positive,"Are Investors Undervaluing Delek Logistics Partners, L.P. (DKL) Right Now?",DKL
8,"Wed, 11 Sep 2019 09:16:00 -0400","On Sep 12, the OPEC and its allies will meet in Abu Dhabi to take a decision on oil production level.",Positive,Buy 5 Top Oil Stocks Ahead of Crucial OPEC & Allies Meeting,DKL
9,"Thu, 05 Sep 2019 09:10:17 -0400","Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",Positive,"Is Delek Logistics Partners, L.P. (DKL) a Great Value Stock Right Now?",DKL
10,"Wed, 04 Sep 2019 10:43:00 -0400",Top Ranked Income Stocks to Buy for September 4th,Positive,Top Ranked Income Stocks to Buy for September 4th,DKL
11,"Wed, 21 Aug 2019 11:00:00 -0400",We have highlighted five ETFs and stocks that yield more than 5% in dividends and could be interesting plays for the coming months.,Positive,Earn 5% Yields or More With These Dividend ETFs & Stocks,DKL
12,"Fri, 09 Aug 2019 09:59:00 -0400",Top Ranked Income Stocks to Buy for August 9th,Positive,Top Ranked Income Stocks to Buy for August 9th,DKL
13,"Mon, 05 Aug 2019 12:36:24 -0400","Delek Logistics Partners, LP (DKL) CEO Uzi Yemin on Q2 2019 Results - Earnings Call Transcript",Neutral,"Delek Logistics Partners, LP (DKL) CEO Uzi Yemin on Q2 2019 Results - Earnings Call Transcript",DKL
14,"Wed, 29 May 2019 08:54:00 -0400",Plains All American (PAA) gains from its high quality assets and has plans to further expand its operations in Permian Basin.,Neutral,Plains Sells Red River System's 33% Stake to Delek Logistics,DKL
15,"Mon, 06 May 2019 11:45:13 -0400","Delek Logistics Partners, LP (DKL) CEO Ezra Yemin on Q1 2019 Results - Earnings Call Transcript",Neutral,"Delek Logistics Partners, LP (DKL) CEO Ezra Yemin on Q1 2019 Results - Earnings Call Transcript",DKL
16,"Fri, 19 Apr 2019 09:15:00 -0400",There are many attractive high-yield vehicles going ex-dividend in early May and paying throughout May.,Positive,Income Investors: Get Ready For Another Cash Wave In May - 6% To 9% Yields,DKL
17,"Thu, 21 Mar 2019 07:51:00 -0400","Delek Logistics Partners, LP is looking like an interesting pick from a technical perspective, as the company is seeing favorable trends on the moving average crossover front.",Positive,Moving Average Crossover Alert: Delek Logistics,DKL
