,date,text,sentiment,title,Ticker
0,"Wed, 13 Nov 2019 09:30:10 -0500",Is  (ECPG) Outperforming Other Finance Stocks This Year?,Positive,Is Encore Capital Group (ECPG) Outperforming Other Finance Stocks This Year?,ECPG
1,"Fri, 08 Nov 2019 09:30:10 -0500",ECPG vs. FCFS: Which Stock Is the Better Value Option?,Neutral,ECPG or FCFS: Which Is the Better Value Stock Right Now?,ECPG
2,"Fri, 08 Nov 2019 09:10:12 -0500","Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",Positive,Are Investors Undervaluing Encore Capital Group (ECPG) Right Now?,ECPG
3,"Wed, 06 Nov 2019 22:53:08 -0500","Encore Capital Group, Inc. (ECPG) CEO Ashish Masih on Q3 2019 Results - Earnings Call Transcript",Neutral,"Encore Capital Group, Inc. (ECPG) CEO Ashish Masih on Q3 2019 Results - Earnings Call Transcript",ECPG
4,"Wed, 06 Nov 2019 20:35:15 -0500","Encore Capital Group (ECPG) delivered earnings and revenue surprises of 20.59% and 1.45%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Encore Capital Group (ECPG) Surpasses Q3 Earnings and Revenue Estimates,ECPG
5,"Wed, 30 Oct 2019 10:34:21 -0400",Encore Capital Group (ECPG) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Positive,Encore Capital Group (ECPG) Reports Next Week: Wall Street Expects Earnings Growth,ECPG
6,"Mon, 07 Oct 2019 09:10:19 -0400","Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",Positive,Should Value Investors Buy Encore Capital Group (ECPG) Stock?,ECPG
7,"Thu, 26 Sep 2019 16:15:00 -0400","SAN DIEGO, Sept.  26, 2019  (GLOBE NEWSWIRE) -- Encore Capital Group, Inc. (Nasdaq: ECPG) announced today the election of Angela Knight CBE and Jeffrey A. Hilzinger to the Encore Board of Directors.",Neutral,Encore Capital Group Board Elects Two New Directors,ECPG
8,"Wed, 18 Sep 2019 09:40:12 -0400",ECPG vs. SLM: Which Stock Is the Better Value Option?,Neutral,ECPG vs. SLM: Which Stock Is the Better Value Option?,ECPG
9,"Mon, 16 Sep 2019 16:15:00 -0400","SAN DIEGO, Sept.  16, 2019  (GLOBE NEWSWIRE) --  Encore Capital Group , Inc. (NASDAQ:  ECPG ), today announced that Tracy Ting has been appointed to the role of Senior Vice President, Chief Human Resources Officer (CHRO). She will report to Encore’s President and CEO Ashish Masih.",Neutral,Tracy Ting Appointed Chief Human Resources Officer for Encore Capital Group,ECPG
10,"Thu, 05 Sep 2019 05:00:00 -0400","SAN DIEGO, Sept.  05, 2019  (GLOBE NEWSWIRE) -- Encore Capital Group, Inc. (Nasdaq: ECPG) (“Encore”) today announced the pricing of its offering of $100,000,000 aggregate principal amount of 3.25% convertible senior notes due 2025 (the “notes”) in a private offering to qualified institutional buyers pursuant to Rule 144A under the Securities Act of 1933, as amended (the “Securities Act”).  Encore also granted the initial purchasers of the notes a 30-day option to purchase up to an additional $15,000,000 aggregate principal amount of notes solely to cover over-allotments, if any.",Neutral,"Encore Capital Group, Inc. Prices $100 Million Convertible Senior Notes Offering",ECPG
11,"Tue, 03 Sep 2019 16:01:00 -0400","SAN DIEGO, Sept.  03, 2019  (GLOBE NEWSWIRE) -- Encore Capital Group, Inc. (Nasdaq: ECPG) (“Encore”) today announced its intention to offer, subject to market and other conditions, $100,000,000 aggregate principal amount of convertible senior notes due 2025 (the “notes”) in a private offering to qualified institutional buyers pursuant to Rule 144A under the Securities Act of 1933, as amended (the “Securities Act”). Encore also expects to grant the initial purchasers of the notes a 30-day option to purchase up to an additional $15,000,000 aggregate principal amount of notes solely to cover over-allotments, if any.",Neutral,"Encore Capital Group, Inc. Announces Proposed Convertible Senior Notes Offering",ECPG
12,"Mon, 02 Sep 2019 09:30:14 -0400",ECPG vs. FCFS: Which Stock Is the Better Value Option?,Neutral,ECPG vs. FCFS: Which Stock Is the Better Value Option?,ECPG
13,"Tue, 27 Aug 2019 09:10:19 -0400","Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",Positive,Is Encore Capital Group (ECPG) Stock Undervalued Right Now?,ECPG
14,"Wed, 21 Aug 2019 08:29:00 -0400","Encore Capital (ECPG) seems to be a solid bet now, driven by strong fundamentals and good growth prospects.",Positive,4 Reasons to Add Encore Capital (ECPG) Stock to Your Portfolio,ECPG
15,"Thu, 15 Aug 2019 09:30:23 -0400",ECPG vs. CACC: Which Stock Is the Better Value Option?,Neutral,ECPG or CACC: Which Is the Better Value Stock Right Now?,ECPG
16,"Sat, 10 Aug 2019 12:13:38 -0400","Encore Capital Group, Inc. (ECPG) CEO Kenneth Stannard on Q2 2019 Results - Earnings Call Transcript",Neutral,"Encore Capital Group, Inc. (ECPG) CEO Kenneth Stannard on Q2 2019 Results - Earnings Call Transcript",ECPG
17,"Wed, 07 Aug 2019 19:45:07 -0400","Encore Capital Group (ECPG) delivered earnings and revenue surprises of 0.00% and -2.79%, respectively, for the quarter ended June 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Encore Capital Group (ECPG) Matches Q2 Earnings Estimates,ECPG
18,"Wed, 31 Jul 2019 10:36:29 -0400",Encore Capital Group (ECPG) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Negative,Earnings Preview: Encore Capital Group (ECPG) Q2 Earnings Expected to Decline,ECPG
19,"Fri, 12 Jul 2019 16:37:11 -0400","As the U.S. stock market sets new all-time highs, several GuruFocus model portfolios continue outperforming the benchmark: the undervalued-predictable portfolio, the Buffett-Munger portfolio and the most-broadly held portfolio.",Positive,5 Buffett-Munger Stocks for Summer 2019,ECPG
20,"Tue, 09 Jul 2019 09:30:11 -0400",ECPG vs. CACC: Which Stock Is the Better Value Option?,Neutral,ECPG vs. CACC: Which Stock Should Value Investors Buy Now?,ECPG
21,"Tue, 18 Jun 2019 15:53:35 -0400","According to the GuruFocus All-in-One Screener, the following companies have high business predictability ratings and a wide margin of safety.",Positive,6 Predictable Guru Stocks,ECPG
22,"Mon, 10 Jun 2019 10:44:00 -0400","Encore Capital Group, Inc. (ECPG) is looking like an interesting pick from a technical perspective, as the company is seeing favorable trends on the moving average crossover front.",Positive,Moving Average Crossover Alert: Encore Capital,ECPG
23,"Mon, 03 Jun 2019 10:15:00 -0400",Is Encore Capital Group (ECPG) a great pick from the value investor's perspective right now? Read on to know more.,Positive,Is Encore Capital Group (ECPG) A Great Pick for Value Investors?,ECPG
24,"Thu, 16 May 2019 09:30:18 -0400",ECPG vs. CACC: Which Stock Is the Better Value Option?,Positive,ECPG vs. CACC: Which Stock Is the Better Value Option?,ECPG
25,"Thu, 16 May 2019 09:15:00 -0400","As of late, it has definitely been a great time to be an investor Encore Capital Group.",Positive,Will Encore Capital to Surge Higher?,ECPG
26,"Mon, 13 May 2019 03:04:20 -0400","Encore Capital Group, Inc. (ECPG) CEO Ashish Masih on Q1 2019 Results - Earnings Call Transcript",Neutral,"Encore Capital Group, Inc. (ECPG) CEO Ashish Masih on Q1 2019 Results - Earnings Call Transcript",ECPG
27,"Wed, 08 May 2019 20:15:05 -0400","Encore Capital Group (ECPG) delivered earnings and revenue surprises of 21.67% and -0.77%, respectively, for the quarter ended March 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Encore Capital Group (ECPG) Surpasses Q1 Earnings Estimates,ECPG
