,date,text,sentiment,title,Ticker
0,"Mon, 18 Nov 2019 09:00:00 -0500","KANSAS CITY, Mo., Nov.  18, 2019  (GLOBE NEWSWIRE) -- H&R Block knows the unexpected need for cash can pop up. Consumers need access to money and Block can provide access to up to $1,000 upon approval with the  H&R Block Emerald Advance® line of credit . Starting today consumers can apply at any participating H&R Block tax office. Approved applicants are eligible for an unsecured credit limit between $350 and $1,000.",Neutral,"H&R Block Emerald Advance® line of credit gives consumers access to up to $1,000",HRB
1,"Fri, 08 Nov 2019 10:00:00 -0500","Normally priced at least $10 less than TurboTax®, clients get exceptional value and easy access to expert help throughout the tax preparation process Normally priced at least $10 less than TurboTax®, clients get exceptional value and easy access to expert help throughout the tax preparation process",Neutral,H&R Block DIY desktop tax software 2019 on sale now for tax season 2020,HRB
2,"Thu, 07 Nov 2019 16:30:00 -0500","­KANSAS CITY, Mo., Nov. 07, 2019 (GLOBE NEWSWIRE) -- H&R Block (NYSE: HRB) announced today the appointment of Anuradha (Anu) Gupta, Chief Operating Officer of Jyve Corp., to its Board of Directors effective immediately, increasing its Board of Directors to 11.",Neutral,H&R Block announces addition to its Board of Directors,HRB
3,"Thu, 07 Nov 2019 16:20:00 -0500","KANSAS CITY, Mo., Nov.  07, 2019  (GLOBE NEWSWIRE) -- H&R Block, Inc. (NYSE: HRB) today announced that its Board of Directors declared a quarterly cash dividend of 26 cents per share, payable January 2, 2020, to shareholders of record as of December 9, 2019.",Neutral,H&R Block Announces Quarterly Cash Dividend,HRB
4,"Thu, 31 Oct 2019 10:15:48 -0400",Return on equity is one of the most popular ways for investors to assess the efficiency of a business before they buy a stock.,Positive,13 Stocks With The Highest Returns On Equity,HRB
5,"Mon, 28 Oct 2019 14:18:00 -0400",Award winners recognized at annual national convention for leading in key growth areas and providing help to H&R Block clients and communities,Neutral,"H&R Block recognizes three featured franchisees among more than 1,000",HRB
6,"Tue, 22 Oct 2019 09:30:00 -0400",New C-suite position will help guide the company’s long-term strategy and growth opportunities New C-suite position will help guide the company’s long-term strategy and growth opportunities,Neutral,H&R Block Names Jamil Khan as Chief Strategy & Development Officer,HRB
7,"Wed, 16 Oct 2019 12:22:22 -0400",A more complicated U.S. tax code is coming if the Democrats win next year's election.,Positive,The Bottom Fishing Club: H&R Block,HRB
8,"Tue, 08 Oct 2019 07:59:47 -0400","With ever-rising revenue generation, some of the best stocks to buy -- especially at this juncture -- hail from the service industry.",Positive,7 Services Stocks to Buy for the Rest of 2019,HRB
9,"Fri, 04 Oct 2019 16:49:00 -0400",H&R Block CEO announced $2 million investment at #Back2KC event H&R Block CEO announced $2 million investment at #Back2KC event,Neutral,H&R Block to invest in Kansas City startup community through KCRise Fund II,HRB
10,"Thu, 03 Oct 2019 16:45:00 -0400",Elevating H&R Block talent with 10 new vice presidents hired and promoted this year Elevating H&R Block talent with 10 new vice presidents hired and promoted this year,Neutral,New and rising talent to advance H&R Block’s transformation strategy,HRB
11,"Fri, 27 Sep 2019 09:30:26 -0400",H&R Block (HRB) reported earnings 30 days ago. What's next for the stock?,Negative,H&R Block (HRB) Down 3% Since Last Earnings Report: Can It Rebound?,HRB
12,"Tue, 24 Sep 2019 13:00:00 -0400",H&R Block can offer solutions to taxpayers who have or will receive an IRS letter or notice H&R Block can offer solutions to taxpayers who have or will receive an IRS letter or notice,Neutral,"IRS letters trigger anxieties on cryptocurrency, estimated payments and much more",HRB
13,"Thu, 19 Sep 2019 07:25:30 -0400","The stock charts of WU, SYY and HRB are poised to do their own thing, regardless of how the market responds to the rate cut.",Neutral,"3 Big Stock Charts for Thursday: Western Union, SYSCO and H & R Block",HRB
14,"Tue, 03 Sep 2019 10:46:00 -0400",Growth in tax business and contribution from the acquisition of Wave Financial benefit H&R Block's (HRB) top line.,Neutral,Here's Why Investors Should Retain H&R Block (HRB) Stock Now,HRB
15,"Thu, 29 Aug 2019 16:32:00 -0400","Despite higher markets, earnings were these stocks' downfall.",Negative,"Why Ollie's Bargain Outlet Holdings, Abercrombie & Fitch, and H&R Block Slumped Today",HRB
16,"Thu, 29 Aug 2019 09:23:00 -0400",H&R Block (HRB) incurs loss in the first quarter of fiscal year due to seasonality of its tax business.,Negative,"H&R Block's (HRB) Q1 Loss Flat Y/Y, Revenues Miss Estimates",HRB
17,"Wed, 28 Aug 2019 22:26:36 -0400","H&R Block, Inc. (HRB) CEO Jeffrey Jones II on Fiscal Q1 2020 Results - Earnings Call Transcript",Neutral,"H&R Block, Inc. (HRB) CEO Jeffrey Jones II on Fiscal Q1 2020 Results - Earnings Call Transcript",HRB
18,"Wed, 28 Aug 2019 17:35:05 -0400","H&R Block (HRB) delivered earnings and revenue surprises of 5.26% and -1.21%, respectively, for the quarter ended July 2019. Do the numbers hold clues to what lies ahead for the stock?",Negative,"H&R Block (HRB) Reports Q1 Loss, Misses Revenue Estimates",HRB
19,"Wed, 28 Aug 2019 16:17:00 -0400","KANSAS CITY, Mo., Aug.  28, 2019  (GLOBE NEWSWIRE) -- H&R Block, Inc. (NYSE: HRB) today released its financial results for the fiscal 2020 first quarter ended July 31, 2019.  The company normally reports a fiscal first quarter loss due to the seasonality of its tax business.  The fiscal first quarter typically represents less than 5% of annual revenues and less than 15% of annual expenses.",Neutral,H&R Block Announces Fiscal 2020 First Quarter Results,HRB
20,"Wed, 28 Aug 2019 07:42:33 -0400","On Wednesday, August 28, H&R Block (NYSE: HRB) will release its latest earnings report.",Neutral,Q1 Earnings Preview For H&R Block,HRB
21,"Fri, 23 Aug 2019 08:42:00 -0400",H&R Block's (HRB) first-quarter fiscal 2020 revenues to benefit from the Wave Financial acquisition.,Neutral,H&R Block (HRB) to Post Q1 Earnings: What's in the Offing?,HRB
22,"Thu, 22 Aug 2019 16:20:00 -0400","KANSAS CITY, Mo., Aug.  22, 2019  (GLOBE NEWSWIRE) -- H&R Block, Inc. (NYSE: HRB) today announced that its Board of Directors declared a quarterly cash dividend of 26 cents per share, payable October 1, 2019, to shareholders of record as of September 13, 2019.",Neutral,H&R Block Announces Quarterly Cash Dividend.,HRB
23,"Wed, 21 Aug 2019 10:30:35 -0400",H&R Block (HRB) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Negative,Analysts Estimate H&R Block (HRB) to Report a Decline in Earnings: What to Look Out for,HRB
24,"Tue, 23 Jul 2019 09:10:10 -0400","Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",Positive,Should Value Investors Buy H&R Block (HRB) Stock?,HRB
25,"Thu, 11 Jul 2019 09:30:04 -0400",H&R Block (HRB) reported earnings 30 days ago. What's next for the stock?,Positive,H&R Block (HRB) Up 1.3% Since Last Earnings Report: Can It Continue?,HRB
26,"Thu, 11 Jul 2019 09:14:00 -0400",Let's see if H&R Block (HRB) stock is a good choice for value-oriented investors right now from multiple angles.,Neutral,Is H&R Block (HRB) a Potential Stock for Value Investors?,HRB
27,"Wed, 03 Jul 2019 09:02:00 -0400","Prudent investments in price, technology and operational excellence make H&R Block (HRB) well poised for long-term growth.",Positive,Here's Why Investors Should Hold on to H&R Block (HRB) Stock,HRB
28,"Thu, 27 Jun 2019 08:34:54 -0400","The stock charts of LLY, BA and HRB are moving into pivotal positions as the trading week starts to wind down.",Positive,"3 Big Stock Charts for Thursday: H & R Block, Boeing and Eli Lilly",HRB
29,"Thu, 13 Jun 2019 08:36:56 -0400","The stock charts for H&R Block, Philip Morris and Twitter are knocking on the door of some trade-worthy moves.",Positive,"3 Big Stock Charts for Thursday: H&R Block, Twitter and Philip Morris",HRB
30,"Wed, 12 Jun 2019 16:28:06 -0400","Tax preparer H&R Block Inc. reported earnings and revenue beats Tuesday, but sell-side analysts remained cautious, saying it’s early in the company’s turnaround process as it deals with a shift toward do-it-yourself filing.",Neutral,Sell-Side Lukewarm On H&R Block Early In Turnaround,HRB
31,"Wed, 12 Jun 2019 08:53:00 -0400",The acquisition will expand H&R Block's product and client portfolio and strengthen its position in the small business market.,Neutral,H&R Block (HRB) Snaps Up Wave Financial for $405 million,HRB
32,"Tue, 11 Jun 2019 15:34:06 -0400","Shares of H&R Block Inc. (NYSE:HRB) were up 0.97% at $27.20 in pre-market trading on Tuesday after beating consensus estimates on GAAP earnings for the final quarter of fiscal 2019 by 20 cents, reporting $4.32 per share.",Positive,H&R Block Jumps on 4th-Quarter Results,HRB
33,"Tue, 11 Jun 2019 14:28:00 -0400",Increased expenses weigh on H&R Block's (HRB) bottom line in the fourth quarter of fiscal 2019.,Positive,H&R Block (HRB) Beats Q4 Earnings and Revenue Estimates,HRB
34,"Tue, 11 Jun 2019 13:42:10 -0400","H&R Block, Inc. (HRB) CEO Jeffrey Jones on Q4 2019 Results - Earnings Call Transcript",Neutral,"H&R Block, Inc. (HRB) CEO Jeffrey Jones on Q4 2019 Results - Earnings Call Transcript",HRB
35,"Tue, 11 Jun 2019 12:14:35 -0400",H&R Block earnings for the company's fiscal fourth quarter of 2019 have HRB stock up on Tuesday thanks to strong EPS and revenue.,Positive,"H&R Block Earnings: HRB Stock Pops on Q4 Beat, Wave Financial Deal",HRB
36,"Tue, 11 Jun 2019 11:06:00 -0400",H&R Block's (HRB) fourth-quarter fiscal 2019 earnings and revenues decreased year over year.,Positive,H&R Block (HRB) Beats Earnings and Revenue Estimates in Q4,HRB
37,"Tue, 11 Jun 2019 08:31:48 -0400","Shares of H&R Block Inc. surged 5.1% toward a 6-month high in premarket trade Tuesday, after the tax preparation services company reported fiscal fourth-quarter profit and revenue that beat expectations, boosted its dividend and announced the acquisition of Wave Financial Inc.",Positive,"H&R Block's stock jumps after profit beat, raised dividend and $405 million acquisition",HRB
