,date,text,sentiment,title,Ticker
0,"Fri, 15 Nov 2019 09:39:00 -0500","Hershey (HSY) gains from SKU rationalization efforts as well as buyouts and innovation. However, rising advertising expenses are a worry.",Positive,Hershey Gains From Strong Brands & Efficiency Boosting Plans,HSY
1,"Fri, 08 Nov 2019 13:53:08 -0500","Insider trading based on non-public information is a serious crime, but legal insider trading by company management that is publicly disclosed is a great way for retail investors to gain insight into what management thinks about a stock’s outlook.",Negative,9 S&P 500 Stocks With The Most Insider Selling,HSY
2,"Wed, 06 Nov 2019 06:00:00 -0500","These companies may not be at the bleeding edge of innovation, but their dependable revenue streams offer investors a sense of security in times of uncertainty.",Positive,3 Reasons These Consumer Staples Stocks Are Recession-Resistant,HSY
3,"Sat, 02 Nov 2019 11:40:00 -0400",The confectioner is on track to post sluggish sales growth in 2019.,Neutral,What We Learned From Hershey’s Third-Quarter Earnings Call,HSY
4,"Thu, 31 Oct 2019 16:46:00 -0400","Halloween is big business for top candy makers, and this year, Americans are projected to spend over $2 billion on Halloween candy.",Positive,These 6 Companies Own All Your Favorite Halloween Candy,HSY
5,"Tue, 29 Oct 2019 12:20:00 -0400","The confectioner did a beat and raise, but the market was not duly impressed.",Positive,Is Hershey's Stock a Sweet Deal After the Earnings Pullback?,HSY
6,"Tue, 29 Oct 2019 10:00:00 -0400",The sweets and snacks giant is positioning itself for faster sales gains in 2020.,Positive,Hershey Earnings: Steady Growth and Rising Profitability,HSY
7,"Mon, 28 Oct 2019 17:41:00 -0400","HERSHEY, Pa., Oct.  28, 2019  (GLOBE NEWSWIRE) -- The Hershey Company (NYSE: HSY) announced today the pricing of its offering of $300,000,000 of 2.050% notes due 2024, $300,000,000 of 2.450% notes due 2029 and $400,000,000 of 3.125% notes due 2049 (the “Notes Offering”) in a public offering. The Hershey Company intends to use the net proceeds of the Notes Offering to repay a portion of the commercial paper it issued to fund its acquisition of ONE Brands, LLC and pay related fees and expenses and for general corporate purposes.",Neutral,"The Hershey Company Announces Pricing of $300,000,000 2.050% Notes Due 2024, $300,000,000 2.450% Notes Due 2029 and $400,000,000 3.125% Notes Due 2049",HSY
8,"Fri, 25 Oct 2019 12:26:47 -0400",Hershey Co (NYSE: HSY) reported mixed third-quarter results and lifted part of its full-year outlook.,Neutral,Hershey's Earnings: Sweet Treat Or Sour Candy?,HSY
9,"Fri, 25 Oct 2019 10:09:00 -0400","The Hershey Company has been on a bit of a cold streak lately, but there might be light at the end of the tunnel for this overlooked stock.",Positive,Hershey Enters Oversold Territory,HSY
10,"Thu, 24 Oct 2019 15:55:45 -0400","On Sept. 23, The Hershey Co. (NYSE:HSY) completed the acquisition of protein bar company One Brands for $397 million.",Neutral,Hershey and One Brands: Confectionery Company Continues Diversification Through Acquisitions,HSY
11,"Thu, 24 Oct 2019 14:41:28 -0400",The Hershey Company (HSY) CEO Michele Buck on Q3 2019 Results - Earnings Call Transcript,Neutral,The Hershey Company (HSY) CEO Michele Buck on Q3 2019 Results - Earnings Call Transcript,HSY
