,date,text,sentiment,title,Ticker
0,"Fri, 01 Nov 2019 14:32:06 -0400",Liberty Oilfield Services Inc. (LBRT) CEO Christopher Wright on Q3 2019 Results - Earnings Call Transcript,Neutral,Liberty Oilfield Services Inc. (LBRT) CEO Christopher Wright on Q3 2019 Results - Earnings Call Transcript,LBRT
1,"Tue, 29 Oct 2019 18:35:14 -0400","Liberty Oilfield Services (LBRT) delivered earnings and revenue surprises of -44.44% and -1.33%, respectively, for the quarter ended September 2019. Do the numbers hold clues to what lies ahead for the stock?",Negative,Liberty Oilfield Services (LBRT) Q3 Earnings and Revenues Miss Estimates,LBRT
2,"Sun, 01 Sep 2019 08:06:00 -0400",These lesser-known companies are good bets to outperform.,Positive,3 Top Energy Stocks to Buy Now,LBRT
3,"Sun, 04 Aug 2019 03:34:06 -0400","Liberty Oilfield Services, Inc. (LBRT) CEO Christopher Wright on Q2 2019 Results - Earnings Call Transcript",Neutral,"Liberty Oilfield Services, Inc. (LBRT) CEO Christopher Wright on Q2 2019 Results - Earnings Call Transcript",LBRT
4,"Tue, 30 Jul 2019 18:05:06 -0400","Liberty Oilfield Services (LBRT) delivered earnings and revenue surprises of 18.52% and 1.87%, respectively, for the quarter ended June 2019. Do the numbers hold clues to what lies ahead for the stock?",Positive,Liberty Oilfield Services (LBRT) Beats Q2 Earnings and Revenue Estimates,LBRT
5,"Mon, 29 Jul 2019 15:52:09 -0400",Fracking service provider Liberty Oilfield Services went public in early 2018.,Positive,Post-IPO Analysis: Liberty Oilfield Services Has Continued Doldrums Ahead,LBRT
6,"Tue, 23 Jul 2019 10:32:29 -0400",Liberty Oilfield Services (LBRT) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Negative,Analysts Estimate Liberty Oilfield Services (LBRT) to Report a Decline in Earnings: What to Look Out for,LBRT
7,"Mon, 22 Jul 2019 09:44:00 -0400",Great stocks from oil to renewable energy.,Positive,3 Top Energy Stocks to Buy This Month,LBRT
8,"Tue, 09 Jul 2019 16:34:00 -0400",Companies raising cash were among the hardest hit Tuesday.,Negative,"Why DaVita, AquaVenture Holdings, and Liberty Oilfield Services Slumped Today",LBRT
9,"Sun, 05 May 2019 09:45:07 -0400",Liberty Oilfield Services (LBRT) CEO Chris Wright on Q1 2019 Results - Earnings Call Transcript,Neutral,Liberty Oilfield Services (LBRT) CEO Chris Wright on Q1 2019 Results - Earnings Call Transcript,LBRT
10,"Tue, 23 Apr 2019 10:32:27 -0400",Liberty Oilfield Services (LBRT) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Negative,Earnings Preview: Liberty Oilfield Services (LBRT) Q1 Earnings Expected to Decline,LBRT
