,date,text,sentiment,title,Ticker
0,"Wed, 13 Nov 2019 09:14:00 -0500",Contraction in manufacturing and a slowdown in global economy are boosting demand for utility stocks.,Positive,5 Utility Stocks to Buy Amid Global Economic Slowdown,LNT
1,"Thu, 07 Nov 2019 16:15:04 -0500",Alliant Energy Corporation (LNT) CEO John Larsen on Q3 2019 Results - Earnings Call Transcript,Neutral,Alliant Energy Corporation (LNT) CEO John Larsen on Q3 2019 Results - Earnings Call Transcript,LNT
2,"Thu, 07 Nov 2019 10:15:00 -0500","Alliant Energy's (LNT) Q3 earnings improve on a year-over-year basis. During the quarter, the company successfully serves more electric and gas customers than the year-ago period.",Positive,"Alliant Energy's (LNT) Q3 Earnings Improve Y/Y, Guidance Up",LNT
3,"Mon, 14 Oct 2019 12:25:00 -0400",Daily Dividend Report,Neutral,"Daily Dividend Report: Ameren, Wendy's, Vulcan Materials, Alliant Energy, Dynex Capital",LNT
4,"Wed, 25 Sep 2019 09:11:00 -0400","Since consumer spending primarily drives the American economy, waning confidence of consumers signifies a vulnerable U.S. economy.",Positive,Consumer Confidence Drops the Maximum in 9 Months: 4 Safe Bets,LNT
5,"Mon, 23 Sep 2019 09:17:00 -0400","The EIA currently expects wind, solar, and other non-hydropower renewables to provide 10% of total utility-scale power generation in 2019 and 12% in 2020.",Positive,US Non-Hydro Generation to Rise 14% in 2020: Stocks in Focus,LNT
6,"Mon, 16 Sep 2019 08:12:00 -0400","Alliant Energy (LNT) is an appropriate investment pick, courtesy of the following four factors.",Positive,Here's Why You Should Add Alliant Energy (LNT) Stock Now,LNT
7,"Fri, 13 Sep 2019 08:01:00 -0400",The possibility of a Fed rate cut is likely to favor utility firms since their businesses require significant debt financing.,Positive,"ECB Cuts Key Rate, Will the Fed Follow Suit? 4 Likely Winners",LNT
8,"Fri, 06 Sep 2019 09:29:00 -0400","To beat uncertainty in September, focus on these strong Utility stocks.",Positive,Beat the September Blues With These 4 Utility Stocks,LNT
9,"Tue, 03 Sep 2019 11:44:00 -0400",Top Ranked Momentum Stocks to Buy for September 3rd,Positive,Top Ranked Momentum Stocks to Buy for September 3rd,LNT
10,"Sat, 31 Aug 2019 09:31:56 -0400",Alliant Energy (LNT) reported earnings 30 days ago. What's next for the stock?,Positive,Why Is Alliant Energy (LNT) Up 4.9% Since Last Earnings Report?,LNT
