,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 18:47:03 -0500",Surna Inc. (SRNA) CEO Tony McDonald on Q3 2019 Results - Earnings Call Transcript,Neutral,Surna Inc. (SRNA) CEO Tony McDonald on Q3 2019 Results - Earnings Call Transcript,MCD
1,"Wed, 20 Nov 2019 13:04:43 -0500",The charts show that these four Dow Jones Industrial Average stocks to sell are weakening.,Negative,4 Weakening Dow Stocks to Sell,MCD
2,"Wed, 20 Nov 2019 12:10:00 -0500","Yes, as per Trefis estimations, McDonald’s (NYSE: MCD) top line is expected to have a small increase of 0.5% and post revenue at around $21.1 billion for 2019. The company generates its revenue primarily from its US Market which is projected to account for 37% of total revenues in 2019.",Positive,Will McDonald’s Record An Increase In The Top Line For 2019?,MCD
3,"Tue, 19 Nov 2019 07:30:51 -0500",A services economy rebound over the next few quarters should power a big rebound in these six beaten-up services stocks.,Positive,6 Best Consumer Services Stocks to Buy as the Economy Rebounds,MCD
4,"Tue, 19 Nov 2019 06:00:00 -0500","Besides strong fundamentals, there is a lot going right for the company.",Positive,Why It's Time to Buy McDonald's Stock,MCD
5,"Mon, 18 Nov 2019 13:00:00 -0500",McDonald's new CEO Chris Kempczinski is asking employees for feedback after taking the helm of the company two weeks ago.,Neutral,"McDonald's new CEO invites employee feedback, stands by company's growth plan",MCD
6,"Mon, 18 Nov 2019 11:34:57 -0500",McDonald's Turnaround Hits A Snag Amidst C-Suite Crisis,Neutral,McDonald's Turnaround Hits A Snag Amidst C-Suite Crisis,MCD
7,"Sat, 16 Nov 2019 09:30:00 -0500","The fast-food chain ousted its CEO, but that should not worry stockholders.",Positive,Dividend Investors Shouldn't Worry About McDonald's,MCD
8,"Sat, 16 Nov 2019 07:31:00 -0500","The second go-round looks like it's just as popular as it was the first time, and that's not good for the burger giant.",Negative,The Return of Popeyes' Chicken Sandwich Is Bad News for McDonald's,MCD
9,"Fri, 15 Nov 2019 13:44:01 -0500","McFlurry lovers have been waiting seven years for a new flavor to be available. This week, McDonald's Corp (NYSE: MCD) announced a new ice cream treat: Snickerdoodle McFlurry.",Neutral,McDonald's New McFlurry Will Hit Stores Soon,MCD
10,"Fri, 15 Nov 2019 08:42:43 -0500","The ""Fast Money"" traders share their final trades of the day including TWTR, AAPL, and more.",Neutral,"Final Trades: Twitter, Apple, Nike & McDonald's",MCD
11,"Thu, 14 Nov 2019 11:38:40 -0500",Buying Opportunity Surfacing With McDonald's,Positive,Buying Opportunity Surfacing With McDonald's,MCD
12,"Thu, 14 Nov 2019 11:14:00 -0500","While it’s tempting to pile your money into high-flying investments, cash-rich companies are the best stocks to buy in unpredictable markets.",Positive,The 8 Best Cash Cow Stocks to Buy for Stable Returns,MCD
13,"Thu, 14 Nov 2019 06:33:34 -0500",McDonalds: Manageable risk. Nike: Mission-crippling risk.,Neutral,"Ranking McDonald’s, Nike And Under Armour’s New CEOs’ Chances Of Success",MCD
14,"Thu, 14 Nov 2019 01:00:00 -0500","The heads of McDonald’s and Gap are parting from the companies, leaving very different situations in their wake.",Negative,A Deep Dive Into 2 Recent CEO Departures,MCD
15,"Wed, 13 Nov 2019 13:00:35 -0500",McDonald's Shares Still Pricey Despite Pullback,Negative,McDonald's Shares Still Pricey Despite Pullback,MCD
16,"Wed, 13 Nov 2019 07:03:24 -0500","Days after Steve Easterbrook was fired as McDonald's CEO for engaging in what the company called a consensual relationship with an employee, workers filed a class action lawsuit against the company over sexual harassment.",Negative,ACLU and Michigan workers file sexual harassment suit against McDonald's,MCD
17,"Tue, 12 Nov 2019 11:48:48 -0500",McDonald's workers have walked off the job in the United Kingdom to demand higher pay and better working conditions.,Negative,McDonald's workers strike in London to demand higher pay,MCD
18,"Tue, 12 Nov 2019 09:36:45 -0500","McDonald's Corp  workers are filing a lawsuit seeking to force the fast-food chain to confront a ""systemic problem"" of sexual harassment, spokespeople for the workers said in a press statement on Tuesday.",Negative,McDonald's workers sue to address 'systemic problem' of sexual harassment,MCD
19,"Mon, 11 Nov 2019 15:44:12 -0500",One of the chain’s more intriguing new experiments with the use of cutting edge tech involves applying artificial intelligence (AI) to the drive-thru experience.,Positive,McDonald’s AI Drive-Thrus May Be Too Smart For Their Own Good,MCD
20,"Mon, 11 Nov 2019 15:07:44 -0500",Investor sentiment has shifted to a protective stance under the context of ever-rising tensions between the U.S. and China.,Positive,8 Dividend Aristocrat Stocks to Buy Now,MCD
21,"Mon, 11 Nov 2019 14:49:50 -0500",McDonald's: No Time To Grimace,Positive,McDonald's: No Time To Grimace,MCD
22,"Mon, 11 Nov 2019 11:34:07 -0500",McDonald's Is A Cash Cow At A Discount - Buy,Positive,McDonald's Is A Cash Cow At A Discount - Buy,MCD
23,"Sat, 09 Nov 2019 17:29:19 -0500",Insider buying can be an encouraging signal for potential investors. A new chief executive officer at a Dow Jones industrial purchased shares this week.,Positive,"Notable Insider Buys In The Past Week: McDonald's, MGM And More",MCD
24,"Sat, 09 Nov 2019 13:57:13 -0500","Ex-McDonald’s CEO Steve Easterbrook — who was ousted earlier this month for having an affair with an employee — had a romantic relationship with a second woman working for the fast food giant, according to a new report. Easterbrook, 52, was dating public relations staffer Denise Paleothodoros when he became CEO in 2015, The Wall.",Neutral,Ex-McDonald’s CEO Steve Easterbrook also dated company’s PR adviser,MCD
25,"Sat, 09 Nov 2019 13:10:09 -0500","Upland Software, Inc. (UPLD) CEO Jack McDonald on Q3 2019 Results - Earnings Call Transcript",Neutral,"Upland Software, Inc. (UPLD) CEO Jack McDonald on Q3 2019 Results - Earnings Call Transcript",MCD
26,"Fri, 08 Nov 2019 16:01:28 -0500",CNBC's Kate Rogers breaks down a Dow Jones report that says McDonald's started investigating former CEO Steve Easterbrook three weeks ago.,Negative,McDonald's started probe into former CEO three weeks ago: Dow Jones,MCD
27,"Fri, 08 Nov 2019 15:32:00 -0500","McDonald's started investigating former CEO Steve Easterbrook roughly three weeks ago for having a relationship with an employee, the Wall Street Journal reported.",Negative,McDonald's reportedly began investigating fired CEO's relationship with employee three weeks ago,MCD
28,"Fri, 08 Nov 2019 12:00:00 -0500","Store owners were already positioning for collective bargaining, but are now being led by a chief with minimal industry (and no ""frontline"") experience",Negative,McDonald's Franchisees Could Revolt Against New CEO,MCD
29,"Fri, 08 Nov 2019 10:08:00 -0500",The wind power project will be located in Coke County.,Neutral,McDonald's signs 'long term' deals for Texan wind and solar energy,MCD
30,"Fri, 08 Nov 2019 09:19:27 -0500","Shares of McDonald's Corp. MCD, -0.57% rose 0.9% in premarket trading Friday, after Longbow Research analyst Alton Stump got back to being bullish on the fast-food giant, citing confidence in new-Chief Executive Chris Kempczinski.",Positive,McDonald's stock rallies after Longbow upgrades on confidence in new CEO,MCD
31,"Thu, 07 Nov 2019 17:09:32 -0500",Admit it. You missed Cowboy McNugget. No worries. He's back!,Positive,McDonald's Celebrates The Happy Meal's 40th Birthday With Nostalgic Toys,MCD
32,"Wed, 06 Nov 2019 16:22:00 -0500",McDonald's decision to fire CEO Steve Easterbrook is reigniting scrutiny of the company's handling of sexual harassment incidents that involve restaurant workers.,Negative,McDonald's wins praise for firing its CEO but reignites scrutiny over worker complaints,MCD
33,"Wed, 06 Nov 2019 07:41:35 -0500","On the charts, MCD stock has reached a notable area of technical support where a tradeable bounce is likely to occur.
The post Trade of the Day: A McRebound Trade in MCD Stock appeared first on InvestorPlace.",Positive,Trade of the Day: A McRebound Trade in MCD Stock,MCD
34,"Tue, 05 Nov 2019 13:48:40 -0500",Several leading restaurant stocks have fallen of late — creating opportunities for investors bullish on the sector.,Positive,3 Leading Restaurant Stocks to Buy on Sale,MCD
35,"Tue, 05 Nov 2019 13:25:32 -0500","Workplace couples are often romanticized — think Bill and Melinda Gates or Michelle and Barack Obama. But when the relationship involves two people with unequal power, it can also be fraught with peril, especially in the #MeToo era.",Negative,McDonald’s boss latest CEO to be ousted over relationship with employee,MCD
36,"Tue, 05 Nov 2019 12:33:00 -0500","In the battle of burritos versus burgers, there can be only one winner. Two strategists debate whether it will be McDonald's or Chipotle.",Neutral,Traders are split on whether McDonald's or Chipotle is the best bet,MCD
37,"Tue, 05 Nov 2019 11:10:09 -0500",Tragic headlines and other headwinds have created promising opportunities in these three restaurant stocks. Here's what you should know about each.,Positive,3 Restaurant Stocks to Trade in November,MCD
38,"Tue, 05 Nov 2019 10:20:05 -0500",Former CEO Steve Easterbrook boosted McDonald's stock. Chris Kempczinski needs to repair broken relationships to do the same.,Positive,Chris Kempczinski Must Soothe Franchisees to Save McDonald’s Stock,MCD
39,"Tue, 05 Nov 2019 09:25:41 -0500","Options trading was buzzing in McDonald's, Advanced Micro Devices and Exxon Mobil. Here are the metrics that matter moving forward.",Neutral,"Tuesday’s Vital Data: McDonald’s, Advanced Micro Devices and Exxon Mobil",MCD
40,"Tue, 05 Nov 2019 08:23:00 -0500",A shocking C-suite shakeup sent McDonald's shares tumbling to begin the week. This is what could come next.,Negative,McDonald's falls to seven-month low – Jim Cramer and four other experts weigh in,MCD
41,"Tue, 05 Nov 2019 08:13:58 -0500","Over the weekend, McDonald's unexpectedly announced a swift change in leadership.",Neutral,"At McDonald's, an abrupt change in leadership has investors wondering what's next",MCD
42,"Tue, 05 Nov 2019 07:51:25 -0500",Steve Easterbook resigned from Walmart's board a day after announcing his exit from McDonald's.,Negative,McDonald's ex-CEO steps down from Walmart's board,MCD
43,"Tue, 05 Nov 2019 07:21:35 -0500","Directors of U.S. companies are increasingly showing zero tolerance for executives' sexual relationships with employees, even consensual ones, an attitude shift evident in McDonald's Corp's  dismissal of CEO Steve Easterbrook this week.",Negative,"U.S. boards end era of impunity for 'skirt-chasers,' McDonald's firing shows",MCD
44,"Tue, 05 Nov 2019 07:10:29 -0500","These 3 big stock charts, including MCD stock, highlight S&P 500 components set up for big potential moves.
The post 3 Big Stock Charts for Tuesday: Verizon, McDonald’s, and Alexion Pharmaceuticals appeared first on InvestorPlace.",Positive,"3 Big Stock Charts for Tuesday: Verizon, McDonald’s, and Alexion Pharmaceuticals",MCD
45,"Mon, 04 Nov 2019 18:13:52 -0500",McDonald's CEO is out and UAA tumbles on an accounting probe.,Negative,It's a tale of two scandal stocks as McDonald's and Under Armour fall,MCD
46,"Mon, 04 Nov 2019 17:10:03 -0500",McDonald's Corp (NYSE: MCD) abruptly parted ways with CEO Steve Easterbrook on Sunday and represents a new topic of uncertainty for investors.,Neutral,What's Next For McDonald's After Easterbrook's Abrupt Departure?,MCD
47,"Mon, 04 Nov 2019 16:32:55 -0500","Steve Easterbrook, who had relationship with employee, also gets two-year ban on working for competitor",Neutral,"McDonald's pays ousted chief $675,000 in severance deal",MCD
