,date,text,sentiment,title,Ticker
0,"Wed, 20 Nov 2019 21:51:50 -0500",Online platforms including Facebook and Alphabet Inc's  Google face growing pressure to stop carrying political ads that contain false or misleading claims ahead of the U.S. presidential election.,Neutral,Factbox: How social media services handle political ads,MSFT
1,"Wed, 20 Nov 2019 18:38:00 -0500","Microsoft (MSFT) teams up with Baker Hughes (BKR) and C3.ai, to enable oil and gas enterprises with digital transformation.",Positive,Microsoft to Drive Digital Overhaul of Oil & Gas Enterprises,MSFT
2,"Wed, 20 Nov 2019 13:59:59 -0500","Microsoft continues to benefit from cloud investments. But to secure market dominance, it MSFT stock must survive antitrust regulations.",Neutral,Betting on Microsoft Stock Means Betting on Regulatory Capture,MSFT
3,"Wed, 20 Nov 2019 10:06:00 -0500",Success in the cloud drives Microsoft shares higher,Positive,Microsoft Moves into New Highs: Not Your Granddaddy’s Desktop,MSFT
4,"Wed, 20 Nov 2019 08:30:00 -0500",Microsoft (MSFT) stock is looking quite impressive for momentum-oriented investors as it has favorable price performance and is also seeing positive estimate revisions.,Positive,3 Reasons Momentum Stock Investors Will Love Microsoft (MSFT),MSFT
5,"Wed, 20 Nov 2019 07:58:00 -0500","A few corporate behemoths that reported their last earnings results less than five weeks ago, popped after releasing earnings results.",Positive,5 Corporate Giants That Popped After Latest Earnings Release,MSFT
6,"Wed, 20 Nov 2019 07:00:29 -0500",The tech giant took a big step by developing an Xbox controller for people with disabilities. Now that work is leading to changes in the industry at large.,Neutral,Microsoft went all in on accessible design. This is what happened afterwards,MSFT
7,"Tue, 19 Nov 2019 23:00:59 -0500","Microsoft is citing a “recent networking update” for an outage that took down services including Microsoft Teams, Exchange Online, Sharepoint Online, Yammer, and Skype for Business in parts of the U.S., Australia and Asia for more than two hours on Tuesday evening.",Neutral,Microsoft Teams and other Office 365 services start coming back online after untimely outage,MSFT
8,"Tue, 19 Nov 2019 11:25:01 -0500","Thanks to easing trade tensions, global capital spending trends are set to rebound, and that's great news for these five industrial stocks.",Positive,5 Strong Industrial Stocks to Buy as Capital Spending Rebounds,MSFT
9,"Tue, 19 Nov 2019 09:52:00 -0500",NVIDIA (NVDA) and Microsoft attempt to democratize the utilization of supercomputer by enabling companies to rent the robust capabilities of one according to demand.,Neutral,NVIDIA & Microsoft Intend to Democratize Use of Supercomputer,MSFT
10,"Tue, 19 Nov 2019 09:00:00 -0500","More large companies are adopting Microsoft's group-communications answer to Slack, including Alcoa, L'Oreal and Telefonica.",Positive,"Microsoft claims 20 million daily users for Teams, extending its lead over Slack",MSFT
11,"Mon, 18 Nov 2019 18:19:00 -0500","Today we searched for highly-ranked, large-cap stocks using our Zacks Stock Screener that dividend investors might want to consider buying.",Positive,3 Dow Stocks for Dividend Investors to Buy as Stock Market Keeps Climbing,MSFT
12,"Mon, 18 Nov 2019 13:28:25 -0500","The ""Halftime Report"" traders answer viewer questions in #AskHalftime.",Neutral,"Microsoft vs. Apple, an update on Slack, the trade on Home Depot and more in #AskHalftime",MSFT
13,"Mon, 18 Nov 2019 12:59:17 -0500",Microsoft’s Xbox Adaptive Controller was a breath of fresh air in a gaming world that has largely failed to consider the needs of people with disabilities. Now Logitech has joined the effort to empower this diverse population with an expanded set of XAC-compatible buttons and triggers.,Neutral,Logitech accessory kit makes the Xbox Adaptive Controller even more accessible,MSFT
14,"Mon, 18 Nov 2019 09:51:00 -0500",Growth at a reasonable price or GARP strategy helps investors gain exposure to stocks that have impressive prospects and are trading at a discount.,Positive,4 GARP Stocks for a Winning Portfolio,MSFT
15,"Mon, 18 Nov 2019 09:25:00 -0500",The dual tailwinds of renewed trade optimism and stronger-than-expected corporate earnings drove the rally. The bullishness was further fueled by rate cuts by the Federal Reserve.,Positive,"Dow Tops 28,000: 7 Hot Stocks Behind the Rally",MSFT
16,"Mon, 18 Nov 2019 08:29:55 -0500",Electronics accessory manufacturer Logitech today unveiled a new low-cost button kit for Microsoft’s Xbox Adaptive Controller that aims to help people with disabilities play video games.,Positive,Logitech teams up with Microsoft for new low-cost Xbox Adaptive Controller accessory kit,MSFT
17,"Mon, 18 Nov 2019 08:27:39 -0500","Chalk up another win for European data protection: Microsoft has announced changes to commercial cloud contracts following privacy concerns raised by European Union data protection authorities. The changes to contactual terms will apply globally and to all its commercial customers — whether public or private sector entity, or large or small business, it said today.",Neutral,Microsoft announces changes to cloud contract terms following EU privacy probe,MSFT
18,"Mon, 18 Nov 2019 07:12:00 -0500","We highlight blue-chip companies slated to gain in the near term as they have large market capitalization, strong balance sheet and solid cash flow.",Positive,"5 Blue-Chip Stocks to Buy as Dow Breezes Past 28,000",MSFT
19,"Mon, 18 Nov 2019 06:00:15 -0500","We're concentrating on serving our customers, says Alain Crozier, CEO and chairman of Greater China region at Microsoft.",Positive,We're very committed to China in many aspects: Microsoft Greater China CEO,MSFT
20,"Mon, 18 Nov 2019 05:05:00 -0500","Technology giant Microsoft has seen more business opportunities in the Chinese market in the last year, said Alain Crozier, Microsoft's Chairman and CEO for the Greater China region.",Positive,Microsoft says there were more business opportunities in China in the last year,MSFT
21,"Sat, 16 Nov 2019 13:00:00 -0500","When it comes to these two technology giants, Microsoft is a better bet than HP thanks to its cloud business and growth prospects.",Neutral,Better Buy: Microsoft vs. HP,MSFT
22,"Fri, 15 Nov 2019 17:01:10 -0500",The head of the Defense Department on Friday said there was no bias in the agency’s awarding of an enormous $10 billion cloud computing contract known as JEDI to Microsoft Corporation (NASDAQ: MSFT).,Neutral,"JEDI Mind Tricks: Esper Says Cloud Computing Contract Fair As Politics Cloud Efforts To Evaluate Amazon, Microsoft",MSFT
23,"Fri, 15 Nov 2019 16:30:48 -0500","When Salesforce announced this week that it was moving Marketing Cloud to Microsoft Azure, it was easy to see this as another case of wacky enterprise partnerships. But there had to be sound business reasons why the partnership came together, rather than going with AWS or Google Cloud Platform, both of which are also Salesforce […]",Neutral,Why Salesforce is moving Marketing Cloud to Microsoft Azure,MSFT
24,"Fri, 15 Nov 2019 14:25:07 -0500",Shares of Microsoft Corp (NASDAQ: MSFT) are up 47.2% in 2019 as the company’s cloud services business continues to game steam.,Positive,Microsoft Option Trader Bets $1M On 10% More Upside,MSFT
25,"Fri, 15 Nov 2019 09:30:16 -0500",Amazon is challenging the Defense Department over a major contract that went to Microsoft.,Neutral,Why Amazon's protesting the military cloud contract that went to Microsoft,MSFT
26,"Fri, 15 Nov 2019 08:30:00 -0500","Despite trade-related conflict with China, the technology sector has performed exceptionally well in 2019 so far, surpassing the broader market return.",Positive,5 Tech Behemoths Flying High in 2019 Amid Trade Jitters,MSFT
27,"Fri, 15 Nov 2019 08:00:13 -0500","Microsoft’s GitHub plans to store code from open-source projects in Svalbard, near the Global Seed Vault, and other locations around the world.",Positive,Microsoft is investing in apocalypse-proofing the world’s code,MSFT
28,"Thu, 14 Nov 2019 19:55:02 -0500",The Department of Defense's decision last month to award a massive cloud computing contract to Microsoft was a huge loss for rival Amazon. Amazon isn't going down without a fight.,Negative,Amazon will protest the Pentagon's decision to award a $10 billion cloud contract to Microsoft,MSFT
29,"Thu, 14 Nov 2019 18:33:59 -0500","Microsoft has announced a vague intention to launch its xCloud game streaming service sometime in 2020, and dropped a double handful of new titles that will arrive on it and the existing Game Pass subscription.",Positive,Microsoft announces its xCloud streaming service and a truckload of new games are coming in 2020,MSFT
30,"Thu, 14 Nov 2019 17:50:04 -0500","Amazon plans to protest the Defense Department’s surprise decision to award a lucrative cloud contract, known as the Joint Enterprise Defense Infrastructure, to Microsoft last month, according to The Wall Street Journal.",Neutral,Amazon will challenge Pentagon’s award of $10B JEDI cloud contract to rival Microsoft,MSFT
31,"Thu, 14 Nov 2019 17:45:21 -0500","Amazon.com Inc. plans to protest the award last month of a 10-year, $10 billion Pentagon cloud-computing contract to Microsoft Corp. that many assumed would go to Amazon AMZN, +0.02%.",Neutral,Amazon plans to protest award of $10 billion cloud-computing contract to Microsoft,MSFT
32,"Thu, 14 Nov 2019 17:35:43 -0500","Microsoft will bring its new cloud-based game streaming service to Windows 10 PCs, as part of a flurry of other announcements revealed at this year’s X019 show.",Positive,Microsoft will bring Project xCloud game streaming service to Windows 10 PCs,MSFT
